date,tic,open,high,low,close,volume
2021-01-04,NWSA,17.37,17.47,16.99,17.37,94197
2021-01-05,NWSA,17.25,17.61,17.21,17.48,77508
2021-01-06,NWSA,17.59,18.58,17.59,18.38,151260
2021-01-07,NWSA,18.41,18.46,17.91,17.92,50604
2021-01-08,NWSA,18.04,18.05,17.59,17.82,38045
2021-01-11,NWSA,17.69,17.98,17.64,17.85,68501
2021-01-12,NWSA,17.82,17.91,17.54,17.59,74843
2021-01-13,NWSA,17.6,17.78,17.47,17.48,79851
2021-01-14,NWSA,17.61,18.06,17.57,17.88,71348
2021-01-15,NWSA,17.69,17.91,17.59,17.89,38167
2021-01-19,NWSA,17.91,18.01,17.72,17.94,69151
2021-01-20,NWSA,18.04,18.33,18.02,18.29,65322
2021-01-21,NWSA,18.26,18.58,18.26,18.4,55246
2021-01-22,NWSA,18.34,18.34,17.75,17.75,47548
2021-01-25,NWSA,17.73,18.01,17.55,17.93,125145
2021-01-26,NWSA,17.99,18.33,17.99,18.3,48515
2021-01-27,NWSA,18.42,19.15,18.35,18.71,160905
2021-01-28,NWSA,18.78,18.94,18.4,18.67,151833
2021-01-29,NWSA,18.64,19.05,18.54,18.55,95749
2021-02-01,NWSA,18.41,18.64,17.89,18.53,177336
2021-02-02,NWSA,18.58,19.12,18.58,18.91,116631
2021-02-03,NWSA,18.76,19.06,18.73,18.99,50982
2021-02-04,NWSA,18.97,19.65,18.97,19.42,168105
2021-02-05,NWSA,20.65,21.27,20.16,20.36,169683
2021-02-08,NWSA,20.58,20.85,20.39,20.75,202321
2021-02-09,NWSA,20.95,21.39,20.8,21.19,101378
2021-02-10,NWSA,21.32,21.88,21.24,21.62,143767
2021-02-11,NWSA,21.58,22.05,21.51,22.02,92800
2021-02-12,NWSA,22.81,23.0,22.35,22.69,209025
2021-02-16,NWSA,22.61,22.8,22.43,22.75,118375
2021-02-17,NWSA,23.08,23.08,22.08,22.17,148578
2021-02-18,NWSA,22.01,22.22,21.63,21.66,168419
2021-02-19,NWSA,21.74,21.81,21.45,21.49,201587
2021-02-22,NWSA,21.31,22.56,21.31,22.32,110418
2021-02-23,NWSA,22.13,22.56,22.07,22.43,178181
2021-02-24,NWSA,22.21,23.09,22.21,22.76,238770
2021-02-25,NWSA,22.8,23.01,22.18,22.19,84216
2021-02-26,NWSA,22.21,22.71,22.09,22.44,97234
2021-03-01,NWSA,22.68,23.41,22.6,23.29,179603
2021-03-02,NWSA,23.28,23.29,22.57,22.6,160703
2021-03-03,NWSA,22.6,23.11,22.53,22.75,142593
2021-03-04,NWSA,22.58,22.95,22.13,22.5,174925
2021-03-05,NWSA,22.77,23.33,22.29,23.29,470262
2021-03-08,NWSA,23.41,23.64,22.9,23.17,243790
2021-03-09,NWSA,23.49,24.45,23.22,23.79,377869
2021-03-10,NWSA,23.88,24.53,23.52,24.41,174622
2021-03-11,NWSA,24.3,24.71,24.19,24.61,83558
2021-03-12,NWSA,24.62,25.07,24.58,25.07,144706
2021-03-15,NWSA,25.05,25.05,24.58,24.96,103042
2021-03-16,NWSA,25.18,25.76,25.16,25.42,240900
2021-03-17,NWSA,25.17,25.32,24.8,25.31,151537
2021-03-18,NWSA,25.29,26.34,25.29,26.06,340244
2021-03-19,NWSA,25.98,26.56,25.69,26.21,279679
2021-03-22,NWSA,26.31,26.31,25.43,25.63,141051
2021-03-23,NWSA,25.51,25.63,24.94,25.05,235967
2021-03-24,NWSA,25.16,25.32,24.39,24.46,82639
2021-03-25,NWSA,24.19,25.25,24.19,25.17,95139
2021-03-26,NWSA,25.29,25.3,24.39,24.7,189298
2021-03-29,NWSA,24.98,24.98,23.84,24.03,134319
2021-03-30,NWSA,24.12,24.79,24.12,24.67,189971
2021-03-31,NWSA,24.7,25.04,24.39,24.41,195580
2021-04-01,NWSA,24.58,25.02,24.25,25.02,96486
2021-04-05,NWSA,25.22,25.47,24.83,25.38,110620
2021-04-06,NWSA,25.39,25.7,25.26,25.48,83595
2021-04-07,NWSA,25.47,25.72,25.25,25.33,73744
2021-04-08,NWSA,25.12,25.71,25.12,25.65,111269
2021-04-09,NWSA,25.72,25.86,25.39,25.6,99592
2021-04-12,NWSA,25.69,25.87,25.48,25.68,156122
2021-04-13,NWSA,25.84,25.84,25.02,25.11,105894
2021-04-14,NWSA,25.21,25.55,25.15,25.33,174504
2021-04-15,NWSA,25.5,25.77,25.29,25.52,142964
2021-04-16,NWSA,25.69,25.82,25.5,25.62,145909
2021-04-19,NWSA,25.56,25.75,25.38,25.67,100583
2021-04-20,NWSA,25.72,25.96,25.1,25.41,97099
2021-04-21,NWSA,25.12,26.23,25.07,26.22,115184
2021-04-22,NWSA,26.2,26.35,25.78,25.83,256143
2021-04-23,NWSA,25.84,25.84,25.61,25.64,98795
2021-04-26,NWSA,25.87,25.87,25.5,25.59,94027
2021-04-27,NWSA,25.56,25.74,25.38,25.46,87244
2021-04-28,NWSA,25.42,25.42,24.97,25.12,165417
2021-04-29,NWSA,25.38,25.55,25.13,25.45,107329
2021-04-30,NWSA,25.23,25.35,24.92,25.15,125563
2021-05-03,NWSA,25.37,25.47,25.09,25.29,109359
2021-05-04,NWSA,25.02,25.03,24.21,24.48,127559
2021-05-05,NWSA,24.72,25.28,24.57,25.06,126965
2021-05-06,NWSA,25.17,25.17,24.64,24.96,66121
2021-05-07,NWSA,25.48,26.59,25.48,26.34,176651
2021-05-10,NWSA,26.2,26.83,25.92,26.32,184185
2021-05-11,NWSA,25.93,26.55,25.71,26.54,153939
2021-05-12,NWSA,26.37,26.37,25.0,25.1,132210
2021-05-13,NWSA,25.26,25.7,24.9,25.19,107648
2021-05-14,NWSA,25.34,25.69,25.34,25.63,71041
2021-05-17,NWSA,26.07,26.07,25.52,25.82,101111
2021-05-18,NWSA,25.92,25.93,25.42,25.42,127744
2021-05-19,NWSA,25.07,25.23,24.78,24.96,307212
2021-05-20,NWSA,25.02,26.06,25.02,25.96,121668
2021-05-21,NWSA,25.59,26.07,25.41,25.41,239731
2021-05-24,NWSA,25.62,25.83,25.45,25.75,168947
2021-05-25,NWSA,25.93,26.04,25.55,25.56,151560
2021-05-26,NWSA,25.88,25.99,25.68,25.69,133454
2021-05-27,NWSA,25.79,26.4,25.75,26.03,221281
2021-05-28,NWSA,26.07,26.15,25.5,25.94,126109
2021-06-01,NWSA,25.46,25.8,25.0,25.43,136551
2021-06-02,NWSA,25.3,25.31,24.59,24.87,153958
2021-06-03,NWSA,24.74,24.88,24.34,24.85,59855
2021-06-04,NWSA,25.05,25.18,24.9,25.16,37807
2021-06-07,NWSA,25.1,25.2,24.6,24.82,72534
2021-06-08,NWSA,24.8,25.48,24.69,25.4,123441
2021-06-09,NWSA,25.35,25.62,25.23,25.47,57402
2021-06-10,NWSA,25.52,25.62,25.36,25.41,52480
2021-06-11,NWSA,25.45,25.77,25.45,25.77,45437
