date,tic,open,high,low,close,volume
2021-01-04,NXPI,147.99,152.89,146.39,149.54,153682
2021-01-05,NXPI,149.02,153.08,148.99,152.78,112373
2021-01-06,NXPI,152.19,158.53,152.19,155.59,166000
2021-01-07,NXPI,158.65,162.84,158.65,161.47,128843
2021-01-08,NXPI,167.98,168.4,158.47,161.52,173422
2021-01-11,NXPI,161.0,162.63,158.69,159.96,111184
2021-01-12,NXPI,160.98,165.12,160.6,162.65,178865
2021-01-13,NXPI,163.7,164.07,162.59,163.65,80809
2021-01-14,NXPI,165.02,167.09,165.02,166.05,144314
2021-01-15,NXPI,164.27,164.27,155.49,158.97,339218
2021-01-19,NXPI,163.57,164.6,161.06,161.39,197396
2021-01-20,NXPI,164.75,166.27,160.32,161.01,157889
2021-01-21,NXPI,162.6,162.87,158.61,160.16,183572
2021-01-22,NXPI,159.18,161.59,158.72,159.27,160712
2021-01-25,NXPI,162.71,162.86,157.9,161.02,125857
2021-01-26,NXPI,160.72,160.83,155.65,155.9,194396
2021-01-27,NXPI,151.35,151.71,143.99,148.26,244019
2021-01-28,NXPI,153.03,153.55,149.84,151.47,171637
2021-01-29,NXPI,151.62,154.55,147.46,147.88,316191
2021-02-01,NXPI,153.71,159.1,153.64,158.28,373160
2021-02-02,NXPI,165.64,168.76,157.83,163.62,372959
2021-02-03,NXPI,166.2,167.48,159.75,160.7,173269
2021-02-04,NXPI,161.86,167.39,161.86,167.39,154430
2021-02-05,NXPI,168.97,169.73,167.18,167.93,174839
2021-02-08,NXPI,170.43,173.62,170.06,173.62,217798
2021-02-09,NXPI,172.78,173.85,170.28,173.44,152589
2021-02-10,NXPI,177.01,177.01,169.23,173.27,172916
2021-02-11,NXPI,173.97,179.49,173.97,178.96,161423
2021-02-12,NXPI,178.28,180.62,176.68,179.46,125272
2021-02-16,NXPI,184.06,184.54,178.83,180.29,136095
2021-02-17,NXPI,177.17,179.8,173.48,175.09,175999
2021-02-18,NXPI,173.08,174.28,169.06,171.45,167102
2021-02-19,NXPI,174.78,177.77,173.96,176.78,122944
2021-02-22,NXPI,176.37,177.23,170.69,171.41,136507
2021-02-23,NXPI,167.58,167.93,161.94,167.03,332512
2021-02-24,NXPI,164.62,172.32,163.4,171.85,202559
2021-02-25,NXPI,172.11,173.48,164.32,164.81,196186
2021-02-26,NXPI,167.66,169.94,163.84,168.58,231741
