date,tic,open,high,low,close,volume
2021-01-04,O,48.57,48.57,46.72,46.75,110001
2021-01-05,O,46.86,47.41,46.82,46.97,56317
2021-01-06,O,47.33,47.37,46.36,46.58,144130
2021-01-07,O,46.6,46.6,45.74,46.01,168175
2021-01-08,O,46.04,46.74,46.0,46.66,95221
2021-01-11,O,46.52,46.7,46.29,46.41,106221
2021-01-12,O,44.57,45.25,44.51,45.21,412716
2021-01-13,O,45.4,45.94,44.94,45.12,193990
2021-01-14,O,45.43,45.46,45.04,45.15,88983
2021-01-15,O,45.32,46.01,44.83,45.81,78130
2021-01-19,O,45.76,45.83,45.19,45.41,65922
2021-01-20,O,45.45,46.2,45.32,46.08,98461
2021-01-21,O,45.78,46.43,45.44,46.16,72884
2021-01-22,O,46.01,46.81,45.9,46.76,76836
2021-01-25,O,46.86,47.83,46.58,47.15,117948
2021-01-26,O,47.25,47.74,47.11,47.42,71002
2021-01-27,O,47.09,47.73,46.98,47.13,172871
2021-01-28,O,47.08,48.22,47.02,47.63,138799
2021-01-29,O,47.14,47.74,46.18,46.32,125391
2021-02-01,O,46.49,47.22,46.14,47.2,63833
2021-02-02,O,47.15,47.65,46.92,47.29,90815
2021-02-03,O,47.13,47.51,46.78,47.43,58221
2021-02-04,O,47.47,48.15,47.47,47.8,73214
2021-02-05,O,48.03,48.15,47.83,47.98,54189
2021-02-08,O,47.98,48.02,47.69,47.75,73140
2021-02-09,O,47.8,48.44,47.75,48.42,53206
2021-02-10,O,48.65,49.75,48.61,48.96,290157
2021-02-11,O,49.12,49.42,49.0,49.35,90221
2021-02-12,O,49.12,49.47,48.71,48.98,81482
2021-02-16,O,49.1,49.23,48.05,48.37,110102
2021-02-17,O,48.33,48.53,47.9,48.45,104640
2021-02-18,O,48.36,48.41,47.7,47.72,215361
2021-02-19,O,48.11,48.69,47.86,47.93,111794
2021-02-22,O,48.04,48.92,47.95,48.67,240813
2021-02-23,O,49.09,49.23,48.23,48.93,212584
2021-02-24,O,48.89,49.11,48.57,48.92,198146
2021-02-25,O,49.03,50.01,47.88,48.31,138016
2021-02-26,O,48.3,48.71,47.45,47.47,139420
2021-03-01,O,48.16,48.56,47.59,47.63,104053
2021-03-02,O,47.68,47.78,47.01,47.52,151978
2021-03-03,O,47.54,48.41,47.49,47.81,98983
2021-03-04,O,47.8,47.94,46.22,46.76,184274
2021-03-05,O,47.01,47.25,45.87,47.18,191476
2021-03-08,O,47.29,48.14,47.0,47.56,154617
2021-03-09,O,47.67,48.49,47.29,47.8,127518
2021-03-10,O,47.81,48.65,47.77,48.33,116214
2021-03-11,O,48.62,49.19,48.33,48.66,116144
2021-03-12,O,48.79,49.57,48.38,49.55,105426
2021-03-15,O,49.73,50.58,49.37,50.31,135494
2021-03-16,O,50.33,50.72,49.84,50.34,90361
2021-03-17,O,50.23,50.48,49.95,50.3,108823
2021-03-18,O,50.18,50.26,49.53,49.76,100402
2021-03-19,O,49.74,49.84,48.43,48.6,181037
2021-03-22,O,48.62,49.38,48.36,49.14,114494
2021-03-23,O,49.16,49.85,49.04,49.51,95358
2021-03-24,O,49.54,50.55,49.51,49.82,161518
2021-03-25,O,49.75,50.4,49.15,50.31,80005
2021-03-26,O,50.5,50.84,49.93,50.55,67495
2021-03-29,O,50.5,50.83,49.94,50.51,83307
2021-03-30,O,50.28,50.68,50.19,50.44,80792
2021-03-31,O,50.44,50.73,50.1,50.17,61969
2021-04-01,O,50.44,51.45,50.28,51.45,73699
2021-04-05,O,51.62,51.62,50.97,51.56,61291
2021-04-06,O,51.44,51.67,51.07,51.47,79998
2021-04-07,O,51.55,51.88,51.32,51.79,70893
2021-04-08,O,51.75,51.96,51.61,51.7,49635
2021-04-09,O,51.79,51.83,51.33,51.51,34669
2021-04-12,O,51.63,51.94,51.13,51.88,41911
2021-04-13,O,51.62,52.15,51.55,52.15,27024
2021-04-14,O,52.04,52.17,51.57,51.63,57167
2021-04-15,O,52.07,52.88,51.95,52.84,80262
2021-04-16,O,53.06,53.21,52.82,52.93,52589
2021-04-20,O,53.19,54.25,53.19,54.19,80992
2021-04-21,O,54.34,54.93,54.14,54.76,100107
2021-04-22,O,54.98,55.33,54.49,54.57,58572
2021-04-23,O,54.83,54.98,54.47,54.83,50457
2021-04-26,O,55.15,55.27,54.6,54.75,73999
2021-04-27,O,54.77,54.78,54.35,54.4,81848
2021-04-28,O,54.53,54.72,54.12,54.22,49042
2021-04-29,O,55.27,56.74,54.52,54.71,347683
2021-04-30,O,54.64,54.96,53.78,54.81,261081
2021-05-03,O,54.92,54.98,54.4,54.44,103812
2021-05-04,O,54.61,55.36,54.46,54.78,136230
2021-05-05,O,54.51,54.54,52.9,53.23,190346
2021-05-06,O,53.51,53.81,53.13,53.54,115916
2021-05-07,O,53.36,54.24,53.36,53.98,107255
2021-05-10,O,54.25,54.52,53.51,53.54,113794
2021-05-11,O,53.11,53.15,52.13,52.46,106174
2021-05-12,O,52.3,52.48,51.16,51.33,117124
2021-05-13,O,51.37,51.7,51.24,51.27,129164
2021-05-14,O,51.47,51.91,51.47,51.8,82790
