date,tic,open,high,low,close,volume
2021-01-04,ORCL,60.33,60.33,58.93,59.41,373671
2021-01-05,ORCL,59.37,59.47,58.27,58.71,306380
2021-01-06,ORCL,58.37,59.29,58.05,58.58,326074
2021-01-07,ORCL,58.88,59.67,58.88,59.06,322819
2021-01-08,ORCL,59.19,59.49,58.9,59.33,187375
2021-01-11,ORCL,58.93,59.51,58.85,59.0,230818
2021-01-12,ORCL,58.9,58.99,58.23,58.44,196062
2021-01-13,ORCL,58.4,58.54,58.03,58.1,227829
2021-01-14,ORCL,58.1,58.21,57.59,57.66,283589
2021-01-15,ORCL,57.72,58.04,57.32,57.87,195217
2021-01-19,ORCL,58.18,58.3,57.21,57.37,323071
2021-01-20,ORCL,57.49,58.07,57.25,57.66,227409
2021-01-21,ORCL,57.73,57.81,57.05,57.32,337901
2021-01-22,ORCL,57.17,57.23,55.94,56.51,488183
2021-01-25,ORCL,56.62,57.05,55.99,57.01,238019
2021-01-26,ORCL,57.21,58.08,57.02,57.88,340175
2021-01-27,ORCL,57.54,59.15,57.54,58.52,724322
2021-01-28,ORCL,58.56,59.2,57.33,57.33,498954
2021-01-29,ORCL,57.27,57.58,56.37,56.59,426294
2021-02-01,ORCL,57.13,58.05,56.92,57.59,399688
2021-02-02,ORCL,57.89,58.9,57.89,58.4,337179
2021-02-03,ORCL,58.24,58.73,58.04,58.23,407979
2021-02-04,ORCL,58.35,59.34,58.35,59.34,282004
2021-02-05,ORCL,59.46,59.98,59.41,59.54,220222
2021-02-08,ORCL,59.72,59.78,58.84,59.05,284133
2021-02-09,ORCL,59.03,59.78,58.94,59.58,351250
2021-02-10,ORCL,59.78,59.78,58.94,59.21,444178
2021-02-11,ORCL,59.5,59.85,58.32,58.71,380332
2021-02-12,ORCL,58.51,59.1,58.35,59.06,215723
2021-02-16,ORCL,59.12,59.22,58.14,58.2,305339
2021-02-17,ORCL,57.7,58.19,57.45,58.14,303080
2021-02-18,ORCL,57.8,58.23,57.73,58.11,348129
2021-02-19,ORCL,58.24,58.38,57.19,57.23,577759
2021-02-22,ORCL,58.76,60.81,58.33,60.32,1248352
2021-02-23,ORCL,60.36,61.05,60.0,60.36,1060335
2021-02-24,ORCL,60.21,60.99,60.01,60.56,568985
2021-02-25,ORCL,60.49,62.13,60.47,61.16,777420
2021-02-26,ORCL,61.42,62.03,60.4,60.44,724169
2021-03-01,ORCL,60.9,62.47,60.64,61.97,412932
2021-03-02,ORCL,61.96,63.12,61.82,62.4,496175
2021-03-03,ORCL,62.25,63.23,62.16,62.66,499371
2021-03-04,ORCL,62.42,63.0,61.16,61.37,995829
2021-03-05,ORCL,63.05,67.13,63.05,65.48,1934286
2021-03-08,ORCL,65.89,68.28,65.86,67.54,961018
2021-03-09,ORCL,67.74,68.55,67.49,67.99,540715
2021-03-10,ORCL,68.66,68.89,67.28,67.52,955586
2021-03-11,ORCL,62.89,63.72,61.28,63.1,1487508
2021-03-12,ORCL,62.81,63.51,62.22,62.87,621870
2021-03-15,ORCL,62.68,63.44,62.67,63.41,310654
2021-03-16,ORCL,63.67,63.73,62.44,62.59,737406
2021-03-17,ORCL,62.54,62.57,61.95,61.98,466466
2021-03-18,ORCL,62.18,62.73,61.88,62.47,770318
2021-03-19,ORCL,62.52,62.57,61.75,62.03,515612
2021-03-22,ORCL,62.01,62.28,61.67,62.1,330923
2021-03-23,ORCL,62.16,63.57,62.14,62.96,565802
