date,tic,open,high,low,close,volume
2021-01-04,OXY,16.73,16.94,16.33,16.44,258566
2021-01-05,OXY,16.74,18.79,16.65,18.1,791346
2021-01-06,OXY,18.41,19.11,17.89,18.85,637123
2021-01-07,OXY,19.09,19.94,18.88,19.39,421017
2021-01-08,OXY,19.64,19.79,18.74,18.92,278175
2021-01-11,OXY,18.12,19.02,17.92,18.93,282677
2021-01-12,OXY,19.38,21.48,19.14,21.32,868439
2021-01-13,OXY,21.38,21.47,20.86,21.06,367247
2021-01-14,OXY,21.4,23.19,21.33,22.86,549369
2021-01-15,OXY,22.14,22.32,21.08,21.1,388252
2021-01-19,OXY,21.7,22.39,21.58,21.74,453174
2021-01-20,OXY,21.92,22.18,21.44,21.7,311908
2021-01-21,OXY,21.54,21.66,20.21,20.31,410229
2021-01-22,OXY,19.44,20.36,19.1,20.28,319183
2021-01-25,OXY,19.79,20.37,19.49,20.28,298777
2021-01-26,OXY,20.64,21.12,19.18,19.18,405822
2021-01-27,OXY,18.84,20.4,18.35,19.37,436673
2021-01-28,OXY,19.53,20.16,19.1,19.78,349922
2021-01-29,OXY,19.52,20.11,18.6,18.92,354412
2021-02-01,OXY,19.43,19.53,18.67,19.22,195278
2021-02-02,OXY,20.26,20.48,19.44,19.53,284859
2021-02-03,OXY,19.78,20.88,19.76,20.76,364285
2021-02-04,OXY,21.01,21.29,20.42,21.02,283327
2021-02-05,OXY,21.51,21.79,20.94,21.26,180024
2021-02-08,OXY,21.73,24.03,21.72,24.0,602417
2021-02-09,OXY,23.22,23.69,22.73,23.22,362850
2021-02-10,OXY,23.41,24.29,23.38,24.12,385096
2021-02-11,OXY,23.78,23.91,22.7,23.55,328815
2021-02-12,OXY,23.28,24.23,23.24,23.95,297538
2021-02-16,OXY,25.16,25.38,24.41,24.92,426574
2021-02-17,OXY,25.29,25.61,24.42,25.19,350129
2021-02-18,OXY,24.82,25.17,23.77,23.83,332565
2021-02-19,OXY,23.87,24.4,23.61,23.97,310933
2021-02-22,OXY,24.47,25.87,24.39,24.95,494646
2021-02-23,OXY,24.8,25.03,23.05,24.6,877692
2021-02-24,OXY,24.81,27.03,24.47,26.55,522418
2021-02-25,OXY,26.65,26.86,24.94,25.2,512687
2021-02-26,OXY,24.75,25.44,23.77,25.13,510275
2021-03-01,OXY,25.81,26.65,25.49,26.06,312771
2021-03-02,OXY,26.03,26.85,25.75,26.23,329182
2021-03-03,OXY,26.44,27.75,26.39,27.02,594634
2021-03-04,OXY,27.39,28.84,26.9,28.19,933218
2021-03-05,OXY,29.81,30.65,28.37,29.43,899077
2021-03-08,OXY,29.85,30.05,27.94,28.04,475672
2021-03-09,OXY,27.49,28.01,26.62,27.01,704707
2021-03-10,OXY,27.18,27.9,26.96,27.7,493857
2021-03-11,OXY,28.21,30.0,28.09,29.22,544838
2021-03-12,OXY,29.04,29.47,28.74,28.87,441327
2021-03-15,OXY,28.32,28.57,27.16,27.63,379852
2021-03-16,OXY,26.93,27.52,26.2,26.55,320843
2021-03-17,OXY,26.44,27.47,26.36,27.39,473619
2021-03-18,OXY,26.84,27.01,25.01,25.09,481314
2021-03-19,OXY,25.4,26.92,25.19,26.5,781915
2021-03-22,OXY,26.25,26.6,25.73,25.88,362262
2021-03-23,OXY,24.91,25.72,24.62,25.08,431157
2021-03-24,OXY,25.88,26.37,25.43,25.5,363583
2021-03-25,OXY,24.75,25.25,23.9,25.18,454493
2021-03-26,OXY,26.19,26.3,25.34,26.2,365355
2021-03-29,OXY,25.7,25.77,24.85,25.48,318205
2021-03-30,OXY,25.18,26.13,25.03,25.77,261893
2021-03-31,OXY,25.79,25.84,25.09,25.09,483449
2021-04-01,OXY,25.31,26.22,24.9,25.81,1291140
2021-04-05,OXY,25.45,25.6,23.64,23.86,837393
2021-04-06,OXY,24.15,24.69,23.82,23.88,646163
2021-04-07,OXY,24.03,24.19,23.59,23.85,350542
2021-04-08,OXY,23.51,23.52,22.87,23.33,306103
2021-04-09,OXY,23.29,23.59,22.98,23.17,227193
2021-04-12,OXY,23.36,23.72,22.57,22.84,346872
2021-04-13,OXY,22.8,23.12,22.55,22.92,120193
2021-04-14,OXY,23.57,24.56,23.52,24.09,939922
2021-04-15,OXY,23.89,23.89,23.28,23.44,363492
2021-04-16,OXY,23.58,23.73,22.88,22.99,245647
2021-04-20,OXY,22.99,22.99,21.66,21.88,695172
2021-04-21,OXY,21.19,23.07,21.19,23.03,542995
2021-04-22,OXY,23.13,23.3,22.56,22.72,409681
