date,tic,open,high,low,close,volume
2021-01-04,PAYC,438.31,438.31,413.79,418.87,43271
2021-01-05,PAYC,415.21,423.29,413.81,418.26,41011
2021-01-06,PAYC,412.79,415.97,403.38,405.52,33600
2021-01-07,PAYC,417.2,424.67,414.03,423.07,26682
2021-01-08,PAYC,431.86,439.84,428.25,432.48,27351
2021-01-11,PAYC,424.58,427.37,418.7,418.92,14695
2021-01-12,PAYC,418.87,419.21,407.72,412.95,36544
2021-01-13,PAYC,414.25,415.5,405.83,407.21,26055
2021-01-14,PAYC,409.53,415.08,402.87,404.27,43400
2021-01-15,PAYC,406.25,407.45,391.44,391.53,35699
2021-01-19,PAYC,394.21,394.21,386.49,389.37,52631
2021-01-20,PAYC,391.02,401.92,388.53,401.05,59656
2021-01-21,PAYC,403.36,403.49,395.33,397.01,23329
2021-01-22,PAYC,398.66,402.73,394.94,402.41,15665
2021-01-25,PAYC,405.3,407.63,391.31,402.04,25426
2021-01-26,PAYC,401.84,402.04,383.51,383.81,28198
2021-01-27,PAYC,370.68,379.74,367.4,369.07,46573
2021-01-28,PAYC,373.99,387.11,373.99,378.65,30597
2021-01-29,PAYC,375.47,378.85,367.25,373.03,30403
2021-02-01,PAYC,378.21,389.35,377.13,388.94,24793
2021-02-02,PAYC,392.41,407.93,387.78,404.59,23754
2021-02-03,PAYC,404.17,410.81,402.29,408.07,21143
2021-02-04,PAYC,412.18,420.48,406.53,419.83,31550
2021-02-05,PAYC,423.24,429.98,423.24,425.66,34804
2021-02-08,PAYC,427.73,432.49,418.82,420.77,27671
2021-02-09,PAYC,421.1,426.9,416.91,425.21,21799
2021-02-10,PAYC,425.43,425.43,411.34,416.59,26163
2021-02-11,PAYC,421.5,433.5,394.42,398.0,55123
2021-02-12,PAYC,396.95,405.38,396.25,404.39,29528
2021-02-16,PAYC,405.51,405.51,381.59,382.46,38900
2021-02-17,PAYC,376.46,384.49,370.02,384.49,54970
2021-02-18,PAYC,377.76,397.86,377.76,394.03,34639
2021-02-19,PAYC,395.61,403.84,391.87,392.61,39533
2021-02-22,PAYC,382.79,386.95,372.35,373.21,28699
2021-02-23,PAYC,357.64,373.26,349.6,369.82,56190
2021-02-24,PAYC,366.19,379.49,359.79,379.49,64232
2021-02-25,PAYC,377.23,377.26,357.35,361.27,24114
2021-02-26,PAYC,368.39,371.46,360.59,367.16,39346
2021-03-01,PAYC,376.09,383.1,374.37,378.21,26808
2021-03-02,PAYC,376.78,379.27,372.7,372.87,17300
2021-03-03,PAYC,367.95,367.95,354.37,356.11,33100
2021-03-04,PAYC,351.78,354.7,336.18,341.96,27578
2021-03-05,PAYC,357.83,373.35,346.69,369.18,48188
2021-03-08,PAYC,368.08,372.81,359.09,359.09,31715
2021-03-09,PAYC,375.76,383.41,368.42,372.12,29723
2021-03-10,PAYC,382.49,388.46,370.36,371.29,33314
2021-03-11,PAYC,380.19,387.5,378.03,382.1,18211
2021-03-12,PAYC,374.88,377.09,370.27,376.75,12781
2021-03-15,PAYC,377.95,386.22,374.04,386.21,16429
2021-03-16,PAYC,388.32,388.32,367.97,373.29,35423
2021-03-17,PAYC,364.31,381.8,364.31,377.17,18635
2021-03-18,PAYC,368.53,371.15,357.07,358.39,25167
2021-03-19,PAYC,360.37,371.36,358.2,365.19,19146
2021-03-22,PAYC,368.94,377.51,368.94,371.28,24459
2021-03-23,PAYC,370.18,374.73,364.29,366.31,17897
2021-03-24,PAYC,367.05,367.05,356.84,358.17,21060
2021-03-25,PAYC,351.66,356.59,346.39,355.85,26744
2021-03-26,PAYC,356.21,362.65,351.43,362.56,16322
2021-03-29,PAYC,364.04,364.04,349.73,356.77,13868
2021-03-30,PAYC,348.72,355.42,346.85,353.0,29238
2021-03-31,PAYC,356.74,367.66,356.74,362.92,24301
2021-04-01,PAYC,370.87,376.28,367.47,368.91,29418
2021-04-05,PAYC,374.08,374.08,364.88,370.28,29089
2021-04-06,PAYC,368.0,377.01,362.82,370.21,25711
2021-04-07,PAYC,366.64,370.52,362.73,364.52,17673
2021-04-08,PAYC,366.92,377.27,366.92,371.49,30502
2021-04-09,PAYC,369.59,374.98,364.83,374.54,27999
2021-04-12,PAYC,369.48,376.05,366.59,373.56,18485
2021-04-13,PAYC,374.9,385.18,374.9,382.41,8992
2021-04-14,PAYC,387.95,392.99,377.36,378.52,20918
2021-04-15,PAYC,380.77,392.47,380.77,389.99,37359
2021-04-16,PAYC,390.56,391.08,386.79,390.75,11415
2021-04-20,PAYC,386.0,388.47,373.61,374.84,18294
2021-04-21,PAYC,374.49,381.41,374.49,380.14,22896
2021-04-22,PAYC,382.98,389.82,381.7,382.48,17340
2021-04-23,PAYC,387.41,392.34,385.15,391.34,19826
2021-04-26,PAYC,390.28,395.18,384.72,392.98,26529
2021-04-27,PAYC,389.49,394.65,389.34,392.19,15508
2021-04-28,PAYC,391.11,395.52,388.18,393.57,27100
2021-04-29,PAYC,389.44,389.44,380.99,386.05,16563
2021-04-30,PAYC,383.76,384.52,376.38,376.42,16326
2021-05-03,PAYC,379.33,379.33,369.98,371.26,19411
2021-05-04,PAYC,366.63,367.05,344.58,346.58,47797
2021-05-05,PAYC,348.22,348.74,329.61,333.47,59310
2021-05-06,PAYC,327.9,330.84,315.37,320.04,63049
2021-05-07,PAYC,324.39,331.29,317.03,321.15,33001
2021-05-10,PAYC,314.85,317.12,307.97,311.24,35606
2021-05-11,PAYC,301.51,318.98,301.51,314.92,51791
2021-05-12,PAYC,309.86,311.76,298.21,299.65,37948
2021-05-13,PAYC,304.6,306.51,296.52,302.51,61609
2021-05-14,PAYC,306.96,320.87,306.96,319.9,21505
2021-05-17,PAYC,311.01,316.48,308.77,315.85,17583
2021-05-18,PAYC,315.5,322.1,314.02,315.97,13931
2021-05-19,PAYC,307.76,313.92,305.84,313.72,16498
2021-05-20,PAYC,315.03,328.81,315.03,325.29,26403
2021-05-21,PAYC,328.78,328.78,321.15,323.86,15746
2021-05-24,PAYC,331.4,334.04,329.81,330.16,31246
2021-05-25,PAYC,330.03,332.65,323.36,323.47,60141
2021-05-26,PAYC,326.45,330.06,323.95,328.14,27145
2021-05-27,PAYC,324.28,327.59,322.62,324.16,13708
2021-05-28,PAYC,327.65,330.48,322.9,322.9,10907
2021-06-01,PAYC,322.97,322.97,316.45,319.05,13006
2021-06-02,PAYC,318.33,323.19,317.32,318.71,10184
2021-06-03,PAYC,313.3,314.66,309.78,313.31,18434
2021-06-04,PAYC,319.65,320.36,314.84,315.8,17924
2021-06-07,PAYC,312.24,317.78,311.77,313.8,19337
2021-06-08,PAYC,316.27,322.89,316.27,319.91,13039
2021-06-09,PAYC,322.54,325.84,321.34,321.69,9570
