date,tic,open,high,low,close,volume
2021-01-04,PAYX,81.07,81.07,77.55,78.52,104737
2021-01-05,PAYX,78.69,78.69,77.8,78.15,40068
2021-01-06,PAYX,78.27,79.94,78.11,79.22,65192
2021-01-07,PAYX,79.08,79.69,78.68,79.54,50667
2021-01-08,PAYX,79.68,80.32,79.37,79.97,50030
2021-01-11,PAYX,79.73,79.86,78.8,79.06,25845
2021-01-12,PAYX,78.74,79.11,77.79,78.86,67373
2021-01-13,PAYX,78.51,78.51,77.68,77.87,71756
2021-01-14,PAYX,77.91,77.91,76.41,76.56,58183
2021-01-15,PAYX,76.09,76.91,75.65,76.83,62952
2021-01-19,PAYX,77.28,77.28,76.54,76.76,70749
2021-01-20,PAYX,76.74,77.86,76.38,77.66,51379
2021-01-21,PAYX,77.56,77.66,75.87,76.09,99218
2021-01-22,PAYX,75.6,75.98,75.12,75.46,40375
2021-01-25,PAYX,75.2,75.84,74.38,75.53,80334
2021-01-26,PAYX,75.66,76.48,75.25,75.89,72426
2021-01-27,PAYX,74.93,76.58,74.13,75.82,158004
2021-01-28,PAYX,76.38,78.3,76.38,77.54,137885
2021-01-29,PAYX,77.0,77.0,75.52,76.41,86193
2021-02-01,PAYX,76.62,78.75,76.62,78.14,73193
2021-02-02,PAYX,78.59,79.63,77.83,79.26,77746
2021-02-03,PAYX,78.82,79.0,78.0,78.72,74025
2021-02-04,PAYX,79.09,80.14,78.71,80.14,48695
2021-02-05,PAYX,80.47,80.59,80.01,80.16,47717
2021-02-08,PAYX,79.82,80.37,79.82,80.23,67095
2021-02-09,PAYX,80.19,80.19,79.48,79.5,68629
2021-02-10,PAYX,80.0,80.0,79.13,79.15,38938
2021-02-11,PAYX,79.07,79.7,78.84,78.93,70314
2021-02-12,PAYX,78.61,78.79,77.74,78.19,72282
2021-02-16,PAYX,78.16,78.22,77.24,77.73,173545
2021-02-17,PAYX,77.23,78.2,76.77,77.84,132223
2021-02-18,PAYX,77.79,80.52,77.72,80.08,166163
2021-02-19,PAYX,80.05,80.05,78.64,78.93,87385
2021-02-22,PAYX,78.5,79.91,78.08,79.12,68918
2021-02-23,PAYX,78.88,80.25,78.3,79.51,108505
2021-02-24,PAYX,78.85,81.98,78.25,81.72,85539
2021-02-25,PAYX,81.28,82.06,79.68,80.0,78603
2021-02-26,PAYX,80.18,80.48,79.04,79.7,63590
2021-03-01,PAYX,80.36,81.95,79.85,81.15,66927
2021-03-02,PAYX,81.33,81.5,80.33,80.58,47217
2021-03-03,PAYX,79.93,80.37,79.1,79.22,69895
2021-03-04,PAYX,78.88,80.03,77.66,78.1,88667
2021-03-05,PAYX,78.93,80.92,78.16,80.58,189644
2021-03-08,PAYX,80.55,82.68,80.14,81.6,77836
2021-03-09,PAYX,82.46,83.59,82.3,82.72,88946
2021-03-10,PAYX,83.04,83.44,82.53,82.83,116782
2021-03-11,PAYX,83.42,84.28,83.11,83.33,73809
2021-03-12,PAYX,83.09,83.42,82.54,83.37,50198
2021-03-15,PAYX,83.6,85.59,83.49,85.54,60439
2021-03-16,PAYX,85.59,86.2,85.22,85.8,93984
2021-03-17,PAYX,85.03,86.32,84.67,85.7,80650
2021-03-18,PAYX,85.2,86.04,84.77,85.15,93896
2021-03-19,PAYX,85.33,85.35,83.83,83.83,100960
2021-03-22,PAYX,83.76,84.65,83.62,84.58,54532
2021-03-23,PAYX,84.84,84.93,83.75,84.17,61839
2021-03-24,PAYX,84.18,86.22,84.18,84.88,83982
2021-03-25,PAYX,84.94,86.21,84.55,86.05,59372
2021-03-26,PAYX,85.86,88.37,85.77,88.36,80998
2021-03-29,PAYX,87.84,88.22,86.75,87.69,56166
2021-03-30,PAYX,87.76,87.93,85.99,86.76,60109
2021-03-31,PAYX,86.99,87.27,85.66,85.78,83721
2021-04-01,PAYX,85.27,86.65,85.27,86.35,142623
2021-04-05,PAYX,87.1,88.51,87.04,87.78,104544
2021-04-06,PAYX,83.14,83.81,81.39,83.49,203945
2021-04-07,PAYX,83.47,84.57,82.79,83.0,75367
2021-04-08,PAYX,83.61,84.39,83.17,84.04,112399
2021-04-09,PAYX,84.14,84.45,83.31,84.32,76685
2021-04-12,PAYX,84.49,84.49,83.41,83.88,52376
2021-04-13,PAYX,83.86,84.48,83.24,84.26,53644
2021-04-14,PAYX,84.05,85.07,83.6,84.68,48223
2021-04-15,PAYX,84.95,85.2,84.15,84.15,77635
2021-04-16,PAYX,84.75,85.38,84.24,85.35,104464
2021-04-19,PAYX,85.02,85.03,83.98,84.36,70083
2021-04-20,PAYX,84.45,85.47,84.45,85.39,54756
2021-04-21,PAYX,85.71,86.03,85.21,85.98,51863
