date,tic,open,high,low,close,volume
2021-01-04,PCAR,47.88,48.31,46.66,46.94,143869
2021-01-05,PCAR,46.75,47.39,46.63,47.26,97086
2021-01-06,PCAR,47.49,49.77,47.49,49.15,195654
2021-01-07,PCAR,48.9,49.69,48.55,48.91,127746
2021-01-08,PCAR,49.14,49.18,47.93,48.61,109174
2021-01-11,PCAR,48.21,48.84,48.21,48.84,42018
2021-01-12,PCAR,48.85,49.62,48.57,49.55,77098
2021-01-13,PCAR,49.65,49.68,48.78,49.23,97845
2021-01-14,PCAR,49.3,49.73,49.11,49.46,96786
2021-01-15,PCAR,48.86,48.86,47.86,48.77,65434
2021-01-19,PCAR,48.79,49.49,48.79,49.37,116035
2021-01-20,PCAR,50.86,51.44,49.36,49.48,204705
2021-01-21,PCAR,51.47,57.11,50.87,54.65,628837
2021-01-22,PCAR,54.27,55.73,53.96,54.77,294211
2021-01-25,PCAR,55.9,56.29,54.05,54.21,289380
2021-01-26,PCAR,53.18,54.31,52.07,54.15,428934
2021-01-27,PCAR,53.91,54.53,52.72,53.28,251706
2021-01-28,PCAR,53.94,54.73,51.79,51.83,180780
2021-01-29,PCAR,51.41,51.82,49.67,50.45,257289
2021-02-01,PCAR,50.83,51.01,50.17,50.51,122278
2021-02-02,PCAR,50.98,51.09,49.85,50.85,127035
2021-02-03,PCAR,51.26,53.16,51.11,52.93,238302
2021-02-04,PCAR,53.76,54.22,53.02,53.72,165706
2021-02-05,PCAR,54.22,54.44,53.21,53.45,82123
2021-02-08,PCAR,53.93,53.94,53.23,53.72,118080
2021-02-09,PCAR,53.9,55.36,53.48,55.21,98868
2021-02-10,PCAR,55.48,56.25,54.8,55.27,114853
2021-02-11,PCAR,55.5,55.59,53.64,54.75,89793
2021-02-12,PCAR,54.57,54.98,53.61,54.43,120597
2021-02-16,PCAR,54.75,54.75,53.46,53.94,145896
2021-02-17,PCAR,53.3,53.61,52.52,53.34,131905
2021-02-18,PCAR,52.81,52.88,51.87,52.64,100446
2021-02-19,PCAR,53.02,53.36,52.53,52.83,99613
2021-02-22,PCAR,52.68,53.04,52.02,52.58,87519
2021-02-23,PCAR,52.27,52.44,50.74,51.82,216573
2021-02-24,PCAR,51.02,52.38,50.95,52.33,177564
2021-02-25,PCAR,52.34,52.6,51.19,51.53,125070
2021-02-26,PCAR,51.61,51.61,50.45,50.49,178404
2021-03-01,PCAR,51.33,52.56,50.96,52.0,95115
2021-03-02,PCAR,52.22,52.54,51.58,52.31,107977
2021-03-03,PCAR,52.13,53.53,51.86,52.83,112330
2021-03-04,PCAR,52.75,53.31,50.79,51.33,160168
2021-03-05,PCAR,51.7,52.36,50.07,52.27,167161
2021-03-08,PCAR,51.81,52.63,51.35,51.82,140056
2021-03-09,PCAR,52.08,53.8,52.08,52.87,143094
2021-03-10,PCAR,53.44,54.18,53.2,53.64,109329
2021-03-11,PCAR,53.99,54.53,53.61,54.31,71904
