date,tic,open,high,low,close,volume
2021-01-04,PCG,12.38,12.41,12.11,12.11,336608
2021-01-05,PCG,12.23,12.28,12.11,12.27,265142
2021-01-06,PCG,12.29,12.35,12.12,12.27,246459
2021-01-07,PCG,12.25,12.33,12.11,12.2,368435
2021-01-08,PCG,12.23,12.25,12.07,12.14,399842
2021-01-11,PCG,12.01,12.11,11.9,12.11,461599
2021-01-12,PCG,12.01,12.12,11.99,12.11,178352
2021-01-13,PCG,12.09,12.09,11.95,11.97,103822
2021-01-14,PCG,12.06,12.1,11.71,11.75,222266
2021-01-15,PCG,11.85,12.32,11.85,12.14,806838
2021-01-19,PCG,12.2,12.2,11.85,11.94,447441
2021-01-20,PCG,11.95,12.14,11.84,12.12,818859
2021-01-21,PCG,12.06,12.08,11.84,11.88,320250
2021-01-22,PCG,11.81,11.83,11.45,11.63,382608
2021-01-25,PCG,11.62,11.69,11.25,11.27,395171
2021-01-26,PCG,11.27,11.46,10.84,10.97,333782
2021-01-27,PCG,10.82,10.88,10.54,10.71,678193
2021-01-28,PCG,10.71,11.48,10.71,11.45,379572
2021-01-29,PCG,11.38,11.57,11.26,11.34,392611
2021-02-01,PCG,11.33,11.6,11.09,11.39,269577
2021-02-02,PCG,11.34,11.67,11.34,11.63,149417
2021-02-03,PCG,11.65,11.87,11.6,11.87,243657
2021-02-04,PCG,11.91,11.93,11.62,11.9,441092
2021-02-05,PCG,11.93,11.93,11.74,11.75,124926
2021-02-08,PCG,11.74,11.82,11.64,11.79,117879
2021-02-09,PCG,11.8,11.8,11.58,11.67,263775
2021-02-10,PCG,11.73,12.0,11.73,11.97,193914
2021-02-11,PCG,11.95,12.07,11.71,11.9,221022
2021-02-12,PCG,11.83,11.9,11.68,11.7,130250
2021-02-16,PCG,11.65,11.8,11.59,11.7,169489
2021-02-17,PCG,11.66,11.7,11.48,11.61,207842
2021-02-18,PCG,11.54,11.7,11.37,11.67,288575
2021-02-19,PCG,11.68,11.85,11.48,11.49,183552
2021-02-22,PCG,11.51,11.52,11.17,11.32,677659
2021-02-23,PCG,11.33,11.34,11.02,11.13,393804
2021-02-24,PCG,11.18,11.45,11.15,11.31,318183
2021-02-25,PCG,11.3,11.49,10.63,10.79,665576
2021-02-26,PCG,10.76,10.91,10.42,10.45,497009
2021-03-01,PCG,10.58,11.04,10.57,10.88,387833
2021-03-02,PCG,10.9,10.94,10.68,10.78,313433
2021-03-03,PCG,10.78,10.83,10.62,10.66,260020
2021-03-04,PCG,10.79,10.79,10.43,10.64,350506
2021-03-05,PCG,10.61,10.79,10.24,10.77,513507
2021-03-08,PCG,10.79,11.24,10.73,11.06,594765
2021-03-09,PCG,11.17,11.34,11.04,11.25,427263
2021-03-10,PCG,11.29,11.4,11.28,11.37,293879
2021-03-11,PCG,11.36,11.55,11.29,11.36,388486
2021-03-12,PCG,11.39,11.52,11.31,11.41,291488
2021-03-15,PCG,11.5,11.75,11.47,11.75,656919
2021-03-16,PCG,11.72,11.79,11.47,11.77,266450
2021-03-17,PCG,11.65,11.78,11.58,11.7,216502
2021-03-18,PCG,11.62,11.63,11.17,11.21,452593
2021-03-19,PCG,11.3,11.47,11.1,11.19,967024
2021-03-22,PCG,11.1,11.14,10.96,11.02,421104
2021-03-23,PCG,11.04,11.09,10.8,10.83,493912
2021-03-24,PCG,10.87,11.66,10.83,11.19,924429
2021-03-25,PCG,11.24,11.82,11.22,11.8,502561
2021-03-26,PCG,11.74,11.98,11.68,11.98,290797
2021-03-29,PCG,11.95,11.95,11.41,11.42,189326
2021-03-30,PCG,11.37,11.5,11.33,11.4,213787
2021-03-31,PCG,11.47,11.72,11.45,11.61,426160
2021-04-01,PCG,11.63,11.63,11.32,11.41,274559
2021-04-05,PCG,11.55,11.75,11.46,11.57,365217
2021-04-06,PCG,11.48,11.56,11.23,11.34,807724
2021-04-07,PCG,11.3,11.4,11.18,11.25,380648
2021-04-08,PCG,11.25,11.31,11.17,11.19,328528
2021-04-09,PCG,11.24,11.48,11.23,11.41,341397
2021-04-12,PCG,11.4,11.57,11.39,11.48,376444
2021-04-13,PCG,11.3,11.61,11.17,11.55,288558
2021-04-14,PCG,11.53,11.78,11.51,11.69,610544
2021-04-15,PCG,11.67,11.78,11.59,11.76,393624
2021-04-16,PCG,11.79,11.87,11.47,11.49,530982
2021-04-20,PCG,11.06,11.2,10.97,11.1,344449
2021-04-21,PCG,11.06,11.09,10.9,11.05,240205
2021-04-22,PCG,11.18,11.18,10.88,10.91,439381
2021-04-23,PCG,10.85,10.99,10.74,10.88,415105
2021-04-26,PCG,10.91,10.91,10.71,10.71,516838
2021-04-27,PCG,10.73,10.74,10.53,10.55,656638
2021-04-28,PCG,10.6,10.72,10.49,10.7,786428
2021-04-29,PCG,10.69,10.79,10.28,10.71,1350001
2021-04-30,PCG,10.66,11.22,10.65,11.22,785331
2021-05-03,PCG,11.21,11.39,11.11,11.34,430197
2021-05-04,PCG,11.38,11.39,10.98,11.24,526694
2021-05-05,PCG,11.23,11.23,10.88,10.89,383952
2021-05-06,PCG,10.95,10.97,10.71,10.85,272287
2021-05-07,PCG,10.84,11.04,10.77,10.85,392004
2021-05-10,PCG,10.92,11.0,10.77,10.78,303104
2021-05-11,PCG,10.69,10.82,10.6,10.81,250723
2021-05-12,PCG,10.78,10.78,10.39,10.39,252654
2021-05-13,PCG,10.46,10.59,10.39,10.55,275458
2021-05-14,PCG,10.68,10.85,10.59,10.71,359898
2021-05-17,PCG,10.68,10.84,10.65,10.72,176308
2021-05-18,PCG,10.75,10.75,10.44,10.71,659639
2021-05-19,PCG,10.53,10.57,10.25,10.45,366086
2021-05-20,PCG,10.44,10.56,10.24,10.32,331667
2021-05-21,PCG,10.24,10.36,10.15,10.19,373150
2021-05-24,PCG,10.26,10.52,10.26,10.49,310086
2021-05-25,PCG,10.45,10.46,9.946,9.981,413108
2021-05-26,PCG,9.986,10.11,9.857,9.941,746434
2021-05-27,PCG,9.966,9.966,9.817,9.842,319039
2021-05-28,PCG,9.877,10.1,9.867,10.08,413032
2021-06-01,PCG,10.1,10.12,9.862,10.08,491274
2021-06-02,PCG,10.07,10.17,10.04,10.14,352031
2021-06-03,PCG,10.11,10.37,10.06,10.33,307020
2021-06-04,PCG,10.36,10.36,10.24,10.29,291725
2021-06-07,PCG,10.3,10.37,10.17,10.21,425917
2021-06-08,PCG,10.22,10.24,10.13,10.14,267101
2021-06-09,PCG,10.15,10.27,10.13,10.19,290281
2021-06-10,PCG,10.23,10.46,10.22,10.41,244802
2021-06-11,PCG,10.36,10.42,10.29,10.42,265092
2021-06-14,PCG,10.43,10.64,10.41,10.55,203531
2021-06-15,PCG,10.52,10.58,10.37,10.44,361580
2021-06-16,PCG,10.42,10.47,10.12,10.14,351786
2021-06-17,PCG,10.15,10.17,10.03,10.16,259057
2021-06-18,PCG,10.14,10.19,10.04,10.11,632940
2021-06-21,PCG,10.11,10.18,9.897,10.18,247377
2021-06-22,PCG,10.17,10.17,10.01,10.03,231068
2021-06-23,PCG,10.02,10.04,9.936,9.976,99539
2021-06-24,PCG,10.04,10.07,9.907,9.912,255552
2021-06-25,PCG,9.927,10.12,9.927,10.09,245380
2021-06-28,PCG,10.12,10.26,9.922,10.26,412755
2021-06-29,PCG,10.21,10.26,9.986,10.02,448590
2021-06-30,PCG,10.06,10.14,10.03,10.09,144476
2021-07-01,PCG,10.11,10.27,9.996,10.25,327871
2021-07-02,PCG,10.28,10.37,10.23,10.33,220679
2021-07-06,PCG,10.29,10.43,10.23,10.41,277965
2021-07-07,PCG,10.43,10.43,10.23,10.27,247852
2021-07-08,PCG,10.14,10.31,10.02,10.08,173817
2021-07-09,PCG,10.1,10.31,10.1,10.28,302490
2021-07-12,PCG,10.23,10.23,10.05,10.12,127647
2021-07-13,PCG,10.1,10.18,9.867,9.927,242756
2021-07-14,PCG,9.887,9.986,9.743,9.847,232154
2021-07-15,PCG,9.788,9.941,9.703,9.877,254871
2021-07-16,PCG,9.946,9.946,9.713,9.713,163612
2021-07-19,PCG,9.599,9.659,9.079,9.143,560665
2021-07-20,PCG,9.173,9.46,9.094,9.356,420983
2021-07-21,PCG,9.46,9.649,9.366,9.416,412738
2021-07-22,PCG,9.436,9.51,9.168,9.242,383294
2021-07-23,PCG,9.312,9.341,9.034,9.138,278429
2021-07-26,PCG,9.123,9.123,8.419,8.677,1060005
2021-07-27,PCG,8.662,8.94,8.538,8.905,468843
2021-07-28,PCG,8.994,9.193,8.91,9.079,940080
2021-07-29,PCG,9.103,9.232,8.885,9.009,957755
2021-07-30,PCG,8.925,9.163,8.672,8.712,457043
2021-08-02,PCG,8.811,9.064,8.811,8.875,256201
2021-08-03,PCG,8.945,8.945,8.707,8.915,400247
