date,tic,open,high,low,close,volume
2021-01-04,PDD,176.27,176.47,166.2,166.95,414540
2021-01-05,PDD,172.5,187.38,171.27,187.155,406025
2021-01-06,PDD,184.35,187.58,176.03,176.68,415180
2021-01-07,PDD,183.05,184.58,176.61,180.02,244646
2021-01-08,PDD,182.68,186.39,174.6,180.78,333548
2021-01-11,PDD,170.94,174.87,162.26,172.58,350430
2021-01-12,PDD,169.47,172.285,168.0,169.38,158127
2021-01-13,PDD,173.0,173.0,160.32,164.75,380510
2021-01-14,PDD,170.15,172.23,164.48,167.26,230786
2021-01-15,PDD,162.61,164.55,157.92,161.21,287457
2021-01-19,PDD,166.89,173.0,166.73,168.98,260896
2021-01-20,PDD,175.42,181.7,170.24,171.2,313244
2021-01-21,PDD,170.465,173.98,167.54,172.75,184683
2021-01-22,PDD,172.53,172.68,168.55,171.97,244884
2021-01-25,PDD,181.36,195.04,179.74,180.37,733540
2021-01-26,PDD,181.02,181.05,172.58,173.95,672062
2021-01-27,PDD,169.95,173.09,165.9,166.3,257763
2021-01-28,PDD,168.87,174.47,165.0,169.44,211106
2021-01-29,PDD,170.435,175.28,165.31,165.62,329683
2021-02-01,PDD,173.56,179.35,169.54,173.97,256090
2021-02-02,PDD,180.755,185.19,177.03,181.89,246406
2021-02-03,PDD,184.66,198.82,184.66,193.02,446730
2021-02-04,PDD,199.33,204.56,194.2,197.23,231588
2021-02-05,PDD,197.63,202.73,191.91,196.16,158128
2021-02-08,PDD,196.22,199.3,187.54,188.29,170821
2021-02-09,PDD,191.27,195.3,188.44,189.7,181875
2021-02-10,PDD,197.0,204.2,193.16,199.72,272590
2021-02-11,PDD,203.095,208.0,198.65,199.93,178442
2021-02-12,PDD,197.49,202.9,196.06,196.57,122165
2021-02-16,PDD,211.11,212.13,202.45,202.575,313356
2021-02-17,PDD,203.47,209.59,200.1,202.8,194271
2021-02-18,PDD,197.99,198.92,192.07,195.81,179825
