date,tic,open,high,low,close,volume
2021-01-04,PEP,126.06,126.59,121.75,123.68,248983
2021-01-05,PEP,123.44,124.47,122.56,124.15,134686
2021-01-06,PEP,121.57,123.13,121.48,122.62,267812
2021-01-07,PEP,122.38,122.75,121.05,122.1,194634
2021-01-08,PEP,122.06,123.82,121.63,123.74,117771
2021-01-11,PEP,123.27,123.72,121.55,121.88,113452
2021-01-12,PEP,121.44,121.75,119.62,121.31,204767
2021-01-13,PEP,121.29,122.74,121.12,122.33,150039
2021-01-14,PEP,121.69,122.14,121.04,121.66,232891
2021-01-15,PEP,121.3,122.21,120.57,121.24,129128
2021-01-19,PEP,122.09,122.25,121.38,121.86,201856
2021-01-20,PEP,120.91,121.56,120.02,121.34,199632
2021-01-21,PEP,120.51,120.51,118.99,119.72,210741
2021-01-22,PEP,119.52,119.63,118.54,118.89,140018
2021-01-25,PEP,118.41,120.3,118.05,120.17,163522
2021-01-26,PEP,120.99,121.83,119.87,121.64,212608
2021-01-27,PEP,120.35,121.97,117.99,118.32,262807
2021-01-28,PEP,118.91,120.72,118.15,119.26,183862
2021-01-29,PEP,118.43,118.71,116.66,117.17,235266
2021-02-01,PEP,117.35,118.3,116.55,117.51,202555
2021-02-02,PEP,117.75,119.63,117.25,118.76,134068
2021-02-03,PEP,118.39,119.14,117.54,118.4,202598
2021-02-04,PEP,118.38,119.85,118.22,119.84,158732
2021-02-05,PEP,120.36,121.84,120.13,120.88,134140
2021-02-08,PEP,121.15,121.6,119.68,120.45,179060
2021-02-09,PEP,120.35,120.5,119.62,119.73,103326
2021-02-10,PEP,120.53,120.53,117.28,117.95,229453
2021-02-11,PEP,118.51,118.51,115.21,115.78,356500
2021-02-12,PEP,115.88,116.26,114.44,114.8,242124
2021-02-16,PEP,115.09,115.58,114.42,115.32,158358
2021-02-17,PEP,115.02,115.82,114.8,115.26,196649
2021-02-18,PEP,115.03,116.34,114.86,116.03,137656
2021-02-19,PEP,115.86,115.87,113.46,113.59,144632
2021-02-22,PEP,113.5,113.7,112.14,113.16,157483
2021-02-23,PEP,113.72,115.19,112.63,113.87,258714
2021-02-24,PEP,112.78,113.41,112.54,113.3,139139
2021-02-25,PEP,112.63,113.21,111.31,111.48,243792
2021-02-26,PEP,112.15,112.18,110.26,110.91,292792
2021-03-01,PEP,112.0,113.13,111.77,111.98,269222
2021-03-02,PEP,111.9,113.2,111.8,112.34,248431
2021-03-03,PEP,111.49,111.92,110.69,110.69,290796
2021-03-04,PEP,111.63,113.86,110.93,111.15,258368
2021-03-05,PEP,111.97,115.3,111.74,115.3,516573
2021-03-08,PEP,115.24,115.97,114.08,114.1,315510
2021-03-09,PEP,114.73,115.73,114.12,114.31,333307
2021-03-10,PEP,114.58,116.2,112.85,115.44,509486
2021-03-11,PEP,115.25,116.3,115.05,115.18,163433
2021-03-12,PEP,115.22,115.61,114.67,114.96,209483
2021-03-15,PEP,115.39,115.47,114.06,114.94,240672
2021-03-16,PEP,115.02,116.31,114.78,115.86,222165
2021-03-17,PEP,115.98,116.29,115.29,115.4,217354
2021-03-18,PEP,114.4,115.01,113.6,114.53,224767
2021-03-19,PEP,114.36,116.35,114.25,116.29,385405
2021-03-22,PEP,117.25,119.43,116.84,119.08,295591
2021-03-23,PEP,119.72,121.15,119.6,120.56,294644
2021-03-24,PEP,120.14,121.05,119.99,119.99,171773
2021-03-25,PEP,120.59,121.2,119.6,120.71,204777
2021-03-26,PEP,120.63,123.59,120.31,123.48,240177
2021-03-29,PEP,123.49,125.27,123.12,125.14,267679
2021-03-30,PEP,124.41,125.06,122.85,123.09,152606
2021-03-31,PEP,123.65,123.76,122.02,122.26,149633
2021-04-01,PEP,122.03,122.99,121.11,122.11,137685
2021-04-05,PEP,122.24,124.72,122.24,123.81,137317
2021-04-06,PEP,123.62,124.63,123.24,124.16,192515
2021-04-07,PEP,124.35,124.5,123.63,124.01,181954
2021-04-08,PEP,124.18,124.55,122.78,123.19,218351
2021-04-09,PEP,122.94,123.7,122.41,123.19,145931
2021-04-12,PEP,122.9,123.95,122.86,123.63,219701
2021-04-13,PEP,123.01,124.39,123.01,123.63,136448
2021-04-14,PEP,123.09,123.25,122.08,122.86,171724
2021-04-15,PEP,122.53,123.68,122.36,122.98,256534
2021-04-16,PEP,123.9,124.72,123.19,124.63,157747
2021-04-19,PEP,124.78,125.82,123.85,125.02,249921
2021-04-20,PEP,124.74,126.74,124.48,125.89,213708
2021-04-21,PEP,127.41,127.72,126.37,126.99,243543
2021-04-22,PEP,126.63,126.68,125.67,126.22,143344
2021-04-23,PEP,125.91,126.48,125.4,126.1,150896
2021-04-26,PEP,125.9,125.9,123.6,123.93,167439
2021-04-27,PEP,123.26,123.67,122.85,123.57,146135
2021-04-28,PEP,123.92,124.16,122.5,122.54,151544
2021-04-29,PEP,122.74,124.82,122.71,124.42,172943
2021-04-30,PEP,124.06,124.62,123.22,124.62,134203
2021-05-03,PEP,125.23,126.85,124.58,126.06,154180
2021-05-04,PEP,126.01,126.84,124.04,124.41,248669
2021-05-05,PEP,124.26,124.94,124.06,124.33,239597
2021-05-06,PEP,124.71,126.14,124.62,125.75,150392
2021-05-07,PEP,125.38,126.16,125.01,125.82,120434
2021-05-10,PEP,126.41,127.9,126.41,126.91,202441
2021-05-11,PEP,127.2,127.52,125.34,125.93,165481
2021-05-12,PEP,125.12,125.97,124.38,124.66,190950
2021-05-13,PEP,124.66,127.14,124.13,126.58,199634
2021-05-14,PEP,127.27,127.75,126.55,126.8,149332
2021-05-17,PEP,126.98,127.39,125.96,126.28,105529
2021-05-18,PEP,126.54,127.0,125.61,125.72,139843
2021-05-19,PEP,125.02,125.82,124.57,125.74,127263
2021-05-20,PEP,125.51,127.67,125.51,127.24,132825
2021-05-21,PEP,127.78,128.09,126.65,127.15,136540
2021-05-24,PEP,127.57,128.22,127.06,127.8,115484
2021-05-25,PEP,127.8,128.24,127.08,128.2,147496
2021-05-26,PEP,128.01,128.49,127.68,128.14,146246
2021-05-27,PEP,128.38,128.54,126.67,126.74,155546
2021-05-28,PEP,127.4,128.34,127.32,127.94,175704
2021-06-01,PEP,128.59,128.62,127.13,127.59,171444
2021-06-02,PEP,128.0,128.36,127.28,128.11,128124
2021-06-03,PEP,127.39,128.62,127.27,128.61,149793
2021-06-04,PEP,128.89,129.34,128.4,128.74,209726
2021-06-07,PEP,128.6,129.02,127.75,128.64,140378
2021-06-08,PEP,128.74,128.74,127.04,127.43,339950
2021-06-09,PEP,128.05,128.47,127.18,127.2,112409
2021-06-10,PEP,127.39,128.85,127.23,128.5,102748
2021-06-11,PEP,128.72,128.75,127.81,128.59,89329
2021-06-14,PEP,128.28,129.35,127.83,129.35,148078
2021-06-15,PEP,129.64,129.86,128.92,129.39,175977
2021-06-16,PEP,129.59,129.96,127.79,128.07,224351
2021-06-17,PEP,128.18,129.71,127.94,129.29,288649
2021-06-18,PEP,128.38,128.48,126.46,126.5,172560
2021-06-21,PEP,127.36,127.74,126.66,127.61,158359
2021-06-22,PEP,127.82,128.39,127.37,127.74,70405
2021-06-23,PEP,127.16,127.16,126.09,126.11,125813
2021-06-24,PEP,126.31,127.05,125.94,126.86,196834
2021-06-25,PEP,126.67,127.8,126.49,127.41,95959
2021-06-28,PEP,127.71,128.47,127.68,128.04,165950
2021-06-29,PEP,128.3,128.34,127.5,127.92,165585
2021-06-30,PEP,128.35,129.11,128.16,129.07,201245
2021-07-01,PEP,128.9,129.71,128.81,129.04,142268
2021-07-02,PEP,129.62,130.35,129.45,129.57,124264
2021-07-06,PEP,129.77,130.05,128.69,129.83,147739
2021-07-07,PEP,129.77,131.16,129.77,130.38,90481
2021-07-08,PEP,130.32,131.16,129.9,130.39,122016
2021-07-09,PEP,130.46,130.8,129.88,130.1,133948
2021-07-12,PEP,130.2,130.4,129.53,130.23,162282
2021-07-13,PEP,131.52,133.99,131.26,133.2,268810
2021-07-14,PEP,133.12,135.07,133.09,134.54,249052
2021-07-15,PEP,134.59,135.25,133.43,135.16,164238
2021-07-16,PEP,135.54,136.49,135.05,135.68,148247
2021-07-19,PEP,135.55,137.13,134.75,135.54,220079
2021-07-20,PEP,135.99,136.92,135.45,135.77,218813
2021-07-21,PEP,135.62,135.92,134.57,135.14,125182
2021-07-22,PEP,135.02,135.6,134.06,135.14,169529
2021-07-23,PEP,135.48,137.34,135.21,136.86,106693
2021-07-26,PEP,136.69,137.1,135.85,136.76,127844
2021-07-27,PEP,136.91,138.11,136.73,137.53,109334
2021-07-28,PEP,137.16,137.48,135.77,136.21,114475
2021-07-29,PEP,136.77,136.99,136.01,136.51,118304
2021-07-30,PEP,137.06,137.21,136.38,136.56,104538
2021-08-02,PEP,136.77,136.78,135.46,136.12,81616
2021-08-03,PEP,136.28,136.78,136.17,136.47,98487
2021-08-04,PEP,135.98,136.34,134.03,134.13,116399
2021-08-05,PEP,134.74,135.07,133.98,134.34,104750
2021-08-06,PEP,133.87,134.72,133.77,134.33,105712
2021-08-09,PEP,134.68,134.74,133.83,134.4,65996
2021-08-10,PEP,134.34,135.17,134.13,134.46,69665
2021-08-11,PEP,134.69,135.82,134.51,134.97,140750
2021-08-12,PEP,135.14,135.17,134.62,135.01,48103
2021-08-13,PEP,134.92,136.39,134.89,136.29,49695
2021-08-16,PEP,136.76,137.6,136.46,137.59,82650
2021-08-17,PEP,137.44,137.91,136.9,137.46,76919
2021-08-18,PEP,137.23,137.72,135.99,136.02,88482
2021-08-19,PEP,135.66,138.77,135.66,138.33,187765
2021-08-20,PEP,138.31,138.91,137.81,137.84,111074
2021-08-23,PEP,137.13,137.95,137.13,137.43,51855
2021-08-24,PEP,137.23,137.23,135.55,135.69,91277
2021-08-25,PEP,135.34,135.45,134.24,135.14,88803
2021-08-26,PEP,135.38,135.38,134.17,134.64,82411
2021-08-27,PEP,134.56,135.29,134.27,134.89,78483
2021-08-30,PEP,135.13,135.95,134.97,135.85,109495
2021-08-31,PEP,135.76,136.21,135.29,136.16,135306
2021-09-01,PEP,136.56,137.72,136.27,137.5,105342
2021-09-02,PEP,137.46,137.85,136.67,137.58,64423
2021-09-03,PEP,137.25,137.96,136.67,137.68,46183
2021-09-07,PEP,137.41,137.41,134.77,135.5,105953
2021-09-08,PEP,135.57,137.39,135.36,137.39,103947
2021-09-09,PEP,137.57,137.57,136.23,136.52,63570
2021-09-10,PEP,136.72,136.95,135.88,136.29,53341
2021-09-13,PEP,136.81,137.87,136.24,136.6,57552
2021-09-14,PEP,137.07,137.29,135.73,135.96,85798
2021-09-15,PEP,136.06,137.06,135.74,136.76,78426
2021-09-16,PEP,136.01,136.84,134.83,136.33,179765
2021-09-17,PEP,135.87,135.97,134.86,135.07,89274
2021-09-20,PEP,134.57,135.81,133.65,134.64,140043
2021-09-21,PEP,135.02,136.83,134.1,134.62,98723
2021-09-22,PEP,134.94,135.92,134.53,134.99,76401
2021-09-23,PEP,134.77,135.75,134.71,135.09,76222
2021-09-24,PEP,134.92,135.48,134.62,135.19,60930
2021-09-27,PEP,134.76,135.08,133.61,133.89,107576
2021-09-28,PEP,133.36,133.65,131.64,132.42,141826
2021-09-29,PEP,132.21,134.26,132.18,133.53,88326
2021-09-30,PEP,134.32,134.48,131.87,131.87,103238
2021-10-01,PEP,132.53,132.87,131.08,132.27,112927
2021-10-04,PEP,132.15,133.48,131.06,131.71,215063
2021-10-05,PEP,132.63,133.55,131.57,132.38,170744
2021-10-06,PEP,132.01,136.0,131.48,135.86,190037
2021-10-07,PEP,136.63,138.27,136.39,137.1,160748
2021-10-08,PEP,137.29,137.35,136.3,136.69,84446
2021-10-11,PEP,136.97,137.78,136.49,137.0,79804
2021-10-12,PEP,136.95,138.33,136.95,137.58,91538
2021-10-13,PEP,138.1,138.53,136.78,138.5,299861
2021-10-14,PEP,139.14,139.8,139.14,139.66,178753
2021-10-15,PEP,139.81,139.84,138.07,139.2,89543
2021-10-18,PEP,138.79,139.07,137.51,138.58,70821
2021-10-19,PEP,138.73,140.38,138.1,140.34,139993
2021-10-20,PEP,140.44,141.87,140.33,141.34,96924
2021-10-21,PEP,141.39,141.46,139.37,139.44,131045
2021-10-22,PEP,140.06,140.61,139.87,140.21,160457
2021-10-25,PEP,139.99,140.13,139.2,139.55,81591
2021-10-26,PEP,139.53,141.46,139.52,141.28,108830
2021-10-27,PEP,141.68,141.81,139.88,140.81,86128
2021-10-28,PEP,140.77,141.73,140.77,141.62,96022
2021-10-29,PEP,141.43,142.09,141.08,141.66,116116
2021-11-01,PEP,141.32,141.53,140.44,141.37,80803
2021-11-02,PEP,141.61,142.68,141.14,142.68,93503
2021-11-03,PEP,142.39,144.09,142.25,144.01,93003
2021-11-04,PEP,143.9,144.18,143.34,143.97,80021
2021-11-05,PEP,144.98,145.84,144.27,145.51,103041
2021-11-08,PEP,145.37,145.37,141.34,142.39,101309
2021-11-09,PEP,142.27,143.59,142.06,143.35,114879
2021-11-10,PEP,144.59,144.59,142.92,143.78,69543
2021-11-11,PEP,143.71,143.71,142.51,142.57,68852
2021-11-12,PEP,142.89,143.64,142.09,142.56,83669
2021-11-15,PEP,142.63,143.6,142.51,143.6,196915
2021-11-16,PEP,144.02,144.59,143.12,143.19,109900
2021-11-17,PEP,142.86,143.44,142.19,143.16,61620
2021-11-18,PEP,142.64,143.33,141.97,143.25,114233
2021-11-19,PEP,143.92,144.59,143.28,143.66,64638
2021-11-22,PEP,143.04,146.19,143.04,143.91,150037
2021-11-23,PEP,143.65,145.18,143.17,144.85,113507
2021-11-24,PEP,145.04,145.04,142.58,143.54,61420
2021-11-26,PEP,142.81,143.36,141.03,141.16,123969
2021-11-29,PEP,142.25,144.26,141.25,143.85,151331
2021-11-30,PEP,143.69,143.73,139.96,139.96,138956
2021-12-01,PEP,142.42,142.96,140.31,140.34,110768
2021-12-02,PEP,141.37,142.67,141.05,141.8,142397
2021-12-03,PEP,142.4,145.46,142.37,145.21,189256
2021-12-06,PEP,146.61,147.6,146.35,146.86,179197
2021-12-07,PEP,146.89,147.33,146.22,146.63,198433
2021-12-08,PEP,146.67,147.09,144.79,146.92,93353
2021-12-09,PEP,146.5,147.25,145.49,146.8,99794
2021-12-10,PEP,147.46,149.23,147.31,149.05,134477
2021-12-13,PEP,149.12,151.06,148.33,149.87,134861
2021-12-14,PEP,149.84,150.16,148.55,149.51,183106
2021-12-15,PEP,149.92,151.59,149.56,151.36,117687
2021-12-16,PEP,151.05,153.11,150.96,151.69,230888
2021-12-17,PEP,151.27,152.04,148.35,148.42,246313
2021-12-20,PEP,147.28,149.56,147.19,149.46,205590
2021-12-21,PEP,149.4,149.64,148.12,149.05,89960
2021-12-22,PEP,148.96,150.0,148.53,149.95,143545
2021-12-23,PEP,149.83,150.52,149.4,149.84,65030
2021-12-27,PEP,150.0,151.39,149.88,151.33,70370
2021-12-28,PEP,151.13,152.48,151.07,152.14,51704
2021-12-29,PEP,152.34,153.06,151.76,152.64,56035
2021-12-30,PEP,153.17,153.17,152.07,152.43,44232
2021-12-31,PEP,152.25,153.53,151.89,153.32,96780
2022-01-03,PEP,152.03,152.74,150.63,152.65,93797
2022-01-04,PEP,152.4,153.92,151.98,152.85,98041
2022-01-05,PEP,152.98,154.61,152.9,153.42,147009
2022-01-06,PEP,153.47,154.92,152.92,153.46,91292
2022-01-07,PEP,153.49,154.14,152.34,153.62,159348
2022-01-10,PEP,153.85,155.15,153.27,153.73,122707
2022-01-11,PEP,153.32,153.75,151.56,153.66,151971
2022-01-12,PEP,153.42,153.77,152.66,153.49,107737
2022-01-13,PEP,153.47,154.12,152.89,153.74,133299
2022-01-14,PEP,154.12,155.24,153.19,154.97,122143
2022-01-18,PEP,153.65,154.14,152.81,153.57,205318
2022-01-19,PEP,153.58,155.27,153.22,154.73,302437
2022-01-20,PEP,154.81,156.02,153.4,153.52,184636
2022-01-21,PEP,154.56,156.34,153.67,153.69,143795
2022-01-24,PEP,155.02,155.64,149.11,153.02,227220
2022-01-25,PEP,151.82,152.15,149.82,151.26,166421
2022-01-26,PEP,149.53,151.51,147.24,149.66,229017
2022-01-27,PEP,150.16,152.89,148.97,149.46,188089
2022-01-28,PEP,148.73,152.42,147.57,152.34,276004
2022-01-31,PEP,150.83,153.33,150.54,153.09,151326
2022-02-01,PEP,152.77,152.81,149.65,152.02,169581
2022-02-02,PEP,152.58,154.97,152.58,154.8,138965
2022-02-03,PEP,154.67,155.85,153.63,154.81,123966
2022-02-04,PEP,152.78,154.25,151.06,152.19,144167
2022-02-07,PEP,152.53,152.53,151.09,151.65,155862
2022-02-08,PEP,152.26,152.33,150.29,151.81,162586
2022-02-09,PEP,152.25,152.41,150.93,151.7,200908
2022-02-10,PEP,148.17,151.19,147.71,148.55,231001
2022-02-11,PEP,148.44,150.22,148.08,148.71,214271
2022-02-14,PEP,149.52,149.73,145.73,146.9,270820
2022-02-15,PEP,147.36,148.39,145.84,146.42,186838
2022-02-16,PEP,146.34,147.45,145.2,146.8,110880
2022-02-17,PEP,146.26,148.19,145.66,147.13,152454
2022-02-18,PEP,147.15,148.46,146.71,148.01,156323
2022-02-22,PEP,148.74,148.99,146.74,148.59,285529
2022-02-23,PEP,148.75,149.02,146.96,147.16,138853
2022-02-24,PEP,146.26,146.58,141.46,144.55,312858
2022-02-25,PEP,144.98,148.66,144.95,148.55,195121
2022-02-28,PEP,144.77,145.73,142.49,144.44,223191
2022-03-01,PEP,144.14,145.05,142.36,143.19,191658
2022-03-02,PEP,143.77,146.33,143.42,145.17,223660
2022-03-03,PEP,145.62,146.67,144.64,145.04,155275
2022-03-04,PEP,143.75,147.88,143.01,147.21,286546
2022-03-07,PEP,146.05,146.69,144.03,144.33,213563
2022-03-08,PEP,144.2,145.59,140.08,140.27,195303
2022-03-09,PEP,142.01,142.01,138.94,139.75,168593
2022-03-10,PEP,138.22,138.5,136.27,137.23,279407
2022-03-11,PEP,138.0,139.26,136.33,136.55,140458
2022-03-14,PEP,137.79,140.13,137.47,138.48,171099
2022-03-15,PEP,139.74,141.67,139.59,141.23,181683
2022-03-16,PEP,140.79,142.04,139.5,141.92,190638
