date,tic,open,high,low,close,volume
2021-01-04,PFG,41.5,41.67,40.15,40.33,61385
2021-01-05,PFG,40.38,40.92,39.7,40.72,97632
2021-01-06,PFG,41.76,42.99,41.58,42.6,89014
2021-01-07,PFG,42.95,43.47,42.89,43.2,88862
2021-01-08,PFG,43.5,43.67,42.72,43.32,43823
2021-01-11,PFG,42.6,43.36,42.6,43.25,30762
2021-01-12,PFG,43.38,44.21,43.37,43.92,45216
2021-01-13,PFG,43.65,44.3,43.52,44.01,67981
2021-01-14,PFG,44.38,45.1,44.1,44.83,79036
2021-01-15,PFG,43.99,44.98,43.85,44.49,48110
2021-01-19,PFG,44.63,45.72,44.52,45.35,53228
2021-01-20,PFG,45.36,45.36,44.72,44.86,37838
2021-01-21,PFG,44.67,44.76,44.1,44.69,47495
2021-01-22,PFG,44.14,44.83,43.91,44.66,38896
2021-01-25,PFG,43.81,44.66,43.77,44.31,46473
2021-01-26,PFG,44.68,44.73,43.71,43.71,26329
2021-01-27,PFG,42.8,43.1,42.47,42.75,65170
2021-01-28,PFG,43.63,44.32,43.35,43.97,93438
2021-01-29,PFG,42.67,42.95,40.83,41.12,102439
2021-02-01,PFG,41.65,41.92,41.07,41.86,96461
2021-02-02,PFG,42.08,42.85,42.08,42.25,46493
2021-02-03,PFG,42.21,42.75,42.21,42.74,45538
2021-02-04,PFG,42.92,44.23,42.92,44.13,57772
2021-02-05,PFG,44.29,44.32,43.83,43.93,44179
2021-02-08,PFG,44.25,45.17,44.24,45.17,39879
2021-02-09,PFG,45.04,45.6,44.86,45.38,38873
2021-02-10,PFG,45.63,45.7,44.97,45.26,34597
2021-02-11,PFG,45.32,45.72,44.72,45.16,58750
2021-02-12,PFG,45.07,45.6,44.77,45.23,37712
2021-02-16,PFG,45.49,45.78,45.01,45.5,37063
2021-02-17,PFG,45.44,45.83,44.97,45.35,56146
2021-02-18,PFG,44.91,45.34,44.14,44.6,84177
2021-02-19,PFG,45.06,46.11,45.06,46.03,78779
2021-02-22,PFG,48.41,50.51,48.38,49.77,202356
2021-02-23,PFG,49.73,49.73,48.51,49.01,117194
2021-02-24,PFG,49.3,50.71,48.57,50.52,96314
2021-02-25,PFG,51.24,51.41,48.66,48.78,81356
2021-02-26,PFG,48.37,48.57,47.19,47.77,55128
2021-03-01,PFG,48.44,49.77,48.34,49.1,48069
2021-03-02,PFG,48.91,49.18,48.54,48.72,54804
2021-03-03,PFG,48.64,49.65,48.64,48.8,57725
2021-03-04,PFG,48.83,49.0,46.62,47.76,72243
2021-03-05,PFG,48.78,49.65,47.54,49.48,58978
2021-03-08,PFG,50.2,51.67,49.97,50.69,46572
2021-03-09,PFG,50.16,51.33,49.63,50.45,56219
2021-03-10,PFG,50.64,52.05,50.64,51.67,46647
2021-03-11,PFG,51.39,52.1,50.82,51.53,28376
2021-03-12,PFG,51.92,52.22,51.65,51.91,41209
2021-03-15,PFG,51.85,51.85,50.51,51.67,37897
2021-03-16,PFG,51.14,51.14,49.98,50.38,57032
2021-03-17,PFG,50.84,51.09,49.97,50.83,64049
2021-03-18,PFG,51.31,52.17,50.88,51.08,123394
2021-03-19,PFG,50.63,51.28,50.05,50.91,78979
2021-03-22,PFG,49.88,50.53,49.72,50.25,48459
2021-03-23,PFG,49.63,50.15,48.69,48.84,41126
2021-03-24,PFG,49.53,50.18,48.81,48.87,54404
2021-03-25,PFG,49.05,50.54,48.51,50.35,30405
2021-03-26,PFG,51.04,51.5,50.26,51.14,46882
2021-03-29,PFG,50.0,50.89,49.91,50.41,78473
2021-03-30,PFG,51.09,51.37,50.55,51.15,44575
