date,tic,open,high,low,close,volume
2021-01-04,PG,123.13,123.36,120.28,121.53,638650
2021-01-05,PG,121.65,122.54,120.24,122.4,446465
2021-01-06,PG,122.48,124.4,122.31,123.67,382678
2021-01-07,PG,123.34,123.61,121.77,122.49,348334
2021-01-08,PG,122.43,122.61,120.85,122.44,354039
2021-01-11,PG,122.42,122.98,121.38,121.57,240442
2021-01-12,PG,121.56,121.91,120.2,120.95,255664
2021-01-13,PG,120.98,121.78,120.98,121.05,213337
2021-01-14,PG,121.23,121.42,119.34,119.87,230151
2021-01-15,PG,119.35,120.09,118.8,118.96,196261
2021-01-19,PG,119.67,120.23,117.83,117.94,257625
2021-01-20,PG,117.11,117.7,115.89,116.33,618165
2021-01-21,PG,116.41,117.13,115.82,116.29,397435
2021-01-22,PG,116.35,116.66,115.37,115.37,327585
2021-01-25,PG,115.33,118.01,115.3,117.31,345084
2021-01-26,PG,117.22,118.44,116.74,118.13,306746
2021-01-27,PG,117.8,118.09,113.69,113.69,483270
2021-01-28,PG,113.25,116.82,113.16,115.69,306979
2021-01-29,PG,115.62,115.62,113.68,113.77,312500
2021-02-01,PG,114.56,115.05,113.78,114.46,388581
2021-02-02,PG,115.01,115.99,114.21,114.31,291651
2021-02-03,PG,114.03,114.65,113.38,114.43,356660
2021-02-04,PG,114.8,114.88,114.12,114.48,335564
2021-02-05,PG,114.67,115.44,114.55,114.94,161327
2021-02-08,PG,115.28,115.42,113.7,114.66,334858
2021-02-09,PG,114.81,115.29,113.8,114.13,172126
2021-02-10,PG,114.24,114.57,113.56,113.67,243010
2021-02-11,PG,114.36,114.72,113.78,113.9,192484
2021-02-12,PG,113.67,113.69,112.34,113.26,342506
2021-02-16,PG,113.59,113.74,112.73,113.58,313033
2021-02-17,PG,113.15,114.87,112.83,113.99,273737
2021-02-18,PG,113.44,115.23,113.27,114.95,357905
2021-02-19,PG,114.71,114.71,112.72,112.81,203000
2021-02-22,PG,112.58,112.91,112.16,112.31,258454
2021-02-23,PG,113.29,115.27,112.89,113.16,346970
2021-02-24,PG,113.02,113.77,112.65,113.35,215609
2021-02-25,PG,113.33,114.45,112.07,112.32,257045
2021-02-26,PG,112.29,112.36,108.2,109.62,737845
2021-03-01,PG,110.13,111.36,110.04,110.3,277186
2021-03-02,PG,109.92,110.8,109.65,109.94,437050
2021-03-03,PG,109.71,110.2,109.01,109.29,472309
2021-03-04,PG,109.41,110.71,107.86,108.35,468540
2021-03-05,PG,108.97,112.1,108.78,111.79,412260
2021-03-08,PG,111.56,114.38,111.24,112.94,476748
2021-03-09,PG,113.61,114.4,111.92,112.0,386104
2021-03-10,PG,111.98,113.95,111.41,113.02,502337
2021-03-11,PG,112.97,113.45,112.5,112.64,383701
2021-03-12,PG,113.33,114.31,113.33,113.67,185078
2021-03-15,PG,114.02,114.51,112.87,114.07,321380
2021-03-16,PG,114.04,115.35,114.04,114.46,243365
2021-03-17,PG,114.66,115.12,113.93,113.95,223027
2021-03-18,PG,113.82,114.46,112.75,114.21,232802
2021-03-19,PG,114.36,115.14,113.51,113.52,364944
2021-03-22,PG,113.76,116.15,113.67,115.52,357368
2021-03-23,PG,115.73,118.29,115.36,117.71,423710
2021-03-24,PG,115.99,118.14,115.95,117.71,383703
2021-03-25,PG,118.14,118.58,117.24,118.51,421446
2021-03-26,PG,118.22,120.35,117.57,120.31,344229
2021-03-29,PG,120.35,122.09,120.35,122.03,585630
2021-03-30,PG,121.24,121.52,119.94,120.21,477322
2021-03-31,PG,120.41,121.35,120.04,120.23,282704
2021-04-01,PG,119.85,120.23,118.32,119.13,442565
2021-04-05,PG,119.64,121.8,119.64,121.15,333744
2021-04-06,PG,120.75,121.57,120.38,121.13,226132
2021-04-07,PG,121.64,121.85,120.94,121.37,269485
2021-04-08,PG,121.49,122.12,121.24,121.83,210434
2021-04-09,PG,121.39,121.81,120.31,121.01,220482
2021-04-12,PG,121.14,121.6,120.47,121.46,308642
2021-04-13,PG,120.94,120.98,119.66,119.96,209035
2021-04-14,PG,120.32,120.5,119.46,120.23,276019
2021-04-15,PG,120.71,122.24,120.71,121.81,292883
2021-04-16,PG,122.27,122.35,121.48,121.79,232709
2021-04-20,PG,119.8,122.98,118.58,122.17,465741
2021-04-21,PG,122.46,122.94,121.29,121.41,253498
2021-04-22,PG,120.93,121.27,119.76,120.23,336806
2021-04-23,PG,120.37,120.6,119.04,119.61,321226
2021-04-26,PG,119.35,119.42,117.18,117.21,359897
2021-04-27,PG,117.25,117.8,116.38,117.27,314901
2021-04-28,PG,117.52,117.73,116.9,117.35,213300
2021-04-29,PG,117.36,118.77,117.36,118.34,277922
2021-04-30,PG,118.6,119.35,118.16,119.15,220058
2021-05-03,PG,119.83,121.19,119.77,120.56,344335
2021-05-04,PG,120.66,121.31,119.88,120.1,376575
2021-05-05,PG,119.98,120.51,119.13,119.13,327525
2021-05-06,PG,119.71,120.88,119.68,120.69,322519
2021-05-07,PG,120.63,121.5,120.38,120.68,160035
2021-05-10,PG,121.23,123.62,121.21,122.99,326707
2021-05-11,PG,123.65,123.88,121.9,122.32,430441
2021-05-12,PG,121.98,122.36,121.05,121.07,283750
2021-05-13,PG,121.07,123.71,120.94,123.01,374135
2021-05-14,PG,123.22,124.21,123.06,123.38,203785
2021-05-17,PG,123.22,124.2,122.93,123.03,178357
2021-05-18,PG,121.83,123.05,121.63,121.69,312495
2021-05-19,PG,121.45,122.19,121.11,121.99,277851
2021-05-20,PG,122.18,123.89,122.13,123.17,190087
2021-05-21,PG,123.41,124.08,123.08,123.27,271484
2021-05-24,PG,123.32,123.97,123.03,123.2,202746
2021-05-25,PG,123.25,123.64,122.16,123.64,357703
2021-05-26,PG,123.95,123.95,123.15,123.37,398237
2021-05-27,PG,123.36,123.48,120.29,120.55,785994
2021-05-28,PG,120.89,121.57,120.3,120.44,309556
2021-06-01,PG,121.28,121.46,118.33,118.69,318813
2021-06-02,PG,118.77,119.33,118.39,119.22,268028
2021-06-03,PG,119.03,121.39,119.01,121.36,556714
2021-06-04,PG,121.53,122.03,120.94,121.44,162442
2021-06-07,PG,121.54,122.19,121.19,121.89,249016
2021-06-08,PG,122.1,122.14,120.35,120.45,229385
2021-06-09,PG,121.05,121.86,120.35,120.39,181731
2021-06-10,PG,120.61,121.77,120.27,121.27,177071
2021-06-11,PG,121.14,121.14,119.79,120.46,216778
2021-06-14,PG,120.58,120.58,119.65,120.46,204374
2021-06-15,PG,120.73,121.15,120.19,120.24,150009
2021-06-16,PG,120.93,121.09,118.5,118.56,260405
2021-06-17,PG,118.63,119.81,118.48,119.66,328297
2021-06-18,PG,119.1,119.1,117.93,117.93,250907
2021-06-21,PG,118.6,119.02,118.27,118.85,319881
2021-06-22,PG,118.88,119.7,118.7,118.92,138655
2021-06-23,PG,118.8,119.11,118.18,118.75,193029
2021-06-24,PG,118.76,119.06,118.56,118.78,253377
2021-06-25,PG,119.1,120.97,118.76,120.49,372267
2021-06-28,PG,120.48,121.59,120.46,120.95,110802
2021-06-29,PG,121.11,121.32,119.54,120.01,231869
2021-06-30,PG,120.2,120.77,119.96,120.59,150643
2021-07-01,PG,120.98,121.57,120.52,120.77,171286
2021-07-02,PG,121.11,122.03,120.98,121.31,218876
2021-07-06,PG,121.07,121.72,120.92,121.47,206932
2021-07-07,PG,121.79,122.88,121.58,122.29,161011
2021-07-08,PG,122.48,122.68,121.37,122.24,292077
2021-07-09,PG,122.51,122.92,122.23,122.39,160107
2021-07-12,PG,122.24,122.75,121.88,122.52,151642
2021-07-13,PG,121.97,122.85,121.9,122.31,126905
2021-07-14,PG,122.35,123.45,121.85,123.19,136937
2021-07-15,PG,123.35,124.38,122.99,124.29,241054
2021-07-16,PG,124.41,125.74,124.36,125.48,276848
2021-07-19,PG,125.38,126.62,123.98,125.41,232851
2021-07-20,PG,125.29,126.77,124.76,124.78,292911
2021-07-21,PG,124.99,125.19,124.14,124.34,217964
2021-07-22,PG,123.4,124.33,122.89,123.82,236801
