date,tic,open,high,low,close,volume
2021-01-04,PGR,88.75,88.91,86.96,88.03,107942
2021-01-05,PGR,88.38,88.41,86.31,87.84,229074
2021-01-06,PGR,87.44,89.6,87.05,89.56,184167
2021-01-07,PGR,89.94,90.56,89.44,90.03,108738
2021-01-08,PGR,88.92,89.95,88.74,89.83,65191
2021-01-11,PGR,89.47,90.37,89.25,90.36,105645
2021-01-12,PGR,90.21,91.24,89.89,90.35,104031
2021-01-13,PGR,90.24,90.69,89.76,90.25,102567
2021-01-14,PGR,90.56,90.71,88.75,88.8,89650
2021-01-15,PGR,88.89,90.28,88.5,90.1,180507
2021-01-19,PGR,90.31,92.31,89.56,91.41,159255
2021-01-20,PGR,91.17,92.03,90.78,91.31,73098
2021-01-21,PGR,91.3,91.83,89.59,89.59,92531
2021-01-22,PGR,89.52,89.55,87.73,87.73,131133
2021-01-25,PGR,87.55,88.89,86.91,87.91,129611
2021-01-26,PGR,87.93,87.93,86.61,87.17,121305
2021-01-27,PGR,86.78,86.78,82.4,82.63,342864
2021-01-28,PGR,83.35,85.2,82.49,84.08,491047
2021-01-29,PGR,83.77,84.63,82.44,82.81,219581
2021-02-01,PGR,83.34,83.69,81.25,81.9,183247
2021-02-02,PGR,82.51,83.87,82.36,82.44,179805
2021-02-03,PGR,81.85,82.75,81.61,82.64,126090
2021-02-04,PGR,82.55,83.77,82.11,83.71,169205
2021-02-05,PGR,84.17,84.43,83.12,83.13,89295
2021-02-08,PGR,83.52,83.55,81.64,81.88,125487
2021-02-09,PGR,82.19,82.37,81.11,81.95,157005
2021-02-10,PGR,82.32,82.33,80.82,81.24,175978
2021-02-11,PGR,81.3,82.39,81.07,82.07,104297
2021-02-12,PGR,81.92,82.23,81.49,82.0,91061
2021-02-16,PGR,82.2,82.35,80.68,80.97,158876
2021-02-17,PGR,81.03,82.13,80.91,82.0,201381
2021-02-18,PGR,82.06,84.1,81.81,83.67,162610
2021-02-19,PGR,84.2,84.24,82.73,82.74,115980
2021-02-22,PGR,82.54,83.66,82.15,83.4,188877
2021-02-23,PGR,83.9,85.98,83.89,85.3,244387
2021-02-24,PGR,85.21,86.42,83.37,83.37,157515
2021-02-25,PGR,83.68,84.22,82.33,82.82,249014
2021-02-26,PGR,83.19,83.19,81.28,81.77,199028
2021-03-01,PGR,82.3,83.86,82.3,83.3,124480
2021-03-02,PGR,83.62,84.74,83.03,84.33,143441
2021-03-03,PGR,84.14,85.88,83.65,84.45,235335
2021-03-04,PGR,84.37,84.79,82.45,82.63,238580
2021-03-05,PGR,83.54,85.33,82.57,85.12,183812
2021-03-08,PGR,84.92,87.98,84.28,86.46,210091
2021-03-09,PGR,86.1,86.69,85.7,85.74,116182
2021-03-10,PGR,85.94,88.21,85.72,87.6,171747
2021-03-11,PGR,87.54,88.9,86.79,88.17,146506
2021-03-12,PGR,88.36,88.78,87.95,88.39,93022
2021-03-15,PGR,88.81,88.93,88.13,88.7,75448
2021-03-16,PGR,88.39,88.85,87.5,88.72,54242
2021-03-17,PGR,87.88,88.06,85.85,86.54,185464
2021-03-18,PGR,86.87,86.89,85.53,85.85,133194
2021-03-19,PGR,86.12,87.02,85.07,86.38,99839
2021-03-22,PGR,85.94,86.68,85.36,85.62,84472
2021-03-23,PGR,86.07,86.8,85.74,86.25,93503
2021-03-24,PGR,86.18,89.19,85.78,87.89,151422
2021-03-25,PGR,88.55,89.78,88.42,89.58,158665
2021-03-26,PGR,89.42,90.68,89.16,90.67,111456
2021-03-29,PGR,89.94,92.12,89.69,91.39,118919
2021-03-30,PGR,91.41,91.53,90.12,90.67,120725
2021-03-31,PGR,90.51,90.85,89.98,90.76,156991
2021-04-01,PGR,90.59,91.06,90.1,90.79,123029
2021-04-05,PGR,91.04,92.42,91.04,91.89,67559
2021-04-06,PGR,91.97,92.09,90.59,90.72,122608
2021-04-07,PGR,90.87,91.4,90.62,91.15,110358
2021-04-08,PGR,91.17,91.24,89.63,90.35,150131
2021-04-09,PGR,90.77,91.25,90.48,91.0,164515
2021-04-12,PGR,91.16,91.74,90.81,91.69,126219
2021-04-13,PGR,91.41,93.11,91.41,92.52,75239
2021-04-14,PGR,92.45,92.88,92.23,92.45,103147
2021-04-15,PGR,92.89,96.51,92.89,95.56,248166
2021-04-16,PGR,95.63,95.63,93.87,93.92,121427
2021-04-20,PGR,94.69,95.63,94.45,94.9,113833
2021-04-21,PGR,95.46,96.35,95.36,96.35,136456
2021-04-22,PGR,95.81,95.95,94.7,95.27,75824
2021-04-23,PGR,95.66,96.07,95.09,95.86,126610
2021-04-26,PGR,95.87,96.08,94.9,94.98,44309
2021-04-27,PGR,94.87,95.19,94.6,95.06,58992
2021-04-28,PGR,95.48,95.67,94.6,95.49,64348
2021-04-29,PGR,95.55,97.05,95.54,96.97,121479
2021-04-30,PGR,96.86,97.11,95.76,95.83,142892
2021-05-03,PGR,96.91,97.93,96.16,97.51,78434
2021-05-04,PGR,97.5,98.08,97.16,98.07,110286
2021-05-05,PGR,97.98,98.98,97.58,98.73,150374
2021-05-06,PGR,99.27,99.68,98.85,99.12,138255
2021-05-07,PGR,98.54,100.22,98.4,100.08,154424
2021-05-10,PGR,100.81,101.92,100.44,100.63,259403
2021-05-11,PGR,101.89,101.89,99.66,100.0,276442
2021-05-12,PGR,100.27,100.74,99.54,99.68,209021
2021-05-13,PGR,99.21,101.58,99.21,100.87,91309
2021-05-14,PGR,101.39,102.3,101.12,101.85,96247
2021-05-17,PGR,101.88,102.22,101.24,101.37,78430
2021-05-18,PGR,101.0,101.46,100.31,100.72,64365
2021-05-19,PGR,100.29,100.37,94.75,96.12,408792
2021-05-20,PGR,95.07,97.79,95.07,97.04,227037
2021-05-21,PGR,97.15,97.15,94.28,94.28,103881
2021-05-24,PGR,94.61,95.13,92.48,92.65,225457
2021-05-25,PGR,92.08,93.38,91.81,92.49,122758
2021-05-26,PGR,93.33,94.18,92.67,93.54,166944
2021-05-27,PGR,94.01,94.43,93.13,94.29,196056
2021-05-28,PGR,94.87,95.17,94.21,94.24,87920
2021-06-01,PGR,94.79,95.36,93.75,94.45,74073
2021-06-02,PGR,94.78,95.73,93.55,95.58,92220
2021-06-03,PGR,95.5,96.2,95.08,95.1,107907
2021-06-04,PGR,95.14,95.63,94.71,95.48,39077
2021-06-07,PGR,93.93,93.93,91.31,91.7,164325
2021-06-08,PGR,91.68,91.88,90.78,91.18,152811
2021-06-09,PGR,91.13,91.55,90.19,90.2,126727
2021-06-10,PGR,90.44,91.05,88.89,89.48,118622
2021-06-11,PGR,89.46,89.81,88.7,89.03,118229
2021-06-14,PGR,88.61,88.79,87.81,88.54,185368
2021-06-15,PGR,88.73,89.45,87.8,89.13,201933
2021-06-16,PGR,88.78,89.8,87.67,88.35,216542
2021-06-17,PGR,88.51,88.59,86.6,87.36,203717
2021-06-18,PGR,86.34,87.9,85.87,87.83,281463
2021-06-21,PGR,88.2,90.15,88.18,89.99,231832
2021-06-22,PGR,89.98,90.75,89.9,90.3,86457
2021-06-23,PGR,90.22,90.92,90.0,90.29,80883
2021-06-24,PGR,90.99,91.16,90.27,90.97,137194
2021-06-25,PGR,91.1,92.23,90.84,92.11,162039
2021-06-28,PGR,92.01,93.14,91.93,92.7,72472
2021-06-29,PGR,92.97,93.95,92.93,93.64,151381
2021-06-30,PGR,93.5,94.04,93.31,93.43,95296
2021-07-01,PGR,93.71,94.63,93.19,94.0,111246
2021-07-02,PGR,93.99,94.28,93.65,94.14,111902
2021-07-06,PGR,94.07,94.07,92.4,93.17,113173
2021-07-07,PGR,92.84,94.74,92.84,94.35,118420
2021-07-08,PGR,93.62,94.67,93.26,93.78,249777
2021-07-09,PGR,95.08,96.39,94.32,94.86,239666
2021-07-12,PGR,94.87,95.55,94.25,95.07,138835
2021-07-13,PGR,94.88,94.88,93.05,93.05,224562
2021-07-14,PGR,93.42,93.86,92.12,92.76,111262
2021-07-15,PGR,85.46,90.93,85.46,90.41,649725
2021-07-16,PGR,88.99,91.7,88.99,91.6,296660
2021-07-19,PGR,91.01,91.1,89.19,90.06,387451
2021-07-20,PGR,90.27,91.41,89.54,89.89,217822
2021-07-21,PGR,89.98,90.82,89.46,89.48,423072
2021-07-22,PGR,89.33,89.4,88.5,88.92,291421
2021-07-23,PGR,89.36,90.28,89.0,90.23,199639
2021-07-26,PGR,90.15,90.41,89.79,90.06,83142
2021-07-27,PGR,89.74,91.57,89.51,91.28,93831
2021-07-28,PGR,91.18,91.25,89.97,89.97,191293
2021-07-29,PGR,90.31,91.49,90.2,91.17,134449
