date,tic,open,high,low,close,volume
2021-01-04,PH,255.18,257.14,247.68,248.96,39151
2021-01-05,PH,248.58,255.82,248.58,254.46,78444
2021-01-06,PH,256.67,267.88,256.67,262.69,62466
2021-01-07,PH,266.29,266.81,261.82,263.17,52204
2021-01-08,PH,263.38,263.75,258.17,263.0,83427
2021-01-11,PH,260.77,266.81,259.98,265.74,46372
2021-01-12,PH,267.37,271.29,265.77,269.34,43602
2021-01-13,PH,269.88,269.88,267.09,267.78,52333
2021-01-14,PH,270.3,274.63,269.78,272.32,33946
2021-01-15,PH,269.68,269.68,264.67,266.83,46373
2021-01-19,PH,269.19,272.21,268.87,270.33,63046
2021-01-20,PH,271.27,271.56,267.77,268.57,48171
2021-01-21,PH,268.43,268.75,260.89,261.16,54459
2021-01-22,PH,258.4,258.4,254.24,257.45,51408
2021-01-25,PH,255.55,256.5,248.33,252.4,114016
2021-01-26,PH,253.52,254.82,249.21,249.49,46104
2021-01-27,PH,243.24,243.24,231.79,233.3,132201
2021-01-28,PH,240.25,250.59,240.18,248.48,63409
2021-01-29,PH,244.97,250.14,243.79,247.69,64551
2021-02-01,PH,250.54,251.75,247.23,251.03,57688
2021-02-02,PH,255.23,256.01,250.26,250.69,67488
2021-02-03,PH,251.08,254.93,250.68,253.87,52290
2021-02-04,PH,265.68,267.72,251.63,251.71,186920
2021-02-05,PH,257.66,263.08,257.66,261.58,125930
2021-02-08,PH,263.57,263.57,258.18,260.98,58332
2021-02-09,PH,258.18,260.84,253.32,258.76,56737
2021-02-10,PH,258.4,259.26,253.5,255.87,48455
2021-02-11,PH,258.12,259.35,250.36,256.4,57233
2021-02-12,PH,256.69,259.3,255.41,259.25,68335
2021-02-16,PH,262.23,262.23,257.47,259.07,63058
2021-02-17,PH,257.39,258.75,254.93,255.32,46309
2021-02-18,PH,253.81,255.18,250.13,251.65,72103
2021-02-19,PH,253.78,263.41,253.78,262.47,87539
2021-02-22,PH,262.01,268.0,261.55,264.87,69676
2021-02-23,PH,264.93,268.98,260.16,268.7,77501
2021-02-24,PH,269.67,279.31,268.3,279.05,265790
2021-02-25,PH,278.27,278.74,270.3,271.95,67469
2021-02-26,PH,270.84,274.11,266.8,269.49,62750
2021-03-01,PH,275.42,282.2,274.85,279.34,31389
2021-03-02,PH,278.75,279.93,277.1,277.59,40222
2021-03-03,PH,277.59,283.84,277.59,278.12,59633
2021-03-04,PH,277.53,279.95,270.84,275.27,123189
2021-03-05,PH,277.71,282.25,271.25,281.84,75989
2021-03-08,PH,283.07,283.57,279.55,280.34,100914
2021-03-09,PH,282.65,282.97,277.33,277.73,75801
2021-03-10,PH,278.44,289.26,278.36,287.72,105369
2021-03-11,PH,290.32,294.48,287.29,289.27,89609
2021-03-12,PH,290.2,294.07,289.95,293.14,31020
2021-03-15,PH,292.71,296.04,290.96,295.69,52078
2021-03-16,PH,294.94,296.07,290.79,290.93,42397
2021-03-17,PH,291.72,296.42,291.63,295.45,43691
2021-03-18,PH,295.83,301.91,295.39,295.78,68235
2021-03-19,PH,294.34,294.85,288.18,292.05,47709
2021-03-22,PH,288.87,294.24,288.23,291.94,51895
2021-03-23,PH,289.32,292.5,285.02,287.17,78120
2021-03-24,PH,291.41,293.87,289.32,289.4,33841
2021-03-25,PH,286.59,295.75,284.1,295.18,45502
2021-03-26,PH,296.86,299.19,294.35,298.26,46466
2021-03-29,PH,298.79,300.62,297.2,297.72,32148
2021-03-30,PH,299.15,300.58,296.8,297.42,51322
2021-03-31,PH,298.42,299.16,295.07,296.37,43615
2021-04-01,PH,297.62,297.62,294.5,296.7,69845
2021-04-05,PH,299.83,300.85,297.87,299.51,56029
2021-04-06,PH,300.96,303.78,296.74,297.43,44987
2021-04-07,PH,297.99,299.14,294.54,297.24,40550
2021-04-08,PH,296.43,298.74,294.52,298.68,44597
2021-04-09,PH,300.74,301.03,296.46,301.01,22004
2021-04-12,PH,302.95,302.95,300.31,301.45,41432
2021-04-13,PH,299.71,299.71,295.29,296.04,24015
2021-04-14,PH,297.63,301.58,297.63,298.11,24771
2021-04-15,PH,300.3,300.54,296.27,298.48,39631
2021-04-16,PH,303.42,303.42,298.24,301.21,27473
2021-04-20,PH,297.12,297.45,289.98,293.08,71973
2021-04-21,PH,292.19,298.81,291.38,298.06,25813
2021-04-22,PH,298.48,298.99,294.38,294.38,21442
2021-04-23,PH,296.58,300.18,295.96,298.47,54411
2021-04-26,PH,298.99,301.59,298.6,299.42,37904
2021-04-27,PH,299.52,300.18,297.96,299.99,50665
2021-04-28,PH,299.01,302.2,298.69,299.59,66700
2021-04-29,PH,299.96,299.96,290.57,294.81,77853
2021-04-30,PH,293.15,295.11,290.72,294.29,60978
2021-05-03,PH,297.02,298.5,290.65,292.13,45081
2021-05-04,PH,291.82,295.25,287.03,294.35,125412
2021-05-05,PH,295.14,297.35,291.42,296.27,64221
2021-05-06,PH,296.0,297.95,293.31,297.81,58629
2021-05-07,PH,294.37,302.51,291.87,300.83,28831
2021-05-10,PH,302.03,305.4,297.46,297.96,52679
2021-05-11,PH,293.21,296.49,289.99,294.4,36691
2021-05-12,PH,293.92,295.28,286.23,286.32,35456
2021-05-13,PH,289.26,298.61,289.26,297.8,113646
2021-05-14,PH,298.37,305.08,298.37,303.09,52042
2021-05-17,PH,301.94,302.73,296.29,298.31,59187
2021-05-18,PH,298.99,298.99,292.86,292.86,50066
2021-05-19,PH,288.2,289.06,283.44,287.12,53613
2021-05-20,PH,288.6,288.6,285.15,287.45,56855
2021-05-21,PH,289.34,291.4,287.67,288.21,22434
2021-05-24,PH,289.46,290.17,285.93,288.09,24402
2021-05-25,PH,288.28,290.38,286.58,287.27,16693
2021-05-26,PH,286.82,287.27,284.9,287.13,22437
2021-05-27,PH,292.65,292.65,289.76,290.31,52052
2021-05-28,PH,290.31,291.46,288.81,290.31,54026
2021-06-01,PH,294.02,296.05,292.36,295.03,29798
2021-06-02,PH,295.77,295.77,291.72,292.35,20104
2021-06-03,PH,290.94,292.84,288.45,291.22,29351
2021-06-04,PH,291.19,292.51,288.63,290.98,22004
2021-06-07,PH,291.23,291.62,287.19,289.51,17980
2021-06-08,PH,288.9,293.82,287.35,292.81,24061
2021-06-09,PH,290.65,290.65,287.24,287.56,33631
2021-06-10,PH,289.96,289.96,284.59,285.55,51653
2021-06-11,PH,288.06,288.26,283.24,284.28,43946
2021-06-14,PH,283.6,284.12,277.96,279.28,74418
2021-06-15,PH,280.02,280.77,277.29,278.19,264729
2021-06-16,PH,278.32,280.97,274.64,278.64,54378
2021-06-17,PH,279.25,279.25,265.6,268.59,73577
2021-06-18,PH,265.91,269.06,264.1,264.5,105810
2021-06-21,PH,266.87,271.97,266.12,271.24,84550
2021-06-22,PH,269.6,273.64,268.62,272.49,48210
2021-06-23,PH,276.39,280.38,273.76,277.93,98042
2021-06-24,PH,280.34,282.02,277.67,281.31,121978
2021-06-25,PH,283.21,285.85,282.5,284.15,57561
2021-06-28,PH,282.26,287.02,279.96,286.12,78921
2021-06-29,PH,288.58,289.85,284.82,284.97,59658
2021-06-30,PH,285.2,289.66,284.91,289.19,71645
2021-07-01,PH,291.37,291.37,288.25,289.03,80371
2021-07-02,PH,290.3,291.56,288.45,290.09,48939
2021-07-06,PH,288.12,288.79,284.24,286.21,50044
2021-07-07,PH,287.44,292.05,286.47,290.28,59043
2021-07-08,PH,286.96,293.28,283.82,289.05,112431
2021-07-09,PH,292.57,294.97,292.57,293.3,34490
2021-07-12,PH,291.2,295.15,291.12,295.1,77570
2021-07-13,PH,294.52,295.07,291.27,291.68,56757
2021-07-14,PH,293.13,293.53,287.01,288.45,37477
2021-07-15,PH,287.86,292.33,286.73,288.46,25860
2021-07-16,PH,290.1,290.1,282.0,282.42,38327
2021-07-19,PH,275.9,276.32,269.5,272.68,99576
2021-07-20,PH,273.26,282.63,273.26,281.85,90700
2021-07-21,PH,286.69,289.1,286.03,287.38,26086
2021-07-22,PH,286.31,287.46,284.74,285.2,17554
2021-07-23,PH,288.73,289.73,285.79,288.72,32009
2021-07-26,PH,290.98,291.24,288.25,291.15,24668
2021-07-27,PH,288.66,293.5,287.82,291.2,25455
2021-07-28,PH,291.85,291.85,287.58,288.42,28122
2021-07-29,PH,290.81,292.58,289.22,291.32,45541
