date,tic,open,high,low,close,volume
2021-01-04,PLD,86.7,86.8,83.46,83.48,145355
2021-01-05,PLD,83.79,84.4,83.38,83.68,157571
2021-01-06,PLD,83.65,83.65,81.18,81.6,191081
2021-01-07,PLD,81.43,82.82,81.43,82.82,123029
2021-01-08,PLD,82.79,84.79,82.79,83.92,63456
2021-01-11,PLD,83.22,83.75,81.82,82.27,129504
2021-01-12,PLD,82.31,82.49,80.91,82.39,100737
2021-01-13,PLD,82.69,83.74,82.68,82.9,94889
2021-01-14,PLD,83.21,83.45,82.07,83.06,108105
2021-01-15,PLD,83.17,84.92,82.89,84.76,117489
2021-01-19,PLD,85.37,85.61,84.28,85.2,133595
2021-01-20,PLD,84.8,87.92,84.69,87.18,117480
2021-01-21,PLD,86.88,87.33,86.06,87.3,95582
2021-01-22,PLD,87.09,88.38,86.95,88.06,119673
2021-01-25,PLD,88.09,90.22,87.89,89.45,180346
2021-01-26,PLD,89.72,92.92,89.52,92.11,217434
2021-01-27,PLD,91.08,92.72,88.51,89.72,133018
2021-01-28,PLD,89.03,91.04,88.47,89.82,114270
2021-01-29,PLD,89.18,90.93,87.67,89.66,114721
2021-02-01,PLD,89.99,92.1,88.92,92.02,137880
2021-02-02,PLD,92.65,93.34,91.68,92.89,126753
2021-02-03,PLD,92.87,92.95,90.9,92.14,71343
2021-02-04,PLD,92.23,93.29,92.14,92.43,94335
2021-02-05,PLD,92.28,93.15,91.99,92.76,50482
2021-02-08,PLD,92.76,93.03,92.03,93.03,46738
2021-02-09,PLD,93.0,93.33,92.2,93.3,49761
2021-02-10,PLD,94.06,94.76,93.29,93.43,71138
2021-02-11,PLD,93.68,94.25,92.96,93.63,79529
2021-02-12,PLD,93.18,93.64,92.83,93.62,62019
2021-02-16,PLD,93.98,93.98,91.34,92.66,141518
2021-02-17,PLD,92.66,92.84,91.31,92.02,141499
2021-02-18,PLD,91.61,91.97,91.19,91.92,142215
2021-02-19,PLD,92.18,92.6,91.4,91.53,101799
2021-02-22,PLD,90.8,91.31,90.02,90.98,101322
2021-02-23,PLD,91.44,91.99,90.44,90.82,112078
2021-02-24,PLD,90.62,90.8,89.48,89.71,170158
2021-02-25,PLD,89.44,89.8,87.58,88.06,305081
2021-02-26,PLD,88.22,88.72,86.07,86.09,271549
2021-03-01,PLD,87.29,87.82,86.31,86.38,160453
2021-03-02,PLD,86.46,86.82,84.8,86.12,150329
2021-03-03,PLD,85.8,85.96,83.36,83.52,197757
2021-03-04,PLD,83.61,85.1,82.6,83.02,168769
2021-03-05,PLD,83.26,84.98,81.85,84.62,145070
2021-03-08,PLD,84.68,85.05,83.35,83.37,167814
2021-03-09,PLD,84.61,86.63,84.61,85.43,143455
2021-03-10,PLD,85.86,86.05,84.81,84.82,106957
2021-03-11,PLD,85.42,87.11,85.19,86.47,89829
2021-03-12,PLD,86.4,87.98,85.71,87.98,117630
2021-03-15,PLD,87.86,89.47,87.35,89.28,186753
2021-03-16,PLD,89.2,90.97,89.1,90.54,155590
2021-03-17,PLD,89.68,89.68,87.53,88.72,137447
2021-03-18,PLD,88.49,89.46,87.16,89.23,169621
2021-03-19,PLD,89.46,89.91,87.78,87.8,126433
2021-03-22,PLD,87.83,90.66,87.83,90.63,160208
2021-03-23,PLD,90.5,92.31,90.18,92.01,135007
2021-03-24,PLD,91.76,91.96,90.53,90.77,123964
2021-03-25,PLD,90.07,91.47,89.54,91.39,87774
2021-03-26,PLD,91.39,93.48,91.01,93.4,116198
2021-03-29,PLD,92.31,93.76,91.79,93.32,139986
2021-03-30,PLD,92.97,93.54,92.5,93.34,107203
2021-03-31,PLD,93.19,93.84,92.02,92.59,218731
2021-04-01,PLD,92.9,94.93,92.58,94.91,122932
2021-04-05,PLD,95.11,95.49,94.22,94.8,145886
2021-04-06,PLD,94.59,95.61,94.36,95.61,110920
2021-04-07,PLD,95.63,95.96,95.02,95.87,123062
2021-04-08,PLD,96.11,96.41,94.62,94.8,131365
2021-04-09,PLD,95.24,96.11,94.76,95.74,104405
2021-04-12,PLD,95.89,96.06,94.72,95.98,77779
2021-04-13,PLD,96.1,96.93,95.97,96.88,61584
2021-04-14,PLD,96.88,97.24,95.75,95.81,71331
2021-04-15,PLD,96.9,98.35,96.36,98.25,123322
2021-04-16,PLD,98.53,98.74,98.06,98.36,83595
2021-04-20,PLD,98.12,101.13,98.12,100.29,171047
2021-04-21,PLD,100.54,101.28,100.16,100.32,87287
2021-04-22,PLD,99.96,100.58,99.53,100.25,110543
2021-04-23,PLD,100.71,100.77,99.81,100.46,95304
2021-04-26,PLD,100.82,101.36,100.37,100.72,77155
2021-04-27,PLD,100.79,100.96,100.34,100.44,190002
2021-04-28,PLD,100.68,101.24,100.42,100.62,106403
2021-04-29,PLD,101.05,101.83,100.79,101.6,65530
2021-04-30,PLD,101.42,102.26,100.88,101.84,90930
2021-05-03,PLD,102.21,102.23,101.14,101.43,83394
2021-05-04,PLD,101.65,101.89,100.31,101.07,86644
2021-05-05,PLD,100.58,100.69,98.33,98.78,120842
2021-05-06,PLD,98.99,100.53,98.94,100.31,61947
2021-05-07,PLD,100.58,101.47,100.56,101.46,72511
2021-05-10,PLD,101.65,102.82,101.31,101.62,104010
2021-05-11,PLD,100.74,100.74,99.1,100.46,85434
2021-05-12,PLD,99.74,100.04,97.92,98.28,90872
2021-05-13,PLD,98.35,100.12,98.0,99.23,89403
2021-05-14,PLD,99.98,100.78,99.61,100.34,64597
2021-05-17,PLD,100.45,100.59,99.5,99.82,44751
2021-05-18,PLD,99.63,100.99,99.15,100.51,41910
2021-05-19,PLD,99.69,100.86,99.34,100.8,66685
2021-05-20,PLD,100.8,102.96,100.79,102.62,74081
2021-05-21,PLD,102.6,103.14,102.29,102.72,70454
2021-05-24,PLD,103.05,104.07,102.84,103.26,53106
2021-05-25,PLD,103.4,103.68,102.07,103.31,113676
2021-05-26,PLD,103.29,103.73,102.62,102.73,58087
2021-05-27,PLD,102.99,103.43,102.04,102.22,108213
2021-05-28,PLD,102.77,103.69,102.72,102.99,95115
2021-06-01,PLD,103.32,104.98,102.83,104.72,90185
2021-06-02,PLD,105.17,106.52,104.96,106.44,101930
2021-06-03,PLD,106.43,106.79,105.88,106.58,122078
2021-06-04,PLD,106.73,107.29,106.23,107.04,78418
2021-06-07,PLD,107.12,107.65,107.02,107.21,37224
2021-06-08,PLD,107.32,108.79,107.32,108.18,94243
2021-06-09,PLD,108.3,108.58,107.69,108.08,36332
2021-06-10,PLD,108.2,110.43,107.99,110.25,94608
2021-06-11,PLD,109.86,109.86,108.36,109.03,131502
2021-06-14,PLD,109.58,110.28,108.78,110.27,81468
2021-06-15,PLD,110.49,110.49,108.14,108.14,90088
2021-06-16,PLD,108.56,109.12,106.67,106.67,139133
2021-06-17,PLD,106.54,107.94,106.42,107.73,214334
2021-06-18,PLD,107.42,108.02,104.97,105.04,155646
2021-06-21,PLD,105.27,107.96,105.18,107.71,132107
