date,tic,open,high,low,close,volume
2021-01-04,PNC,124.75,124.83,121.94,124.52,105052
2021-01-05,PNC,124.55,125.64,122.96,123.81,150948
2021-01-06,PNC,127.81,132.05,127.3,130.48,179238
2021-01-07,PNC,132.84,135.77,132.68,132.7,88153
2021-01-08,PNC,132.2,132.75,130.26,132.06,56594
2021-01-11,PNC,130.81,133.45,130.52,132.93,73846
2021-01-12,PNC,134.29,135.7,133.28,134.83,66836
2021-01-13,PNC,133.55,134.5,132.09,132.9,113977
2021-01-14,PNC,133.73,135.23,133.65,134.99,79490
2021-01-15,PNC,132.02,133.26,129.79,130.09,166727
2021-01-19,PNC,130.82,131.56,129.64,131.31,114690
2021-01-20,PNC,131.26,131.5,130.03,131.39,83175
2021-01-21,PNC,130.93,131.15,128.65,129.35,179702
2021-01-22,PNC,127.22,128.66,127.22,128.4,71419
2021-01-25,PNC,126.15,126.83,123.6,126.5,100863
2021-01-26,PNC,127.15,127.44,124.31,124.48,112492
2021-01-27,PNC,121.73,122.49,119.07,121.47,195207
2021-01-28,PNC,123.19,125.03,122.42,124.27,75957
2021-01-29,PNC,124.06,124.18,120.26,120.58,119641
2021-02-01,PNC,121.68,122.96,120.85,122.63,51800
2021-02-02,PNC,124.38,128.5,124.18,126.43,105224
2021-02-03,PNC,126.15,128.2,126.15,128.05,80171
2021-02-04,PNC,129.07,131.78,129.07,131.77,97877
2021-02-05,PNC,132.83,133.24,131.08,131.92,57729
2021-02-08,PNC,132.09,133.51,131.72,133.5,61717
2021-02-09,PNC,133.03,133.36,131.71,132.91,69095
2021-02-10,PNC,133.31,135.29,132.87,134.54,126334
2021-02-11,PNC,134.32,135.46,132.58,133.98,95828
2021-02-12,PNC,134.13,136.57,134.13,136.57,63725
2021-02-16,PNC,137.31,143.74,137.31,142.97,149257
2021-02-17,PNC,142.18,142.87,140.21,140.82,64838
2021-02-18,PNC,139.83,140.63,138.3,140.28,48104
2021-02-19,PNC,140.45,143.87,140.45,143.23,64457
2021-02-22,PNC,142.82,144.59,142.68,143.4,123953
2021-02-23,PNC,145.43,146.24,143.05,145.72,107420
2021-02-24,PNC,146.19,150.75,146.19,150.14,130989
2021-02-25,PNC,151.66,151.81,145.64,145.64,93217
2021-02-26,PNC,144.43,145.1,141.52,141.59,95601
2021-03-01,PNC,144.23,146.61,142.67,145.47,90317
2021-03-02,PNC,145.19,146.76,144.51,145.37,61709
2021-03-03,PNC,146.69,148.68,145.48,145.48,84812
