date,tic,open,high,low,close,volume
2021-01-04,PNW,64.32,64.73,63.15,63.42,43079
2021-01-05,PNW,63.52,63.52,62.08,62.31,34951
2021-01-06,PNW,62.88,64.55,62.88,64.55,35841
2021-01-07,PNW,64.53,64.53,62.2,62.5,48494
2021-01-08,PNW,62.44,62.6,61.72,62.38,34671
2021-01-11,PNW,62.14,62.49,61.09,61.48,36206
2021-01-12,PNW,61.71,61.87,60.84,61.32,32000
2021-01-13,PNW,61.26,62.57,61.26,62.49,34855
2021-01-14,PNW,62.57,62.65,61.67,61.77,39263
2021-01-15,PNW,61.43,63.13,61.11,63.02,28535
2021-01-19,PNW,63.1,63.1,62.26,62.53,24232
2021-01-20,PNW,62.19,62.64,61.6,62.51,45771
2021-01-21,PNW,62.18,62.44,61.28,62.16,39702
2021-01-22,PNW,61.48,62.11,61.4,61.88,22400
2021-01-25,PNW,61.6,62.88,61.6,62.83,43891
2021-01-26,PNW,62.88,63.03,61.77,62.13,60899
2021-01-27,PNW,61.48,61.89,60.17,61.23,58924
2021-01-28,PNW,61.52,62.44,61.16,61.49,83989
2021-01-29,PNW,60.88,61.65,60.64,61.05,62846
2021-02-01,PNW,61.16,62.17,60.91,61.82,45760
2021-02-02,PNW,62.03,63.41,61.76,62.12,49720
2021-02-03,PNW,62.4,62.4,61.55,62.2,24313
2021-02-04,PNW,61.99,62.59,61.81,62.46,26498
2021-02-05,PNW,62.88,63.24,62.42,63.07,24504
2021-02-08,PNW,62.95,62.97,61.85,62.32,26224
2021-02-09,PNW,62.75,63.15,61.64,62.14,49082
2021-02-10,PNW,62.38,62.78,61.95,62.5,24810
2021-02-11,PNW,62.6,62.71,61.88,62.08,22873
2021-02-12,PNW,61.97,62.2,61.52,61.75,30888
2021-02-16,PNW,61.5,61.88,61.1,61.62,34637
2021-02-17,PNW,61.77,62.57,61.6,62.51,51538
2021-02-18,PNW,62.6,63.06,62.42,62.51,61765
2021-02-19,PNW,62.62,62.62,61.73,61.79,27273
2021-02-22,PNW,61.73,61.73,59.31,60.47,52583
2021-02-23,PNW,61.13,61.58,60.3,61.2,56992
2021-02-24,PNW,60.89,60.96,58.83,59.19,118309
2021-02-25,PNW,58.86,59.77,58.48,59.2,63934
2021-02-26,PNW,59.09,59.71,56.66,56.66,53353
2021-03-01,PNW,57.61,59.56,57.48,58.65,42094
2021-03-02,PNW,58.58,60.24,58.43,59.75,38086
2021-03-03,PNW,59.36,59.63,58.47,59.15,54346
2021-03-04,PNW,59.46,61.21,59.46,60.54,40239
