date,tic,open,high,low,close,volume
2021-01-04,PODD,258.29,258.29,245.005,251.19,23420
2021-01-05,PODD,251.85,254.915,249.95,253.755,20422
2021-01-06,PODD,251.165,255.04,251.165,252.515,21806
2021-01-07,PODD,254.59,260.23,253.27,259.105,23957
2021-01-08,PODD,260.73,266.905,260.73,266.01,13650
2021-01-11,PODD,265.45,265.45,253.57,254.235,29573
2021-01-12,PODD,256.41,268.165,255.16,265.82,33013
2021-01-13,PODD,264.31,273.84,260.01,271.11,34314
2021-01-14,PODD,269.01,285.2,269.01,284.39,111605
2021-01-15,PODD,285.97,288.265,274.425,281.43,33606
2021-01-19,PODD,283.9,288.52,281.655,284.55,25589
2021-01-20,PODD,287.03,297.21,286.315,293.32,39694
2021-01-21,PODD,289.22,293.89,289.11,290.59,17848
2021-01-22,PODD,290.63,291.99,286.44,290.77,17392
2021-01-25,PODD,292.585,297.45,286.435,288.87,31265
2021-01-26,PODD,293.385,293.385,277.94,284.93,41087
2021-01-27,PODD,274.445,274.57,259.405,259.985,48967
2021-01-28,PODD,259.65,276.43,258.0,275.53,25328
2021-01-29,PODD,267.57,276.64,266.85,266.88,21307
2021-02-01,PODD,272.6,272.6,263.36,263.59,27488
2021-02-02,PODD,269.87,275.575,269.87,274.83,17906
2021-02-03,PODD,274.98,277.01,271.66,274.345,9720
2021-02-04,PODD,277.68,281.22,277.49,278.06,12335
2021-02-05,PODD,279.23,283.12,279.09,281.17,16853
2021-02-08,PODD,283.67,284.815,279.6,280.81,11879
2021-02-09,PODD,282.75,283.33,278.88,282.77,10700
2021-02-10,PODD,285.085,285.085,279.635,280.6,14946
2021-02-11,PODD,283.51,287.24,283.51,286.92,10697
2021-02-12,PODD,287.885,290.475,284.04,290.44,12513
2021-02-16,PODD,290.13,290.68,278.005,281.88,13058
2021-02-17,PODD,278.32,281.51,273.765,279.24,15042
2021-02-18,PODD,275.54,278.5,272.85,273.5,19173
2021-02-19,PODD,274.71,280.67,273.45,274.19,16902
2021-02-22,PODD,271.87,271.87,255.505,256.8,66829
2021-02-23,PODD,252.92,261.97,244.02,260.96,38822
2021-02-24,PODD,262.0,277.96,260.69,262.455,43437
2021-02-25,PODD,265.21,273.325,258.36,262.72,24776
2021-02-26,PODD,266.27,269.02,258.81,259.14,46302
2021-03-01,PODD,266.5,271.86,259.71,270.75,37580
2021-03-02,PODD,271.61,271.61,259.935,266.04,16119
2021-03-03,PODD,262.685,262.685,249.74,252.83,31999
2021-03-04,PODD,250.865,251.525,240.07,242.19,35845
2021-03-05,PODD,244.79,252.78,231.86,251.61,35000
2021-03-08,PODD,245.28,247.69,234.26,236.41,46622
2021-03-09,PODD,240.265,254.235,240.265,247.45,33322
2021-03-10,PODD,249.58,253.96,244.16,245.72,36725
2021-03-11,PODD,247.1,259.44,246.71,259.44,9913
2021-03-12,PODD,257.24,261.93,253.11,261.93,54974
2021-03-15,PODD,261.74,273.875,260.985,269.775,61898
2021-03-16,PODD,268.085,271.49,262.99,265.6,223439
2021-03-17,PODD,260.655,261.63,252.765,260.09,46302
2021-03-18,PODD,253.15,257.19,250.15,251.73,28579
2021-03-19,PODD,256.58,261.45,253.8,260.135,22492
2021-03-22,PODD,258.96,272.395,258.96,269.44,40606
2021-03-23,PODD,268.33,280.12,268.33,276.61,66839
2021-03-24,PODD,270.92,270.92,258.365,263.48,44057
2021-03-25,PODD,261.01,264.21,250.57,258.69,23006
2021-03-26,PODD,258.65,267.16,256.49,266.81,30894
2021-03-29,PODD,263.895,265.55,258.595,259.54,34038
2021-03-30,PODD,256.61,265.13,256.19,261.2,22237
2021-03-31,PODD,262.595,265.675,259.925,260.85,44150
2021-04-01,PODD,267.19,272.93,262.955,264.94,37685
2021-04-05,PODD,265.42,269.36,261.82,269.15,44160
2021-04-06,PODD,270.88,280.845,270.88,277.17,27989
2021-04-07,PODD,275.92,279.59,275.9,278.16,30254
2021-04-08,PODD,282.935,289.9,282.935,284.725,37444
2021-04-09,PODD,283.47,286.995,282.095,286.835,18645
2021-04-12,PODD,284.17,285.7,279.17,284.56,8810
2021-04-13,PODD,288.32,288.72,286.09,288.06,6516
2021-04-14,PODD,290.58,291.24,284.45,284.45,15187
2021-04-15,PODD,288.75,295.47,287.55,294.535,18846
2021-04-16,PODD,295.81,298.06,292.27,297.11,42663
2021-04-19,PODD,294.06,294.455,278.25,281.67,30977
2021-04-20,PODD,278.47,285.43,278.47,283.835,26527
2021-04-21,PODD,283.42,288.05,283.21,284.93,16128
2021-04-22,PODD,286.71,289.08,281.61,284.145,22817
2021-04-23,PODD,285.43,296.76,283.98,295.28,35595
2021-04-26,PODD,294.59,300.25,292.065,298.41,10482
2021-04-27,PODD,298.955,304.96,295.31,304.35,13093
2021-04-28,PODD,301.88,305.38,300.025,303.14,15316
2021-04-29,PODD,302.43,305.535,299.69,301.22,18642
2021-04-30,PODD,300.03,303.03,292.73,295.035,24404
2021-05-03,PODD,296.86,296.86,280.86,281.95,26436
2021-05-04,PODD,277.43,278.98,268.55,271.84,32329
2021-05-05,PODD,273.0,273.0,264.2,264.2,49245
2021-05-06,PODD,262.705,263.505,245.54,252.96,122992
2021-05-07,PODD,243.335,246.525,233.85,234.24,219714
2021-05-10,PODD,233.62,238.315,224.43,226.775,248049
2021-05-11,PODD,218.28,237.41,218.28,230.01,104884
2021-05-12,PODD,226.045,228.805,223.96,225.53,77177
2021-05-13,PODD,227.75,235.07,223.52,225.935,46193
2021-05-14,PODD,228.14,235.875,227.255,232.55,64681
2021-05-17,PODD,230.945,234.75,224.85,228.23,56353
2021-05-18,PODD,230.64,244.07,230.64,236.5,41378
2021-05-19,PODD,234.05,239.82,232.15,239.82,28028
2021-05-20,PODD,241.37,253.58,241.37,253.06,60728
2021-05-21,PODD,254.885,259.08,249.27,253.49,100585
2021-05-24,PODD,257.86,258.91,254.545,256.87,29138
2021-05-25,PODD,258.01,262.64,257.64,259.97,47465
2021-05-26,PODD,256.825,264.025,256.825,263.42,35480
2021-05-27,PODD,261.83,272.985,261.83,272.48,41956
2021-05-28,PODD,279.36,280.71,269.325,269.62,29051
2021-06-01,PODD,270.845,270.88,263.6,264.51,39115
2021-06-02,PODD,266.24,268.41,262.23,263.91,24674
2021-06-03,PODD,262.875,264.965,258.545,264.21,24984
2021-06-04,PODD,263.735,273.11,263.43,271.83,30141
2021-06-07,PODD,271.645,277.17,271.645,276.015,23529
2021-06-08,PODD,277.77,279.58,272.78,278.36,38807
2021-06-09,PODD,279.75,281.375,272.49,273.4,32353
2021-06-10,PODD,270.4,282.0,270.4,280.97,29949
2021-06-11,PODD,280.95,282.29,279.15,282.29,51391
2021-06-14,PODD,280.85,284.58,279.34,283.92,31852
2021-06-15,PODD,284.545,286.25,277.55,277.55,14293
2021-06-16,PODD,277.71,280.51,274.78,279.0,30887
2021-06-17,PODD,279.92,287.09,278.47,284.94,27151
2021-06-18,PODD,284.21,288.49,280.29,280.29,34884
2021-06-21,PODD,276.51,281.76,273.055,281.63,13965
2021-06-22,PODD,281.37,282.74,277.59,282.165,27238
2021-06-23,PODD,281.49,283.01,279.35,280.43,30660
2021-06-24,PODD,287.605,287.605,277.0,277.235,24237
2021-06-25,PODD,279.24,279.24,276.95,278.37,11304
2021-06-28,PODD,280.87,283.7,280.34,283.13,12778
2021-06-29,PODD,283.9,286.04,282.435,283.58,15008
2021-06-30,PODD,280.555,281.675,273.83,274.955,23313
2021-07-01,PODD,275.35,280.595,275.22,278.73,18718
2021-07-02,PODD,280.64,283.23,280.4,281.235,23968
2021-07-06,PODD,281.32,288.41,281.32,286.84,23880
2021-07-07,PODD,286.27,287.375,283.7,284.07,12111
2021-07-08,PODD,277.01,284.81,276.37,282.57,22572
2021-07-09,PODD,282.07,284.82,280.7,280.7,14096
2021-07-12,PODD,280.51,280.525,274.43,274.97,10149
2021-07-13,PODD,272.845,273.46,267.5,268.88,18812
2021-07-14,PODD,268.38,268.38,254.92,260.76,133331
2021-07-15,PODD,257.02,261.6,255.57,260.05,42718
2021-07-16,PODD,263.2,271.81,262.7,268.715,16361
2021-07-19,PODD,266.06,270.085,262.73,265.17,10514
2021-07-20,PODD,266.76,275.46,266.44,272.98,30174
2021-07-21,PODD,272.615,272.615,266.82,271.63,16372
2021-07-22,PODD,271.23,274.26,270.79,271.77,16287
2021-07-23,PODD,269.825,276.51,269.47,276.51,26791
2021-07-26,PODD,272.03,272.03,262.7,263.76,19447
2021-07-27,PODD,262.35,266.895,260.505,266.74,14568
2021-07-28,PODD,270.21,274.825,270.21,272.47,20058
2021-07-29,PODD,274.38,275.195,272.985,273.74,17635
2021-07-30,PODD,270.55,283.08,270.55,279.995,25870
2021-08-02,PODD,280.89,280.89,275.375,278.38,19493
2021-08-03,PODD,278.08,280.19,277.01,278.62,19478
2021-08-04,PODD,279.6,281.28,277.15,279.0,16108
2021-08-05,PODD,278.84,280.71,273.945,280.22,35553
2021-08-06,PODD,278.335,278.335,256.315,276.25,225554
2021-08-09,PODD,277.26,290.64,274.32,286.65,74800
2021-08-10,PODD,286.04,289.1,276.45,279.44,64140
2021-08-11,PODD,278.99,279.67,272.59,275.01,33925
2021-08-12,PODD,275.61,282.37,275.61,281.39,27113
2021-08-13,PODD,281.05,287.77,281.05,287.59,22278
2021-08-16,PODD,287.39,294.38,285.2,292.955,29185
2021-08-17,PODD,292.01,303.06,291.835,302.66,67450
2021-08-18,PODD,302.76,302.76,295.15,296.495,30976
2021-08-19,PODD,294.04,298.17,293.08,294.65,12600
2021-08-20,PODD,296.89,297.87,293.8,294.34,26287
2021-08-23,PODD,293.01,295.67,291.15,292.63,15446
2021-08-24,PODD,292.465,300.54,292.18,300.27,13263
2021-08-25,PODD,298.41,301.37,296.63,299.89,19627
2021-08-26,PODD,299.125,302.485,294.04,294.12,27379
2021-08-27,PODD,294.29,298.86,294.29,295.17,11291
2021-08-30,PODD,298.16,300.55,295.94,296.28,15317
2021-08-31,PODD,296.15,299.04,295.92,297.94,22306
2021-09-01,PODD,296.345,300.0,296.345,299.86,17853
2021-09-02,PODD,300.495,304.74,299.07,301.195,19341
2021-09-03,PODD,301.48,303.0,299.15,302.6,16839
2021-09-07,PODD,304.02,309.76,303.05,307.43,20605
2021-09-08,PODD,305.775,306.075,299.68,302.61,31538
2021-09-09,PODD,303.125,308.01,302.365,302.365,11453
2021-09-10,PODD,303.88,303.88,293.27,295.77,16752
2021-09-13,PODD,289.88,296.13,288.25,295.08,21719
2021-09-14,PODD,297.11,297.11,292.47,294.12,16400
2021-09-15,PODD,292.54,294.305,290.23,291.41,14144
2021-09-16,PODD,290.64,291.46,286.3,287.58,23273
2021-09-17,PODD,286.255,292.48,284.465,292.375,19614
2021-09-20,PODD,290.68,290.68,285.55,289.62,11795
2021-09-21,PODD,292.05,296.09,292.05,293.225,9925
2021-09-22,PODD,290.64,292.915,287.76,287.76,12558
2021-09-23,PODD,290.02,290.555,287.15,290.46,12673
2021-09-24,PODD,290.05,291.16,287.98,289.165,8049
2021-09-27,PODD,285.875,286.72,282.24,286.5,34942
2021-09-28,PODD,282.49,282.49,276.55,276.55,36419
2021-09-29,PODD,278.72,285.21,278.72,279.0,18696
2021-09-30,PODD,283.22,285.44,280.33,284.135,25063
2021-10-01,PODD,286.01,287.67,278.32,285.12,27764
2021-10-04,PODD,280.265,280.865,272.34,279.385,26002
2021-10-05,PODD,280.0,289.51,277.755,286.965,25261
2021-10-06,PODD,287.81,291.86,284.125,291.86,28910
2021-10-07,PODD,292.165,296.77,290.45,293.12,20150
2021-10-08,PODD,291.5,295.26,290.195,291.06,12037
2021-10-11,PODD,290.44,295.73,290.44,293.26,7646
2021-10-12,PODD,296.34,301.77,295.395,297.375,15665
2021-10-13,PODD,297.67,301.5,297.67,300.18,15703
2021-10-14,PODD,304.99,304.99,301.74,303.975,22355
2021-10-15,PODD,301.545,304.89,300.12,300.3,12411
2021-10-18,PODD,297.8,297.8,288.24,292.07,29429
2021-10-19,PODD,295.25,303.64,295.25,299.98,16238
2021-10-20,PODD,302.4,303.2,298.56,299.09,12593
2021-10-21,PODD,298.98,303.58,298.98,303.17,9964
2021-10-22,PODD,304.74,306.675,302.74,304.435,7243
2021-10-25,PODD,304.935,308.47,301.98,302.03,12571
2021-10-26,PODD,301.035,305.01,301.035,303.915,12305
2021-10-27,PODD,303.11,303.16,297.24,298.99,15307
2021-10-28,PODD,298.18,309.61,298.18,309.61,25756
2021-10-29,PODD,309.0,312.38,299.0,310.03,33650
2021-11-01,PODD,313.16,313.23,305.01,308.92,29368
2021-11-02,PODD,306.17,313.22,306.17,312.81,28833
2021-11-03,PODD,314.37,315.24,305.155,311.95,28244
2021-11-04,PODD,304.77,308.825,297.505,302.06,74860
2021-11-05,PODD,299.85,323.62,299.85,308.01,65128
2021-11-08,PODD,306.585,317.52,306.585,313.46,49717
2021-11-09,PODD,317.75,322.795,314.79,318.35,32410
2021-11-10,PODD,317.065,320.62,305.915,307.525,12041
2021-11-11,PODD,307.885,315.72,307.07,314.94,17582
2021-11-12,PODD,317.93,317.93,313.97,314.41,8843
2021-11-15,PODD,313.31,317.08,313.31,316.14,31465
2021-11-16,PODD,319.6,321.23,317.1,317.21,11486
2021-11-17,PODD,312.215,315.18,310.69,310.69,13219
2021-11-18,PODD,312.8,312.8,302.69,302.85,15128
2021-11-19,PODD,303.295,306.185,300.695,301.08,17576
2021-11-22,PODD,300.365,301.79,294.26,298.86,22810
2021-11-23,PODD,292.69,296.505,285.02,290.69,31128
2021-11-24,PODD,291.995,299.93,286.62,298.0,12129
2021-11-26,PODD,298.67,301.79,294.475,295.54,14628
2021-11-29,PODD,295.505,299.65,295.04,295.76,27716
2021-11-30,PODD,294.46,296.56,287.43,288.49,29579
2021-12-01,PODD,292.09,292.57,283.18,283.22,35030
2021-12-02,PODD,283.34,288.62,283.255,287.34,26812
2021-12-03,PODD,287.58,287.58,250.86,262.9,142996
2021-12-06,PODD,264.75,270.165,256.68,259.45,47476
2021-12-07,PODD,265.77,273.49,265.265,272.63,27877
2021-12-08,PODD,269.95,283.86,269.95,277.14,35218
2021-12-09,PODD,279.515,281.81,268.73,268.73,28057
2021-12-10,PODD,268.84,271.425,261.005,262.87,66258
2021-12-13,PODD,264.91,265.88,257.06,264.39,34992
2021-12-14,PODD,261.03,262.19,253.205,255.59,55662
2021-12-15,PODD,260.33,272.65,260.33,268.82,31197
2021-12-16,PODD,269.11,269.11,258.395,259.085,32967
2021-12-17,PODD,256.5,266.305,253.94,262.15,65872
2021-12-20,PODD,261.025,264.555,253.56,257.065,38511
2021-12-21,PODD,258.35,265.885,255.265,265.88,16965
2021-12-22,PODD,267.605,269.66,260.51,269.66,25190
2021-12-23,PODD,269.33,276.0,267.74,272.89,16851
2021-12-27,PODD,272.03,275.49,270.76,272.9,15055
2021-12-28,PODD,271.66,271.66,262.88,266.55,34596
2021-12-29,PODD,268.075,270.705,265.47,270.705,22271
2021-12-30,PODD,274.505,274.9,269.27,269.71,18996
2021-12-31,PODD,269.43,271.58,266.1,266.33,11756
2022-01-03,PODD,268.93,276.0,265.18,276.0,28342
2022-01-04,PODD,279.23,282.43,268.715,274.11,39246
2022-01-05,PODD,272.67,276.45,255.365,255.365,28660
2022-01-06,PODD,254.15,263.62,250.49,260.09,39518
2022-01-07,PODD,254.89,260.19,249.83,250.04,25261
2022-01-10,PODD,240.1,242.595,232.05,240.71,42819
2022-01-11,PODD,241.34,246.69,236.215,245.88,19415
2022-01-12,PODD,250.23,250.79,242.27,242.6,18494
2022-01-13,PODD,239.635,249.68,236.16,242.22,32982
2022-01-14,PODD,237.23,242.85,235.985,242.545,67096
2022-01-18,PODD,237.35,239.115,232.98,234.33,42956
2022-01-19,PODD,238.15,240.0,232.08,235.01,51700
2022-01-20,PODD,240.265,240.96,231.67,232.88,44539
2022-01-21,PODD,230.815,230.815,223.0,223.81,49751
2022-01-24,PODD,218.11,223.285,211.3,223.0,105408
2022-01-25,PODD,219.205,221.22,210.96,211.605,51709
2022-01-26,PODD,215.22,215.22,197.71,198.93,99586
2022-01-27,PODD,201.71,202.97,193.78,194.93,167837
2022-01-28,PODD,220.65,230.57,211.22,230.57,313210
2022-01-31,PODD,234.98,248.87,234.955,248.14,173649
2022-02-01,PODD,247.43,248.33,244.505,248.0,45382
2022-02-02,PODD,253.72,255.07,247.43,253.24,64334
2022-02-03,PODD,248.92,252.36,240.0,241.68,30324
2022-02-04,PODD,240.74,244.62,238.46,242.89,35289
2022-02-07,PODD,242.35,250.26,241.97,242.35,31756
2022-02-08,PODD,238.71,248.33,237.28,247.19,19499
2022-02-09,PODD,252.45,257.18,248.1,256.54,44193
2022-02-10,PODD,252.53,262.04,249.595,252.56,48006
2022-02-11,PODD,250.0,257.46,245.01,247.87,51020
2022-02-14,PODD,251.535,251.87,245.0,245.88,90084
2022-02-15,PODD,253.42,254.38,250.7,254.36,16391
2022-02-16,PODD,250.4,253.72,246.14,252.86,19686
