date,tic,open,high,low,close,volume
2021-01-04,POOL,352.99,355.68,334.52,337.37,20089
2021-01-05,POOL,336.75,339.11,334.71,337.06,12243
2021-01-06,POOL,332.5,349.6,331.89,349.08,29118
2021-01-07,POOL,353.62,367.33,351.79,364.14,26186
2021-01-08,POOL,365.91,376.93,365.91,368.87,23193
2021-01-11,POOL,368.31,369.02,362.81,362.99,25718
2021-01-12,POOL,364.09,365.42,361.19,363.31,17736
2021-01-13,POOL,363.67,364.11,352.32,352.61,29168
2021-01-14,POOL,353.27,353.27,345.2,345.78,18514
2021-01-15,POOL,344.4,344.66,336.99,338.89,18813
2021-01-19,POOL,339.93,344.11,335.8,340.02,34855
2021-01-20,POOL,340.63,347.37,337.99,345.53,32145
2021-01-21,POOL,342.51,350.72,342.51,346.43,19547
2021-01-22,POOL,341.07,350.37,341.07,349.15,11018
2021-01-25,POOL,352.71,352.71,345.6,347.5,11034
2021-01-26,POOL,349.09,349.09,343.04,343.04,14828
2021-01-27,POOL,338.37,338.37,329.63,334.54,29081
2021-01-28,POOL,332.87,344.14,332.87,342.47,25954
2021-01-29,POOL,339.84,343.24,333.8,333.8,14739
2021-02-01,POOL,335.31,340.08,334.55,339.45,15477
2021-02-02,POOL,339.64,340.51,337.34,337.35,22978
2021-02-03,POOL,340.47,340.47,332.96,334.6,25822
2021-02-04,POOL,334.85,342.6,334.68,338.72,22216
2021-02-05,POOL,338.95,341.26,336.92,338.77,16940
2021-02-08,POOL,341.87,342.13,338.78,339.06,26346
2021-02-09,POOL,339.79,341.71,338.42,339.88,38269
2021-02-10,POOL,341.38,342.18,329.67,330.5,47358
2021-02-11,POOL,336.42,338.6,310.31,311.06,61262
2021-02-12,POOL,314.97,325.36,314.63,318.79,110872
2021-02-16,POOL,324.08,324.68,311.67,314.38,51616
2021-02-17,POOL,311.38,316.83,308.64,311.69,38324
2021-02-18,POOL,309.66,312.07,309.63,311.59,29101
2021-02-19,POOL,312.43,313.37,307.21,307.94,36658
2021-02-22,POOL,303.59,304.54,294.0,296.62,60092
2021-02-23,POOL,290.0,301.8,289.41,300.74,52359
2021-02-24,POOL,300.67,310.98,297.15,310.29,60681
2021-02-25,POOL,306.71,309.58,302.65,304.48,31361
2021-02-26,POOL,308.38,319.49,308.38,316.09,28761
2021-03-01,POOL,318.22,321.12,314.5,314.72,38584
2021-03-02,POOL,314.59,314.59,309.89,312.04,36679
2021-03-03,POOL,312.9,316.08,310.42,312.45,18476
2021-03-04,POOL,311.43,314.62,301.41,305.3,31179
2021-03-05,POOL,307.09,311.58,296.2,311.58,30385
2021-03-08,POOL,309.68,315.75,308.55,309.76,23756
2021-03-09,POOL,315.72,321.48,314.11,317.61,29075
2021-03-10,POOL,323.11,325.53,321.04,324.7,30512
2021-03-11,POOL,322.19,329.35,322.19,328.29,11435
2021-03-12,POOL,324.51,325.22,320.43,323.27,12268
2021-03-15,POOL,322.72,328.79,322.07,328.57,24415
2021-03-16,POOL,329.1,332.05,323.89,325.14,17032
2021-03-17,POOL,324.64,324.75,318.33,320.84,16293
2021-03-18,POOL,318.37,322.06,314.15,318.19,20445
2021-03-19,POOL,320.68,329.08,319.43,321.77,34196
2021-03-22,POOL,320.09,320.46,313.97,317.75,19130
2021-03-23,POOL,316.18,323.65,315.72,322.43,31086
2021-03-24,POOL,322.01,325.7,317.54,321.47,19175
2021-03-25,POOL,319.49,319.49,314.45,317.06,26145
2021-03-26,POOL,316.66,323.35,315.42,323.35,57077
2021-03-29,POOL,327.65,330.06,320.43,324.18,22162
2021-03-30,POOL,320.43,324.9,317.54,322.75,28055
2021-03-31,POOL,325.81,329.75,325.81,326.48,11516
2021-04-01,POOL,326.55,332.83,326.55,332.42,14247
2021-04-05,POOL,334.59,339.44,332.89,337.42,26983
2021-04-06,POOL,338.01,341.09,334.62,337.94,35555
2021-04-07,POOL,339.6,339.6,335.43,336.8,17420
2021-04-08,POOL,338.9,340.88,335.26,340.86,20036
2021-04-09,POOL,345.19,349.94,345.16,349.18,13583
2021-04-12,POOL,350.45,350.9,347.9,350.7,9053
2021-04-13,POOL,352.14,353.18,350.11,350.33,12215
2021-04-14,POOL,351.13,351.46,346.81,347.29,6893
2021-04-15,POOL,350.17,356.22,350.17,353.72,29480
2021-04-16,POOL,355.85,362.85,353.39,361.31,26481
