date,tic,open,high,low,close,volume
2021-01-04,PPG,131.3,131.36,127.67,128.06,88935
2021-01-05,PPG,128.35,131.16,128.35,130.74,96607
2021-01-06,PPG,132.34,135.69,132.34,134.94,164597
2021-01-07,PPG,135.75,137.11,135.44,136.6,90160
2021-01-08,PPG,136.66,136.66,133.68,134.36,67241
2021-01-11,PPG,133.09,135.87,132.97,135.46,53013
2021-01-12,PPG,135.38,137.94,134.57,137.1,74556
2021-01-13,PPG,136.86,138.64,135.96,137.72,91575
2021-01-14,PPG,138.69,139.32,137.03,137.57,92450
2021-01-15,PPG,136.05,136.06,132.79,134.1,156691
2021-01-19,PPG,134.97,135.32,131.36,131.36,103565
2021-01-20,PPG,132.37,132.56,129.42,131.05,62705
2021-01-21,PPG,131.36,131.58,129.23,130.1,103789
2021-01-22,PPG,125.73,128.68,124.85,124.85,128587
2021-01-25,PPG,124.52,127.93,122.59,127.39,109254
2021-01-26,PPG,129.14,129.74,127.44,127.72,101610
2021-01-27,PPG,126.1,127.23,123.7,126.79,138424
2021-01-28,PPG,127.93,129.71,126.05,126.05,94443
2021-01-29,PPG,124.92,124.92,121.26,121.99,133307
2021-02-01,PPG,123.41,125.85,122.51,125.57,98754
2021-02-02,PPG,126.85,128.98,125.37,127.43,116435
2021-02-03,PPG,126.88,128.12,126.27,126.78,82945
2021-02-04,PPG,127.22,127.61,126.12,126.16,158071
2021-02-05,PPG,127.21,127.21,125.21,126.86,64380
2021-02-08,PPG,127.71,128.35,126.62,127.04,41738
2021-02-09,PPG,126.64,126.64,124.23,124.3,64505
2021-02-10,PPG,125.23,125.68,124.15,124.93,74511
2021-02-11,PPG,125.14,126.12,124.21,125.06,64542
2021-02-12,PPG,124.26,125.8,123.96,125.5,65569
2021-02-16,PPG,126.4,126.4,123.59,124.46,44512
2021-02-17,PPG,123.34,124.58,122.09,123.83,57940
2021-02-18,PPG,123.06,124.31,122.59,123.96,58928
2021-02-19,PPG,124.28,125.25,123.68,124.37,81858
2021-02-22,PPG,123.34,123.83,122.07,122.3,128245
2021-02-23,PPG,122.44,123.51,120.24,122.84,86394
2021-02-24,PPG,123.52,125.45,123.29,124.55,49807
2021-02-25,PPG,124.2,124.68,122.0,122.9,56238
2021-02-26,PPG,123.16,123.69,121.71,122.71,74827
2021-03-01,PPG,124.6,126.29,124.6,125.43,34284
2021-03-02,PPG,126.31,129.52,125.88,128.07,124895
2021-03-03,PPG,128.26,128.56,127.02,127.07,78004
2021-03-04,PPG,126.99,127.55,122.88,125.26,76075
2021-03-05,PPG,126.4,129.88,125.76,129.73,86364
2021-03-08,PPG,130.14,135.03,130.14,132.91,98420
2021-03-09,PPG,133.51,134.66,132.68,132.91,76664
2021-03-10,PPG,133.93,136.41,133.14,135.03,77314
2021-03-11,PPG,135.56,135.63,132.67,132.92,48645
2021-03-12,PPG,133.32,134.0,131.07,132.18,86131
2021-03-15,PPG,131.83,132.22,129.82,131.97,71287
2021-03-16,PPG,132.28,132.61,129.69,131.56,53994
2021-03-17,PPG,131.83,133.62,131.56,133.31,62785
2021-03-18,PPG,133.3,136.65,132.68,136.3,76676
2021-03-19,PPG,135.6,135.68,134.04,134.15,67446
2021-03-22,PPG,133.69,134.9,133.52,134.59,65611
2021-03-23,PPG,134.21,135.96,133.56,134.22,138516
2021-03-24,PPG,134.39,136.91,134.34,134.8,54427
2021-03-25,PPG,135.11,138.68,134.14,138.62,71401
2021-03-26,PPG,139.63,140.9,138.25,140.85,102992
2021-03-29,PPG,140.64,142.02,140.32,141.46,38188
2021-03-30,PPG,141.78,142.39,138.76,138.99,71898
2021-03-31,PPG,138.68,139.25,136.37,136.71,93348
2021-04-01,PPG,136.96,138.27,135.53,138.26,68673
2021-04-05,PPG,137.98,140.13,137.98,139.67,93457
2021-04-06,PPG,139.33,140.11,138.53,139.64,100995
2021-04-07,PPG,139.73,139.73,133.56,134.58,120868
2021-04-08,PPG,134.9,136.42,133.64,134.7,76264
2021-04-09,PPG,135.66,136.97,135.25,136.87,36129
2021-04-12,PPG,136.6,138.44,136.6,137.75,64034
2021-04-13,PPG,137.03,137.74,135.84,137.51,45494
2021-04-14,PPG,137.0,138.65,136.8,137.25,78076
2021-04-15,PPG,137.96,140.07,137.96,140.04,134522
2021-04-16,PPG,152.35,157.02,151.96,152.3,389689
2021-04-20,PPG,153.43,155.34,153.13,153.72,97280
2021-04-21,PPG,153.94,158.16,153.94,157.93,124999
2021-04-22,PPG,157.38,158.52,155.6,156.02,78416
2021-04-23,PPG,155.75,159.23,155.75,158.85,68311
2021-04-26,PPG,159.72,160.67,157.13,157.48,77727
2021-04-27,PPG,156.77,157.28,155.72,156.76,71190
2021-04-28,PPG,156.36,157.96,156.36,156.97,54613
2021-04-29,PPG,157.1,157.73,156.11,157.57,46375
2021-04-30,PPG,157.36,157.78,154.75,155.84,70961
2021-05-03,PPG,157.25,158.26,156.74,157.38,40402
2021-05-04,PPG,157.15,163.25,157.14,162.59,136697
2021-05-05,PPG,161.48,163.56,160.78,162.84,99173
2021-05-06,PPG,163.29,163.9,161.92,163.9,55955
2021-05-07,PPG,163.65,164.02,162.36,163.82,40629
2021-05-10,PPG,164.11,165.42,163.57,163.58,41630
2021-05-11,PPG,163.72,163.81,161.02,163.26,74555
2021-05-12,PPG,162.66,162.66,158.28,158.59,35969
2021-05-13,PPG,158.92,162.8,158.92,162.45,83035
2021-05-14,PPG,163.06,164.06,161.72,163.49,38371
2021-05-17,PPG,163.55,164.6,162.13,163.8,58766
2021-05-18,PPG,164.49,164.61,161.71,161.71,34082
2021-05-19,PPG,160.61,161.13,158.75,161.0,37196
2021-05-20,PPG,161.9,163.2,161.06,161.94,45104
2021-05-21,PPG,163.37,165.01,162.86,162.86,26976
2021-05-24,PPG,163.63,164.5,162.81,163.93,22946
2021-05-25,PPG,164.23,164.51,163.32,163.35,15447
2021-05-26,PPG,162.97,163.68,162.55,163.09,49440
2021-05-27,PPG,164.3,165.22,163.74,164.86,90145
2021-05-28,PPG,164.73,164.86,162.91,163.98,21697
2021-06-01,PPG,165.81,166.92,164.03,164.9,44228
2021-06-02,PPG,165.85,165.85,163.28,164.63,52540
2021-06-03,PPG,163.77,165.22,163.2,165.12,34199
2021-06-04,PPG,165.84,166.52,165.04,166.29,15690
2021-06-07,PPG,166.7,166.82,163.72,164.24,30671
2021-06-08,PPG,163.17,163.82,161.75,163.4,35486
2021-06-09,PPG,162.29,163.17,161.32,161.54,30688
2021-06-10,PPG,162.64,162.93,161.16,161.87,28273
2021-06-11,PPG,162.98,162.98,161.25,161.93,14476
2021-06-14,PPG,161.5,162.01,158.82,160.03,47108
2021-06-15,PPG,160.57,161.2,159.22,160.9,45279
2021-06-16,PPG,160.63,160.79,158.97,159.43,57017
2021-06-17,PPG,159.21,159.21,154.26,156.2,95710
2021-06-18,PPG,154.0,155.26,153.18,153.41,62859
2021-06-21,PPG,154.58,157.03,154.58,156.54,43630
2021-06-22,PPG,156.4,157.86,156.03,156.52,35560
2021-06-23,PPG,156.35,156.52,154.65,154.77,25918
2021-06-24,PPG,155.16,155.21,153.77,154.77,33155
2021-06-25,PPG,155.17,155.76,152.17,152.53,51252
2021-06-28,PPG,152.03,153.79,151.11,153.65,102040
2021-06-29,PPG,155.53,155.53,153.3,153.77,53715
2021-06-30,PPG,153.01,155.19,153.01,154.96,66841
2021-07-01,PPG,155.88,156.3,154.39,155.09,24256
2021-07-02,PPG,154.74,155.9,153.91,155.72,26639
2021-07-06,PPG,155.31,155.31,152.14,154.26,51304
2021-07-07,PPG,154.29,157.39,154.29,157.16,45956
2021-07-08,PPG,155.65,155.65,153.29,154.15,68037
2021-07-09,PPG,155.56,157.22,155.2,156.39,58816
2021-07-12,PPG,155.01,157.23,154.67,157.0,27532
2021-07-13,PPG,156.15,156.51,154.68,155.08,31672
2021-07-14,PPG,155.04,156.41,154.07,155.27,38727
2021-07-15,PPG,155.31,156.76,154.92,156.45,54877
