date,tic,open,high,low,close,volume
2021-01-04,PRU,61.47,61.49,59.5,60.03,53219
2021-01-05,PRU,60.03,61.24,59.8,60.55,44356
2021-01-06,PRU,62.35,65.1,62.12,64.2,143409
2021-01-07,PRU,64.91,65.16,63.88,63.88,57476
2021-01-08,PRU,63.92,64.11,62.34,63.44,62008
2021-01-11,PRU,62.69,63.77,62.64,63.46,33100
2021-01-12,PRU,64.02,65.05,63.69,64.69,51325
2021-01-13,PRU,64.11,64.76,63.81,64.62,33620
2021-01-14,PRU,64.89,66.42,64.84,65.9,54894
2021-01-15,PRU,65.65,66.01,64.59,65.72,77851
2021-01-19,PRU,66.08,67.3,65.77,66.71,109923
2021-01-20,PRU,66.54,66.57,65.73,66.01,43072
2021-01-21,PRU,66.03,66.25,65.11,65.11,39910
2021-01-22,PRU,64.52,65.11,64.04,64.95,67967
2021-01-25,PRU,63.89,64.58,63.36,64.42,64124
2021-01-26,PRU,64.63,64.87,63.75,63.81,77907
2021-01-27,PRU,62.86,62.96,62.06,62.21,132673
2021-01-28,PRU,63.11,64.62,62.9,63.8,93313
2021-01-29,PRU,63.57,63.57,61.08,61.46,157843
2021-02-01,PRU,61.93,62.12,60.77,62.04,47234
2021-02-02,PRU,62.82,63.81,62.41,63.06,74346
2021-02-03,PRU,62.86,63.74,62.78,63.63,46882
2021-02-04,PRU,63.92,65.35,63.64,65.03,135494
2021-02-05,PRU,65.8,65.8,62.53,63.0,184718
2021-02-08,PRU,63.11,63.59,62.37,63.59,108107
2021-02-09,PRU,63.45,64.43,63.23,63.96,54649
2021-02-10,PRU,64.15,64.81,63.82,64.46,79577
2021-02-11,PRU,64.46,64.93,63.46,63.9,69465
2021-02-12,PRU,63.81,65.46,63.81,64.47,80749
2021-02-16,PRU,65.14,66.68,64.81,65.96,94350
2021-02-17,PRU,65.7,67.12,65.61,66.5,77219
2021-02-18,PRU,66.02,66.54,64.67,65.22,76315
2021-02-19,PRU,66.07,67.24,66.02,67.03,105342
2021-02-22,PRU,66.87,69.32,66.87,68.62,105726
2021-02-23,PRU,69.36,69.5,67.9,68.04,91674
2021-02-24,PRU,68.59,72.2,68.44,71.71,169225
2021-02-25,PRU,72.38,73.01,69.93,70.07,111493
2021-02-26,PRU,69.66,70.27,68.18,69.13,95632
2021-03-01,PRU,70.51,71.36,70.44,70.64,77106
2021-03-02,PRU,70.88,71.43,70.85,70.91,58983
2021-03-03,PRU,70.89,72.5,70.82,71.19,121856
2021-03-04,PRU,71.2,71.57,68.88,70.56,72861
2021-03-05,PRU,71.73,72.53,69.6,72.28,66108
2021-03-08,PRU,72.99,75.32,72.93,73.85,91393
2021-03-09,PRU,72.92,74.4,72.0,72.85,112190
2021-03-10,PRU,72.68,74.37,72.68,73.93,90853
2021-03-11,PRU,73.72,74.9,73.12,73.62,83000
2021-03-12,PRU,74.62,75.52,74.32,74.85,77352
2021-03-15,PRU,74.86,75.19,73.35,74.78,62845
2021-03-16,PRU,73.92,73.92,72.38,72.85,96841
2021-03-17,PRU,73.73,74.41,73.22,74.24,76698
2021-03-18,PRU,75.05,76.08,74.04,74.19,145170
2021-03-19,PRU,73.42,74.26,72.5,73.27,120426
2021-03-22,PRU,72.73,73.08,72.01,72.41,72716
2021-03-23,PRU,71.88,72.27,70.16,70.45,46158
2021-03-24,PRU,71.41,72.47,70.8,70.8,83407
2021-03-25,PRU,70.79,72.69,70.09,72.47,56929
