date,tic,open,high,low,close,volume
2021-01-04,PSA,186.5,186.5,177.51,177.55,68075
2021-01-05,PSA,177.25,178.73,174.42,175.3,53237
2021-01-06,PSA,174.7,175.82,171.26,172.53,144781
2021-01-07,PSA,173.29,176.26,172.28,175.57,68462
2021-01-08,PSA,177.25,180.23,176.93,179.69,36477
2021-01-11,PSA,179.7,179.7,176.03,178.56,43552
2021-01-12,PSA,177.02,179.79,177.02,179.38,37608
2021-01-13,PSA,179.94,181.92,179.94,181.4,66835
2021-01-14,PSA,180.33,180.91,178.24,178.62,58914
2021-01-15,PSA,178.48,181.82,178.37,181.0,48381
2021-01-19,PSA,181.15,181.15,176.88,177.98,37000
2021-01-20,PSA,177.63,182.16,177.51,181.61,46433
2021-01-21,PSA,180.4,181.43,178.73,179.06,41428
2021-01-22,PSA,179.91,180.46,178.95,179.85,48459
2021-01-25,PSA,179.77,182.7,179.16,182.05,40074
2021-01-26,PSA,182.21,184.46,182.21,183.41,38614
2021-01-27,PSA,184.21,184.55,181.55,183.76,74430
2021-01-28,PSA,182.95,185.71,182.71,183.65,43040
2021-01-29,PSA,181.8,185.52,181.58,183.61,51461
2021-02-01,PSA,184.64,187.81,182.94,187.71,40687
2021-02-02,PSA,186.79,187.56,185.47,185.79,53338
2021-02-03,PSA,183.99,187.77,183.24,186.79,44542
2021-02-04,PSA,186.96,190.41,185.83,186.17,135064
2021-02-05,PSA,185.96,186.18,184.65,185.1,55298
2021-02-08,PSA,184.58,187.69,183.95,187.67,21675
2021-02-09,PSA,188.27,190.96,188.27,190.62,40112
2021-02-10,PSA,191.29,191.3,186.69,188.89,48061
2021-02-11,PSA,187.92,188.93,186.88,188.04,58620
2021-02-12,PSA,187.09,187.42,185.2,187.15,32912
2021-02-16,PSA,186.73,186.73,182.79,185.67,24494
2021-02-17,PSA,185.9,189.17,185.65,188.88,41627
2021-02-18,PSA,188.68,190.43,188.42,189.58,49501
2021-02-19,PSA,189.64,190.86,188.63,189.29,36305
2021-02-22,PSA,189.28,192.29,188.73,191.85,41110
2021-02-23,PSA,194.94,198.48,194.94,195.56,49016
2021-02-24,PSA,195.01,197.57,194.65,195.61,43274
2021-02-25,PSA,195.36,198.7,193.97,196.32,73921
2021-02-26,PSA,197.16,197.16,188.74,188.74,67496
2021-03-01,PSA,191.22,192.53,187.05,187.17,57088
2021-03-02,PSA,187.36,190.38,185.83,188.98,47227
2021-03-03,PSA,188.19,188.57,186.37,186.47,50595
2021-03-04,PSA,185.62,189.09,184.97,186.65,45235
2021-03-05,PSA,187.88,189.98,185.35,189.69,32203
2021-03-08,PSA,190.08,194.15,189.43,192.54,35765
2021-03-09,PSA,193.06,195.35,192.41,193.73,29693
2021-03-10,PSA,192.85,193.77,191.43,193.48,25807
2021-03-11,PSA,193.52,195.11,192.46,192.6,27427
2021-03-12,PSA,193.14,196.07,192.6,196.03,20775
2021-03-15,PSA,196.15,198.07,194.97,197.29,35608
2021-03-16,PSA,196.86,200.03,196.86,199.6,28668
2021-03-17,PSA,198.84,198.84,195.14,196.71,31153
2021-03-18,PSA,196.21,197.03,194.02,197.0,28563
2021-03-19,PSA,197.1,197.1,190.0,190.24,32205
2021-03-22,PSA,190.63,193.22,190.35,192.54,31124
2021-03-23,PSA,193.01,197.93,192.74,197.63,42925
2021-03-24,PSA,196.75,197.48,195.57,196.32,34004
2021-03-25,PSA,195.58,197.01,193.4,196.23,38904
2021-03-26,PSA,197.19,199.15,195.26,198.95,35867
2021-03-29,PSA,199.24,203.36,197.0,201.67,46221
2021-03-30,PSA,201.78,202.15,200.12,200.98,30039
2021-03-31,PSA,199.66,203.24,199.45,200.8,42142
2021-04-01,PSA,201.62,205.09,201.44,205.09,30399
2021-04-05,PSA,205.51,207.89,204.04,207.84,90227
2021-04-06,PSA,205.26,207.74,205.26,207.74,41659
2021-04-07,PSA,208.5,208.5,206.53,207.98,40262
2021-04-08,PSA,210.19,210.73,208.9,208.9,35672
2021-04-09,PSA,209.45,211.02,209.45,209.99,42007
2021-04-12,PSA,210.14,212.57,209.8,212.29,30130
2021-04-13,PSA,212.94,217.4,212.94,217.28,21032
2021-04-14,PSA,216.01,216.31,213.84,214.43,24791
2021-04-15,PSA,215.88,218.16,215.8,217.44,21858
2021-04-16,PSA,217.41,218.31,217.09,217.1,33064
2021-04-20,PSA,221.64,224.76,221.64,222.36,53322
2021-04-21,PSA,222.96,224.25,221.65,222.46,24955
2021-04-22,PSA,222.67,225.32,221.81,225.08,22073
2021-04-23,PSA,225.23,225.95,224.1,225.33,17210
2021-04-26,PSA,225.8,226.37,223.16,223.74,25747
2021-04-27,PSA,223.57,224.37,222.91,224.03,23309
2021-04-28,PSA,223.89,224.57,222.2,222.29,27907
2021-04-29,PSA,223.01,227.72,223.01,227.65,63415
2021-04-30,PSA,226.3,229.43,225.88,228.54,34051
2021-05-03,PSA,228.61,229.39,224.68,226.29,35291
2021-05-04,PSA,227.79,230.22,226.49,227.39,42083
2021-05-05,PSA,226.62,226.62,222.56,223.39,45402
2021-05-06,PSA,223.81,225.1,222.92,223.99,29957
2021-05-07,PSA,223.31,225.79,223.07,225.55,21965
2021-05-10,PSA,226.47,227.56,225.17,225.62,44463
2021-05-11,PSA,223.25,224.2,221.64,223.24,35967
2021-05-12,PSA,222.91,224.0,219.31,219.57,39510
2021-05-13,PSA,220.19,224.29,219.53,222.96,46601
2021-05-14,PSA,222.17,223.7,221.58,222.54,26199
2021-05-17,PSA,223.46,225.88,222.57,225.01,25938
2021-05-18,PSA,223.46,225.08,222.86,224.06,24846
2021-05-19,PSA,222.89,224.84,220.06,224.84,35836
