date,tic,open,high,low,close,volume
2021-01-04,PYPL,237.18,237.31,227.1,231.56,337903
2021-01-05,PYPL,229.27,235.06,229.27,234.6,208239
2021-01-06,PYPL,228.69,231.45,225.25,226.59,363610
2021-01-07,PYPL,228.89,235.04,228.89,234.45,331669
2021-01-08,PYPL,236.98,242.31,235.6,242.13,265711
2021-01-11,PYPL,237.14,240.21,233.55,236.9,214294
2021-01-12,PYPL,236.97,237.83,233.47,237.24,209237
2021-01-13,PYPL,236.22,246.8,236.22,244.39,322085
2021-01-14,PYPL,246.6,249.27,240.98,241.45,335631
2021-01-15,PYPL,242.16,243.88,234.49,239.55,286327
2021-01-19,PYPL,242.72,248.03,240.54,246.74,268920
2021-01-20,PYPL,248.54,249.07,243.57,243.77,386031
2021-01-21,PYPL,246.13,249.68,243.03,247.93,721517
2021-01-22,PYPL,246.2,253.73,245.8,251.14,445345
2021-01-25,PYPL,253.51,253.61,241.73,247.3,342489
2021-01-26,PYPL,246.8,248.18,239.48,240.52,543144
2021-01-27,PYPL,233.61,234.84,224.67,229.3,488463
2021-01-28,PYPL,234.6,240.91,231.83,237.23,491682
2021-01-29,PYPL,238.15,240.25,232.28,233.86,695536
2021-02-01,PYPL,237.59,243.56,234.96,241.09,290955
2021-02-02,PYPL,243.04,249.55,240.06,248.65,266134
2021-02-03,PYPL,253.37,253.4,246.82,251.52,522094
2021-02-04,PYPL,264.27,274.25,260.36,270.08,1023048
2021-02-05,PYPL,268.47,269.3,264.19,269.0,297019
2021-02-08,PYPL,276.42,282.03,274.49,281.78,521066
2021-02-09,PYPL,280.0,286.19,276.45,283.45,445399
2021-02-10,PYPL,284.72,285.16,277.95,282.41,785639
2021-02-11,PYPL,286.5,301.32,281.02,284.4,1111495
2021-02-12,PYPL,291.69,298.58,288.68,297.62,497696
2021-02-16,PYPL,305.29,308.34,297.83,304.29,586260
2021-02-17,PYPL,297.02,300.67,289.96,296.67,358894
2021-02-18,PYPL,290.71,292.27,284.42,290.18,355578
2021-02-19,PYPL,291.45,292.94,284.81,286.39,348317
2021-02-22,PYPL,280.57,283.72,272.66,273.08,684975
2021-02-23,PYPL,259.09,266.49,252.06,264.38,1354668
2021-02-24,PYPL,264.81,268.01,258.54,265.4,458690
2021-02-25,PYPL,263.09,265.01,250.96,253.42,609295
2021-02-26,PYPL,257.25,261.03,252.8,259.39,457146
2021-03-01,PYPL,267.55,273.88,265.15,273.21,533336
2021-03-02,PYPL,274.93,276.85,268.34,268.34,384671
