date,tic,open,high,low,close,volume
2021-01-04,QCOM,137.36,139.29,132.14,133.36,317242
2021-01-05,QCOM,133.75,137.05,133.39,136.91,346915
2021-01-06,QCOM,136.09,138.1,134.3,135.78,194632
2021-01-07,QCOM,136.89,140.36,136.74,139.69,181407
2021-01-08,QCOM,141.1,141.38,138.81,140.7,251786
2021-01-11,QCOM,140.09,141.97,139.2,140.04,146405
2021-01-12,QCOM,140.66,140.8,138.27,138.73,159151
2021-01-13,QCOM,139.52,141.81,138.09,141.47,161442
2021-01-14,QCOM,143.01,146.53,142.44,144.61,373189
2021-01-15,QCOM,144.37,144.37,140.93,141.01,352333
2021-01-19,QCOM,142.66,147.32,142.65,147.13,197576
2021-01-20,QCOM,148.01,150.81,147.7,147.82,341766
2021-01-21,QCOM,148.89,149.4,146.68,147.9,193916
2021-01-22,QCOM,147.32,147.49,145.1,146.03,191065
2021-01-25,QCOM,147.51,150.01,145.32,147.72,182007
2021-01-26,QCOM,147.59,147.75,144.54,146.08,244016
2021-01-27,QCOM,143.0,143.95,137.14,137.98,366787
2021-01-28,QCOM,140.05,142.72,137.53,139.62,301899
2021-01-29,QCOM,142.94,144.25,139.06,140.21,360180
2021-02-01,QCOM,141.71,145.76,140.6,145.12,354279
2021-02-02,QCOM,147.83,148.51,144.85,148.07,297565
2021-02-03,QCOM,150.33,150.33,145.32,145.75,330820
2021-02-04,QCOM,135.05,136.12,130.39,132.9,1637135
2021-02-05,QCOM,133.65,133.65,129.88,130.95,750822
2021-02-08,QCOM,132.09,132.5,130.51,132.4,358563
2021-02-09,QCOM,132.62,133.32,131.06,131.11,292939
2021-02-10,QCOM,132.56,132.6,129.67,130.49,357027
2021-02-11,QCOM,131.0,131.55,128.9,130.79,367226
2021-02-12,QCOM,130.74,132.88,130.12,132.87,250957
2021-02-16,QCOM,133.79,134.47,131.19,132.17,336451
2021-02-17,QCOM,130.95,131.89,128.84,129.78,380499
2021-02-18,QCOM,128.87,129.94,128.41,129.19,236991
2021-02-19,QCOM,130.11,130.89,128.86,130.16,246437
2021-02-22,QCOM,127.69,129.39,124.92,125.21,460914
2021-02-23,QCOM,122.22,124.35,120.77,123.04,685351
2021-02-24,QCOM,122.4,126.77,121.33,126.72,409135
2021-02-25,QCOM,125.33,126.38,121.27,121.52,332292
2021-02-26,QCOM,122.81,123.98,121.12,122.38,344797
2021-03-01,QCOM,123.43,125.36,122.58,125.33,250799
2021-03-02,QCOM,125.75,125.77,122.86,122.87,223497
2021-03-03,QCOM,122.46,122.77,118.72,118.72,448171
2021-03-04,QCOM,119.3,121.1,114.24,115.23,589149
2021-03-05,QCOM,118.27,118.27,113.2,117.15,457014
2021-03-08,QCOM,116.42,117.08,111.01,111.12,560393
2021-03-09,QCOM,114.96,117.24,114.04,116.52,397362
2021-03-10,QCOM,118.12,118.26,115.2,115.21,442108
2021-03-11,QCOM,118.02,120.21,117.58,118.83,434494
2021-03-12,QCOM,117.11,117.6,115.19,117.26,358934
2021-03-15,QCOM,117.38,118.91,116.61,118.79,275548
2021-03-16,QCOM,119.97,122.2,119.39,120.57,397143
2021-03-17,QCOM,118.49,122.29,117.04,120.86,430591
2021-03-18,QCOM,119.54,120.57,117.05,117.06,339695
2021-03-19,QCOM,117.37,119.55,116.67,118.39,299843
2021-03-22,QCOM,119.91,122.32,119.7,121.0,300697
2021-03-23,QCOM,121.05,121.22,118.63,119.44,255969
2021-03-24,QCOM,120.01,120.01,114.77,114.84,566977
2021-03-25,QCOM,113.96,115.15,112.3,114.82,330659
2021-03-26,QCOM,114.77,120.27,114.68,120.2,372487
2021-03-29,QCOM,119.65,120.27,117.17,118.45,394191
2021-03-30,QCOM,117.47,118.24,116.47,117.41,569960
2021-03-31,QCOM,118.32,120.48,117.89,119.74,253722
2021-04-01,QCOM,121.4,124.9,120.58,124.37,378051
2021-04-05,QCOM,125.53,126.79,124.76,126.75,260494
2021-04-06,QCOM,126.33,126.34,124.24,124.64,322620
2021-04-07,QCOM,124.8,126.28,124.0,125.78,185174
2021-04-08,QCOM,126.34,126.67,125.27,126.67,183773
2021-04-09,QCOM,126.27,126.92,125.37,126.87,142186
2021-04-12,QCOM,125.3,126.18,122.79,124.08,293847
2021-04-13,QCOM,124.92,125.21,122.53,123.93,177970
2021-04-14,QCOM,123.6,124.38,120.9,121.56,297371
2021-04-15,QCOM,122.8,124.52,122.35,124.43,266074
2021-04-16,QCOM,124.43,125.44,123.35,124.69,223493
2021-04-19,QCOM,123.42,123.63,121.03,121.97,282348
2021-04-20,QCOM,121.42,121.61,119.84,120.3,258949
2021-04-21,QCOM,120.03,123.04,119.57,123.04,184252
2021-04-22,QCOM,122.41,122.65,119.56,120.02,247529
2021-04-23,QCOM,120.66,122.81,120.57,122.23,218326
2021-04-26,QCOM,122.06,126.06,122.0,125.43,352257
2021-04-27,QCOM,125.18,125.66,123.63,124.55,348637
2021-04-28,QCOM,124.69,124.72,122.62,123.6,388512
2021-04-29,QCOM,130.74,131.03,126.96,128.75,665662
2021-04-30,QCOM,127.3,128.16,124.81,125.2,421251
2021-05-03,QCOM,126.04,126.04,123.52,123.92,195067
2021-05-04,QCOM,122.55,122.55,119.55,121.13,407602
2021-05-05,QCOM,122.8,123.12,121.04,121.46,218626
2021-05-06,QCOM,121.37,123.18,120.12,122.83,287022
2021-05-07,QCOM,123.75,125.14,123.07,124.46,291779
2021-05-10,QCOM,123.31,123.31,116.26,116.32,575279
2021-05-11,QCOM,112.71,116.01,112.67,115.94,458630
2021-05-12,QCOM,113.73,114.66,111.63,112.48,537954
2021-05-13,QCOM,114.69,115.94,113.65,114.66,401382
2021-05-14,QCOM,116.08,118.58,115.36,117.47,304555
2021-05-17,QCOM,116.63,117.15,115.32,117.09,176916
2021-05-18,QCOM,117.77,118.42,116.24,116.29,278879
2021-05-19,QCOM,114.65,118.05,114.17,117.98,300522
2021-05-20,QCOM,118.81,120.21,118.74,119.69,308167
2021-05-21,QCOM,119.21,119.73,117.76,118.52,395228
2021-05-24,QCOM,119.02,120.93,118.97,119.94,235707
2021-05-25,QCOM,120.57,121.18,119.88,120.7,193751
2021-05-26,QCOM,120.82,121.35,119.33,120.11,278362
2021-05-27,QCOM,119.93,121.5,119.78,120.74,242090
2021-05-28,QCOM,121.09,122.38,120.9,121.41,251836
2021-06-01,QCOM,121.91,122.79,120.52,120.82,249222
2021-06-02,QCOM,120.91,122.17,120.19,121.37,227386
2021-06-03,QCOM,120.26,120.97,119.23,119.47,248169
2021-06-04,QCOM,120.2,122.48,119.97,121.86,260892
2021-06-07,QCOM,121.27,121.27,120.32,120.95,167821
2021-06-08,QCOM,121.55,122.79,120.63,121.7,276269
2021-06-09,QCOM,122.35,122.74,120.45,120.48,284903
2021-06-10,QCOM,120.83,122.49,120.4,121.68,217312
2021-06-11,QCOM,121.22,122.08,121.22,122.08,179917
2021-06-14,QCOM,122.63,124.53,122.26,124.52,317035
2021-06-15,QCOM,124.33,124.58,122.67,122.97,268736
2021-06-16,QCOM,123.56,124.31,121.24,122.39,569602
2021-06-17,QCOM,121.82,123.9,121.64,122.77,220372
2021-06-18,QCOM,121.86,122.03,119.96,120.65,221005
2021-06-21,QCOM,120.68,122.51,120.37,121.59,153674
2021-06-22,QCOM,121.58,122.71,120.9,122.54,184465
2021-06-23,QCOM,122.31,123.56,122.28,122.91,176378
2021-06-24,QCOM,124.06,125.63,123.76,125.06,197324
2021-06-25,QCOM,125.65,126.46,124.57,124.87,177878
2021-06-28,QCOM,125.39,127.11,125.17,126.74,157454
2021-06-29,QCOM,126.69,129.66,126.32,129.28,378927
2021-06-30,QCOM,129.12,130.14,128.69,129.68,193615
2021-07-01,QCOM,129.69,129.69,127.32,127.75,195683
2021-07-02,QCOM,128.68,129.4,128.19,129.26,155811
2021-07-06,QCOM,129.7,129.77,126.7,128.07,151084
2021-07-07,QCOM,128.98,129.05,126.18,126.97,163170
2021-07-08,QCOM,124.7,125.93,123.05,125.51,307587
2021-07-09,QCOM,125.32,128.54,125.03,128.19,226791
2021-07-12,QCOM,128.22,129.7,128.11,129.28,387239
2021-07-13,QCOM,129.2,129.29,127.39,128.08,196478
2021-07-14,QCOM,130.17,132.73,129.31,130.3,330591
2021-07-15,QCOM,130.52,130.62,127.64,128.32,211764
2021-07-16,QCOM,128.74,129.17,126.56,126.74,165890
2021-07-19,QCOM,125.52,125.96,124.12,125.9,222454
