date,tic,open,high,low,close,volume
2021-01-04,REG,37.45,37.7,35.95,36.23,95747
2021-01-05,REG,36.72,36.99,36.14,36.27,76389
2021-01-06,REG,37.02,37.81,36.81,37.31,71319
2021-01-07,REG,36.9,37.33,36.76,36.86,49684
2021-01-08,REG,36.93,37.26,36.67,37.23,32549
2021-01-11,REG,36.68,36.89,35.61,36.07,87265
2021-01-12,REG,36.13,36.67,36.05,36.66,32036
2021-01-13,REG,36.72,38.08,36.72,37.99,78908
2021-01-14,REG,38.18,38.88,37.91,38.54,70773
2021-01-15,REG,38.08,38.64,37.75,38.53,57622
2021-01-19,REG,38.65,38.65,37.58,38.42,25313
2021-01-20,REG,38.49,39.85,38.49,39.44,77424
2021-01-21,REG,38.93,39.16,38.03,38.37,36946
2021-01-22,REG,37.99,38.51,37.85,38.4,47874
2021-01-25,REG,38.45,39.81,38.1,39.07,106554
2021-01-26,REG,39.57,39.81,38.64,39.25,102173
2021-01-27,REG,38.94,39.75,38.39,38.53,107302
2021-01-28,REG,38.67,40.05,38.67,39.06,109765
2021-01-29,REG,38.56,39.54,37.95,38.67,99596
2021-02-01,REG,38.78,38.79,37.34,38.46,57228
2021-02-02,REG,38.34,38.74,38.0,38.4,39742
2021-02-03,REG,37.76,39.16,37.76,39.0,87602
2021-02-04,REG,38.98,40.49,38.98,40.25,110022
2021-02-05,REG,40.53,40.88,40.11,40.26,50335
2021-02-08,REG,40.43,40.43,39.74,40.11,81052
2021-02-09,REG,40.32,40.84,40.12,40.54,31727
2021-02-10,REG,40.79,41.71,40.68,41.03,38794
2021-02-11,REG,41.14,42.03,40.97,42.01,83051
2021-02-12,REG,41.75,43.17,41.75,43.13,94563
2021-02-16,REG,43.23,43.68,42.56,42.79,67645
2021-02-17,REG,42.8,43.6,42.62,43.59,53650
2021-02-18,REG,43.16,43.88,43.08,43.8,70613
2021-02-19,REG,43.79,44.01,43.07,43.25,51616
2021-02-22,REG,43.37,44.76,43.15,44.09,86725
2021-02-23,REG,44.6,45.35,44.27,45.24,63140
2021-02-24,REG,44.67,46.17,44.64,46.1,75704
2021-02-25,REG,44.83,46.37,44.53,45.24,77564
2021-02-26,REG,44.64,45.16,44.12,44.95,85960
2021-03-01,REG,45.63,46.26,45.29,45.33,80918
2021-03-02,REG,45.05,45.08,44.09,44.32,68902
2021-03-03,REG,44.46,46.73,44.32,46.4,111521
2021-03-04,REG,46.26,46.73,45.28,46.03,58352
2021-03-05,REG,46.36,47.47,45.36,47.26,68608
2021-03-08,REG,47.39,48.89,47.0,48.49,39650
2021-03-09,REG,47.96,48.18,47.16,47.95,142111
2021-03-10,REG,47.77,49.25,47.52,48.85,159958
2021-03-11,REG,48.53,49.24,48.19,48.32,71811
2021-03-12,REG,48.99,49.09,48.06,48.94,45459
2021-03-15,REG,49.19,49.19,47.71,48.76,42945
2021-03-16,REG,48.76,48.79,47.84,48.34,69730
2021-03-17,REG,48.28,48.55,47.91,48.14,41097
2021-03-18,REG,48.07,48.57,47.37,47.46,112879
2021-03-19,REG,47.35,47.52,46.23,46.41,66368
2021-03-22,REG,46.32,46.35,45.62,46.3,47060
2021-03-23,REG,46.32,46.32,45.19,45.35,35216
2021-03-24,REG,45.99,46.85,45.79,45.84,50133
2021-03-25,REG,45.47,47.21,45.11,47.19,101315
2021-03-26,REG,47.52,47.97,47.03,47.97,39927
2021-03-29,REG,47.29,47.54,46.42,46.94,58545
2021-03-30,REG,47.05,47.43,46.68,47.21,128231
2021-03-31,REG,46.72,47.29,46.5,46.94,60928
2021-04-01,REG,47.29,47.66,46.76,47.66,67048
2021-04-05,REG,47.92,47.92,46.72,47.38,51428
2021-04-06,REG,47.13,47.65,46.99,47.37,62278
2021-04-07,REG,47.66,48.2,47.18,48.18,50978
2021-04-08,REG,47.84,48.22,47.65,48.0,50003
2021-04-09,REG,48.14,48.41,47.97,48.27,75805
2021-04-12,REG,48.32,48.38,47.52,48.29,80216
2021-04-13,REG,47.97,49.01,47.9,49.0,47335
2021-04-14,REG,48.99,49.24,47.99,48.14,41948
2021-04-15,REG,48.6,49.05,48.43,48.93,77998
2021-04-16,REG,49.14,49.31,48.66,49.19,42266
2021-04-19,REG,49.12,49.48,48.57,49.44,27677
2021-04-20,REG,49.52,49.98,49.26,49.75,39374
2021-04-21,REG,49.86,51.09,49.57,51.05,82259
2021-04-22,REG,51.01,52.05,50.78,51.07,200690
2021-04-23,REG,51.01,51.51,50.86,51.44,48127
2021-04-26,REG,51.73,52.08,51.37,51.59,24125
2021-04-27,REG,51.69,52.34,51.45,52.12,46225
2021-04-28,REG,52.24,52.46,51.74,51.85,38240
2021-04-29,REG,52.38,53.05,52.2,52.61,25871
2021-04-30,REG,52.25,52.82,52.23,52.67,48199
2021-05-03,REG,52.67,53.45,52.59,52.87,39860
2021-05-04,REG,53.14,53.54,52.25,52.46,105445
2021-05-05,REG,52.16,52.25,51.54,51.74,62018
2021-05-06,REG,52.38,52.94,51.92,52.81,98924
2021-05-07,REG,53.18,54.88,53.18,54.05,68254
2021-05-10,REG,54.55,55.5,54.11,54.12,41470
2021-05-11,REG,53.68,53.97,52.89,53.35,65304
2021-05-12,REG,53.25,53.31,51.69,51.8,131462
2021-05-13,REG,51.58,52.47,51.58,52.12,65042
2021-05-14,REG,52.32,52.92,52.32,52.74,48237
2021-05-17,REG,52.66,52.78,52.39,52.63,71066
2021-05-18,REG,52.44,53.21,52.28,52.63,39414
2021-05-19,REG,52.25,52.25,51.08,51.89,35227
2021-05-20,REG,52.17,52.21,51.39,51.89,64378
2021-05-21,REG,51.86,52.57,51.86,52.38,54726
2021-05-24,REG,52.84,52.96,52.36,52.66,46305
2021-05-25,REG,52.43,53.18,52.35,52.35,31948
2021-05-26,REG,52.15,53.08,52.12,52.94,62696
2021-05-27,REG,53.16,53.52,52.84,53.0,146993
2021-05-28,REG,53.39,53.71,53.03,53.44,65647
2021-06-01,REG,53.74,55.03,53.45,54.87,76567
2021-06-02,REG,54.85,55.85,54.62,55.79,65475
2021-06-03,REG,55.62,55.65,54.99,55.26,34481
2021-06-04,REG,55.13,55.19,54.31,54.39,32774
2021-06-07,REG,54.63,55.59,54.45,55.24,86894
2021-06-08,REG,55.35,56.21,55.35,55.93,44843
2021-06-09,REG,55.98,56.2,55.68,55.85,59546
2021-06-10,REG,55.76,56.46,55.76,56.26,30659
2021-06-11,REG,55.93,56.45,55.64,56.4,67169
2021-06-14,REG,56.76,56.76,55.47,55.75,29884
2021-06-15,REG,55.79,55.79,55.13,55.31,46567
2021-06-16,REG,55.15,55.69,54.66,54.67,52051
2021-06-17,REG,54.8,54.98,53.49,54.08,37529
2021-06-18,REG,54.08,54.08,52.8,52.85,54399
2021-06-21,REG,53.29,54.77,53.2,54.57,33630
2021-06-22,REG,54.54,54.54,53.92,53.93,21968
2021-06-23,REG,53.79,54.51,53.79,54.09,22984
2021-06-24,REG,53.97,54.07,53.65,53.88,25048
2021-06-25,REG,53.8,54.38,53.8,54.28,19592
2021-06-28,REG,54.32,54.44,53.17,53.6,21720
2021-06-29,REG,53.81,54.42,53.57,53.73,35030
2021-06-30,REG,53.97,54.05,53.4,53.5,30335
2021-07-01,REG,53.55,54.53,53.37,54.09,34398
2021-07-02,REG,54.12,54.41,53.58,53.83,14288
2021-07-06,REG,53.23,53.6,52.54,53.29,58668
2021-07-07,REG,53.11,53.12,52.31,52.76,30934
2021-07-08,REG,52.25,53.1,52.06,52.88,35092
2021-07-09,REG,53.31,54.31,53.22,54.25,37857
2021-07-12,REG,54.05,55.29,53.91,55.25,28717
2021-07-13,REG,55.18,55.18,53.86,54.05,38821
2021-07-14,REG,54.11,54.76,54.1,54.5,58845
2021-07-15,REG,54.14,54.61,53.94,54.2,50708
2021-07-16,REG,54.45,54.94,53.88,53.96,71726
2021-07-19,REG,52.44,52.44,51.33,51.63,24369
2021-07-20,REG,51.96,54.16,51.91,53.85,40318
2021-07-21,REG,54.31,55.44,54.31,54.96,46302
2021-07-22,REG,54.61,54.61,53.55,53.78,20965
2021-07-23,REG,54.29,54.44,53.61,54.26,24265
2021-07-26,REG,54.59,54.59,53.6,54.1,19958
2021-07-27,REG,53.73,54.93,53.73,54.47,31456
2021-07-28,REG,54.56,54.56,53.6,53.91,8534
2021-07-29,REG,54.54,55.31,54.46,54.48,20996
2021-07-30,REG,54.65,55.32,54.35,54.56,26690
2021-08-02,REG,55.19,55.97,53.84,53.87,34204
2021-08-03,REG,53.91,53.91,53.18,53.64,35041
2021-08-04,REG,53.45,53.7,52.56,52.6,30131
2021-08-05,REG,52.98,54.5,52.98,54.5,63859
2021-08-06,REG,55.79,56.89,55.28,55.36,37563
2021-08-09,REG,54.81,55.31,54.45,54.55,24960
2021-08-10,REG,54.48,55.72,54.34,55.28,28662
2021-08-11,REG,55.34,55.8,55.02,55.68,25523
2021-08-12,REG,55.87,55.87,54.8,55.41,23812
2021-08-13,REG,55.47,55.47,54.95,55.25,32967
2021-08-16,REG,54.96,55.15,54.43,54.71,11718
2021-08-17,REG,54.29,54.29,53.06,53.87,16199
2021-08-18,REG,53.55,54.24,53.34,53.79,56796
2021-08-19,REG,53.61,53.97,53.1,53.71,17141
2021-08-20,REG,52.95,54.3,52.77,54.12,16744
2021-08-23,REG,54.41,54.66,54.05,54.31,12509
2021-08-24,REG,54.48,54.73,54.04,54.66,38917
2021-08-25,REG,54.46,56.16,54.46,55.99,56756
2021-08-26,REG,55.68,55.94,55.37,55.7,29344
2021-08-27,REG,56.44,56.95,56.19,56.79,44523
2021-08-30,REG,56.64,56.99,56.29,56.93,37524
2021-08-31,REG,56.83,57.64,56.83,57.29,67565
2021-09-01,REG,57.58,57.78,57.08,57.58,21799
2021-09-02,REG,57.67,57.76,57.07,57.74,30878
2021-09-03,REG,57.41,57.97,57.16,57.88,30812
2021-09-07,REG,57.77,57.8,56.91,57.63,65331
2021-09-08,REG,57.2,57.97,57.11,57.61,30771
2021-09-09,REG,57.05,57.33,56.9,57.08,58428
2021-09-10,REG,56.85,56.85,55.25,55.26,63928
