date,tic,open,high,low,close,volume
2021-01-04,RF,13.31,13.33,12.87,13.06,194289
2021-01-05,RF,13.06,13.45,13.04,13.29,248831
2021-01-06,RF,13.74,14.3,13.74,14.11,292747
2021-01-07,RF,14.31,14.67,14.31,14.46,225435
2021-01-08,RF,14.49,14.5,14.09,14.39,139402
2021-01-11,RF,14.17,14.67,14.04,14.63,152866
2021-01-12,RF,14.71,15.0,14.56,14.96,185694
2021-01-13,RF,14.84,14.93,14.61,14.86,155692
2021-01-14,RF,15.02,15.31,14.88,15.25,206837
2021-01-15,RF,14.98,15.11,14.79,14.91,192727
2021-01-19,RF,14.98,15.09,14.77,15.07,267976
2021-01-20,RF,15.02,15.02,14.72,14.84,192547
2021-01-21,RF,14.82,14.91,14.46,14.57,317208
2021-01-22,RF,14.58,14.9,14.41,14.52,184843
2021-01-25,RF,14.3,14.56,14.08,14.5,264553
2021-01-26,RF,14.67,14.73,14.46,14.52,204447
2021-01-27,RF,14.09,14.43,14.0,14.02,245781
2021-01-28,RF,14.3,14.5,14.12,14.41,253462
2021-01-29,RF,14.39,14.49,13.83,13.9,228117
2021-02-01,RF,14.08,14.19,13.87,14.17,171921
2021-02-02,RF,14.35,14.66,14.23,14.54,173669
2021-02-03,RF,14.52,15.01,14.51,15.01,245511
2021-02-04,RF,15.12,15.64,15.05,15.54,351201
2021-02-05,RF,15.68,15.74,15.47,15.49,227499
2021-02-08,RF,15.56,16.0,15.56,16.0,197138
2021-02-09,RF,15.92,16.0,15.76,16.0,128472
2021-02-10,RF,16.03,16.2,15.85,15.93,185659
2021-02-11,RF,15.92,16.04,15.55,15.83,155356
2021-02-12,RF,15.79,16.19,15.75,16.0,140814
2021-02-16,RF,16.23,16.62,16.21,16.55,377446
2021-02-17,RF,16.45,16.74,16.28,16.38,203596
2021-02-18,RF,16.17,16.28,15.89,16.09,316853
2021-02-19,RF,16.22,16.71,16.2,16.67,225661
2021-02-22,RF,16.65,17.15,16.65,16.95,294477
2021-02-23,RF,17.13,17.41,16.97,17.4,374191
2021-02-24,RF,17.47,18.25,17.45,18.17,442282
2021-02-25,RF,18.44,18.48,17.38,17.45,384166
2021-02-26,RF,17.28,17.41,16.77,16.89,429868
2021-03-01,RF,17.3,17.57,17.23,17.45,395830
2021-03-02,RF,17.4,17.53,17.25,17.27,392333
2021-03-03,RF,17.48,17.77,17.17,17.18,748675
2021-03-04,RF,17.16,17.35,16.39,16.7,1324733
2021-03-05,RF,17.07,17.28,16.29,17.24,600511
2021-03-08,RF,17.46,18.01,17.27,17.58,521384
2021-03-09,RF,17.36,17.6,16.92,17.33,544232
2021-03-10,RF,17.37,17.75,17.26,17.75,342943
2021-03-11,RF,17.57,17.89,17.52,17.69,204286
2021-03-12,RF,17.9,18.08,17.78,18.0,280645
2021-03-15,RF,17.88,17.92,17.54,17.7,378219
2021-03-16,RF,17.47,17.51,17.09,17.26,612965
2021-03-17,RF,17.46,17.65,17.24,17.47,362466
2021-03-18,RF,17.8,18.3,17.63,17.7,572785
2021-03-19,RF,17.25,17.67,16.97,17.39,535605
2021-03-22,RF,17.28,17.28,16.73,16.85,222005
2021-03-23,RF,16.66,16.91,16.44,16.58,634585
2021-03-24,RF,16.96,17.02,16.45,16.45,325314
2021-03-25,RF,16.38,17.18,16.22,17.11,190492
2021-03-26,RF,17.4,17.41,17.0,17.33,215834
2021-03-29,RF,17.0,17.05,16.54,16.75,214678
2021-03-30,RF,16.99,17.39,16.99,17.25,291312
