date,tic,open,high,low,close,volume
2021-01-04,RL,94.14,94.2,90.29,91.75,123076
2021-01-05,RL,91.56,95.09,91.56,94.24,37565
2021-01-06,RL,95.57,100.22,94.51,99.21,86955
2021-01-07,RL,100.13,102.62,99.96,101.65,135949
2021-01-08,RL,101.97,101.98,97.78,99.34,70515
2021-01-11,RL,98.59,100.67,98.45,100.16,95645
2021-01-12,RL,101.24,106.01,100.58,103.86,62135
2021-01-13,RL,103.39,105.33,101.2,102.39,70134
2021-01-14,RL,102.74,104.27,100.52,101.07,69225
2021-01-15,RL,100.26,101.67,99.47,99.93,55736
2021-01-19,RL,100.01,100.23,96.27,97.21,66541
2021-01-20,RL,97.48,98.93,96.39,96.66,57611
2021-01-21,RL,96.63,98.2,95.48,97.78,74344
2021-01-22,RL,96.76,102.16,95.56,98.35,68655
2021-01-25,RL,97.86,99.91,95.93,99.13,92810
2021-01-26,RL,99.63,100.18,96.25,96.98,71947
2021-01-27,RL,95.4,96.05,90.88,91.19,102461
2021-01-28,RL,92.49,95.02,92.49,93.8,101255
2021-01-29,RL,93.8,94.13,90.56,91.59,63312
2021-02-01,RL,94.12,94.12,91.18,92.87,93818
2021-02-02,RL,94.36,95.12,92.51,93.73,68072
2021-02-03,RL,94.46,96.5,94.46,95.37,114298
2021-02-04,RL,94.63,99.04,91.2,97.82,198824
2021-02-05,RL,98.59,98.82,95.23,98.3,133251
2021-02-08,RL,98.84,100.81,98.49,99.87,61934
2021-02-09,RL,99.36,100.63,98.85,99.83,81517
2021-02-10,RL,100.92,102.56,99.58,101.63,58904
2021-02-11,RL,101.69,105.46,101.24,102.79,52860
2021-02-12,RL,102.07,102.07,99.82,100.3,52165
2021-02-16,RL,100.96,101.57,99.89,101.29,48023
2021-02-17,RL,100.88,101.53,99.53,100.91,43876
2021-02-18,RL,100.31,100.85,98.51,100.58,39766
2021-02-19,RL,101.11,103.36,99.17,103.02,49075
2021-02-22,RL,102.74,107.03,102.0,106.41,66791
2021-02-23,RL,106.36,106.91,103.74,106.28,56618
2021-02-24,RL,106.44,108.87,105.46,108.7,54913
2021-02-25,RL,109.77,110.54,106.55,106.56,56398
2021-02-26,RL,106.15,107.81,103.62,106.05,61622
2021-03-01,RL,108.07,111.62,107.75,109.05,68600
2021-03-02,RL,109.74,111.16,108.66,110.17,128458
2021-03-03,RL,110.27,113.75,110.16,110.83,82365
2021-03-04,RL,111.0,113.37,106.41,109.61,106555
2021-03-05,RL,111.23,113.17,105.35,110.86,62165
2021-03-08,RL,112.36,116.2,112.36,114.68,50560
2021-03-09,RL,115.17,117.56,113.12,113.22,84660
2021-03-10,RL,112.46,114.89,110.43,111.08,68111
2021-03-11,RL,111.0,111.97,108.76,110.3,72187
2021-03-12,RL,110.99,113.98,110.83,112.34,115031
2021-03-15,RL,111.63,113.58,111.01,112.33,121303
2021-03-16,RL,112.66,112.79,107.74,110.35,62843
2021-03-17,RL,109.84,110.79,107.23,109.7,73728
2021-03-18,RL,109.74,113.91,109.74,111.14,66384
2021-03-19,RL,110.02,112.33,109.3,110.37,53046
2021-03-22,RL,110.88,111.14,108.94,110.11,59741
2021-03-23,RL,109.5,109.5,102.07,102.88,114464
2021-03-24,RL,103.75,107.13,103.27,103.3,103131
2021-03-25,RL,101.7,107.98,100.67,107.17,62455
2021-03-26,RL,109.07,110.75,107.37,110.73,45684
2021-03-29,RL,110.79,111.55,105.66,106.79,46542
2021-03-30,RL,107.74,109.09,106.13,108.72,26959
2021-03-31,RL,110.2,112.95,110.17,111.69,63236
2021-04-01,RL,112.0,112.15,107.86,108.68,102581
2021-04-05,RL,109.81,111.84,108.01,111.68,32429
2021-04-06,RL,112.27,113.85,111.24,111.88,55558
2021-04-07,RL,112.85,113.82,111.38,111.97,46835
2021-04-08,RL,111.61,112.59,110.11,112.11,43153
2021-04-09,RL,113.17,115.54,112.87,115.48,82989
2021-04-12,RL,115.24,117.0,114.92,115.83,88800
2021-04-13,RL,114.69,114.69,111.4,112.73,33062
2021-04-14,RL,112.91,115.48,112.91,113.92,48174
2021-04-15,RL,115.17,115.29,113.79,114.08,36578
2021-04-16,RL,114.97,114.97,111.54,112.88,37215
2021-04-20,RL,110.14,110.4,106.67,108.19,103719
2021-04-21,RL,109.13,111.53,109.13,111.09,36332
2021-04-22,RL,111.72,113.24,111.66,111.83,80588
2021-04-23,RL,112.78,113.84,112.05,113.76,36501
2021-04-26,RL,114.5,116.08,113.8,113.99,75472
2021-04-27,RL,114.85,116.97,114.2,116.8,52471
2021-04-28,RL,120.82,121.59,119.32,119.83,68610
2021-04-29,RL,121.32,122.1,118.17,120.94,39888
2021-04-30,RL,120.08,121.33,119.44,120.8,29668
2021-05-03,RL,121.94,124.08,121.43,123.44,52604
2021-05-04,RL,123.52,124.05,121.66,122.59,31717
2021-05-05,RL,123.54,124.31,121.51,122.28,52882
2021-05-06,RL,122.63,123.2,120.47,121.31,52146
2021-05-07,RL,121.14,126.71,121.14,126.45,57573
2021-05-10,RL,126.75,128.71,124.75,124.78,73277
2021-05-11,RL,122.75,124.0,119.61,121.47,35554
2021-05-12,RL,121.18,122.92,115.69,116.02,43884
2021-05-13,RL,117.9,121.3,116.98,119.13,54828
2021-05-14,RL,120.05,123.86,119.82,123.78,32795
2021-05-17,RL,122.96,125.35,122.16,125.04,45534
2021-05-18,RL,126.24,126.96,123.63,123.9,55738
2021-05-19,RL,121.66,122.08,117.79,118.77,79424
2021-05-20,RL,114.17,114.5,107.3,110.46,243759
2021-05-21,RL,109.83,110.64,108.37,109.77,56907
2021-05-24,RL,109.87,109.87,108.07,108.37,47840
2021-05-25,RL,108.77,111.01,108.77,110.36,64138
2021-05-26,RL,110.57,112.67,110.57,112.39,31497
2021-05-27,RL,113.18,114.71,111.91,113.9,32143
2021-05-28,RL,114.62,114.62,111.98,112.49,27031
2021-06-01,RL,112.52,114.56,111.86,113.17,29287
2021-06-02,RL,112.37,112.37,109.83,111.28,33638
2021-06-03,RL,110.46,110.81,108.73,109.77,32689
2021-06-04,RL,110.02,110.02,107.1,109.44,33696
2021-06-07,RL,109.8,110.34,108.73,109.59,29061
2021-06-08,RL,109.41,111.23,108.34,111.01,18004
2021-06-09,RL,110.79,110.98,109.72,110.03,13442
2021-06-10,RL,110.78,111.0,107.83,108.48,23880
2021-06-11,RL,109.45,111.35,108.42,111.23,28058
2021-06-14,RL,111.39,111.66,108.5,109.08,65142
2021-06-15,RL,109.33,110.24,107.77,109.91,33251
2021-06-16,RL,109.28,110.7,107.18,110.01,27757
2021-06-17,RL,109.79,110.12,104.55,106.06,51899
2021-06-18,RL,103.95,105.06,102.42,102.78,62678
2021-06-21,RL,103.71,105.51,103.71,104.57,45931
2021-06-22,RL,102.84,106.81,102.84,106.39,56112
2021-06-23,RL,106.31,109.12,106.31,108.52,36415
2021-06-24,RL,109.1,110.32,107.37,109.68,46320
2021-06-25,RL,110.51,112.08,110.28,110.43,38979
2021-06-28,RL,109.93,109.93,106.52,106.73,41773
2021-06-29,RL,107.78,108.35,106.33,106.54,30983
2021-06-30,RL,106.31,107.66,105.73,107.4,26694
2021-07-01,RL,107.93,109.0,107.3,107.54,32861
2021-07-02,RL,107.89,107.89,106.69,107.32,14826
2021-07-06,RL,106.82,106.82,103.71,104.91,24502
2021-07-07,RL,104.59,105.21,101.57,103.41,45506
2021-07-08,RL,100.53,103.56,98.78,103.48,61192
2021-07-09,RL,105.21,107.02,104.47,106.05,32444
2021-07-12,RL,104.61,106.48,104.61,105.44,27666
2021-07-13,RL,104.28,105.24,103.27,104.56,46481
2021-07-14,RL,105.58,106.51,103.55,103.56,46520
2021-07-15,RL,102.39,102.7,100.35,101.7,77827
2021-07-16,RL,101.87,101.87,98.41,99.06,90810
2021-07-19,RL,95.53,96.71,93.88,94.51,73300
2021-07-20,RL,94.99,100.13,94.56,99.3,51586
2021-07-21,RL,101.11,103.31,100.49,100.86,40471
2021-07-22,RL,99.64,100.82,98.98,100.1,36825
2021-07-23,RL,101.11,101.83,99.71,100.22,20798
2021-07-26,RL,100.54,101.86,100.46,101.53,24357
2021-07-27,RL,101.41,101.41,99.7,100.45,40439
2021-07-28,RL,101.58,102.57,99.04,100.65,52725
2021-07-29,RL,103.06,103.06,100.3,100.36,106387
2021-07-30,RL,100.44,107.05,100.31,103.39,109305
2021-08-02,RL,105.21,108.9,105.21,107.53,138785
2021-08-03,RL,117.56,117.78,113.18,114.23,168472
2021-08-04,RL,114.29,115.31,111.6,112.27,103944
2021-08-05,RL,111.82,113.65,111.15,113.54,64862
2021-08-06,RL,114.63,115.34,111.94,112.19,42539
2021-08-09,RL,110.97,111.3,109.89,110.07,58995
2021-08-10,RL,109.84,113.23,109.83,110.29,68654
2021-08-11,RL,109.66,112.54,109.66,111.9,26251
2021-08-12,RL,112.03,113.44,111.24,113.29,50799
2021-08-13,RL,112.64,113.34,111.9,113.34,38096
2021-08-16,RL,111.98,113.01,111.19,111.51,56864
2021-08-17,RL,109.09,109.66,107.61,108.55,28788
2021-08-18,RL,107.69,109.35,105.94,105.94,47140
2021-08-19,RL,104.29,106.19,103.89,104.65,62455
2021-08-20,RL,105.63,106.41,104.18,105.96,77307
2021-08-23,RL,107.2,108.44,106.8,107.73,68228
2021-08-24,RL,109.0,110.4,108.39,109.89,74035
2021-08-25,RL,108.9,109.73,107.89,109.5,24795
