date,tic,open,high,low,close,volume
2021-01-04,ROK,231.12,235.47,225.04,226.12,50654
2021-01-05,ROK,226.22,228.12,224.93,226.97,31403
2021-01-06,ROK,231.9,239.49,231.65,237.31,54512
2021-01-07,ROK,239.96,240.97,236.63,238.35,34173
2021-01-08,ROK,239.13,242.56,237.37,240.44,51823
2021-01-11,ROK,237.57,242.53,236.04,241.12,24490
2021-01-12,ROK,241.83,244.08,240.69,244.08,30456
2021-01-13,ROK,244.62,244.62,241.14,241.14,24267
2021-01-14,ROK,241.56,242.87,239.51,241.21,18671
2021-01-15,ROK,237.29,237.29,232.96,234.7,40311
2021-01-19,ROK,239.49,241.49,238.17,239.58,35640
2021-01-20,ROK,239.79,243.33,239.17,242.45,32617
2021-01-21,ROK,242.74,246.33,240.55,246.05,33891
2021-01-22,ROK,244.41,246.93,241.94,244.51,45034
2021-01-25,ROK,244.25,244.75,238.93,239.32,42919
2021-01-26,ROK,234.29,236.16,224.1,224.55,216489
2021-01-27,ROK,225.0,226.94,219.27,221.48,122900
2021-01-28,ROK,224.99,233.58,223.36,230.98,58417
2021-01-29,ROK,229.58,234.41,227.89,228.06,61085
2021-02-01,ROK,231.3,231.77,227.12,227.44,70587
2021-02-02,ROK,229.87,232.99,229.46,232.0,49917
2021-02-03,ROK,231.95,233.07,225.09,225.13,34999
2021-02-04,ROK,226.05,226.05,218.37,221.55,88612
2021-02-05,ROK,224.33,225.69,220.82,223.0,56284
2021-02-08,ROK,225.64,227.1,224.49,226.98,32873
2021-02-09,ROK,227.28,227.67,223.75,226.35,35948
2021-02-10,ROK,227.89,227.95,224.28,224.67,40791
2021-02-11,ROK,226.35,226.77,222.61,226.77,33005
2021-02-12,ROK,226.17,230.2,224.31,229.83,47531
2021-02-16,ROK,232.05,232.81,229.57,230.31,38511
2021-02-17,ROK,228.82,232.22,227.41,228.76,50624
2021-02-18,ROK,227.5,227.94,223.37,225.2,33047
2021-02-19,ROK,227.04,230.63,227.04,228.88,45035
2021-02-22,ROK,228.02,228.02,224.27,224.88,69154
2021-02-23,ROK,223.1,227.18,218.77,226.53,41043
2021-02-24,ROK,226.29,228.26,224.2,227.92,62680
2021-02-25,ROK,227.5,228.23,224.41,225.49,38009
2021-02-26,ROK,226.53,228.05,223.55,224.46,32506
2021-03-01,ROK,228.63,233.33,228.63,231.91,44208
2021-03-02,ROK,231.94,231.94,228.77,229.35,31226
2021-03-03,ROK,229.26,233.5,228.01,231.46,41354
2021-03-04,ROK,230.12,234.37,224.18,226.96,75716
2021-03-05,ROK,229.34,234.18,225.36,233.62,61528
2021-03-08,ROK,234.47,239.67,233.91,238.18,45164
2021-03-09,ROK,238.8,243.16,238.8,239.61,45844
2021-03-10,ROK,240.21,244.44,239.58,243.29,46185
2021-03-11,ROK,244.91,247.19,242.55,243.4,40785
2021-03-12,ROK,244.42,244.56,242.0,244.56,30129
2021-03-15,ROK,243.93,244.39,240.21,244.39,39577
2021-03-16,ROK,242.65,243.26,237.28,238.1,49278
2021-03-17,ROK,238.44,241.35,237.55,241.11,32826
2021-03-18,ROK,241.88,244.28,239.1,240.03,70970
2021-03-19,ROK,238.14,240.24,235.76,238.44,32251
2021-03-22,ROK,238.62,242.62,236.64,241.55,25883
2021-03-23,ROK,239.78,242.98,237.67,238.83,31087
2021-03-24,ROK,240.6,245.25,240.21,242.65,29882
2021-03-25,ROK,242.2,244.51,236.91,244.23,21986
2021-03-26,ROK,245.85,252.69,245.62,252.34,36467
2021-03-29,ROK,251.6,253.81,249.22,249.22,24980
2021-03-30,ROK,249.99,250.9,245.81,246.39,53531
2021-03-31,ROK,248.2,248.98,243.86,244.96,44308
2021-04-01,ROK,245.43,245.43,241.54,243.05,67178
2021-04-05,ROK,245.27,247.04,244.35,246.85,29783
2021-04-06,ROK,245.89,246.97,241.68,242.5,34834
2021-04-07,ROK,241.3,242.21,239.44,240.79,68206
2021-04-08,ROK,240.81,241.72,239.27,240.86,36913
2021-04-09,ROK,242.78,244.25,240.58,243.94,32244
2021-04-12,ROK,244.89,246.04,243.28,244.45,30465
2021-04-13,ROK,241.71,242.06,239.14,241.73,22371
2021-04-14,ROK,241.75,242.78,239.23,239.52,28262
2021-04-15,ROK,240.58,243.99,239.98,243.77,35622
2021-04-16,ROK,245.86,248.66,244.95,245.3,26962
2021-04-20,ROK,246.04,246.95,241.13,242.75,27729
2021-04-21,ROK,243.49,247.02,243.49,247.02,23270
2021-04-22,ROK,247.2,247.2,243.44,244.31,43747
2021-04-23,ROK,245.0,248.49,244.95,248.19,41122
2021-04-26,ROK,249.33,250.64,245.73,246.7,31225
2021-04-27,ROK,246.61,249.44,246.18,247.85,56700
2021-04-28,ROK,245.7,248.47,243.16,245.68,58438
2021-04-29,ROK,248.55,249.74,246.49,246.95,35888
2021-04-30,ROK,245.16,246.47,242.88,243.73,31471
2021-05-03,ROK,245.1,245.1,240.33,240.88,27087
2021-05-04,ROK,239.13,242.9,238.34,242.06,38887
2021-05-05,ROK,243.55,247.34,242.2,245.86,23477
2021-05-06,ROK,246.15,247.68,244.46,247.68,26373
2021-05-07,ROK,245.99,250.11,245.99,249.42,58334
2021-05-10,ROK,249.73,252.75,249.4,249.81,21502
2021-05-11,ROK,247.37,249.05,245.62,247.35,62866
2021-05-12,ROK,248.46,248.46,240.25,240.3,48342
2021-05-13,ROK,242.07,246.37,242.07,245.02,34658
2021-05-14,ROK,247.03,249.61,245.33,247.8,26761
2021-05-17,ROK,248.04,248.14,243.03,245.39,25651
2021-05-18,ROK,244.37,244.39,241.32,242.06,49487
2021-05-19,ROK,240.48,240.48,234.77,239.0,29065
2021-05-20,ROK,240.01,240.73,237.8,239.12,15244
2021-05-21,ROK,240.89,242.98,240.06,241.0,9046
2021-05-24,ROK,242.57,243.84,240.88,242.97,13765
2021-05-25,ROK,244.68,244.8,240.83,241.36,18182
2021-05-26,ROK,240.19,241.46,238.26,241.26,26390
2021-05-27,ROK,244.62,245.96,243.05,243.57,44405
2021-05-28,ROK,243.9,244.86,241.46,244.39,26027
2021-06-01,ROK,248.03,248.54,245.75,248.23,48356
2021-06-02,ROK,248.77,252.24,247.77,251.72,45446
2021-06-03,ROK,250.56,254.65,250.02,254.46,17822
2021-06-04,ROK,256.06,256.26,254.0,255.39,16699
2021-06-07,ROK,255.75,255.75,253.01,254.38,19506
2021-06-08,ROK,254.57,257.24,253.7,255.15,30004
2021-06-09,ROK,255.1,259.15,254.11,258.51,59587
2021-06-10,ROK,259.08,260.95,257.99,260.83,50439
2021-06-11,ROK,262.13,263.14,259.61,263.14,46193
2021-06-14,ROK,262.42,262.42,258.62,260.78,36767
2021-06-15,ROK,261.22,263.27,259.21,263.01,76096
2021-06-16,ROK,262.69,264.75,260.5,262.15,121095
2021-06-17,ROK,262.13,262.13,249.15,251.08,61040
2021-06-18,ROK,247.3,252.06,247.18,251.57,69799
2021-06-21,ROK,253.81,259.35,253.81,259.35,63277
2021-06-22,ROK,260.13,264.41,258.09,264.1,147938
2021-06-23,ROK,264.7,268.02,264.34,264.64,169763
2021-06-24,ROK,265.36,265.36,262.16,264.18,39437
2021-06-25,ROK,265.2,267.68,263.4,264.38,59567
2021-06-28,ROK,260.98,264.1,260.98,262.11,52672
2021-06-29,ROK,263.41,263.64,261.49,262.7,45788
2021-06-30,ROK,261.15,265.3,260.9,264.97,32471
2021-07-01,ROK,266.03,266.03,263.66,264.21,43243
2021-07-02,ROK,262.76,264.83,262.76,264.13,39303
2021-07-06,ROK,263.5,263.88,259.6,263.05,32004
2021-07-07,ROK,262.76,271.38,262.76,270.38,36826
2021-07-08,ROK,264.78,268.91,264.56,266.24,27391
2021-07-09,ROK,269.72,271.0,268.66,269.55,22991
2021-07-12,ROK,270.4,271.91,270.3,271.19,26195
2021-07-13,ROK,270.65,271.48,269.56,269.8,27266
2021-07-14,ROK,270.83,270.84,267.91,270.2,14470
2021-07-15,ROK,271.79,272.66,270.57,272.1,37291
2021-07-16,ROK,273.33,273.33,271.52,272.19,44874
2021-07-19,ROK,268.73,268.9,265.22,268.54,57485
2021-07-20,ROK,268.91,275.09,268.61,274.29,27495
2021-07-21,ROK,275.36,276.58,275.3,276.22,21768
2021-07-22,ROK,275.91,276.1,274.83,275.58,20487
2021-07-23,ROK,276.84,277.77,275.27,277.08,19131
2021-07-26,ROK,277.43,277.86,274.53,275.9,40540
2021-07-27,ROK,268.53,274.38,260.68,271.37,55307
2021-07-28,ROK,266.75,278.51,266.57,277.01,57846
2021-07-29,ROK,278.55,282.33,275.52,282.22,37672
2021-07-30,ROK,283.57,285.93,283.57,284.76,39322
2021-08-02,ROK,285.97,287.07,282.67,284.65,37315
2021-08-03,ROK,286.1,288.9,285.25,287.97,70935
2021-08-04,ROK,287.44,290.44,287.18,289.17,47945
2021-08-05,ROK,290.27,291.12,287.87,290.45,46459
2021-08-06,ROK,290.94,291.49,289.78,291.06,43605
2021-08-09,ROK,290.48,292.42,289.13,290.71,37596
2021-08-10,ROK,292.45,295.05,292.45,294.89,41435
2021-08-11,ROK,295.73,296.96,290.64,292.94,106111
2021-08-12,ROK,292.72,294.58,292.72,293.55,42337
2021-08-13,ROK,294.05,296.28,293.33,293.59,14429
2021-08-16,ROK,293.4,296.87,293.32,296.87,17907
2021-08-17,ROK,295.69,295.69,289.88,291.17,44698
2021-08-18,ROK,291.09,292.69,289.58,291.12,28784
2021-08-19,ROK,289.69,295.67,289.06,292.22,85855
2021-08-20,ROK,292.33,295.03,292.33,293.22,13782
2021-08-23,ROK,294.45,295.58,292.05,292.09,22629
2021-08-24,ROK,294.24,294.92,293.2,294.05,14270
2021-08-25,ROK,294.18,297.32,294.16,296.81,13785
2021-08-26,ROK,296.89,297.78,295.87,297.41,18345
2021-08-27,ROK,299.21,299.97,298.29,298.97,28426
2021-08-30,ROK,300.78,303.16,300.44,301.79,17098
2021-08-31,ROK,301.34,302.97,299.77,302.38,36712
2021-09-01,ROK,298.79,302.55,298.79,300.13,39911
2021-09-02,ROK,301.96,303.5,300.66,303.5,21281
2021-09-03,ROK,302.43,303.92,300.53,300.87,35329
2021-09-07,ROK,299.17,299.17,295.6,295.81,36451
2021-09-08,ROK,295.79,296.34,292.58,296.06,54636
2021-09-09,ROK,296.57,297.07,291.59,292.62,37745
2021-09-10,ROK,292.68,293.97,291.4,291.82,36014
2021-09-13,ROK,293.26,293.52,289.95,293.48,28412
2021-09-14,ROK,294.68,295.18,290.77,291.18,22997
2021-09-15,ROK,290.35,296.02,290.35,295.12,36512
2021-09-16,ROK,293.84,296.19,292.27,294.66,14347
2021-09-17,ROK,292.46,292.61,288.57,289.62,41024
2021-09-20,ROK,283.2,284.14,279.07,281.0,58041
2021-09-21,ROK,281.42,281.66,277.48,278.91,33884
2021-09-22,ROK,279.96,281.6,279.68,280.59,46145
2021-09-23,ROK,282.31,284.34,280.25,282.57,32977
2021-09-24,ROK,282.32,283.83,281.05,281.05,13951
2021-09-27,ROK,281.54,284.78,281.28,281.28,15146
2021-09-28,ROK,281.36,281.36,274.73,275.57,31395
2021-09-29,ROK,277.79,277.96,276.1,276.63,36280
2021-09-30,ROK,278.57,278.57,273.11,273.22,42276
2021-10-01,ROK,272.91,276.06,269.03,273.94,25908
2021-10-04,ROK,272.73,274.48,269.93,271.74,20964
2021-10-05,ROK,273.77,277.86,273.6,277.14,20439
2021-10-06,ROK,274.62,277.26,272.3,277.14,14735
2021-10-07,ROK,280.05,284.63,280.05,283.45,36023
2021-10-08,ROK,280.7,281.58,278.08,280.02,8917
