date,tic,open,high,low,close,volume
2021-01-04,ROL,36.97,37.48,35.74,35.89,65408
2021-01-05,ROL,35.84,36.58,35.75,36.5,30780
2021-01-06,ROL,36.17,37.39,36.11,37.09,59739
2021-01-07,ROL,37.2,37.81,37.07,37.77,27103
2021-01-08,ROL,37.89,38.36,37.75,38.36,51681
2021-01-11,ROL,38.26,38.73,38.15,38.42,34882
2021-01-12,ROL,38.73,39.21,38.56,39.06,38009
2021-01-13,ROL,39.22,39.24,37.39,37.42,63463
2021-01-14,ROL,37.26,37.29,35.12,35.18,106487
2021-01-15,ROL,35.25,35.64,34.79,34.97,82989
2021-01-19,ROL,35.2,35.31,34.26,34.61,61467
2021-01-20,ROL,34.73,35.65,34.42,35.48,35085
2021-01-21,ROL,35.43,35.52,34.82,34.95,79632
2021-01-22,ROL,34.88,34.96,34.09,34.77,66759
2021-01-25,ROL,34.65,34.9,34.21,34.89,58278
2021-01-26,ROL,34.83,35.09,33.6,34.78,209810
2021-01-27,ROL,33.61,33.61,32.03,32.77,165277
2021-01-28,ROL,33.08,34.14,32.62,33.78,88072
2021-01-29,ROL,33.86,34.28,33.76,33.84,107732
2021-02-01,ROL,34.12,34.14,33.74,34.03,89240
2021-02-02,ROL,34.25,35.07,34.25,34.76,101635
2021-02-03,ROL,34.8,35.19,33.99,34.39,126711
2021-02-04,ROL,34.69,35.02,34.35,34.9,109034
2021-02-05,ROL,35.02,35.29,34.94,35.25,72253
2021-02-08,ROL,35.6,35.65,34.68,34.99,87392
2021-02-09,ROL,35.01,35.74,35.01,35.74,81483
2021-02-10,ROL,35.96,35.99,35.38,35.71,64649
2021-02-11,ROL,35.83,36.04,35.28,35.44,43356
2021-02-12,ROL,35.17,35.42,35.0,35.41,40512
2021-02-16,ROL,35.3,35.38,34.68,34.68,116658
2021-02-17,ROL,34.32,34.59,33.95,34.49,32350
2021-02-18,ROL,34.25,34.73,34.21,34.4,59660
2021-02-19,ROL,34.44,34.49,33.68,33.71,33417
2021-02-22,ROL,33.58,33.64,32.96,32.99,62389
2021-02-23,ROL,32.75,33.44,32.58,33.35,89832
2021-02-24,ROL,33.25,33.76,32.81,33.4,42386
2021-02-25,ROL,33.31,33.58,31.88,32.0,93039
2021-02-26,ROL,32.0,32.08,31.24,31.24,66132
2021-03-01,ROL,31.38,32.38,31.34,32.08,58081
2021-03-02,ROL,32.09,32.1,31.48,31.54,36311
2021-03-03,ROL,31.34,31.43,30.57,30.57,63608
2021-03-04,ROL,30.37,30.85,29.77,29.98,53390
2021-03-05,ROL,29.95,31.09,29.61,31.01,45560
2021-03-08,ROL,31.1,31.3,30.56,30.57,47329
2021-03-09,ROL,30.85,31.62,30.85,31.02,53798
2021-03-10,ROL,31.25,31.59,31.08,31.3,30561
2021-03-11,ROL,31.49,31.82,31.27,31.29,42376
2021-03-12,ROL,31.18,31.42,30.71,31.09,56953
2021-03-15,ROL,30.9,31.8,30.67,31.66,53882
2021-03-16,ROL,31.59,31.65,30.9,31.03,63514
2021-03-17,ROL,30.99,31.09,30.67,30.78,52515
2021-03-18,ROL,30.74,31.4,30.33,31.09,63060
2021-03-19,ROL,31.07,32.0,30.46,31.81,231359
2021-03-22,ROL,31.81,32.43,31.58,32.36,64145
2021-03-23,ROL,32.2,32.6,31.92,31.99,92369
2021-03-24,ROL,31.74,32.02,31.51,31.84,56321
2021-03-25,ROL,31.74,32.06,31.35,31.92,69817
2021-03-26,ROL,32.0,32.26,31.68,32.18,71297
2021-03-29,ROL,32.03,32.38,31.95,32.19,57436
2021-03-30,ROL,32.04,32.19,31.81,31.9,34489
2021-03-31,ROL,32.03,32.9,31.99,32.4,55473
2021-04-01,ROL,32.77,33.09,32.49,32.8,55253
2021-04-05,ROL,32.91,33.41,32.9,33.33,53924
2021-04-06,ROL,33.32,33.6,32.95,33.2,41262
2021-04-07,ROL,33.09,33.1,32.45,32.45,39784
2021-04-08,ROL,32.62,32.99,32.56,32.9,57976
2021-04-09,ROL,32.91,33.41,32.81,33.37,23169
2021-04-12,ROL,33.2,33.54,33.15,33.54,48365
2021-04-13,ROL,33.17,33.32,32.78,32.86,28493
2021-04-14,ROL,32.88,33.11,32.54,32.66,71368
2021-04-15,ROL,32.89,33.17,32.77,33.17,33414
2021-04-16,ROL,33.09,33.25,32.94,33.19,24972
