date,tic,open,high,low,close,volume
2021-01-04,ROP,418.7,418.83,403.08,407.48,35606
2021-01-05,ROP,407.57,409.71,402.57,407.5,48015
2021-01-06,ROP,407.54,414.77,407.12,411.58,56164
2021-01-07,ROP,413.13,420.08,411.76,419.01,52489
2021-01-08,ROP,419.37,421.11,415.03,419.31,21426
2021-01-11,ROP,415.39,426.82,414.61,426.62,48648
2021-01-12,ROP,424.99,425.28,416.18,418.43,52733
2021-01-13,ROP,416.47,416.62,401.64,403.01,55335
2021-01-14,ROP,401.67,402.58,395.03,396.53,42223
2021-01-15,ROP,395.22,403.12,391.95,400.61,42196
2021-01-19,ROP,402.71,409.84,401.66,403.61,26875
2021-01-20,ROP,404.81,411.42,404.66,408.61,21656
2021-01-21,ROP,410.13,412.45,407.59,410.25,22764
2021-01-22,ROP,409.37,409.97,402.05,408.02,24058
2021-01-25,ROP,407.89,414.96,406.91,407.98,32856
2021-01-26,ROP,409.28,410.58,402.85,406.23,34529
2021-01-27,ROP,402.7,409.67,400.02,408.57,54035
2021-01-28,ROP,410.6,417.63,410.26,412.26,56073
2021-01-29,ROP,409.5,412.13,382.06,382.06,104272
2021-02-01,ROP,386.64,391.63,379.3,380.6,87612
2021-02-02,ROP,382.75,391.09,381.53,387.63,85409
2021-02-03,ROP,384.16,392.52,384.16,390.9,61712
2021-02-04,ROP,391.74,395.07,390.63,392.7,43922
2021-02-05,ROP,396.17,400.21,393.43,393.82,39818
2021-02-08,ROP,396.29,398.07,392.64,395.98,33802
2021-02-09,ROP,395.7,397.98,391.73,392.85,47048
2021-02-10,ROP,394.72,394.72,389.89,390.66,60344
2021-02-11,ROP,391.86,392.49,387.24,388.75,26804
2021-02-12,ROP,387.85,390.98,384.37,385.55,67298
2021-02-16,ROP,385.8,385.8,373.51,373.52,45565
2021-02-17,ROP,370.56,377.54,366.81,376.27,106486
2021-02-18,ROP,375.13,385.58,374.92,384.49,49915
2021-02-19,ROP,385.58,385.9,376.5,378.44,79570
2021-02-22,ROP,377.0,379.59,372.78,373.41,65998
2021-02-23,ROP,375.89,381.12,373.0,377.53,108990
2021-02-24,ROP,377.07,377.07,363.22,369.3,97804
2021-02-25,ROP,367.21,370.73,363.27,369.03,63528
2021-02-26,ROP,369.06,374.47,367.88,368.08,35761
2021-03-01,ROP,371.14,377.78,369.63,374.68,120054
2021-03-02,ROP,373.04,375.06,367.99,370.68,34769
2021-03-03,ROP,370.26,375.41,369.34,370.15,75440
2021-03-04,ROP,368.1,368.79,355.54,361.46,50389
