date,tic,open,high,low,close,volume
2021-01-04,ROST,115.86,116.12,110.17,110.64,132795
2021-01-05,ROST,110.52,111.39,109.66,110.68,80596
2021-01-06,ROST,109.85,116.37,109.63,115.55,101528
2021-01-07,ROST,115.36,116.29,114.6,115.33,56799
2021-01-08,ROST,115.21,116.82,114.64,115.76,94436
2021-01-11,ROST,114.22,115.42,113.86,114.17,195130
2021-01-12,ROST,113.82,115.76,113.37,114.58,202109
2021-01-13,ROST,113.8,114.3,112.09,112.71,60814
2021-01-14,ROST,112.6,113.15,109.7,110.68,112329
2021-01-15,ROST,109.22,110.96,107.98,110.55,69033
2021-01-19,ROST,110.9,111.38,107.2,107.8,129818
2021-01-20,ROST,107.95,110.53,107.65,108.86,169147
2021-01-21,ROST,108.91,110.16,108.14,109.14,81030
2021-01-22,ROST,108.97,108.97,106.35,107.18,119754
2021-01-25,ROST,106.5,107.78,105.08,107.41,119766
2021-01-26,ROST,107.16,108.21,105.27,105.61,62496
2021-01-27,ROST,103.53,105.03,101.42,102.03,121647
2021-01-28,ROST,104.2,109.7,104.07,107.55,176528
2021-01-29,ROST,106.8,106.8,104.4,105.22,137251
2021-02-01,ROST,106.21,106.97,105.23,106.29,109744
2021-02-02,ROST,107.13,110.44,106.97,109.99,88897
2021-02-03,ROST,109.94,112.36,109.7,111.28,136985
2021-02-04,ROST,111.64,113.88,111.29,112.2,93793
2021-02-05,ROST,113.54,113.9,111.42,112.23,75194
2021-02-08,ROST,112.27,114.03,111.52,114.02,73235
2021-02-09,ROST,114.01,114.18,113.14,113.46,43898
2021-02-10,ROST,113.95,114.15,113.17,113.7,120157
2021-02-11,ROST,114.41,116.61,114.1,115.32,123188
2021-02-12,ROST,114.72,115.41,112.19,112.6,27898
2021-02-16,ROST,112.62,113.81,111.72,113.38,66416
2021-02-17,ROST,113.03,113.37,111.74,113.07,98582
2021-02-18,ROST,111.79,114.29,111.39,113.57,87116
2021-02-19,ROST,114.27,114.27,112.24,112.48,58993
2021-02-22,ROST,112.26,115.07,111.77,114.82,65232
