date,tic,open,high,low,close,volume
2021-01-04,RTX,63.7,63.7,60.89,60.95,367638
2021-01-05,RTX,61.3,62.28,61.0,61.85,195636
2021-01-06,RTX,61.2,63.71,61.2,62.63,232581
2021-01-07,RTX,62.66,63.13,62.11,62.22,257771
2021-01-08,RTX,62.34,62.41,61.23,62.24,182614
2021-01-11,RTX,61.3,62.24,61.24,62.18,108094
2021-01-12,RTX,62.08,63.83,62.02,63.83,190149
2021-01-13,RTX,63.59,63.59,62.2,62.85,253087
2021-01-14,RTX,63.26,64.5,62.89,63.24,315274
2021-01-15,RTX,62.3,62.48,61.46,61.68,260375
2021-01-19,RTX,62.2,62.38,61.64,61.82,248073
2021-01-20,RTX,61.83,61.87,61.18,61.38,181491
2021-01-21,RTX,61.03,61.21,60.49,60.68,227749
2021-01-22,RTX,60.31,60.65,59.85,60.25,122140
2021-01-25,RTX,58.85,59.28,57.97,59.07,490986
2021-01-26,RTX,61.56,63.21,59.9,59.9,642394
2021-01-27,RTX,59.12,60.36,58.18,58.39,752985
2021-01-28,RTX,59.07,61.72,59.06,60.76,414927
2021-01-29,RTX,59.83,60.18,58.92,59.48,581221
2021-02-01,RTX,60.14,60.19,58.96,59.71,219341
2021-02-02,RTX,60.3,62.76,60.24,62.51,309026
2021-02-03,RTX,62.1,63.19,61.89,62.91,266703
2021-02-04,RTX,63.34,64.89,63.04,64.77,376779
2021-02-05,RTX,65.38,65.8,64.18,64.36,198694
2021-02-08,RTX,64.45,64.77,64.01,64.58,174944
2021-02-09,RTX,64.39,65.35,63.78,65.08,201241
2021-02-10,RTX,64.93,65.15,64.32,64.57,124564
2021-02-11,RTX,64.48,65.22,63.45,64.48,162357
2021-02-12,RTX,64.04,64.87,64.04,64.7,169138
2021-02-16,RTX,64.92,65.24,64.25,64.72,343198
2021-02-17,RTX,64.5,65.24,64.27,65.13,275264
2021-02-18,RTX,64.57,65.11,64.2,64.95,205333
2021-02-19,RTX,65.35,66.22,65.2,66.22,250817
2021-02-22,RTX,64.38,66.17,64.38,65.06,423468
2021-02-23,RTX,65.52,65.96,64.66,65.96,648721
2021-02-24,RTX,66.13,69.66,65.84,69.23,558233
2021-02-25,RTX,68.95,69.17,65.44,65.76,402857
2021-02-26,RTX,66.12,66.24,64.58,64.58,234865
2021-03-01,RTX,65.79,67.55,65.62,66.7,428753
2021-03-02,RTX,66.63,67.64,66.63,66.99,286024
2021-03-03,RTX,67.22,68.51,66.97,67.3,279594
2021-03-04,RTX,67.37,68.58,65.28,66.77,271193
2021-03-05,RTX,67.46,67.78,65.59,67.43,221567
2021-03-08,RTX,68.31,69.38,67.79,67.83,345443
2021-03-09,RTX,68.26,68.77,67.05,67.15,264710
2021-03-10,RTX,67.38,69.2,67.28,68.66,306807
2021-03-11,RTX,68.78,70.03,68.42,69.13,261656
2021-03-12,RTX,69.81,70.74,69.73,70.42,290434
