date,tic,open,high,low,close,volume
2021-01-04,RVTY,142.61,145.78,140.86,143.89,92896
2021-01-05,RVTY,144.02,150.74,144.02,150.01,70140
2021-01-06,RVTY,149.06,156.18,149.06,154.59,80238
2021-01-07,RVTY,159.21,160.31,157.42,158.77,69246
2021-01-08,RVTY,158.75,160.51,155.87,158.02,77613
2021-01-11,RVTY,157.49,160.82,155.84,157.32,91293
2021-01-12,RVTY,157.17,157.46,149.18,150.21,207046
2021-01-13,RVTY,152.0,152.0,149.32,149.69,56484
2021-01-14,RVTY,150.61,150.95,146.35,146.55,57014
2021-01-15,RVTY,146.68,147.63,144.48,146.86,34409
2021-01-19,RVTY,149.19,149.46,145.79,147.65,37977
2021-01-20,RVTY,148.49,150.23,148.17,149.6,33429
2021-01-21,RVTY,150.02,150.21,147.06,148.97,38197
2021-01-22,RVTY,149.47,150.58,148.22,150.33,37643
2021-01-25,RVTY,151.32,151.71,147.77,149.39,36232
2021-01-26,RVTY,149.08,149.28,144.52,144.69,34492
2021-01-27,RVTY,141.7,143.33,138.74,140.13,66271
2021-01-28,RVTY,142.75,145.75,142.51,143.34,46281
2021-01-29,RVTY,142.72,147.95,142.72,145.45,66414
2021-02-01,RVTY,146.63,152.18,146.63,150.37,123272
2021-02-02,RVTY,152.05,154.78,149.27,149.76,87911
2021-02-03,RVTY,147.71,149.84,138.13,138.16,208763
2021-02-04,RVTY,138.45,140.77,136.0,140.77,67487
2021-02-05,RVTY,141.6,144.29,141.3,143.42,44837
2021-02-08,RVTY,144.47,145.55,140.86,142.95,41112
2021-02-09,RVTY,142.54,145.02,141.45,143.91,32131
2021-02-10,RVTY,145.99,147.21,143.79,145.62,38078
2021-02-11,RVTY,146.77,147.87,145.72,147.03,23041
2021-02-12,RVTY,146.38,150.13,146.38,149.09,40420
2021-02-16,RVTY,148.57,149.81,144.21,144.75,51648
2021-02-17,RVTY,144.56,145.4,141.16,142.83,48286
2021-02-18,RVTY,140.7,142.32,139.68,140.98,60557
2021-02-19,RVTY,141.69,141.69,135.27,135.27,70437
