date,tic,open,high,low,close,volume
2021-01-04,SBAC,264.73,264.73,256.11,256.94,58870
2021-01-05,SBAC,256.1,258.65,253.61,253.8,71330
2021-01-06,SBAC,252.45,252.45,244.75,246.83,84501
2021-01-07,SBAC,245.3,248.11,244.0,247.36,52308
2021-01-08,SBAC,248.35,251.13,248.17,249.41,25045
2021-01-11,SBAC,248.81,248.81,241.84,242.76,81954
2021-01-12,SBAC,242.25,244.88,238.8,243.64,64191
2021-01-13,SBAC,242.81,247.93,242.33,247.39,56715
2021-01-14,SBAC,247.63,249.66,245.81,246.21,53502
2021-01-15,SBAC,247.29,251.92,246.97,250.7,43084
2021-01-19,SBAC,252.29,252.29,249.06,250.86,27114
2021-01-20,SBAC,252.64,256.6,249.75,253.99,62043
2021-01-21,SBAC,252.35,255.02,249.61,254.3,33318
2021-01-22,SBAC,254.66,255.89,252.22,254.26,31093
2021-01-25,SBAC,254.91,259.97,253.09,257.68,48030
2021-01-26,SBAC,254.53,259.51,253.15,258.73,70987
2021-01-27,SBAC,256.97,258.6,251.87,253.04,41745
2021-01-28,SBAC,252.03,255.71,251.11,251.42,39068
2021-01-29,SBAC,249.98,251.88,247.9,250.17,50240
2021-02-01,SBAC,251.81,259.58,250.65,259.14,52158
2021-02-02,SBAC,260.46,265.74,260.44,262.5,66581
2021-02-03,SBAC,256.4,260.48,251.99,253.69,74161
2021-02-04,SBAC,253.01,257.69,251.98,255.3,76496
2021-02-05,SBAC,255.31,259.94,255.05,255.21,32432
2021-02-08,SBAC,253.53,253.53,246.31,248.85,55439
2021-02-09,SBAC,249.28,250.33,246.43,248.44,40030
2021-02-10,SBAC,250.74,251.58,246.89,247.58,36113
2021-02-11,SBAC,246.77,248.26,245.17,246.91,45954
2021-02-12,SBAC,245.97,246.83,243.77,245.96,58622
2021-02-16,SBAC,244.63,246.0,239.39,241.77,64377
2021-02-17,SBAC,241.19,244.87,240.08,241.81,60699
2021-02-18,SBAC,240.74,244.94,240.74,244.87,42835
2021-02-19,SBAC,245.29,246.15,243.68,243.98,41323
2021-02-22,SBAC,243.94,245.19,239.04,242.37,71654
2021-02-23,SBAC,240.61,240.61,230.32,231.75,98995
2021-02-24,SBAC,231.87,233.79,226.78,233.44,111125
2021-02-25,SBAC,233.67,240.2,232.87,239.49,126311
2021-02-26,SBAC,240.33,242.06,237.37,237.71,135070
2021-03-01,SBAC,240.0,241.92,230.76,231.07,45721
2021-03-02,SBAC,230.77,231.63,226.44,229.66,33036
2021-03-03,SBAC,225.54,225.69,219.46,222.86,185810
2021-03-04,SBAC,223.01,225.66,219.27,219.61,111689
2021-03-05,SBAC,221.17,227.05,217.11,225.76,109401
2021-03-08,SBAC,229.85,232.2,223.01,226.1,58008
2021-03-09,SBAC,231.16,234.24,229.62,232.01,86859
2021-03-10,SBAC,229.35,234.58,229.35,233.25,32163
2021-03-11,SBAC,234.81,244.28,234.26,241.9,62881
2021-03-12,SBAC,239.89,245.54,239.89,243.75,53523
2021-03-15,SBAC,243.22,248.72,242.44,248.25,33236
2021-03-16,SBAC,249.3,253.62,247.9,252.02,60328
2021-03-17,SBAC,251.97,253.57,247.27,250.1,28734
2021-03-18,SBAC,245.94,250.37,243.98,250.0,31962
2021-03-19,SBAC,250.08,252.99,248.48,248.48,45607
2021-03-22,SBAC,250.69,256.92,249.53,256.1,31812
2021-03-23,SBAC,256.4,260.97,255.37,256.02,46437
2021-03-24,SBAC,253.32,256.16,249.62,254.32,35621
2021-03-25,SBAC,253.63,255.41,251.33,254.35,36643
2021-03-26,SBAC,255.07,264.1,255.07,264.1,34242
2021-03-29,SBAC,262.68,264.44,260.27,262.77,37208
2021-03-30,SBAC,261.2,261.2,256.47,257.97,34749
2021-03-31,SBAC,256.76,260.54,254.42,259.3,54338
2021-04-01,SBAC,260.14,262.8,258.3,262.8,62191
2021-04-05,SBAC,262.21,266.56,261.92,266.5,30694
2021-04-06,SBAC,265.19,266.8,262.81,266.56,18650
2021-04-07,SBAC,267.18,267.99,264.6,265.42,21537
2021-04-08,SBAC,265.66,267.53,260.97,261.18,39039
2021-04-09,SBAC,262.43,262.67,256.54,257.56,75471
2021-04-12,SBAC,257.35,262.41,257.35,261.99,65850
2021-04-13,SBAC,262.2,266.83,261.84,262.97,26228
2021-04-14,SBAC,264.46,265.48,262.15,262.49,25297
2021-04-15,SBAC,263.94,269.89,263.92,269.27,41549
2021-04-16,SBAC,269.47,271.19,267.49,269.36,34352
2021-04-19,SBAC,269.48,269.73,267.6,269.09,26838
2021-04-20,SBAC,269.32,277.85,268.92,272.59,38659
2021-04-21,SBAC,274.55,276.41,270.34,271.85,42465
2021-04-22,SBAC,271.03,277.48,271.03,275.01,41065
2021-04-23,SBAC,276.53,281.58,275.13,276.72,64584
2021-04-26,SBAC,276.12,278.64,275.44,276.98,49843
2021-04-27,SBAC,277.9,279.99,274.39,275.69,56351
2021-04-28,SBAC,274.96,280.21,274.61,278.36,66460
2021-04-29,SBAC,278.1,279.0,274.18,278.35,45581
