date,tic,open,high,low,close,volume
2021-01-04,SBUX,96.14,96.19,91.28,92.08,395821
2021-01-05,SBUX,91.95,93.12,91.91,92.37,402463
2021-01-06,SBUX,91.94,93.94,91.94,93.08,230002
2021-01-07,SBUX,93.31,93.46,91.98,92.33,187813
2021-01-08,SBUX,92.79,94.45,92.41,94.43,238099
2021-01-11,SBUX,93.9,94.32,93.16,93.44,101455
2021-01-12,SBUX,93.04,93.17,91.4,91.95,126072
2021-01-13,SBUX,91.37,92.33,90.66,91.94,165783
2021-01-14,SBUX,92.69,93.06,90.87,90.93,103127
2021-01-15,SBUX,90.54,91.71,90.44,91.42,142983
2021-01-19,SBUX,91.77,92.51,90.59,91.64,188237
2021-01-20,SBUX,91.47,94.53,91.3,94.21,177881
2021-01-21,SBUX,94.2,94.22,93.33,93.48,168208
2021-01-22,SBUX,93.0,93.3,92.08,92.83,162933
2021-01-25,SBUX,92.74,92.85,91.38,92.34,185129
2021-01-26,SBUX,92.37,93.96,92.28,93.54,318033
2021-01-27,SBUX,90.62,90.86,86.41,87.47,665512
2021-01-28,SBUX,88.37,89.79,87.66,87.66,272205
2021-01-29,SBUX,86.93,87.26,85.72,86.46,186007
2021-02-01,SBUX,86.64,88.98,86.59,88.05,442964
2021-02-02,SBUX,88.56,91.53,88.31,90.78,264490
2021-02-03,SBUX,90.4,91.67,90.07,90.28,154565
2021-02-04,SBUX,90.48,93.1,90.33,92.56,285808
2021-02-05,SBUX,93.74,96.05,93.63,95.12,365658
2021-02-08,SBUX,95.1,95.1,94.1,94.92,109154
2021-02-09,SBUX,94.68,95.41,94.04,94.85,116893
2021-02-10,SBUX,95.31,95.49,93.76,94.5,183873
2021-02-11,SBUX,94.79,94.85,93.85,94.63,84276
2021-02-12,SBUX,94.53,94.59,93.54,94.09,154846
2021-02-16,SBUX,93.72,95.19,93.58,94.83,152543
2021-02-17,SBUX,94.39,94.58,93.44,93.7,98699
2021-02-18,SBUX,93.11,94.47,92.85,94.06,133309
2021-02-19,SBUX,93.9,94.12,92.61,92.71,128945
2021-02-22,SBUX,92.36,92.37,91.29,91.33,211127
2021-02-23,SBUX,92.54,92.6,89.68,90.91,443085
2021-02-24,SBUX,90.87,93.75,90.27,93.75,256606
2021-02-25,SBUX,93.24,94.89,92.51,92.88,434003
2021-02-26,SBUX,93.4,98.2,93.12,97.01,455923
2021-03-01,SBUX,97.42,99.07,95.58,95.85,228518
2021-03-02,SBUX,96.31,97.1,94.97,96.11,143087
2021-03-03,SBUX,95.91,96.83,95.22,95.27,214120
2021-03-04,SBUX,95.44,96.07,93.27,94.03,287215
2021-03-05,SBUX,95.06,95.06,92.21,94.34,189480
2021-03-08,SBUX,94.02,95.88,93.55,94.18,232423
2021-03-09,SBUX,95.3,96.84,95.06,95.66,233666
2021-03-10,SBUX,96.09,97.84,96.02,96.65,268526
2021-03-11,SBUX,97.31,97.37,96.24,96.26,184529
2021-03-12,SBUX,96.33,96.85,95.67,96.74,122968
2021-03-15,SBUX,96.92,97.69,96.06,97.69,942559
2021-03-16,SBUX,99.17,100.72,98.64,99.88,927167
2021-03-17,SBUX,99.93,99.95,97.76,99.1,1735944
2021-03-18,SBUX,98.35,98.87,96.45,96.55,938777
2021-03-19,SBUX,97.2,97.51,94.94,95.19,1585710
2021-03-22,SBUX,95.52,97.25,95.1,96.53,865983
2021-03-23,SBUX,96.62,96.79,94.82,95.29,850108
2021-03-24,SBUX,95.6,96.24,94.19,94.24,996478
2021-03-25,SBUX,94.19,96.61,93.44,96.31,1519144
2021-03-26,SBUX,96.32,98.68,96.26,98.65,273003
2021-03-29,SBUX,97.87,98.89,97.02,97.85,194417
2021-03-30,SBUX,97.43,99.05,97.42,98.81,180491
2021-03-31,SBUX,98.99,100.07,97.96,97.98,183061
2021-04-01,SBUX,98.2,98.7,97.09,98.14,221249
