date,tic,open,high,low,close,volume
2021-01-04,SCHW,49.88,50.09,48.67,49.42,320733
2021-01-05,SCHW,48.67,49.6,48.67,49.46,269350
2021-01-06,SCHW,50.92,54.17,50.9,53.78,1166474
2021-01-07,SCHW,54.25,55.68,54.21,55.41,457907
2021-01-08,SCHW,55.24,55.77,54.57,55.28,408696
2021-01-11,SCHW,55.03,56.54,54.62,56.45,544013
2021-01-12,SCHW,57.0,58.12,56.65,57.35,539812
2021-01-13,SCHW,56.79,57.49,55.46,55.77,1586469
2021-01-14,SCHW,55.77,56.0,55.41,55.55,481301
2021-01-15,SCHW,54.8,55.43,54.31,55.06,439674
2021-01-19,SCHW,55.42,55.75,54.3,55.59,370633
2021-01-20,SCHW,55.65,55.65,54.46,54.93,650691
2021-01-21,SCHW,55.0,55.25,54.67,54.99,181659
2021-01-22,SCHW,54.53,55.2,54.31,54.76,185703
2021-01-25,SCHW,53.84,54.48,53.05,53.49,242554
2021-01-26,SCHW,53.93,53.93,52.59,52.7,181803
2021-01-27,SCHW,51.88,51.88,49.83,49.86,591204
2021-01-28,SCHW,50.33,51.92,50.23,50.37,495806
2021-01-29,SCHW,49.89,49.93,47.57,48.28,1181632
2021-02-01,SCHW,48.76,50.32,48.7,50.07,392347
2021-02-02,SCHW,50.71,51.85,50.71,51.11,386999
2021-02-03,SCHW,51.22,51.83,49.65,50.09,479553
2021-02-04,SCHW,50.5,51.72,50.26,51.72,467456
2021-02-05,SCHW,52.13,52.83,51.82,52.21,346378
2021-02-08,SCHW,52.55,52.55,51.74,52.35,158597
2021-02-09,SCHW,52.37,52.96,51.54,52.72,161236
2021-02-10,SCHW,53.2,53.29,51.9,52.17,330449
2021-02-11,SCHW,52.36,52.99,52.08,52.57,288825
2021-02-12,SCHW,52.72,54.75,52.46,54.7,520704
2021-02-16,SCHW,55.4,57.64,55.15,57.32,624534
2021-02-17,SCHW,57.04,57.7,56.75,57.62,308428
2021-02-18,SCHW,57.34,58.49,57.0,58.19,285620
2021-02-19,SCHW,58.78,59.61,57.51,58.17,572487
2021-02-22,SCHW,58.64,59.27,58.37,59.21,1123617
2021-02-23,SCHW,59.42,59.42,57.78,58.91,456591
2021-02-24,SCHW,59.19,61.49,59.11,60.59,691265
2021-02-25,SCHW,60.75,61.31,59.19,59.31,537614
2021-02-26,SCHW,59.43,59.47,57.59,58.05,326130
2021-03-01,SCHW,58.99,61.03,58.87,60.25,326216
2021-03-02,SCHW,59.88,60.87,59.64,59.96,264576
2021-03-03,SCHW,60.21,62.25,60.07,61.01,405182
2021-03-04,SCHW,60.9,61.24,59.26,60.88,571941
2021-03-05,SCHW,62.04,62.58,59.26,61.13,455082
2021-03-08,SCHW,61.46,61.69,60.51,60.55,340525
2021-03-09,SCHW,60.26,61.1,58.62,59.97,607412
2021-03-10,SCHW,60.3,61.15,60.04,61.11,416144
2021-03-11,SCHW,61.03,62.84,60.72,62.43,604002
2021-03-12,SCHW,62.94,64.06,62.8,63.59,454357
2021-03-15,SCHW,63.4,63.49,61.53,62.38,366296
2021-03-16,SCHW,62.09,62.1,61.13,61.56,200897
2021-03-17,SCHW,62.58,62.58,61.23,61.75,300413
2021-03-18,SCHW,62.75,63.79,62.04,62.11,383512
2021-03-19,SCHW,61.41,62.58,60.92,62.14,229661
2021-03-22,SCHW,61.68,61.69,60.84,60.9,193970
2021-03-23,SCHW,60.66,61.01,59.48,59.57,284988
2021-03-24,SCHW,60.3,61.81,60.3,60.32,228680
2021-03-25,SCHW,60.01,61.52,59.28,61.23,254673
2021-03-26,SCHW,61.81,62.09,61.05,61.74,188021
2021-03-29,SCHW,60.83,61.47,59.81,60.2,438286
2021-03-30,SCHW,60.85,61.11,60.15,60.78,242547
2021-03-31,SCHW,61.37,61.7,60.49,61.26,360007
2021-04-01,SCHW,61.24,62.49,61.14,62.47,302930
2021-04-05,SCHW,63.73,64.74,63.72,63.99,356325
2021-04-06,SCHW,63.8,64.49,63.09,63.27,362108
2021-04-07,SCHW,63.13,63.53,62.42,63.03,421711
2021-04-08,SCHW,62.72,62.92,62.13,62.83,256409
2021-04-09,SCHW,64.04,64.69,63.16,63.52,329294
2021-04-12,SCHW,63.4,63.83,63.36,63.64,186893
2021-04-13,SCHW,63.4,63.49,62.23,62.62,198000
2021-04-14,SCHW,62.7,64.31,62.7,63.41,370627
2021-04-15,SCHW,62.84,63.44,60.74,61.61,616776
2021-04-16,SCHW,61.71,61.71,60.48,60.84,517550
2021-04-20,SCHW,61.47,61.52,59.8,59.87,401100
2021-04-21,SCHW,59.82,61.51,59.65,61.51,331874
2021-04-22,SCHW,61.33,62.09,60.47,60.9,412405
2021-04-23,SCHW,61.1,63.14,61.08,63.09,398855
2021-04-26,SCHW,63.34,64.66,63.34,63.66,350617
2021-04-27,SCHW,64.34,65.55,63.8,65.48,276976
2021-04-28,SCHW,65.46,65.82,65.05,65.67,268778
2021-04-29,SCHW,65.94,67.82,65.85,67.4,598885
2021-04-30,SCHW,67.17,67.4,66.0,66.17,318196
2021-05-03,SCHW,66.52,66.77,65.57,66.68,174332
2021-05-04,SCHW,66.47,67.32,64.72,65.87,570035
2021-05-05,SCHW,66.38,67.35,65.39,66.7,304259
2021-05-06,SCHW,66.86,67.33,65.88,67.24,282912
2021-05-07,SCHW,66.42,67.53,65.84,67.51,326271
2021-05-10,SCHW,67.78,68.18,66.82,66.82,183100
2021-05-11,SCHW,65.82,67.64,65.74,66.39,262967
2021-05-12,SCHW,66.64,67.14,64.55,64.97,350691
2021-05-13,SCHW,64.87,66.88,64.87,66.39,266036
2021-05-14,SCHW,66.55,69.13,66.55,69.04,439358
2021-05-17,SCHW,68.92,68.92,67.87,68.8,405455
2021-05-18,SCHW,69.15,69.17,66.8,66.81,229122
2021-05-19,SCHW,65.65,67.24,65.29,67.08,226616
2021-05-20,SCHW,67.3,67.43,66.36,66.64,156507
2021-05-21,SCHW,67.07,68.36,66.98,67.95,263616
2021-05-24,SCHW,68.13,68.83,67.9,68.44,172569
2021-05-25,SCHW,68.53,69.25,67.42,67.51,239769
2021-05-26,SCHW,67.62,67.97,66.63,67.36,287609
2021-05-27,SCHW,67.97,69.87,67.78,69.57,259962
2021-05-28,SCHW,69.8,69.97,69.0,69.61,233633
2021-06-01,SCHW,70.53,71.12,69.9,70.35,202940
2021-06-02,SCHW,70.55,70.94,70.08,70.62,170245
2021-06-03,SCHW,70.6,71.93,70.16,71.63,221142
2021-06-04,SCHW,71.78,71.92,70.23,71.38,145484
2021-06-07,SCHW,71.57,71.57,70.07,70.39,171676
2021-06-08,SCHW,69.95,70.83,69.34,70.78,317359
2021-06-09,SCHW,70.33,70.46,68.1,68.66,306942
2021-06-10,SCHW,69.57,69.87,68.27,68.43,457095
2021-06-11,SCHW,68.75,69.71,68.75,69.65,413593
2021-06-14,SCHW,69.28,69.28,67.06,67.88,284745
2021-06-15,SCHW,68.27,69.08,67.89,68.23,447706
2021-06-16,SCHW,67.83,70.23,67.08,69.48,333508
2021-06-17,SCHW,69.92,70.05,66.79,68.01,277840
2021-06-18,SCHW,66.53,67.63,65.32,65.59,437687
2021-06-21,SCHW,66.57,68.75,66.21,68.55,315058
2021-06-22,SCHW,68.5,68.5,67.4,68.33,148753
2021-06-23,SCHW,68.5,69.04,68.32,68.68,252976
2021-06-24,SCHW,68.96,69.39,68.03,69.15,222253
2021-06-25,SCHW,69.28,69.98,69.01,69.51,242462
2021-06-28,SCHW,69.38,69.44,68.4,69.05,131789
2021-06-29,SCHW,69.65,70.24,68.95,68.98,188448
2021-06-30,SCHW,68.46,68.84,68.15,68.65,212085
2021-07-01,SCHW,69.31,69.34,68.75,69.31,182150
2021-07-02,SCHW,69.0,69.0,67.51,68.61,227344
2021-07-06,SCHW,68.35,68.35,66.6,66.68,183251
2021-07-07,SCHW,66.39,66.56,64.91,65.98,277935
2021-07-08,SCHW,63.74,64.89,63.63,64.02,259588
2021-07-09,SCHW,65.36,66.51,64.59,66.51,332456
2021-07-12,SCHW,65.96,67.86,65.85,67.54,141679
2021-07-13,SCHW,67.48,67.93,66.88,67.69,218858
2021-07-14,SCHW,67.22,67.95,65.94,66.24,171051
2021-07-15,SCHW,65.76,67.43,65.73,66.39,297426
2021-07-16,SCHW,66.58,66.58,64.38,64.91,459319
2021-07-19,SCHW,63.74,64.17,62.41,62.83,354257
2021-07-20,SCHW,62.67,64.31,61.97,63.97,215522
2021-07-21,SCHW,65.01,65.97,64.88,65.53,353720
2021-07-22,SCHW,65.56,65.59,63.28,63.35,396597
2021-07-23,SCHW,63.97,64.42,63.37,64.02,308874
2021-07-26,SCHW,64.13,64.66,63.77,64.1,224950
2021-07-27,SCHW,63.56,63.91,62.97,63.49,165955
2021-07-28,SCHW,63.89,64.4,63.29,63.94,305627
2021-07-29,SCHW,64.34,65.27,63.85,64.6,215661
2021-07-30,SCHW,64.41,65.12,63.85,64.0,136046
2021-08-02,SCHW,64.36,65.69,63.78,63.81,216651
2021-08-03,SCHW,64.09,64.31,62.37,63.52,104976
2021-08-04,SCHW,62.78,64.35,62.78,63.77,137487
2021-08-05,SCHW,64.36,65.68,64.34,65.3,236363
2021-08-06,SCHW,66.24,68.26,66.14,67.8,622649
2021-08-09,SCHW,67.5,69.82,67.31,69.2,193207
2021-08-10,SCHW,68.9,70.65,68.8,70.28,186975
2021-08-11,SCHW,70.47,71.04,69.95,70.47,433462
2021-08-12,SCHW,70.49,71.32,70.25,71.29,193719
2021-08-13,SCHW,71.04,71.21,69.39,69.9,109017
2021-08-16,SCHW,69.3,69.3,68.15,69.22,136994
2021-08-17,SCHW,68.66,68.93,67.67,68.5,117130
2021-08-18,SCHW,68.31,69.37,67.95,67.97,75248
2021-08-19,SCHW,67.06,67.85,66.51,67.09,112119
2021-08-20,SCHW,67.01,68.1,66.93,67.99,92957
2021-08-23,SCHW,68.48,68.71,68.09,68.3,89299
2021-08-24,SCHW,68.51,70.1,68.51,70.0,228980
2021-08-25,SCHW,70.25,71.21,69.94,70.43,175305
2021-08-26,SCHW,70.68,70.99,69.57,69.59,163623
2021-08-27,SCHW,69.93,71.7,69.74,71.64,188634
2021-08-30,SCHW,71.76,71.76,69.29,69.37,321244
2021-08-31,SCHW,69.29,69.47,67.99,68.8,264206
2021-09-01,SCHW,68.93,69.49,67.8,69.15,203858
2021-09-02,SCHW,69.39,69.5,68.57,68.9,250010
2021-09-03,SCHW,68.79,69.46,68.06,68.1,276986
2021-09-07,SCHW,67.61,68.41,67.56,68.09,172454
2021-09-08,SCHW,67.8,68.34,67.39,67.61,116056
2021-09-09,SCHW,67.53,69.56,67.42,68.32,151855
2021-09-10,SCHW,68.74,68.9,67.46,67.46,103804
2021-09-13,SCHW,68.07,68.12,66.93,67.9,126694
2021-09-14,SCHW,67.92,68.16,65.31,65.86,285566
2021-09-15,SCHW,65.69,67.43,65.6,67.21,203331
2021-09-16,SCHW,67.4,67.87,66.52,66.87,200103
2021-09-17,SCHW,66.64,66.95,65.96,66.53,164353
2021-09-20,SCHW,64.37,65.12,63.6,64.99,256841
2021-09-21,SCHW,65.46,65.57,64.42,64.67,128012
2021-09-22,SCHW,65.66,67.17,65.64,66.46,204752
2021-09-23,SCHW,67.39,70.29,67.37,70.19,249350
2021-09-24,SCHW,70.19,71.72,70.19,71.4,375376
2021-09-27,SCHW,71.79,73.38,71.74,73.11,359455
2021-09-28,SCHW,73.19,73.64,71.27,71.97,463087
2021-09-29,SCHW,72.09,72.09,70.59,71.2,298294
2021-09-30,SCHW,71.55,71.63,68.75,68.79,295293
2021-10-01,SCHW,68.82,70.77,68.09,70.27,236290
2021-10-04,SCHW,70.04,70.89,68.89,69.14,160908
2021-10-05,SCHW,69.78,72.26,69.78,71.69,674061
2021-10-06,SCHW,70.66,71.87,69.96,71.5,168501
