date,tic,open,high,low,close,volume
2021-01-04,SHOP,113.8,114.08,108.0,109.14,569580
2021-01-05,SHOP,108.7,111.82,108.66,111.79,364180
2021-01-06,SHOP,109.48,110.87,107.63,108.65,431860
2021-01-07,SHOP,110.7,116.1,110.33,115.95,756890
2021-01-08,SHOP,117.56,119.45,115.58,118.85,476610
2021-01-11,SHOP,116.72,121.56,116.0,117.69,377940
2021-01-12,SHOP,119.0,120.42,116.74,119.1,377510
2021-01-13,SHOP,119.26,120.15,116.98,120.0,273290
2021-01-14,SHOP,122.41,122.82,117.16,117.83,431210
2021-01-15,SHOP,118.7,119.2,115.0,117.03,465670
2021-01-19,SHOP,118.53,118.53,115.03,117.36,319800
2021-01-20,SHOP,118.53,121.53,117.79,120.02,323230
2021-01-21,SHOP,121.26,121.26,118.21,119.79,281650
2021-01-22,SHOP,118.94,120.13,117.87,119.72,421230
2021-01-25,SHOP,120.46,124.48,116.72,120.55,760650
2021-01-26,SHOP,120.78,121.2,115.74,115.99,494720
2021-01-27,SHOP,114.0,114.4,108.15,108.98,950420
2021-01-28,SHOP,111.23,113.64,109.37,112.09,366520
2021-01-29,SHOP,111.97,112.17,108.25,109.93,549810
2021-02-01,SHOP,110.88,114.87,110.1,114.87,664340
2021-02-02,SHOP,116.65,123.82,116.34,123.76,755150
2021-02-03,SHOP,123.69,124.5,119.7,122.36,503310
2021-02-04,SHOP,124.82,128.12,123.69,125.99,664090
2021-02-05,SHOP,126.14,129.59,125.55,128.8,493910
2021-02-08,SHOP,130.3,134.66,130.3,134.66,566160
2021-02-09,SHOP,136.54,145.18,136.13,143.2,986050
2021-02-10,SHOP,144.5,149.85,141.38,146.31,1012510
2021-02-11,SHOP,148.01,148.01,143.99,146.0,388900
2021-02-12,SHOP,145.91,146.96,143.42,145.23,414060
2021-02-16,SHOP,146.42,149.19,143.06,146.14,678390
2021-02-17,SHOP,136.07,145.84,134.51,142.38,1524700
2021-02-18,SHOP,138.75,141.44,137.87,138.1,607980
2021-02-19,SHOP,139.7,143.8,137.77,143.6,622490
2021-02-22,SHOP,140.1,141.16,136.16,138.21,928870
2021-02-23,SHOP,126.1,132.1,120.54,129.96,2027850
2021-02-24,SHOP,130.52,131.89,126.56,130.22,555220
2021-02-25,SHOP,129.91,131.79,122.62,124.9,693660
2021-02-26,SHOP,125.51,129.8,124.15,128.08,783010
2021-03-01,SHOP,130.79,132.11,128.4,130.84,634130
2021-03-02,SHOP,131.08,131.51,125.62,131.33,983570
2021-03-03,SHOP,128.8,129.7,121.89,122.12,620230
2021-03-04,SHOP,119.98,121.25,111.46,114.99,2084940
2021-03-05,SHOP,115.25,115.25,102.51,112.94,2331730
2021-03-08,SHOP,112.62,116.38,107.25,107.25,2189700
2021-03-09,SHOP,112.63,114.72,110.28,113.09,985000
2021-03-10,SHOP,116.5,116.53,107.95,108.84,1049290
2021-03-11,SHOP,112.15,115.73,108.96,114.22,1169990
2021-03-12,SHOP,112.2,114.56,109.47,113.99,478200
2021-03-15,SHOP,113.35,115.86,111.29,115.86,452900
2021-03-16,SHOP,118.34,118.76,112.52,114.2,558800
2021-03-17,SHOP,111.01,117.82,110.62,117.06,585390
2021-03-18,SHOP,114.51,114.74,110.72,111.75,538580
2021-03-19,SHOP,112.34,113.68,110.66,112.12,538350
2021-03-22,SHOP,112.58,115.96,112.21,115.96,464540
2021-03-23,SHOP,116.57,116.73,114.38,115.94,585850
2021-03-24,SHOP,117.3,118.03,110.28,110.58,617860
2021-03-25,SHOP,109.1,110.36,105.27,105.91,1090780
2021-03-26,SHOP,105.77,108.42,100.58,106.32,1655220
2021-03-29,SHOP,105.16,107.43,102.92,103.85,777220
2021-03-30,SHOP,102.64,107.4,102.01,104.88,806870
2021-03-31,SHOP,107.13,111.93,107.0,110.75,876590
2021-04-01,SHOP,115.45,117.84,113.85,115.54,921860
2021-04-05,SHOP,117.58,117.58,113.66,114.56,359570
2021-04-06,SHOP,114.68,117.93,114.44,115.6,408450
2021-04-07,SHOP,114.65,117.41,114.48,115.87,314350
2021-04-08,SHOP,118.28,122.4,118.15,122.25,883180
2021-04-09,SHOP,120.98,123.31,119.33,122.66,354750
2021-04-12,SHOP,121.1,122.25,118.9,120.06,421820
2021-04-13,SHOP,121.67,124.79,121.67,124.16,523410
2021-04-14,SHOP,124.18,124.82,117.63,117.82,634890
2021-04-15,SHOP,120.0,122.07,118.72,120.74,398900
2021-04-16,SHOP,120.04,121.78,118.95,120.57,376160
2021-04-20,SHOP,114.15,115.79,110.83,112.35,718050
2021-04-21,SHOP,111.9,114.75,111.4,114.15,327750
2021-04-22,SHOP,114.39,114.57,109.3,109.47,693830
2021-04-23,SHOP,110.43,110.93,108.73,109.97,752870
2021-04-26,SHOP,111.17,116.51,110.97,116.51,879400
2021-04-27,SHOP,116.79,116.79,113.51,115.69,689440
2021-04-28,SHOP,121.68,129.67,119.43,128.92,1657660
2021-04-29,SHOP,129.95,129.98,122.91,123.24,766170
2021-04-30,SHOP,121.14,122.57,117.61,118.18,936190
2021-05-03,SHOP,118.9,119.38,111.97,112.14,607770
2021-05-04,SHOP,111.3,114.4,107.36,114.2,1107330
2021-05-05,SHOP,114.81,115.6,111.11,112.15,899470
2021-05-06,SHOP,111.0,111.5,106.8,108.98,1104090
2021-05-07,SHOP,111.78,112.82,109.52,110.92,1383540
2021-05-10,SHOP,109.67,109.67,106.36,108.01,650710
2021-05-11,SHOP,103.92,112.14,103.21,111.09,1053010
2021-05-12,SHOP,108.22,110.59,105.62,108.37,597910
2021-05-13,SHOP,110.0,110.25,102.56,104.83,754230
2021-05-14,SHOP,106.7,108.73,104.52,108.56,451900
2021-05-17,SHOP,107.77,111.11,107.65,109.64,301960
2021-05-18,SHOP,110.39,115.26,109.6,113.32,424850
2021-05-19,SHOP,110.55,117.19,110.3,117.05,401320
2021-05-20,SHOP,118.0,122.28,117.12,121.54,788280
2021-05-21,SHOP,121.52,124.52,119.29,122.46,479290
2021-05-24,SHOP,122.7,127.73,122.7,126.25,474190
2021-05-25,SHOP,126.67,127.93,123.32,124.0,405800
2021-05-26,SHOP,124.75,126.64,123.53,123.81,430930
2021-05-27,SHOP,122.5,125.3,121.51,124.26,243040
2021-05-28,SHOP,125.03,127.13,124.27,124.27,240930
2021-06-01,SHOP,125.42,127.8,124.5,125.2,365180
2021-06-02,SHOP,125.53,126.25,122.03,122.91,236070
2021-06-03,SHOP,121.81,122.73,119.62,119.79,288280
2021-06-04,SHOP,120.39,122.18,120.39,120.5,249410
2021-06-07,SHOP,120.57,123.06,118.48,123.06,142550
2021-06-08,SHOP,123.96,125.19,121.17,123.09,172300
2021-06-09,SHOP,123.63,124.1,121.5,121.71,109550
2021-06-10,SHOP,121.38,123.67,119.85,123.46,1059030
2021-06-11,SHOP,123.8,124.9,123.0,124.83,267900
2021-06-14,SHOP,124.79,131.04,124.66,130.53,604280
2021-06-15,SHOP,130.16,134.39,128.81,132.14,522580
2021-06-16,SHOP,132.35,137.68,132.35,136.27,1038890
2021-06-17,SHOP,135.23,146.0,135.2,144.83,1075860
2021-06-18,SHOP,143.75,148.36,143.56,146.63,924540
2021-06-21,SHOP,147.27,155.13,145.4,147.82,1019540
2021-06-22,SHOP,148.03,151.57,146.7,150.87,694280
2021-06-23,SHOP,151.01,153.33,149.61,150.06,557150
2021-06-24,SHOP,151.45,152.83,147.6,148.06,633170
2021-06-25,SHOP,147.47,148.2,142.97,147.4,720010
2021-06-28,SHOP,148.53,152.28,147.94,149.41,337960
2021-06-29,SHOP,150.28,151.15,147.45,148.34,312900
2021-06-30,SHOP,147.63,148.98,145.43,146.12,452940
2021-07-01,SHOP,145.8,146.76,144.3,145.63,384240
2021-07-02,SHOP,147.0,149.5,145.17,146.52,278550
2021-07-06,SHOP,147.82,154.02,147.82,153.89,473680
2021-07-07,SHOP,155.6,158.7,151.67,152.05,368880
2021-07-08,SHOP,149.18,149.41,145.29,146.3,622650
2021-07-09,SHOP,146.43,149.54,145.82,149.52,511030
2021-07-12,SHOP,150.82,152.85,147.8,149.51,359890
2021-07-13,SHOP,150.18,153.09,149.2,151.64,371560
2021-07-14,SHOP,154.13,154.66,145.9,146.1,423950
2021-07-15,SHOP,147.49,147.99,142.13,144.08,297250
2021-07-16,SHOP,144.64,146.04,142.66,144.22,307520
2021-07-19,SHOP,141.4,147.32,139.3,147.2,531050
2021-07-20,SHOP,147.65,153.32,145.82,152.48,565610
2021-07-21,SHOP,153.28,156.9,151.8,156.9,474290
2021-07-22,SHOP,157.3,160.14,157.3,159.44,554500
2021-07-23,SHOP,160.57,164.61,159.66,164.61,621470
2021-07-26,SHOP,164.92,164.92,157.96,158.16,1111580
2021-07-27,SHOP,157.8,159.39,151.46,155.37,559990
2021-07-28,SHOP,157.7,158.32,150.22,154.01,777020
2021-07-29,SHOP,152.8,155.74,151.3,152.49,570860
2021-07-30,SHOP,150.9,152.79,149.1,149.94,370640
2021-08-02,SHOP,150.27,155.29,149.45,153.95,426840
2021-08-03,SHOP,153.97,155.56,150.04,152.24,820530
2021-08-04,SHOP,153.08,155.7,153.01,155.6,254530
2021-08-05,SHOP,155.11,157.44,153.67,154.41,435790
2021-08-06,SHOP,153.09,154.95,150.2,152.52,204580
2021-08-09,SHOP,152.62,155.09,151.17,154.94,320830
2021-08-10,SHOP,155.63,158.12,151.76,152.61,348110
2021-08-11,SHOP,153.49,153.49,148.19,148.56,367270
2021-08-12,SHOP,147.05,151.29,145.95,150.2,490910
2021-08-13,SHOP,149.72,150.22,147.79,149.84,236010
2021-08-16,SHOP,149.15,153.24,146.93,148.92,495640
2021-08-17,SHOP,146.9,148.89,145.92,148.01,314250
2021-08-18,SHOP,148.01,151.06,147.95,148.96,249270
2021-08-19,SHOP,147.51,149.83,146.46,146.6,168410
2021-08-20,SHOP,147.7,148.58,144.11,145.04,409230
2021-08-23,SHOP,145.52,148.76,145.52,148.17,417790
2021-08-24,SHOP,151.25,155.98,151.16,154.04,446300
2021-08-25,SHOP,155.37,155.41,151.38,155.32,334030
2021-08-26,SHOP,155.02,155.18,151.51,151.51,430880
2021-08-27,SHOP,151.94,153.67,151.59,153.18,250670
2021-08-30,SHOP,153.8,155.94,153.05,154.86,384720
2021-08-31,SHOP,154.0,154.66,152.26,152.41,186900
2021-09-01,SHOP,153.31,155.16,152.53,153.96,196810
2021-09-02,SHOP,154.72,158.73,154.0,154.15,337510
2021-09-03,SHOP,154.42,156.71,154.25,155.4,264560
2021-09-07,SHOP,155.45,156.17,152.82,153.66,244230
2021-09-08,SHOP,153.19,153.19,147.59,147.62,408240
2021-09-09,SHOP,148.59,151.77,148.59,150.33,342200
2021-09-10,SHOP,151.5,151.71,148.0,148.32,282130
2021-09-13,SHOP,149.35,149.35,143.49,147.66,409780
2021-09-14,SHOP,148.22,149.14,144.41,145.07,302790
2021-09-15,SHOP,145.6,147.67,143.52,147.49,230380
2021-09-16,SHOP,145.83,147.78,145.37,147.58,196750
2021-09-17,SHOP,147.25,148.71,145.45,148.68,300080
2021-09-20,SHOP,143.54,145.78,140.23,143.61,563920
2021-09-21,SHOP,144.54,144.55,142.45,143.77,254500
2021-09-22,SHOP,144.22,146.95,143.22,146.65,223840
2021-09-23,SHOP,147.77,148.26,145.78,147.57,440470
2021-09-24,SHOP,147.25,147.25,142.85,144.42,321650
2021-09-27,SHOP,142.82,145.09,141.64,144.37,335180
2021-09-28,SHOP,141.55,141.98,136.04,137.08,566580
2021-09-29,SHOP,138.37,139.17,134.26,134.5,362290
2021-09-30,SHOP,134.98,137.63,134.95,135.65,472660
2021-10-01,SHOP,136.21,136.75,134.0,135.06,443980
2021-10-04,SHOP,133.0,133.0,128.63,131.47,810880
2021-10-05,SHOP,132.86,135.36,131.65,131.65,393890
2021-10-06,SHOP,130.8,135.85,130.54,134.97,534780
2021-10-07,SHOP,137.06,140.59,137.06,140.0,480820
2021-10-08,SHOP,141.7,142.74,137.43,137.78,290490
2021-10-11,SHOP,136.01,138.39,135.61,135.7,198990
2021-10-12,SHOP,137.05,137.44,135.1,135.7,318980
2021-10-13,SHOP,137.63,139.9,137.28,139.88,296440
2021-10-14,SHOP,141.87,142.62,140.4,140.57,229190
2021-10-15,SHOP,141.39,142.96,139.81,142.43,264760
2021-10-18,SHOP,142.14,146.58,142.14,146.51,362240
2021-10-19,SHOP,147.9,150.11,147.39,148.52,274340
2021-10-20,SHOP,149.86,149.99,146.57,148.82,287360
2021-10-21,SHOP,147.22,150.62,147.22,149.6,449620
2021-10-22,SHOP,147.16,147.16,140.55,142.72,618760
2021-10-25,SHOP,142.58,143.84,139.8,142.59,306640
2021-10-26,SHOP,142.8,142.8,135.89,136.34,641980
2021-10-27,SHOP,137.36,137.61,133.9,136.24,1047570
2021-10-28,SHOP,135.0,150.2,133.01,145.65,1292590
2021-10-29,SHOP,143.43,148.8,142.31,146.74,690830
2021-11-01,SHOP,146.56,153.18,146.56,152.98,767530
2021-11-02,SHOP,152.27,153.4,147.38,147.72,546010
2021-11-03,SHOP,147.6,149.62,145.54,149.62,268380
2021-11-04,SHOP,151.2,154.77,150.0,154.09,441070
2021-11-05,SHOP,153.11,154.51,151.13,152.64,276550
2021-11-08,SHOP,153.58,156.43,152.27,153.52,393230
2021-11-09,SHOP,154.75,155.85,152.3,155.48,271100
2021-11-10,SHOP,153.85,154.3,147.0,147.44,315740
2021-11-11,SHOP,149.4,151.13,149.1,149.21,343040
2021-11-12,SHOP,152.1,167.46,152.1,167.03,1519180
2021-11-15,SHOP,164.1,170.32,164.09,165.8,449230
2021-11-16,SHOP,163.21,170.74,163.21,167.4,510230
2021-11-17,SHOP,167.41,167.41,163.57,163.65,256730
2021-11-18,SHOP,164.68,169.7,164.0,168.28,522790
2021-11-19,SHOP,171.9,175.91,168.6,169.0,765060
2021-11-22,SHOP,169.49,170.15,158.11,159.56,560180
2021-11-23,SHOP,157.8,161.19,153.42,157.24,575660
2021-11-24,SHOP,154.64,164.2,154.64,162.99,352850
2021-11-26,SHOP,164.75,165.91,157.85,157.85,380090
2021-11-29,SHOP,157.92,157.92,152.64,156.55,506800
2021-11-30,SHOP,160.83,162.58,151.71,152.0,858350
2021-12-01,SHOP,154.85,155.65,145.8,145.97,852460
2021-12-02,SHOP,144.67,147.27,143.16,144.46,715630
2021-12-03,SHOP,146.5,146.5,135.78,141.05,776970
2021-12-06,SHOP,137.73,142.99,134.0,142.88,774240
2021-12-07,SHOP,147.73,153.48,146.8,152.11,978870
2021-12-08,SHOP,150.35,153.22,149.67,152.12,532030
2021-12-09,SHOP,152.26,153.15,148.33,149.38,821150
2021-12-10,SHOP,150.48,153.0,144.25,146.08,465120
