date,tic,open,high,low,close,volume
2021-01-04,SHW,234.04,234.04,228.18,230.74,74862
2021-01-05,SHW,230.87,232.14,228.95,229.15,102204
2021-01-06,SHW,227.65,231.38,227.65,230.19,137520
2021-01-07,SHW,231.17,235.9,230.88,234.72,173085
2021-01-08,SHW,233.84,233.86,230.12,232.36,99543
2021-01-11,SHW,230.84,235.49,230.54,234.33,79986
2021-01-12,SHW,234.2,236.05,233.12,235.81,76512
2021-01-13,SHW,235.95,235.98,231.87,232.06,80607
2021-01-14,SHW,231.47,232.11,228.49,229.15,94338
2021-01-15,SHW,228.32,232.24,227.32,231.45,206889
2021-01-19,SHW,233.11,235.03,231.36,231.36,100269
2021-01-20,SHW,232.67,234.96,230.78,234.92,104613
2021-01-21,SHW,235.3,238.32,234.06,235.15,78054
2021-01-22,SHW,234.02,235.13,232.16,233.57,66735
2021-01-25,SHW,235.05,236.34,233.32,233.89,110145
2021-01-26,SHW,234.65,234.65,230.05,230.6,131925
2021-01-27,SHW,229.56,230.43,225.44,229.0,154515
2021-01-28,SHW,227.8,229.83,222.67,226.88,205230
2021-01-29,SHW,223.88,224.58,218.72,220.82,141576
2021-02-01,SHW,222.1,222.93,217.42,222.89,148932
2021-02-02,SHW,223.71,227.96,223.58,226.67,99042
2021-02-03,SHW,229.66,231.38,223.48,223.67,198999
2021-02-04,SHW,225.04,230.31,224.59,226.24,188541
2021-02-05,SHW,227.33,231.14,227.33,228.29,128553
2021-02-08,SHW,230.0,232.56,230.0,230.84,105498
2021-02-09,SHW,231.09,231.23,227.3,227.3,150222
2021-02-10,SHW,228.63,228.63,225.77,227.03,143541
2021-02-11,SHW,227.78,229.79,227.64,229.12,76983
2021-02-12,SHW,228.82,231.87,228.82,229.78,94941
2021-02-16,SHW,230.2,230.2,225.47,225.55,97185
2021-02-17,SHW,224.09,230.55,223.0,229.94,115563
2021-02-18,SHW,228.52,232.88,227.98,231.71,113529
2021-02-19,SHW,232.25,232.45,227.4,228.31,68406
2021-02-22,SHW,226.92,226.92,223.96,225.99,91110
2021-02-23,SHW,223.82,223.97,220.56,222.13,194544
2021-02-24,SHW,222.22,222.47,216.96,217.37,209127
2021-02-25,SHW,216.44,218.02,213.88,214.65,159294
2021-02-26,SHW,216.05,220.73,216.05,217.61,225615
2021-03-01,SHW,220.41,224.9,220.41,221.75,125334
2021-03-02,SHW,222.37,222.69,218.93,220.52,111756
2021-03-03,SHW,220.82,220.82,215.53,215.53,130674
2021-03-04,SHW,214.77,215.87,209.46,210.7,196386
2021-03-05,SHW,211.74,216.33,210.24,215.89,167976
2021-03-08,SHW,217.28,224.47,217.28,219.83,107241
2021-03-09,SHW,221.32,227.63,221.32,225.91,178848
2021-03-10,SHW,226.62,229.9,225.36,225.44,153603
2021-03-11,SHW,226.38,227.13,224.81,224.93,90804
2021-03-12,SHW,224.04,227.01,223.85,226.3,87084
2021-03-15,SHW,226.73,228.95,225.31,228.94,66468
2021-03-16,SHW,228.5,230.06,227.36,229.24,88785
2021-03-17,SHW,229.47,229.55,226.53,227.6,90021
2021-03-18,SHW,226.95,228.91,223.39,226.94,121806
2021-03-19,SHW,228.17,228.17,225.74,225.74,139185
2021-03-22,SHW,226.81,230.61,226.81,230.24,67383
2021-03-23,SHW,230.6,235.79,230.6,232.07,146415
2021-03-24,SHW,231.45,234.09,231.24,231.24,77676
2021-03-25,SHW,230.59,236.87,230.2,236.17,112704
2021-03-26,SHW,235.99,242.87,235.94,242.82,161847
2021-03-29,SHW,243.93,245.37,240.31,241.63,86025
2021-03-30,SHW,240.09,240.61,237.2,238.08,53862
2021-03-31,SHW,239.2,239.2,236.25,236.25,47586
2021-04-01,SHW,238.02,240.38,234.81,239.6,79200
2021-04-05,SHW,241.23,245.89,240.11,245.5,70398
2021-04-06,SHW,245.27,248.81,243.94,248.33,180915
2021-04-07,SHW,248.51,249.0,240.05,241.32,74132
2021-04-08,SHW,242.12,244.41,240.9,243.17,48381
2021-04-09,SHW,242.93,244.87,242.58,244.67,90529
2021-04-12,SHW,245.42,248.27,244.77,246.97,26692
