date,tic,open,high,low,close,volume
2021-01-04,SJM,98.18,98.62,97.53,97.98,42699
2021-01-05,SJM,97.99,99.74,97.99,99.3,54291
2021-01-06,SJM,99.5,101.67,99.5,100.38,47855
2021-01-07,SJM,100.14,100.94,98.73,99.0,55936
2021-01-08,SJM,99.03,99.03,97.27,98.43,46072
2021-01-11,SJM,98.61,98.83,96.67,96.7,62001
2021-01-12,SJM,96.87,96.99,93.76,94.26,56624
2021-01-13,SJM,94.5,95.58,93.71,94.59,375411
2021-01-14,SJM,95.08,96.21,94.28,95.38,39873
2021-01-15,SJM,95.47,97.0,95.29,96.72,37152
2021-01-19,SJM,96.9,98.53,96.78,98.0,54551
2021-01-20,SJM,97.53,97.55,95.3,96.69,71767
2021-01-21,SJM,96.94,96.94,95.71,96.11,53229
2021-01-22,SJM,96.49,97.22,95.73,96.86,55914
2021-01-25,SJM,97.44,103.45,97.44,100.79,83370
2021-01-26,SJM,100.79,105.21,100.54,105.12,88822
2021-01-27,SJM,105.51,111.6,105.51,108.62,159084
2021-01-28,SJM,107.25,109.81,99.92,100.08,151259
2021-01-29,SJM,100.06,102.61,98.44,98.72,119732
2021-02-01,SJM,98.54,99.65,97.2,97.87,119543
2021-02-02,SJM,97.78,98.19,95.61,97.22,80129
2021-02-03,SJM,97.09,97.52,94.6,97.02,62289
2021-02-04,SJM,96.94,97.78,96.37,96.69,107136
2021-02-05,SJM,96.77,97.64,96.18,97.03,38222
2021-02-08,SJM,97.48,97.92,96.2,97.59,39624
2021-02-09,SJM,98.03,98.39,97.48,97.75,31084
2021-02-10,SJM,98.3,98.39,97.24,98.18,35443
2021-02-11,SJM,97.8,98.16,96.54,97.37,60452
2021-02-12,SJM,97.41,98.33,96.68,98.33,39112
2021-02-16,SJM,98.12,98.27,95.84,96.69,85803
2021-02-17,SJM,96.52,98.87,96.0,98.61,114841
2021-02-18,SJM,98.46,101.49,98.46,99.85,73375
2021-02-19,SJM,99.28,99.31,97.06,97.16,56468
2021-02-22,SJM,97.47,97.96,96.26,97.62,34570
2021-02-23,SJM,98.51,98.51,96.73,97.74,48891
2021-02-24,SJM,98.1,98.52,96.71,96.71,51510
