date,tic,open,high,low,close,volume
2021-01-04,SLB,19.8,20.09,19.4,19.68,324761
2021-01-05,SLB,19.95,21.38,19.95,20.77,643915
2021-01-06,SLB,21.51,22.47,21.3,21.9,1205922
2021-01-07,SLB,22.09,22.87,21.98,22.34,505154
2021-01-08,SLB,22.27,22.77,21.98,22.33,439418
2021-01-11,SLB,21.75,22.55,21.64,22.44,448641
2021-01-12,SLB,22.88,23.99,22.61,23.48,520653
2021-01-13,SLB,23.55,23.75,22.68,22.86,427380
2021-01-14,SLB,22.96,23.68,22.86,23.32,414992
2021-01-15,SLB,22.85,22.94,22.13,22.39,455049
2021-01-19,SLB,22.58,23.25,22.56,22.81,767006
2021-01-20,SLB,22.94,23.03,22.37,22.76,371120
2021-01-21,SLB,22.6,22.72,21.51,21.73,468744
2021-01-22,SLB,21.32,22.02,21.08,21.94,377264
2021-01-25,SLB,21.71,21.8,20.85,21.32,406209
2021-01-26,SLB,21.59,21.9,20.42,20.42,576429
2021-01-27,SLB,20.17,20.31,19.06,19.56,653805
2021-01-28,SLB,19.86,20.6,19.74,20.34,312956
2021-01-29,SLB,20.12,20.5,19.76,19.95,654582
2021-02-01,SLB,20.21,20.27,19.58,19.91,260392
2021-02-02,SLB,20.42,20.72,20.07,20.21,430504
2021-02-03,SLB,20.35,21.77,20.33,21.71,674300
2021-02-04,SLB,21.82,22.4,21.32,22.3,612053
2021-02-05,SLB,22.64,23.02,22.33,22.45,473365
2021-02-08,SLB,22.81,23.49,22.79,23.31,477809
2021-02-09,SLB,23.1,23.62,22.86,23.36,640780
2021-02-10,SLB,23.54,24.0,23.33,23.92,538621
2021-02-11,SLB,23.67,24.02,23.3,23.67,545432
2021-02-12,SLB,23.39,24.06,23.39,24.06,375423
2021-02-16,SLB,24.39,24.85,24.19,24.2,447843
2021-02-17,SLB,24.37,24.38,23.78,24.26,508445
2021-02-18,SLB,23.99,24.11,23.05,23.09,387217
2021-02-19,SLB,23.12,23.85,23.07,23.55,227740
2021-02-22,SLB,23.5,25.42,23.47,24.84,686064
2021-02-23,SLB,25.0,25.17,23.82,25.03,807758
2021-02-24,SLB,25.28,26.77,25.07,26.54,515863
2021-02-25,SLB,26.52,26.94,25.44,25.72,726043
2021-02-26,SLB,25.2,25.58,23.95,25.2,819801
2021-03-01,SLB,25.84,26.25,25.61,25.9,500554
2021-03-02,SLB,25.91,26.33,25.37,25.38,482096
2021-03-03,SLB,25.55,26.17,25.55,25.58,774212
2021-03-04,SLB,25.89,26.42,24.99,25.78,2184900
2021-03-05,SLB,26.61,26.79,25.19,26.22,2314932
2021-03-08,SLB,26.46,27.12,25.99,26.81,619427
2021-03-09,SLB,26.78,27.05,26.13,26.49,606061
2021-03-10,SLB,26.45,27.12,26.16,27.01,646107
2021-03-11,SLB,27.22,27.42,26.47,26.51,409847
2021-03-12,SLB,26.59,26.69,26.06,26.17,452892
2021-03-15,SLB,26.27,26.6,25.86,26.28,228770
