date,tic,open,high,low,close,volume
2021-01-04,SO,50.83,50.9,48.85,49.17,123218
2021-01-05,SO,49.33,49.66,49.11,49.53,161576
2021-01-06,SO,49.78,51.0,49.58,50.71,138508
2021-01-07,SO,50.87,50.99,50.39,50.66,305271
2021-01-08,SO,50.58,51.1,50.36,51.01,122622
2021-01-11,SO,50.89,51.13,50.33,50.72,92371
2021-01-12,SO,50.6,50.65,48.46,48.76,236123
2021-01-13,SO,48.79,49.68,48.75,49.47,175057
2021-01-14,SO,49.4,49.42,48.86,48.92,158502
2021-01-15,SO,48.72,49.57,48.45,49.42,156055
2021-01-19,SO,49.8,50.65,49.65,50.58,163235
2021-01-20,SO,50.34,50.63,49.85,50.24,172298
2021-01-21,SO,49.89,49.89,49.39,49.61,163695
2021-01-22,SO,49.46,50.15,49.44,49.82,108825
2021-01-25,SO,49.51,50.55,49.37,50.55,97751
2021-01-26,SO,50.46,50.46,49.45,49.46,161993
2021-01-27,SO,49.28,49.42,48.18,48.51,205374
2021-01-28,SO,48.76,49.93,48.73,48.94,93656
2021-01-29,SO,48.55,49.1,48.25,48.79,94211
2021-02-01,SO,48.86,49.52,48.58,48.98,116359
2021-02-02,SO,49.07,50.28,48.87,49.42,142607
2021-02-03,SO,49.37,49.61,49.13,49.25,81426
2021-02-04,SO,49.32,50.09,49.26,50.0,69493
2021-02-05,SO,50.08,50.72,50.01,50.44,95833
2021-02-08,SO,50.44,50.75,50.24,50.33,76810
2021-02-09,SO,50.39,50.43,50.07,50.22,79985
2021-02-10,SO,50.53,50.72,50.19,50.46,70293
2021-02-11,SO,50.34,50.93,50.23,50.77,111662
2021-02-12,SO,50.6,50.81,49.85,50.3,207000
2021-02-16,SO,50.09,50.31,49.65,49.65,70646
2021-02-17,SO,49.72,49.74,49.35,49.63,99230
2021-02-18,SO,49.68,50.52,49.62,50.11,247915
2021-02-19,SO,50.04,50.05,49.48,49.66,110692
2021-02-22,SO,49.81,49.82,48.95,49.63,118339
2021-02-23,SO,49.93,50.46,49.33,49.34,328864
2021-02-24,SO,49.26,49.29,48.68,48.88,129451
2021-02-25,SO,48.85,49.09,48.25,48.38,159848
2021-02-26,SO,48.56,48.83,47.46,47.46,179755
2021-03-01,SO,48.02,49.01,48.0,48.39,126898
2021-03-02,SO,48.41,48.83,47.84,48.41,76048
2021-03-03,SO,48.23,48.38,47.79,48.19,117633
2021-03-04,SO,48.43,49.11,47.75,48.05,181082
2021-03-05,SO,48.18,49.1,47.78,48.86,115281
2021-03-08,SO,49.32,50.12,49.07,49.9,321731
2021-03-09,SO,49.93,50.16,49.61,49.76,200912
2021-03-10,SO,49.73,50.39,49.67,50.04,116244
2021-03-11,SO,49.86,50.34,49.61,49.64,73368
2021-03-12,SO,49.85,50.42,49.7,50.11,94986
2021-03-15,SO,50.19,51.17,50.11,51.06,100267
2021-03-16,SO,50.87,51.44,50.83,51.29,97387
2021-03-17,SO,51.3,51.3,50.81,50.86,126033
2021-03-18,SO,50.91,50.99,50.09,50.58,162777
2021-03-19,SO,50.15,50.47,49.01,49.98,238590
2021-03-22,SO,49.86,50.11,49.64,49.96,65613
2021-03-23,SO,50.02,51.04,49.84,50.77,136321
2021-03-24,SO,50.45,51.3,50.41,50.8,134162
2021-03-25,SO,50.99,51.74,50.84,51.4,128923
2021-03-26,SO,51.29,51.68,50.97,51.68,85115
2021-03-29,SO,51.62,52.4,51.57,52.15,128474
2021-03-30,SO,51.92,51.92,51.21,51.47,69413
2021-03-31,SO,51.55,52.14,51.53,52.03,68244
2021-04-01,SO,52.08,52.18,51.57,52.18,85843
2021-04-05,SO,52.14,52.72,52.12,52.45,93130
2021-04-06,SO,52.29,52.86,52.14,52.83,106250
2021-04-07,SO,52.87,53.0,52.42,52.58,58841
2021-04-08,SO,52.76,52.99,52.5,52.62,76952
2021-04-09,SO,52.73,52.85,52.49,52.52,71570
2021-04-12,SO,52.59,52.93,52.45,52.66,108041
2021-04-13,SO,52.35,53.4,52.35,53.22,105723
2021-04-14,SO,53.11,53.52,53.05,53.5,120116
2021-04-15,SO,53.56,54.09,53.32,53.99,125655
2021-04-16,SO,54.37,54.63,54.07,54.43,176613
2021-04-20,SO,54.33,55.58,54.33,55.34,142042
2021-04-21,SO,55.44,55.59,54.76,55.05,99968
2021-04-22,SO,54.94,55.18,54.47,54.51,74391
2021-04-23,SO,54.55,54.94,54.46,54.73,104908
2021-04-26,SO,54.63,54.63,54.03,54.15,80550
2021-04-27,SO,54.07,54.12,53.73,53.84,78007
2021-04-28,SO,53.9,54.1,53.66,53.87,80577
2021-04-29,SO,53.8,54.7,53.68,54.56,176456
2021-04-30,SO,54.71,55.43,54.45,55.39,120202
2021-05-03,SO,55.37,55.84,55.12,55.3,150424
2021-05-04,SO,55.48,55.85,55.13,55.61,92953
2021-05-05,SO,55.32,55.51,54.35,54.8,99918
2021-05-06,SO,54.93,55.39,54.62,55.3,95379
2021-05-07,SO,55.23,55.68,55.1,55.5,165944
2021-05-10,SO,55.68,56.01,55.5,55.51,107087
2021-05-11,SO,55.61,55.61,54.79,55.11,128266
2021-05-12,SO,54.99,55.01,53.85,53.88,136010
2021-05-13,SO,54.04,55.38,53.94,55.04,128435
2021-05-14,SO,55.13,55.44,55.02,55.07,113927
2021-05-17,SO,55.13,55.53,54.47,54.5,147702
