date,tic,open,high,low,close,volume
2025-10-21,SOLS,50.005,50.08,49.575,49.8,15141
2025-10-22,SOLS,50.0,50.0,47.31,47.4,4045
2025-10-23,SOLS,47.25,47.25,45.82,45.83,6234
2025-10-24,SOLS,44.8,46.93,44.8,46.0,13159
2025-10-27,SOLS,47.395,48.0,46.025,46.025,22167
2025-10-28,SOLS,48.49,48.62,47.075,48.095,150810
2025-10-29,SOLS,49.45,50.315,48.405,49.0,227701
2025-10-30,SOLS,49.2,53.6,47.6,48.95,1006464
2025-10-31,SOLS,48.875,48.875,44.81,45.06,886096
2025-11-03,SOLS,45.025,46.2,43.85,43.995,1070428
2025-11-04,SOLS,42.2,44.485,41.05,43.68,622434
2025-11-05,SOLS,43.96,49.63,43.035,48.16,492293
2025-11-06,SOLS,47.73,47.73,44.475,45.015,335534
2025-11-07,SOLS,44.44,48.28,44.44,47.45,207084
2025-11-10,SOLS,47.79,48.725,46.69,47.2,138059
2025-11-11,SOLS,47.39,49.965,46.01,46.155,199904
2025-11-12,SOLS,46.03,47.07,45.52,46.945,176927
2025-11-13,SOLS,46.585,47.47,45.565,45.675,162186
2025-11-14,SOLS,45.275,45.96,43.495,43.56,153785
2025-11-17,SOLS,43.26,43.725,41.035,41.595,283460
2025-11-18,SOLS,41.04,42.5,40.55,41.42,208637
2025-11-19,SOLS,41.47,43.73,41.47,42.705,245328
2025-11-20,SOLS,45.4,46.52,42.82,43.255,248713
2025-11-21,SOLS,43.67,45.395,43.56,44.445,153117
2025-11-24,SOLS,45.02,45.97,44.71,45.485,150803
2025-11-25,SOLS,45.41,46.99,44.85,46.89,215968
2025-11-26,SOLS,46.86,47.03,45.53,46.25,117793
2025-11-28,SOLS,46.4,47.735,46.22,47.635,36141
2025-12-01,SOLS,47.34,49.16,47.34,47.72,84863
2025-12-02,SOLS,47.56,47.745,46.21,46.63,84348
2025-12-03,SOLS,46.48,47.585,46.48,47.575,84300
2025-12-04,SOLS,47.585,47.88,46.405,46.945,285792
2025-12-05,SOLS,46.91,47.95,46.7,47.12,83036
2025-12-08,SOLS,47.325,48.305,46.545,46.71,86747
2025-12-09,SOLS,46.25,48.29,45.765,47.355,92730
2025-12-10,SOLS,47.46,49.255,47.0,49.1,160999
2025-12-11,SOLS,49.17,50.525,48.98,50.245,139329
2025-12-12,SOLS,50.83,51.715,49.34,50.005,118349
2025-12-15,SOLS,49.82,50.25,48.63,48.785,141402
2025-12-16,SOLS,48.72,49.24,47.685,47.965,107565
2025-12-17,SOLS,48.065,49.74,47.94,48.82,116878
2025-12-18,SOLS,49.22,49.53,47.33,48.605,92574
2025-12-19,SOLS,48.72,50.55,48.17,50.32,108969
2025-12-22,SOLS,50.63,51.68,49.44,50.07,104133
