date,tic,open,high,low,close,volume
2021-01-04,SPGI,318.94,323.05,317.08,319.76,240087
2021-01-05,SPGI,320.43,320.92,311.91,315.31,135326
2021-01-06,SPGI,313.32,317.0,311.07,315.58,92567
2021-01-07,SPGI,316.21,319.51,313.17,315.73,140976
2021-01-08,SPGI,317.05,317.06,309.6,313.39,68735
2021-01-11,SPGI,312.24,312.24,305.75,306.31,101401
2021-01-12,SPGI,306.05,306.05,300.55,302.91,124939
2021-01-13,SPGI,301.72,302.4,298.8,299.18,147665
2021-01-14,SPGI,300.28,303.36,293.54,293.68,125199
2021-01-15,SPGI,292.9,295.07,291.31,293.52,124580
2021-01-19,SPGI,295.38,301.36,294.4,300.35,167574
2021-01-20,SPGI,303.21,311.28,302.26,308.85,218639
2021-01-21,SPGI,308.75,308.75,303.8,304.81,126885
2021-01-22,SPGI,304.19,307.56,302.31,302.31,109239
2021-01-25,SPGI,302.6,305.06,299.24,302.14,113321
2021-01-26,SPGI,303.06,307.97,300.67,306.19,117437
2021-01-27,SPGI,307.05,313.63,291.3,293.92,241396
2021-01-28,SPGI,296.47,310.36,296.47,305.45,199221
2021-01-29,SPGI,300.23,307.06,299.24,304.18,173816
2021-02-01,SPGI,305.91,309.76,304.48,308.95,134158
2021-02-02,SPGI,311.09,318.59,310.92,316.61,175594
2021-02-03,SPGI,315.26,316.04,311.1,311.23,136883
2021-02-04,SPGI,312.02,314.91,311.09,314.91,89716
2021-02-05,SPGI,317.93,317.93,310.37,311.12,173453
2021-02-08,SPGI,312.48,312.52,309.83,311.95,99784
2021-02-09,SPGI,314.49,324.56,314.27,318.8,248404
2021-02-10,SPGI,321.4,322.9,317.38,319.37,151777
2021-02-11,SPGI,320.52,325.95,320.52,325.44,96790
2021-02-12,SPGI,324.89,326.69,323.7,325.84,87321
2021-02-16,SPGI,327.16,327.16,322.88,324.48,129777
2021-02-17,SPGI,321.74,325.24,321.74,325.18,79861
2021-02-18,SPGI,324.57,327.0,323.67,324.61,75230
2021-02-19,SPGI,326.33,327.99,324.89,325.53,80575
2021-02-22,SPGI,322.87,323.06,318.28,319.83,133126
2021-02-23,SPGI,318.29,318.29,310.81,312.6,173050
2021-02-24,SPGI,313.23,319.31,310.47,319.18,105006
2021-02-25,SPGI,318.84,322.86,316.99,317.87,155272
2021-02-26,SPGI,318.76,320.29,314.1,316.41,82762
2021-03-01,SPGI,319.74,325.78,317.89,324.59,69816
2021-03-02,SPGI,323.29,323.39,320.05,320.49,158154
2021-03-03,SPGI,318.2,318.29,313.77,313.77,89271
2021-03-04,SPGI,314.11,321.62,313.18,314.67,132454
2021-03-05,SPGI,316.32,321.96,314.76,321.67,164158
2021-03-08,SPGI,321.48,333.29,320.97,329.55,155979
2021-03-09,SPGI,333.67,337.53,328.94,328.94,137787
2021-03-10,SPGI,330.37,331.75,327.64,330.88,71373
2021-03-11,SPGI,331.07,333.29,329.64,332.03,111250
2021-03-12,SPGI,331.18,332.86,328.3,332.47,103789
2021-03-15,SPGI,333.26,338.3,333.04,338.09,100292
2021-03-16,SPGI,339.15,344.08,334.58,335.54,98096
2021-03-17,SPGI,334.25,337.64,332.59,336.7,77486
2021-03-18,SPGI,337.81,338.48,329.99,334.9,111167
2021-03-19,SPGI,335.37,336.08,333.05,334.32,105275
2021-03-22,SPGI,333.53,336.96,331.86,332.4,57272
2021-03-23,SPGI,331.94,334.81,329.72,333.67,89017
2021-03-24,SPGI,333.87,339.43,333.14,338.31,69941
2021-03-25,SPGI,336.96,337.93,334.57,337.93,86487
2021-03-26,SPGI,338.08,345.7,338.08,345.7,65606
2021-03-29,SPGI,345.38,348.21,344.74,348.06,83139
2021-03-30,SPGI,345.48,345.61,338.88,339.32,58849
2021-03-31,SPGI,340.19,341.99,338.39,339.19,71060
2021-04-01,SPGI,343.14,348.97,342.49,348.8,75042
2021-04-05,SPGI,350.05,354.23,347.59,353.0,82028
2021-04-06,SPGI,352.42,353.71,350.8,351.84,59600
2021-04-07,SPGI,351.86,352.85,345.65,347.01,83114
2021-04-08,SPGI,350.25,354.73,349.3,351.75,53858
2021-04-09,SPGI,351.46,355.06,350.31,355.06,74484
2021-04-12,SPGI,353.2,357.51,353.2,356.75,58430
2021-04-13,SPGI,355.82,360.26,355.82,358.91,28944
2021-04-14,SPGI,359.64,362.27,356.92,357.8,48244
2021-04-15,SPGI,360.15,361.65,358.68,360.27,54091
2021-04-16,SPGI,362.98,363.76,359.92,363.42,66999
2021-04-20,SPGI,361.28,364.7,359.0,364.49,101250
2021-04-21,SPGI,364.87,368.48,364.87,368.3,80814
2021-04-22,SPGI,368.27,370.68,366.51,368.41,94811
2021-04-23,SPGI,370.79,374.38,369.0,373.26,65863
2021-04-26,SPGI,372.31,372.96,368.79,368.88,49544
2021-04-27,SPGI,371.21,371.32,366.71,369.21,68252
2021-04-28,SPGI,372.65,372.65,365.56,365.81,153688
2021-04-29,SPGI,369.92,378.41,367.82,377.68,82287
2021-04-30,SPGI,375.17,379.51,374.64,375.56,95033
2021-05-03,SPGI,377.48,378.98,375.47,378.68,55501
2021-05-04,SPGI,376.81,381.78,376.72,381.78,64381
