date,tic,open,high,low,close,volume
2021-01-04,SRE,54.21,54.24,52.57,52.76,155076
2021-01-05,SRE,52.85,52.97,51.93,52.6,141754
2021-01-06,SRE,52.95,53.23,52.23,52.8,184204
2021-01-07,SRE,52.86,52.86,50.92,51.1,234444
2021-01-08,SRE,51.03,51.37,50.91,51.07,255888
2021-01-11,SRE,50.97,51.16,49.99,50.49,299182
2021-01-12,SRE,50.3,50.38,48.95,50.31,178532
2021-01-13,SRE,50.28,51.84,50.28,51.67,244938
2021-01-14,SRE,52.01,53.2,51.86,52.22,236538
2021-01-15,SRE,52.12,53.0,51.82,52.05,181652
2021-01-19,SRE,52.29,52.32,51.61,51.78,179138
2021-01-20,SRE,51.49,52.48,51.49,52.38,159192
2021-01-21,SRE,52.3,52.57,52.01,52.17,208666
2021-01-22,SRE,52.01,52.1,51.43,51.79,114630
2021-01-25,SRE,51.49,53.78,51.49,53.7,294548
2021-01-26,SRE,53.68,54.08,53.11,53.11,127440
2021-01-27,SRE,52.81,52.9,50.72,51.14,265764
2021-01-28,SRE,51.48,53.34,51.43,53.14,223176
2021-01-29,SRE,52.63,53.92,52.47,52.76,232766
2021-02-01,SRE,52.99,53.48,52.2,53.35,204114
2021-02-02,SRE,53.1,54.32,52.98,53.08,251406
2021-02-03,SRE,52.75,53.23,52.39,52.56,94958
2021-02-04,SRE,52.44,53.8,52.44,53.74,111386
2021-02-05,SRE,53.62,54.15,53.5,53.85,66298
2021-02-08,SRE,53.88,53.95,53.11,53.18,164502
2021-02-09,SRE,53.46,53.66,52.84,53.45,96398
2021-02-10,SRE,53.67,54.34,53.58,54.01,93996
2021-02-11,SRE,53.87,53.98,53.5,53.63,177640
2021-02-12,SRE,53.6,53.6,52.61,53.06,132678
2021-02-16,SRE,53.02,53.5,52.69,53.17,150664
2021-02-17,SRE,53.25,53.28,52.55,53.1,130576
2021-02-18,SRE,53.08,53.23,52.68,52.96,132078
2021-02-19,SRE,53.16,53.52,53.0,53.11,149448
2021-02-22,SRE,53.05,53.17,51.49,52.28,241480
2021-02-23,SRE,52.5,53.05,52.26,52.65,231156
