date,tic,open,high,low,close,volume
2021-01-04,STE,183.39,184.88,179.33,181.05,32774
2021-01-05,STE,180.43,185.61,180.43,184.3,21985
2021-01-06,STE,183.9,189.25,183.9,188.08,52209
2021-01-07,STE,188.64,192.36,187.85,192.05,16257
2021-01-08,STE,192.63,195.61,192.59,195.11,20669
2021-01-11,STE,193.48,195.79,192.04,192.38,22241
2021-01-12,STE,192.13,192.9,183.39,184.51,64244
2021-01-13,STE,184.56,187.89,184.16,186.6,37296
2021-01-14,STE,186.3,190.08,182.11,182.37,27555
2021-01-15,STE,180.98,182.14,176.83,176.83,36165
2021-01-19,STE,178.02,181.43,175.08,181.43,61615
2021-01-20,STE,181.18,183.82,181.09,182.11,39185
2021-01-21,STE,181.83,182.69,180.12,180.91,36808
2021-01-22,STE,181.46,182.0,179.85,181.45,30919
2021-01-25,STE,181.57,183.43,181.16,182.98,42168
2021-01-26,STE,183.19,186.11,182.49,185.78,46611
2021-01-27,STE,183.68,184.83,180.16,184.83,166148
2021-01-28,STE,185.61,187.19,182.34,183.75,104068
2021-01-29,STE,181.79,183.86,178.33,179.77,39985
2021-02-01,STE,181.09,181.74,176.91,179.08,87704
2021-02-02,STE,181.08,185.81,179.83,183.89,59178
2021-02-03,STE,181.4,181.44,169.69,175.68,91048
2021-02-04,STE,179.02,182.42,177.64,178.31,49184
2021-02-05,STE,179.5,180.16,175.85,175.85,38101
2021-02-08,STE,176.26,178.78,175.77,176.66,50439
2021-02-09,STE,177.62,178.74,175.52,175.69,11974
2021-02-10,STE,177.37,177.66,175.62,176.19,34736
2021-02-11,STE,176.14,177.0,174.92,175.28,37030
2021-02-12,STE,175.39,176.79,174.74,175.85,124025
2021-02-16,STE,176.14,176.82,174.7,175.33,65553
2021-02-17,STE,174.81,177.79,174.81,177.79,72652
2021-02-18,STE,176.52,177.8,174.89,174.89,81977
2021-02-19,STE,175.09,175.43,171.34,171.5,28808
2021-02-22,STE,169.63,170.29,166.38,168.8,38823
2021-02-23,STE,168.56,169.41,166.19,166.9,40923
2021-02-24,STE,167.57,168.62,166.17,166.87,39664
2021-02-25,STE,166.94,168.49,165.63,166.6,20780
2021-02-26,STE,166.82,169.71,165.94,168.47,113147
2021-03-01,STE,170.08,172.77,169.45,171.41,30744
2021-03-02,STE,172.0,172.02,169.39,171.26,37453
2021-03-03,STE,171.1,171.1,165.15,165.23,59414
2021-03-04,STE,164.77,170.53,164.35,164.95,265331
2021-03-05,STE,166.19,171.12,166.19,170.82,30297
2021-03-08,STE,170.12,170.12,164.66,166.5,54667
