date,tic,open,high,low,close,volume
2021-01-04,STLD,34.91,35.2,33.83,33.89,47131
2021-01-05,STLD,34.09,35.61,33.97,35.16,56356
2021-01-06,STLD,36.11,38.34,36.07,37.66,131702
2021-01-07,STLD,38.28,38.5,36.83,36.92,100677
2021-01-08,STLD,37.15,37.15,35.9,36.58,112728
2021-01-11,STLD,35.91,37.46,35.88,37.06,50996
2021-01-12,STLD,37.39,38.9,36.82,38.71,100526
2021-01-13,STLD,38.6,38.62,37.53,37.75,60371
2021-01-14,STLD,38.16,38.49,37.3,37.34,77099
2021-01-15,STLD,36.84,36.84,35.55,36.31,105687
2021-01-19,STLD,36.93,37.22,36.45,36.8,102304
2021-01-20,STLD,36.99,37.34,36.59,37.22,98308
2021-01-21,STLD,37.33,37.51,35.88,35.93,112199
2021-01-22,STLD,35.3,35.96,35.14,35.87,61954
2021-01-25,STLD,36.03,36.03,35.16,35.56,139520
2021-01-26,STLD,36.06,36.32,33.49,33.93,196788
2021-01-27,STLD,33.24,33.28,32.03,32.66,130107
2021-01-28,STLD,33.18,33.18,31.42,32.6,112460
2021-01-29,STLD,33.1,33.13,31.32,31.77,108307
2021-02-01,STLD,32.39,32.55,31.5,32.35,56573
2021-02-02,STLD,32.66,32.83,32.22,32.72,74933
2021-02-03,STLD,33.91,34.26,33.59,34.14,58011
2021-02-04,STLD,34.14,34.68,33.89,34.47,76783
2021-02-05,STLD,34.87,35.52,34.82,34.86,61426
2021-02-08,STLD,35.36,36.26,35.34,35.59,68602
2021-02-09,STLD,36.06,36.3,35.35,35.59,105223
2021-02-10,STLD,35.84,35.96,34.96,35.55,57787
2021-02-11,STLD,35.45,35.98,35.04,35.94,54295
2021-02-12,STLD,35.7,36.49,35.61,36.43,35735
2021-02-16,STLD,36.81,38.33,36.81,38.19,87449
2021-02-17,STLD,38.26,38.42,37.58,37.72,49636
2021-02-18,STLD,37.56,37.56,36.4,36.77,44787
2021-02-19,STLD,37.1,38.03,37.1,37.84,39434
2021-02-22,STLD,37.73,39.61,37.5,38.94,52823
2021-02-23,STLD,38.81,39.71,38.26,39.68,55110
2021-02-24,STLD,39.82,40.74,39.79,40.67,66800
2021-02-25,STLD,41.06,41.06,39.03,39.05,60289
2021-02-26,STLD,38.59,39.06,37.69,38.59,93321
2021-03-01,STLD,39.78,40.82,39.38,40.79,72267
2021-03-02,STLD,40.9,41.16,40.48,40.61,53287
2021-03-03,STLD,40.59,41.85,40.22,41.4,101291
2021-03-04,STLD,41.28,41.43,39.18,40.04,158664
2021-03-05,STLD,41.01,42.6,40.56,42.4,98285
2021-03-08,STLD,42.46,44.86,42.35,44.53,154421
2021-03-09,STLD,44.04,44.47,43.06,43.92,93155
