date,tic,open,high,low,close,volume
2021-01-04,STT,62.85,63.03,60.97,61.98,55527
2021-01-05,STT,60.48,62.55,60.48,62.25,89630
2021-01-06,STT,64.24,67.42,64.24,66.59,152151
2021-01-07,STT,67.31,68.0,66.62,66.71,82909
2021-01-08,STT,66.57,67.16,65.33,66.14,76497
2021-01-11,STT,65.15,67.23,65.07,67.04,75228
2021-01-12,STT,67.5,69.23,67.41,69.08,142255
2021-01-13,STT,68.65,69.57,67.42,67.48,75860
2021-01-14,STT,68.13,68.6,67.64,68.17,80438
2021-01-15,STT,67.27,67.55,65.6,66.3,131794
2021-01-19,STT,64.71,68.08,63.66,67.28,265240
2021-01-20,STT,67.42,67.57,65.34,65.76,176832
2021-01-21,STT,65.94,66.06,63.95,64.06,132445
2021-01-22,STT,63.01,64.01,63.01,63.65,147234
2021-01-25,STT,62.75,63.01,62.01,62.28,168251
2021-01-26,STT,62.79,63.09,62.04,62.31,114859
2021-01-27,STT,60.9,61.34,59.99,60.13,113552
2021-01-28,STT,61.21,62.14,60.63,61.48,118516
2021-01-29,STT,61.28,61.75,59.25,60.07,85446
2021-02-01,STT,60.52,60.85,59.95,60.25,108230
2021-02-02,STT,61.04,61.47,60.72,60.79,135713
2021-02-03,STT,60.87,62.25,60.68,61.43,208563
2021-02-04,STT,61.92,63.4,61.92,63.36,74595
2021-02-05,STT,64.05,64.52,63.65,64.15,98086
2021-02-08,STT,64.71,65.32,64.21,65.3,42550
2021-02-09,STT,65.27,65.48,64.68,65.02,97791
2021-02-10,STT,65.23,65.5,63.5,63.52,143790
2021-02-11,STT,63.51,63.85,61.9,62.5,302904
2021-02-12,STT,62.37,63.22,62.13,63.08,219108
2021-02-16,STT,63.48,65.51,63.48,64.74,478411
2021-02-17,STT,64.79,65.18,63.93,64.48,153133
2021-02-18,STT,64.06,64.34,63.27,64.04,63601
2021-02-19,STT,64.55,65.21,61.58,61.72,309221
2021-02-22,STT,61.52,64.1,61.28,63.12,162572
2021-02-23,STT,63.6,64.84,63.33,63.53,241995
2021-02-24,STT,63.79,66.44,63.79,65.96,374613
2021-02-25,STT,66.39,67.09,63.54,63.79,289397
2021-02-26,STT,62.84,63.31,61.96,62.48,119925
2021-03-01,STT,63.85,66.52,63.82,65.88,125745
2021-03-02,STT,65.87,66.89,65.56,66.11,121440
2021-03-03,STT,66.62,69.52,66.52,68.0,149705
2021-03-04,STT,68.52,68.71,66.54,67.1,408290
2021-03-05,STT,68.35,69.23,66.89,68.11,182535
2021-03-08,STT,68.98,70.17,68.47,69.01,111367
2021-03-09,STT,68.4,72.03,67.53,70.28,248877
2021-03-10,STT,71.04,72.03,70.83,71.42,135104
2021-03-11,STT,71.04,72.61,70.59,71.77,169704
2021-03-12,STT,72.77,73.58,71.88,71.9,221911
2021-03-15,STT,71.97,72.16,71.22,71.83,65947
2021-03-16,STT,71.38,72.08,70.99,71.86,114660
2021-03-17,STT,72.29,73.03,71.62,72.72,102473
2021-03-18,STT,73.86,75.38,73.02,73.03,150421
2021-03-19,STT,72.51,72.88,71.02,72.22,134864
2021-03-22,STT,71.13,71.13,70.01,70.04,116473
2021-03-23,STT,69.26,69.85,67.86,68.12,83875
2021-03-24,STT,69.19,69.96,68.52,68.52,67647
2021-03-25,STT,68.6,70.89,67.69,70.68,152670
