date,tic,open,high,low,close,volume
2021-01-04,STZ,202.59,202.77,196.12,199.63,65051
2021-01-05,STZ,199.13,200.45,198.66,199.77,97746
2021-01-06,STZ,202.15,208.47,202.15,206.87,100735
2021-01-07,STZ,214.4,221.54,209.55,210.87,168536
2021-01-08,STZ,213.71,213.72,207.56,212.32,93893
2021-01-11,STZ,210.77,212.72,207.62,209.06,71256
2021-01-12,STZ,210.23,212.72,208.51,210.67,56099
2021-01-13,STZ,210.06,210.06,206.57,206.85,57437
2021-01-14,STZ,207.07,208.55,205.21,206.38,69656
2021-01-15,STZ,204.58,204.8,202.4,202.71,44168
2021-01-19,STZ,204.07,206.77,202.01,205.37,64406
2021-01-20,STZ,206.79,210.53,206.41,209.64,49205
2021-01-21,STZ,209.31,210.89,208.1,210.77,48489
2021-01-22,STZ,208.97,210.27,208.31,208.96,31593
2021-01-25,STZ,207.7,209.1,202.9,204.63,87735
2021-01-26,STZ,205.04,205.16,202.31,202.39,69768
2021-01-27,STZ,199.43,200.03,195.27,196.31,104092
2021-01-28,STZ,196.93,201.18,194.8,199.65,95262
2021-01-29,STZ,198.14,198.16,194.21,194.25,70510
2021-02-01,STZ,196.7,199.31,195.21,198.35,73988
2021-02-02,STZ,199.7,202.39,199.24,200.38,81389
2021-02-03,STZ,201.35,202.66,198.36,199.17,101640
2021-02-04,STZ,200.13,205.9,199.43,205.9,59181
2021-02-05,STZ,207.24,210.03,207.01,209.97,62468
2021-02-08,STZ,209.81,211.34,206.98,211.22,43225
2021-02-09,STZ,216.44,217.7,214.37,215.97,70452
2021-02-10,STZ,219.27,223.17,218.65,222.22,101457
2021-02-11,STZ,221.62,222.89,215.62,218.59,62453
2021-02-12,STZ,218.46,223.77,217.64,223.04,86211
2021-02-16,STZ,223.9,223.9,212.81,214.23,114487
2021-02-17,STZ,213.29,213.29,208.66,211.17,61800
2021-02-18,STZ,209.28,211.96,208.48,209.09,56837
2021-02-19,STZ,209.23,210.76,206.13,206.36,57211
2021-02-22,STZ,205.3,207.78,205.15,205.79,63825
2021-02-23,STZ,205.82,207.13,203.79,205.58,36725
2021-02-24,STZ,204.74,207.47,203.61,207.13,33247
2021-02-25,STZ,207.12,207.21,200.98,201.5,55658
2021-02-26,STZ,201.97,202.61,198.13,198.21,62871
2021-03-01,STZ,200.93,203.18,200.47,201.25,48741
2021-03-02,STZ,201.64,202.86,201.37,201.7,84232
2021-03-03,STZ,201.07,202.4,199.73,199.73,100378
2021-03-04,STZ,199.37,200.75,192.93,195.14,50338
2021-03-05,STZ,197.47,201.16,193.15,200.52,47778
2021-03-08,STZ,202.08,206.04,201.43,204.3,53335
2021-03-09,STZ,205.7,212.02,205.7,210.13,89881
2021-03-10,STZ,210.87,212.11,208.74,209.9,77094
2021-03-11,STZ,210.12,212.3,209.36,211.17,70306
2021-03-12,STZ,212.63,213.99,211.93,211.97,36846
2021-03-15,STZ,212.13,213.32,210.92,212.43,26229
2021-03-16,STZ,213.01,215.23,212.66,213.21,49811
2021-03-17,STZ,214.01,217.02,212.83,215.32,47384
2021-03-18,STZ,215.79,218.73,213.58,213.58,64584
2021-03-19,STZ,215.14,218.59,214.29,217.02,66178
2021-03-22,STZ,214.86,216.49,212.85,213.33,47100
2021-03-23,STZ,211.98,213.47,210.6,211.68,28872
2021-03-24,STZ,211.75,213.24,210.95,212.52,55805
2021-03-25,STZ,212.37,214.21,209.07,213.78,29742
2021-03-26,STZ,215.34,217.5,212.37,217.5,49741
2021-03-29,STZ,217.46,218.96,215.29,218.12,34310
2021-03-30,STZ,218.19,218.46,214.89,216.11,38216
2021-03-31,STZ,214.34,215.07,210.61,210.7,58345
2021-04-01,STZ,211.37,212.74,209.38,212.07,112905
2021-04-05,STZ,213.95,215.27,212.54,212.8,51832
2021-04-06,STZ,213.85,218.95,213.85,218.41,88548
2021-04-07,STZ,218.05,218.06,216.07,217.19,87014
2021-04-08,STZ,204.41,209.59,204.35,207.11,435982
2021-04-09,STZ,206.78,208.25,202.18,207.23,241624
2021-04-12,STZ,207.3,210.09,206.88,209.29,53199
2021-04-13,STZ,208.58,211.34,208.06,209.66,23405
2021-04-14,STZ,209.47,211.78,209.31,211.6,40976
2021-04-15,STZ,212.66,217.15,211.86,217.02,55399
2021-04-16,STZ,217.02,221.61,216.88,220.93,83053
2021-04-20,STZ,219.32,222.01,218.43,220.3,45485
2021-04-21,STZ,221.66,224.94,221.65,222.85,45121
2021-04-22,STZ,221.65,222.67,219.51,220.25,100452
