date,tic,open,high,low,close,volume
2021-01-04,SW,38.14,38.59,36.91,37.32,57916
2021-01-05,SW,37.74,38.48,37.47,38.22,66701
2021-01-06,SW,39.27,41.2,39.14,40.6,139622
2021-01-07,SW,40.82,41.23,40.18,40.32,70739
2021-01-08,SW,40.42,40.47,39.06,39.75,83655
2021-01-11,SW,39.62,41.14,39.42,40.82,56961
2021-01-12,SW,41.13,41.92,40.62,41.55,47771
2021-01-13,SW,41.7,41.97,40.66,41.26,136665
2021-01-14,SW,41.19,41.75,40.62,41.22,55186
2021-01-15,SW,40.52,40.76,40.01,40.16,71394
2021-01-19,SW,40.23,40.23,39.18,39.23,93731
2021-01-20,SW,39.74,40.15,39.2,39.98,58905
2021-01-21,SW,40.24,41.38,40.22,40.97,96002
2021-01-22,SW,40.32,41.19,40.14,41.05,26581
2021-01-25,SW,40.11,40.25,38.42,38.77,95092
2021-01-26,SW,39.21,39.61,38.5,38.55,99157
2021-01-27,SW,37.85,37.85,36.47,36.7,99612
2021-01-28,SW,37.49,37.9,35.75,35.83,187681
2021-01-29,SW,35.53,37.01,35.38,36.4,194423
2021-02-01,SW,37.02,37.18,35.33,36.39,112149
2021-02-02,SW,36.64,37.34,36.24,36.82,86529
2021-02-03,SW,36.66,37.65,36.58,37.38,76283
2021-02-04,SW,37.28,37.28,36.17,36.43,97812
2021-02-05,SW,37.1,37.96,37.1,37.85,82751
2021-02-08,SW,38.22,38.32,37.33,37.56,88209
2021-02-09,SW,37.75,38.5,37.75,38.46,113728
2021-02-10,SW,38.81,38.82,37.89,38.57,150789
2021-02-11,SW,38.42,38.7,37.6,38.05,104188
2021-02-12,SW,38.28,39.11,38.27,39.06,82223
2021-02-16,SW,39.26,39.36,38.52,38.65,70085
2021-02-17,SW,38.31,38.9,37.94,38.85,61692
2021-02-18,SW,38.61,38.92,37.9,37.91,130842
2021-02-19,SW,38.01,38.81,38.01,38.81,94864
2021-02-22,SW,38.51,39.25,38.25,38.71,73557
2021-02-23,SW,39.1,39.94,38.7,39.86,112691
2021-02-24,SW,39.83,40.03,39.38,39.64,85029
2021-02-25,SW,39.71,40.24,38.83,39.03,95506
2021-02-26,SW,38.63,39.03,38.09,38.51,94419
2021-03-01,SW,39.26,40.79,39.18,40.77,156596
2021-03-02,SW,40.64,42.08,40.62,41.28,193752
2021-03-03,SW,41.42,43.15,41.23,42.29,100483
2021-03-04,SW,42.24,42.8,41.48,42.74,220033
2021-03-05,SW,43.03,44.96,43.03,44.76,181049
2021-03-08,SW,45.36,47.65,45.36,46.95,172541
2021-03-09,SW,46.49,47.17,45.77,46.81,313151
2021-03-10,SW,46.93,47.16,46.43,46.55,148030
2021-03-11,SW,46.35,46.35,44.94,45.38,208487
2021-03-12,SW,45.67,46.24,45.26,45.52,120352
2021-03-15,SW,45.24,45.29,44.06,45.07,189474
2021-03-16,SW,44.42,44.83,43.87,44.63,64472
2021-03-17,SW,44.5,45.96,44.5,45.95,178108
2021-03-18,SW,46.1,46.81,45.63,46.14,65092
2021-03-19,SW,45.84,46.38,45.13,45.82,88042
2021-03-22,SW,44.52,44.64,43.18,44.39,127928
2021-03-23,SW,44.15,44.75,42.53,42.67,159924
2021-03-24,SW,43.08,44.6,43.08,43.69,152673
2021-03-25,SW,43.91,45.82,43.72,45.81,103392
