date,tic,open,high,low,close,volume
2021-01-04,SWK,143.31,148.34,142.21,143.58,154772
2021-01-05,SWK,144.43,145.46,143.27,144.31,99174
2021-01-06,SWK,145.22,151.29,145.22,149.29,95583
2021-01-07,SWK,150.54,151.1,148.13,150.57,63563
2021-01-08,SWK,150.88,151.26,147.47,149.92,48006
2021-01-11,SWK,148.2,149.92,147.82,149.49,45792
2021-01-12,SWK,150.09,152.23,148.94,149.7,49918
2021-01-13,SWK,150.15,150.15,146.35,146.99,80396
2021-01-14,SWK,148.33,149.0,145.66,146.93,53112
2021-01-15,SWK,145.48,147.45,143.29,146.19,65884
2021-01-19,SWK,147.58,150.77,147.36,149.69,105278
2021-01-20,SWK,150.25,150.82,148.08,149.46,62431
2021-01-21,SWK,148.87,151.16,148.86,150.11,62747
2021-01-22,SWK,149.18,150.36,147.87,148.62,84159
2021-01-25,SWK,148.4,150.24,147.25,148.24,63064
2021-01-26,SWK,149.93,150.89,147.94,149.83,62541
2021-01-27,SWK,148.05,148.67,143.84,147.25,106378
2021-01-28,SWK,151.15,155.28,149.4,152.65,208780
2021-01-29,SWK,151.82,151.82,146.85,147.21,75459
2021-02-01,SWK,149.31,149.68,144.54,147.75,89913
2021-02-02,SWK,148.83,150.86,148.64,150.25,53717
2021-02-03,SWK,149.82,150.0,147.19,147.94,76919
2021-02-04,SWK,148.82,150.53,148.12,148.97,70238
2021-02-05,SWK,150.88,151.84,149.28,149.86,58127
2021-02-08,SWK,150.57,151.19,148.12,148.91,76551
2021-02-09,SWK,148.85,149.53,146.85,148.89,30029
2021-02-10,SWK,148.96,151.04,148.28,150.33,50045
2021-02-11,SWK,151.1,151.26,146.57,148.19,66803
2021-02-12,SWK,148.05,149.39,147.92,148.93,36140
2021-02-16,SWK,149.22,149.43,145.29,145.58,90580
2021-02-17,SWK,144.06,145.65,143.83,144.56,85431
2021-02-18,SWK,143.96,146.94,143.89,145.78,52406
2021-02-19,SWK,146.95,149.26,146.95,148.49,40387
2021-02-22,SWK,146.54,148.18,146.12,147.27,63364
2021-02-23,SWK,146.93,147.47,143.98,146.68,46657
2021-02-24,SWK,145.92,150.5,145.62,148.39,130282
2021-02-25,SWK,148.82,149.64,147.23,148.23,112418
2021-02-26,SWK,147.37,149.79,147.1,148.39,76648
2021-03-01,SWK,150.23,154.18,150.23,153.16,73025
2021-03-02,SWK,153.49,157.9,152.93,157.29,105504
2021-03-03,SWK,156.79,158.47,156.07,156.76,108616
2021-03-04,SWK,156.25,156.84,151.09,153.76,60928
2021-03-05,SWK,154.7,158.37,152.34,157.12,115955
2021-03-08,SWK,158.1,160.7,156.67,158.85,64318
2021-03-09,SWK,159.56,161.72,159.45,160.11,49188
2021-03-10,SWK,160.82,164.14,160.14,162.75,58937
2021-03-11,SWK,163.41,165.43,162.05,163.45,37683
2021-03-12,SWK,164.59,164.59,161.29,162.01,65344
2021-03-15,SWK,162.39,165.02,161.34,164.4,32717
2021-03-16,SWK,164.12,164.44,161.14,161.97,65750
2021-03-17,SWK,162.69,166.03,161.84,166.02,61932
2021-03-18,SWK,165.8,169.39,165.8,167.95,137897
2021-03-19,SWK,168.3,169.63,166.46,167.49,73715
2021-03-22,SWK,167.44,167.44,164.17,166.84,61672
2021-03-23,SWK,166.82,167.37,162.99,164.06,44996
2021-03-24,SWK,165.77,168.13,165.48,165.48,58608
2021-03-25,SWK,164.46,167.6,162.53,166.57,66304
2021-03-26,SWK,166.84,172.19,166.31,172.1,38482
2021-03-29,SWK,171.82,172.96,169.7,169.94,39041
2021-03-30,SWK,170.33,171.51,169.79,170.58,34230
2021-03-31,SWK,170.78,171.8,169.07,170.06,72433
2021-04-01,SWK,171.25,171.25,168.34,170.82,46205
2021-04-05,SWK,172.69,173.31,171.53,172.22,39040
2021-04-06,SWK,173.01,174.15,172.0,173.65,43792
2021-04-07,SWK,173.93,173.93,169.97,170.52,44862
2021-04-08,SWK,170.05,170.08,168.03,169.83,80831
2021-04-09,SWK,171.44,172.0,169.74,171.93,50809
2021-04-12,SWK,172.63,174.1,172.11,173.77,53330
2021-04-13,SWK,172.47,172.63,171.25,172.29,27594
2021-04-14,SWK,172.24,173.11,171.08,171.42,27479
2021-04-15,SWK,172.01,173.43,171.34,172.54,51575
2021-04-16,SWK,173.83,175.89,173.49,174.87,111159
