date,tic,open,high,low,close,volume
2021-01-04,SWKS,134.64,136.89,130.18,132.56,134992
2021-01-05,SWKS,132.16,137.56,132.14,137.56,109559
2021-01-06,SWKS,136.12,142.64,134.89,139.42,95865
2021-01-07,SWKS,141.46,143.58,140.73,143.06,59900
2021-01-08,SWKS,144.91,145.77,141.33,143.88,65938
2021-01-11,SWKS,141.14,143.53,140.12,142.51,76434
2021-01-12,SWKS,142.67,142.76,139.02,139.03,99350
2021-01-13,SWKS,138.59,139.76,137.32,138.83,42797
2021-01-14,SWKS,138.83,141.54,138.32,139.01,82209
2021-01-15,SWKS,136.8,136.8,132.02,133.63,131253
2021-01-19,SWKS,136.0,142.59,135.55,141.94,79654
2021-01-20,SWKS,144.1,148.49,143.09,143.34,74948
2021-01-21,SWKS,144.03,144.07,141.26,143.78,70055
2021-01-22,SWKS,142.21,142.79,141.0,141.87,41257
2021-01-25,SWKS,146.42,149.94,144.2,145.6,189400
2021-01-26,SWKS,146.23,146.26,142.69,143.47,124528
2021-01-27,SWKS,141.49,142.44,135.94,137.06,127020
2021-01-28,SWKS,140.66,143.16,138.72,140.5,185363
2021-01-29,SWKS,164.57,165.61,147.17,148.71,635408
2021-02-01,SWKS,153.35,163.94,153.35,163.34,293207
2021-02-02,SWKS,166.0,166.0,159.46,162.87,142607
2021-02-03,SWKS,163.98,163.98,157.48,157.83,130126
2021-02-04,SWKS,156.66,159.11,152.13,157.57,248981
2021-02-05,SWKS,158.27,159.94,156.75,157.38,122940
2021-02-08,SWKS,158.54,160.4,157.04,159.71,67814
2021-02-09,SWKS,158.92,164.11,158.92,160.87,92824
2021-02-10,SWKS,162.59,163.94,159.53,162.79,104782
2021-02-11,SWKS,164.77,166.62,162.16,165.71,95779
2021-02-12,SWKS,165.42,167.75,164.25,167.17,76878
2021-02-16,SWKS,168.78,172.57,168.78,171.1,111702
2021-02-17,SWKS,169.62,170.78,165.64,169.44,119509
2021-02-18,SWKS,166.84,168.01,163.71,165.59,119446
2021-02-19,SWKS,168.82,170.44,167.0,169.29,89528
2021-02-22,SWKS,166.77,169.01,162.03,162.19,108080
2021-02-23,SWKS,160.01,163.34,153.94,161.81,195071
