date,tic,open,high,low,close,volume
2021-01-04,SYF,31.18,31.23,30.4,30.45,305070
2021-01-05,SYF,30.64,31.2,30.51,31.02,235244
2021-01-06,SYF,31.48,33.32,31.48,32.9,395127
2021-01-07,SYF,33.26,33.37,32.47,32.75,237607
2021-01-08,SYF,32.92,32.97,32.15,32.63,194601
2021-01-11,SYF,32.03,32.57,31.83,32.36,114493
2021-01-12,SYF,32.5,33.04,32.3,32.62,186087
2021-01-13,SYF,32.75,33.86,32.75,33.37,194140
2021-01-14,SYF,33.58,34.92,33.47,34.69,245036
2021-01-15,SYF,34.13,34.94,33.77,34.59,386066
2021-01-19,SYF,35.44,35.64,35.08,35.42,389877
2021-01-20,SYF,35.64,36.28,35.29,35.6,302462
2021-01-21,SYF,35.35,35.4,33.96,34.06,252152
2021-01-22,SYF,33.57,33.59,33.16,33.35,207887
2021-01-25,SYF,33.0,33.0,31.72,32.69,272995
2021-01-26,SYF,32.97,32.97,31.53,31.56,243775
2021-01-27,SYF,31.27,31.86,30.46,30.68,333224
2021-01-28,SYF,30.91,32.18,30.58,32.0,407867
2021-01-29,SYF,31.16,31.65,29.81,30.02,600996
2021-02-01,SYF,30.6,31.07,30.33,30.93,308779
2021-02-02,SYF,31.31,32.33,31.3,32.14,315894
2021-02-03,SYF,32.12,32.48,31.8,32.21,193212
2021-02-04,SYF,32.37,33.76,32.37,33.33,384290
2021-02-05,SYF,33.64,33.91,33.41,33.47,149041
2021-02-08,SYF,33.55,33.87,33.27,33.81,268555
2021-02-09,SYF,33.68,33.85,33.29,33.3,186462
2021-02-10,SYF,33.55,34.02,33.06,33.95,225699
2021-02-11,SYF,33.92,34.04,33.09,33.45,93335
2021-02-12,SYF,33.46,33.83,33.12,33.35,128670
2021-02-16,SYF,33.64,34.12,33.31,34.0,233404
2021-02-17,SYF,33.81,34.37,33.48,33.62,304258
2021-02-18,SYF,33.31,33.58,32.71,32.86,248267
2021-02-19,SYF,33.3,34.37,33.3,34.18,221197
2021-02-22,SYF,34.08,35.34,34.07,34.85,421844
2021-02-23,SYF,35.0,35.17,34.14,34.54,545070
2021-02-24,SYF,34.64,36.17,34.64,36.12,408927
2021-02-25,SYF,36.31,36.34,34.74,35.03,348513
2021-02-26,SYF,34.94,35.39,34.13,34.74,273354
2021-03-01,SYF,35.4,36.29,35.35,35.91,414363
2021-03-02,SYF,35.74,36.12,35.41,35.51,170442
2021-03-03,SYF,35.85,36.69,35.81,35.98,274466
2021-03-04,SYF,35.66,36.03,33.89,34.9,349864
2021-03-05,SYF,35.64,36.08,34.03,35.98,306085
2021-03-08,SYF,36.38,36.98,35.95,36.45,374310
2021-03-09,SYF,36.33,36.54,35.55,36.05,371337
2021-03-10,SYF,36.31,37.54,36.31,37.34,316737
2021-03-11,SYF,37.17,38.39,37.05,38.29,305638
2021-03-12,SYF,38.54,38.79,38.2,38.31,298245
2021-03-15,SYF,38.49,38.56,37.35,38.45,201530
2021-03-16,SYF,38.3,38.3,37.08,37.87,300997
2021-03-17,SYF,38.1,38.73,37.6,38.7,308664
2021-03-18,SYF,39.05,39.09,36.78,37.02,347551
2021-03-19,SYF,36.49,37.24,35.95,36.81,278290
2021-03-22,SYF,36.61,36.74,36.11,36.38,342291
2021-03-23,SYF,35.97,36.24,34.5,34.81,328379
2021-03-24,SYF,35.32,35.92,35.2,35.49,312530
2021-03-25,SYF,35.16,36.66,34.32,36.55,342396
2021-03-26,SYF,37.2,37.58,36.26,37.07,193254
2021-03-29,SYF,36.75,36.75,35.73,36.14,177578
2021-03-30,SYF,36.49,37.06,36.49,36.8,184042
2021-03-31,SYF,36.98,37.31,36.49,36.49,135759
2021-04-01,SYF,36.8,37.53,36.67,37.38,189214
2021-04-05,SYF,37.78,38.14,37.55,37.87,155998
2021-04-06,SYF,37.85,38.12,37.59,37.86,181158
2021-04-07,SYF,38.06,38.6,37.96,38.13,250421
2021-04-08,SYF,37.71,37.98,37.23,37.91,169340
2021-04-09,SYF,38.25,38.66,37.91,38.41,170616
2021-04-12,SYF,38.44,38.8,38.19,38.71,161376
2021-04-13,SYF,38.52,38.52,37.05,37.21,188114
2021-04-14,SYF,36.24,37.68,36.17,37.24,282525
2021-04-15,SYF,37.33,37.37,36.51,37.04,157876
2021-04-16,SYF,37.47,37.79,37.06,37.13,155394
2021-04-20,SYF,36.29,36.29,35.06,35.52,243965
2021-04-21,SYF,35.12,36.07,34.69,36.07,142261
2021-04-22,SYF,36.18,36.41,35.68,35.79,103149
2021-04-23,SYF,35.65,36.69,35.51,36.51,90870
2021-04-26,SYF,36.76,37.51,36.76,37.21,162669
2021-04-27,SYF,35.72,36.68,35.68,36.51,447497
2021-04-28,SYF,36.85,38.65,36.85,38.6,321225
2021-04-29,SYF,38.94,40.0,38.9,39.88,674966
2021-04-30,SYF,39.73,39.82,39.29,39.43,135268
2021-05-03,SYF,39.91,40.16,39.03,39.37,228159
2021-05-04,SYF,39.27,40.42,38.89,40.18,219054
2021-05-05,SYF,40.39,40.79,39.95,40.37,246520
2021-05-06,SYF,40.6,40.83,39.82,40.48,190716
2021-05-07,SYF,39.84,41.46,39.81,41.41,241046
2021-05-10,SYF,41.9,42.57,41.48,41.49,285985
2021-05-11,SYF,40.76,41.28,40.12,40.77,237855
2021-05-12,SYF,40.91,41.19,39.62,39.81,175761
2021-05-13,SYF,39.85,41.1,39.77,40.82,161009
2021-05-14,SYF,41.16,42.36,41.07,42.2,361450
2021-05-17,SYF,41.91,42.5,41.83,42.32,120936
2021-05-18,SYF,42.15,42.5,41.34,41.34,137986
2021-05-19,SYF,40.6,41.39,40.18,41.35,140128
2021-05-20,SYF,41.61,41.68,40.91,41.28,142277
2021-05-21,SYF,41.53,42.25,41.45,41.68,114655
2021-05-24,SYF,41.91,42.09,41.52,41.84,119946
2021-05-25,SYF,42.15,42.98,41.6,41.7,139542
