date,tic,open,high,low,close,volume
2021-01-04,SYK,233.57,233.67,225.15,227.68,49701
2021-01-05,SYK,227.66,230.05,226.92,228.28,60575
2021-01-06,SYK,227.67,231.12,225.6,231.12,75013
2021-01-07,SYK,231.83,232.54,228.47,232.33,38275
2021-01-08,SYK,233.06,235.45,230.28,232.11,62710
2021-01-11,SYK,230.94,231.76,229.51,230.42,28247
2021-01-12,SYK,229.77,229.77,226.2,227.84,38970
2021-01-13,SYK,228.05,232.57,227.51,231.68,32499
2021-01-14,SYK,231.39,232.41,229.49,230.67,48468
2021-01-15,SYK,230.0,232.0,227.56,230.6,48660
2021-01-19,SYK,231.37,232.6,229.31,230.64,31007
2021-01-20,SYK,230.57,234.96,229.75,233.72,38055
2021-01-21,SYK,233.43,233.52,229.27,232.17,38736
2021-01-22,SYK,231.22,231.24,228.6,228.6,61303
2021-01-25,SYK,227.35,228.45,225.73,228.31,82646
2021-01-26,SYK,228.02,230.48,226.52,226.91,58996
2021-01-27,SYK,223.83,223.83,218.79,219.45,95104
2021-01-28,SYK,220.59,223.4,216.95,219.02,109958
2021-01-29,SYK,217.67,218.83,210.4,210.4,144675
2021-02-01,SYK,213.71,216.54,212.39,216.14,80478
2021-02-02,SYK,219.84,227.26,219.76,223.99,78154
2021-02-03,SYK,223.55,224.15,219.87,222.86,82090
2021-02-04,SYK,222.95,229.51,221.73,225.43,75026
2021-02-05,SYK,228.49,229.85,226.78,227.59,39316
2021-02-08,SYK,227.6,230.98,227.06,230.98,48504
2021-02-09,SYK,231.24,232.5,229.28,230.62,32321
2021-02-10,SYK,231.63,232.85,230.27,231.45,60987
2021-02-11,SYK,232.35,234.1,231.07,233.67,50282
2021-02-12,SYK,233.18,236.69,231.83,236.68,67656
2021-02-16,SYK,236.24,236.49,232.19,236.0,78270
2021-02-17,SYK,234.53,235.64,233.36,234.86,74880
2021-02-18,SYK,233.22,235.46,231.87,233.36,93317
2021-02-19,SYK,232.58,234.53,229.66,230.54,109749
2021-02-22,SYK,228.48,232.93,227.6,231.58,78929
2021-02-23,SYK,233.21,236.24,232.82,234.97,63555
2021-02-24,SYK,234.52,237.99,233.96,236.95,89012
2021-02-25,SYK,236.65,238.11,232.69,234.13,69614
2021-02-26,SYK,234.05,234.8,230.94,231.39,60648
2021-03-01,SYK,235.4,235.42,233.3,234.06,43100
2021-03-02,SYK,234.82,235.16,232.11,233.66,49939
2021-03-03,SYK,232.55,233.28,230.94,231.45,27235
2021-03-04,SYK,231.1,231.39,222.14,224.61,72061
2021-03-05,SYK,226.5,229.76,221.62,228.64,95573
2021-03-08,SYK,228.1,229.04,224.65,224.8,86381
2021-03-09,SYK,226.71,230.84,225.96,225.98,56486
2021-03-10,SYK,227.59,229.4,226.03,228.66,95882
2021-03-11,SYK,229.16,229.46,226.77,227.86,83269
2021-03-12,SYK,227.65,229.74,227.42,229.24,89048
2021-03-15,SYK,229.97,230.11,227.89,229.94,57647
2021-03-16,SYK,229.51,230.17,225.13,226.56,63197
2021-03-17,SYK,226.55,227.18,224.36,224.64,100646
2021-03-18,SYK,224.87,224.87,219.41,219.75,106226
2021-03-19,SYK,219.07,222.33,217.08,219.02,98096
2021-03-22,SYK,218.27,222.02,218.23,221.06,35478
2021-03-23,SYK,221.19,221.71,218.01,218.5,49560
2021-03-24,SYK,218.75,225.26,218.69,222.73,86243
2021-03-25,SYK,223.23,224.78,220.35,224.03,52530
2021-03-26,SYK,224.08,229.8,224.08,229.8,77649
2021-03-29,SYK,228.11,231.23,227.4,230.54,149770
2021-03-30,SYK,229.6,233.57,229.6,232.08,136508
2021-03-31,SYK,232.31,234.11,232.27,232.76,133457
2021-04-01,SYK,232.99,232.99,230.44,232.02,54869
2021-04-05,SYK,235.41,237.73,235.17,237.33,71692
2021-04-06,SYK,236.75,238.55,236.41,237.06,58700
2021-04-07,SYK,237.15,238.51,235.24,236.28,65693
2021-04-08,SYK,237.76,238.81,237.27,238.61,49000
2021-04-09,SYK,239.58,242.01,239.49,242.01,48697
2021-04-12,SYK,240.51,242.53,240.17,240.44,47903
2021-04-13,SYK,240.19,242.26,240.19,242.12,18534
2021-04-14,SYK,243.13,243.55,240.65,240.86,34160
2021-04-15,SYK,241.55,245.46,241.24,245.23,46605
2021-04-16,SYK,247.01,247.01,243.69,245.5,53279
2021-04-20,SYK,244.03,247.72,243.74,246.69,77966
2021-04-21,SYK,248.33,252.61,248.33,252.04,68995
2021-04-22,SYK,252.56,253.91,250.56,252.3,49694
2021-04-23,SYK,252.02,255.92,251.87,255.06,80486
2021-04-26,SYK,254.33,255.25,253.14,253.14,49046
2021-04-27,SYK,253.32,254.3,251.01,253.04,36716
2021-04-28,SYK,250.56,250.56,246.28,247.82,118568
2021-04-29,SYK,248.37,251.91,248.37,251.61,65950
2021-04-30,SYK,251.7,251.7,248.26,250.74,68033
2021-05-03,SYK,251.3,252.36,250.74,251.18,56684
2021-05-04,SYK,248.84,249.02,241.85,244.04,97806
2021-05-05,SYK,244.84,244.84,240.37,241.72,52283
2021-05-06,SYK,241.63,242.83,238.97,242.63,53502
2021-05-07,SYK,243.51,245.72,243.03,243.33,43227
2021-05-10,SYK,244.48,247.13,244.4,244.4,75360
2021-05-11,SYK,243.32,243.94,239.14,240.18,40462
2021-05-12,SYK,240.15,240.15,233.12,233.69,65844
2021-05-13,SYK,235.02,237.34,233.9,236.82,56126
2021-05-14,SYK,237.69,242.07,237.14,241.77,56268
2021-05-17,SYK,240.15,241.28,239.47,240.59,69342
2021-05-18,SYK,239.99,243.94,239.76,241.36,54290
2021-05-19,SYK,237.92,240.96,237.63,240.79,73247
2021-05-20,SYK,240.65,244.91,240.15,242.81,24929
2021-05-21,SYK,244.02,247.4,243.94,243.99,30259
2021-05-24,SYK,245.98,246.87,244.56,245.75,29677
2021-05-25,SYK,245.47,247.11,244.14,245.35,31030
2021-05-26,SYK,243.23,243.61,237.97,241.09,72944
2021-05-27,SYK,242.54,243.57,240.71,243.11,52490
2021-05-28,SYK,245.98,247.72,243.68,243.8,44088
2021-06-01,SYK,247.99,247.99,243.76,244.37,111197
2021-06-02,SYK,244.51,244.6,238.86,239.41,61104
2021-06-03,SYK,238.25,239.14,235.31,238.42,50914
2021-06-04,SYK,239.63,241.58,239.3,240.46,19493
2021-06-07,SYK,241.26,241.5,237.58,238.44,63543
2021-06-08,SYK,239.68,239.68,234.94,238.38,35020
2021-06-09,SYK,240.32,241.91,239.97,241.67,26477
2021-06-10,SYK,242.44,245.21,242.21,245.1,28588
2021-06-11,SYK,245.26,245.26,242.71,244.2,40851
2021-06-14,SYK,243.73,244.14,242.71,244.12,32364
2021-06-15,SYK,244.15,245.8,244.0,245.09,26659
2021-06-16,SYK,245.12,246.68,244.08,244.81,44478
2021-06-17,SYK,244.78,248.45,244.78,247.92,46519
2021-06-18,SYK,245.8,247.02,243.22,243.22,34010
2021-06-21,SYK,243.48,248.43,243.4,248.1,27593
2021-06-22,SYK,248.04,251.85,247.61,250.99,47550
2021-06-23,SYK,250.01,252.3,250.01,250.85,45696
2021-06-24,SYK,252.41,252.41,249.5,249.59,30630
2021-06-25,SYK,250.39,252.47,249.88,251.21,51604
2021-06-28,SYK,251.76,252.0,247.58,248.5,52422
2021-06-29,SYK,250.26,251.24,248.93,249.19,31587
2021-06-30,SYK,249.03,249.39,247.51,248.56,36478
2021-07-01,SYK,248.51,251.45,248.11,251.45,76982
2021-07-02,SYK,251.66,254.39,251.65,254.07,76566
2021-07-06,SYK,253.67,254.3,250.99,253.51,69445
2021-07-07,SYK,253.94,254.54,252.47,253.96,44503
2021-07-08,SYK,251.54,252.79,249.15,252.48,46727
2021-07-09,SYK,252.8,253.92,252.37,253.09,53703
2021-07-12,SYK,251.82,253.98,251.82,253.63,31705
2021-07-13,SYK,252.72,252.75,250.12,250.49,62263
2021-07-14,SYK,251.28,251.28,248.83,250.27,34060
2021-07-15,SYK,248.81,249.1,244.81,245.97,107017
2021-07-16,SYK,246.18,247.1,245.07,246.58,53552
2021-07-19,SYK,243.33,243.48,237.11,237.97,80932
2021-07-20,SYK,238.71,245.83,238.71,244.36,106928
2021-07-21,SYK,247.58,247.85,245.59,247.56,64068
2021-07-22,SYK,246.92,248.22,244.92,247.98,41326
2021-07-23,SYK,249.73,251.52,247.98,251.41,32707
