date,tic,open,high,low,close,volume
2021-01-04,SYY,65.29,65.29,62.19,63.48,136959
2021-01-05,SYY,63.4,64.77,63.4,63.94,113092
2021-01-06,SYY,64.46,66.8,64.46,66.69,192774
2021-01-07,SYY,67.04,67.47,65.83,66.84,228028
2021-01-08,SYY,66.94,68.76,66.53,68.63,160347
2021-01-11,SYY,67.46,69.65,67.24,68.51,185991
2021-01-12,SYY,68.14,70.64,68.12,69.33,168270
2021-01-13,SYY,69.01,69.01,67.29,67.29,167402
2021-01-14,SYY,67.6,68.46,66.25,66.72,133153
2021-01-15,SYY,66.31,67.18,66.06,66.83,72894
2021-01-19,SYY,67.06,67.35,66.15,66.16,47042
2021-01-20,SYY,66.05,68.21,65.55,68.07,211456
2021-01-21,SYY,67.92,68.25,67.47,67.9,162384
2021-01-22,SYY,67.13,67.6,66.41,66.44,56160
2021-01-25,SYY,64.46,65.47,63.54,64.51,421191
2021-01-26,SYY,65.29,66.84,65.23,65.53,171603
2021-01-27,SYY,64.37,65.54,63.29,63.65,139865
2021-01-28,SYY,64.22,66.5,64.16,65.55,144802
2021-01-29,SYY,64.86,64.97,63.17,63.25,98854
2021-02-01,SYY,63.65,64.17,62.83,63.25,73509
2021-02-02,SYY,61.86,65.05,61.86,64.57,340900
2021-02-03,SYY,64.46,67.84,64.39,67.57,428610
2021-02-04,SYY,67.42,68.29,67.07,67.63,360458
2021-02-05,SYY,68.15,69.25,67.9,68.09,181251
2021-02-08,SYY,68.13,68.93,67.42,68.0,104564
2021-02-09,SYY,68.19,68.19,66.56,67.37,129898
2021-02-10,SYY,67.59,68.58,67.0,67.25,76858
2021-02-11,SYY,66.92,67.82,66.75,67.37,86169
2021-02-12,SYY,66.8,67.74,66.7,67.43,57062
2021-02-16,SYY,67.43,67.86,66.74,67.51,90066
2021-02-17,SYY,67.15,67.17,65.82,66.21,98987
2021-02-18,SYY,65.4,66.42,65.39,66.21,98638
2021-02-19,SYY,66.39,68.28,66.36,67.76,58577
2021-02-22,SYY,67.26,70.06,67.26,69.51,115977
2021-02-23,SYY,69.42,70.77,69.21,69.99,136756
2021-02-24,SYY,69.81,72.01,69.7,71.56,127439
2021-02-25,SYY,72.01,72.22,70.62,71.02,423068
