date,tic,open,high,low,close,volume
2021-01-04,TAP,40.13,40.32,39.05,39.77,159554
2021-01-05,TAP,39.99,41.2,39.99,40.95,138544
2021-01-06,TAP,41.98,43.59,41.86,42.93,166690
2021-01-07,TAP,43.36,43.36,42.43,42.87,93147
2021-01-08,TAP,42.81,43.17,42.55,43.14,54004
2021-01-11,TAP,42.97,43.62,42.9,43.26,76685
2021-01-12,TAP,43.7,45.57,43.64,45.18,145918
2021-01-13,TAP,44.7,46.37,44.58,45.58,107525
2021-01-14,TAP,46.13,46.81,45.43,46.67,69385
2021-01-15,TAP,46.4,46.43,45.59,45.77,76213
2021-01-19,TAP,46.16,46.33,45.12,45.35,78615
2021-01-20,TAP,45.26,45.42,44.05,44.6,58758
2021-01-21,TAP,44.52,44.67,43.61,44.16,121054
2021-01-22,TAP,43.78,44.19,43.54,44.05,33264
2021-01-25,TAP,43.68,45.68,43.53,45.01,99021
2021-01-26,TAP,45.38,46.5,45.24,46.5,142442
2021-01-27,TAP,46.19,48.87,45.8,47.94,249704
2021-01-28,TAP,47.53,48.15,45.22,45.31,97020
2021-01-29,TAP,45.47,45.75,43.52,43.7,142819
2021-02-01,TAP,44.12,44.12,42.75,43.2,125545
2021-02-02,TAP,43.33,43.35,42.36,42.6,85289
2021-02-03,TAP,42.73,43.36,42.47,43.02,94450
2021-02-04,TAP,43.18,43.41,42.34,42.76,80985
2021-02-05,TAP,43.01,43.42,42.37,42.67,140784
2021-02-08,TAP,42.69,42.81,42.07,42.44,83974
2021-02-09,TAP,42.52,42.85,41.99,42.4,156976
2021-02-10,TAP,42.65,42.93,41.87,42.68,151202
2021-02-11,TAP,39.77,40.46,37.85,38.78,320224
2021-02-12,TAP,38.75,39.06,38.02,38.35,142350
2021-02-16,TAP,38.79,39.28,38.03,38.78,130260
2021-02-17,TAP,38.57,39.65,38.57,39.55,104018
2021-02-18,TAP,39.39,39.72,38.76,38.82,127079
2021-02-19,TAP,38.99,39.88,38.64,38.69,155532
2021-02-22,TAP,38.97,39.55,38.73,39.32,87413
2021-02-23,TAP,39.57,41.11,39.08,40.93,151918
2021-02-24,TAP,41.11,41.32,40.49,40.93,113128
2021-02-25,TAP,40.77,41.23,39.96,39.96,75371
2021-02-26,TAP,40.09,40.11,38.67,38.76,74346
2021-03-01,TAP,39.43,40.15,39.04,39.08,58933
2021-03-02,TAP,38.87,39.52,38.7,39.21,55538
2021-03-03,TAP,39.48,40.09,38.94,39.2,164218
2021-03-04,TAP,39.35,40.43,38.79,39.54,141694
2021-03-05,TAP,39.96,40.7,39.66,40.22,158378
2021-03-08,TAP,40.65,41.93,40.41,41.53,113514
2021-03-09,TAP,41.9,41.9,40.45,40.45,158765
2021-03-10,TAP,40.6,41.68,40.6,40.81,94491
2021-03-11,TAP,40.54,40.86,39.83,40.07,107351
2021-03-12,TAP,40.52,40.9,40.17,40.62,115600
2021-03-15,TAP,40.63,41.92,40.63,41.51,169059
2021-03-16,TAP,41.23,42.42,40.77,42.19,102233
2021-03-17,TAP,42.41,42.8,41.87,42.37,96306
2021-03-18,TAP,42.73,43.79,42.73,42.83,135960
2021-03-19,TAP,42.33,43.07,41.27,42.91,154134
