date,tic,open,high,low,close,volume
2021-01-04,TDG,475.75,476.69,452.57,457.12,26657
2021-01-05,TDG,464.77,468.09,459.42,465.87,11042
2021-01-06,TDG,467.89,477.29,463.96,465.99,13527
2021-01-07,TDG,468.66,480.65,468.66,470.71,17468
2021-01-08,TDG,472.25,477.72,470.78,476.63,17225
2021-01-11,TDG,474.32,478.1,473.72,476.49,8052
2021-01-12,TDG,477.7,481.89,477.01,481.14,11663
2021-01-13,TDG,478.88,480.13,470.54,475.28,15905
2021-01-14,TDG,471.88,479.87,470.65,471.55,22093
2021-01-15,TDG,463.43,465.23,454.78,455.31,23023
2021-01-19,TDG,462.55,462.55,445.93,445.93,30014
2021-01-20,TDG,446.82,455.27,446.58,449.28,29613
2021-01-21,TDG,449.25,449.25,441.09,447.21,15369
2021-01-22,TDG,444.93,450.05,443.68,449.11,13353
2021-01-25,TDG,443.99,444.75,432.94,435.92,26224
2021-01-26,TDG,440.74,442.39,423.21,423.21,20059
2021-01-27,TDG,416.66,423.72,402.53,402.53,54956
2021-01-28,TDG,410.75,435.7,409.91,434.12,36999
2021-01-29,TDG,423.38,435.54,420.24,431.06,55402
2021-02-01,TDG,434.44,445.82,432.61,444.41,41788
2021-02-02,TDG,449.57,463.53,449.43,458.92,55489
2021-02-03,TDG,458.68,467.65,458.19,466.87,39833
2021-02-04,TDG,469.83,474.95,467.54,474.54,63405
2021-02-05,TDG,475.5,479.79,468.45,470.92,25193
2021-02-08,TDG,473.77,474.6,465.51,465.97,22721
2021-02-09,TDG,464.73,473.78,457.45,464.37,35018
2021-02-10,TDG,462.85,463.07,445.89,451.49,34906
2021-02-11,TDG,454.9,456.1,445.75,447.79,24135
2021-02-12,TDG,445.35,455.26,443.52,448.11,20869
2021-02-16,TDG,450.41,451.17,443.96,446.03,14536
2021-02-17,TDG,440.73,446.37,438.68,444.19,17787
2021-02-18,TDG,440.99,450.07,437.81,448.52,15900
2021-02-19,TDG,450.3,467.22,450.3,467.22,16654
2021-02-22,TDG,464.26,466.49,458.31,459.14,23805
2021-02-23,TDG,458.26,471.98,453.25,470.28,26259
2021-02-24,TDG,472.46,486.29,471.41,473.93,24607
2021-02-25,TDG,464.74,469.12,446.84,448.65,24506
2021-02-26,TDG,450.05,453.73,444.81,448.91,14761
2021-03-01,TDG,460.07,469.48,459.1,464.26,13980
2021-03-02,TDG,461.53,466.66,461.53,464.51,14867
2021-03-03,TDG,468.76,469.13,458.93,458.93,14832
2021-03-04,TDG,458.12,460.62,439.17,444.49,35408
2021-03-05,TDG,449.65,465.16,438.1,463.31,24043
2021-03-08,TDG,467.34,475.89,464.85,471.54,28570
2021-03-09,TDG,471.41,474.5,458.74,459.0,45959
