date,tic,open,high,low,close,volume
2021-01-04,TEAM,231.73,232.56,225.02,231.63,85034
2021-01-05,TEAM,231.52,235.28,230.13,234.565,98420
2021-01-06,TEAM,228.39,230.17,223.97,224.38,100004
2021-01-07,TEAM,228.51,233.81,228.51,233.27,82496
2021-01-08,TEAM,235.345,237.83,232.125,235.69,97574
2021-01-11,TEAM,234.49,234.64,230.16,230.66,76916
2021-01-12,TEAM,233.495,235.745,231.58,234.2,60837
2021-01-13,TEAM,233.26,233.26,227.11,229.94,104164
2021-01-14,TEAM,228.44,230.27,221.77,223.03,121828
2021-01-15,TEAM,225.7,228.95,220.85,222.845,232750
2021-01-19,TEAM,225.98,229.41,225.47,226.71,129568
2021-01-20,TEAM,228.89,231.94,227.6,231.6,98012
2021-01-21,TEAM,233.64,237.45,230.97,233.98,82936
2021-01-22,TEAM,235.53,236.67,230.88,235.44,51184
2021-01-25,TEAM,238.74,239.85,225.02,231.05,79152
2021-01-26,TEAM,230.22,230.63,222.19,223.85,120673
2021-01-27,TEAM,220.67,222.225,209.6,217.14,171485
2021-01-28,TEAM,216.94,233.66,216.695,227.32,376606
2021-01-29,TEAM,226.06,234.02,218.54,231.39,236693
2021-02-01,TEAM,231.81,238.3,229.32,234.94,128024
2021-02-02,TEAM,238.44,249.355,237.97,248.685,105004
2021-02-03,TEAM,247.71,248.24,240.235,244.1,59283
2021-02-04,TEAM,245.65,247.0,240.39,240.99,40129
2021-02-05,TEAM,240.02,244.18,240.02,243.815,61324
2021-02-08,TEAM,245.13,250.45,242.07,244.05,80082
2021-02-09,TEAM,244.3,248.22,244.25,248.22,153335
2021-02-10,TEAM,250.56,256.05,246.57,252.7,202481
2021-02-11,TEAM,255.0,255.88,251.58,252.46,43727
2021-02-12,TEAM,250.665,255.345,247.745,252.96,58433
2021-02-16,TEAM,253.75,254.99,245.165,248.84,93358
2021-02-17,TEAM,247.66,251.2,243.47,250.95,74784
2021-02-18,TEAM,245.455,258.575,245.15,256.61,84703
2021-02-19,TEAM,255.81,262.35,254.415,258.33,87833
2021-02-22,TEAM,251.09,254.05,241.05,241.05,84738
2021-02-23,TEAM,230.215,242.27,224.53,241.4,124158
2021-02-24,TEAM,240.0,240.63,233.45,240.01,79778
2021-02-25,TEAM,236.55,241.33,230.16,232.35,62985
2021-02-26,TEAM,233.925,239.605,230.94,237.42,119238
2021-03-01,TEAM,242.99,252.13,242.65,251.625,101463
2021-03-02,TEAM,253.0,254.01,243.98,244.39,79661
2021-03-03,TEAM,243.945,245.04,225.06,227.99,121581
