date,tic,open,high,low,close,volume
2021-01-04,TECH,77.61,78.02,76.3,77.18,32408
2021-01-05,TECH,77.18,78.4,77.18,77.58,50152
2021-01-06,TECH,78.35,81.45,77.76,81.17,56080
2021-01-07,TECH,81.69,82.88,81.69,82.12,49488
2021-01-08,TECH,83.12,83.66,80.01,80.61,58476
2021-01-11,TECH,80.89,82.02,80.89,81.94,26720
2021-01-12,TECH,82.27,82.47,81.37,81.81,29304
2021-01-13,TECH,82.27,82.27,80.5,80.89,35892
2021-01-14,TECH,81.96,84.16,81.96,82.58,71128
2021-01-15,TECH,83.55,85.46,82.58,85.05,91272
2021-01-19,TECH,86.1,86.31,84.44,86.05,83540
2021-01-20,TECH,86.88,88.32,86.67,87.28,52608
2021-01-21,TECH,86.31,87.5,85.98,87.04,50404
2021-01-22,TECH,87.42,87.49,86.97,87.47,29492
2021-01-25,TECH,88.39,88.39,86.14,86.28,34256
2021-01-26,TECH,86.13,86.13,83.37,83.42,27172
2021-01-27,TECH,82.03,82.03,77.79,77.94,73140
2021-01-28,TECH,77.67,79.51,77.67,78.82,43184
2021-01-29,TECH,79.44,80.55,78.9,79.61,44880
2021-02-01,TECH,81.22,83.64,81.22,83.55,45568
2021-02-02,TECH,87.87,97.05,87.87,92.11,176804
2021-02-03,TECH,92.48,92.48,88.74,90.22,87460
2021-02-04,TECH,91.07,94.23,90.92,94.13,76088
2021-02-05,TECH,95.11,95.13,92.46,93.18,44896
2021-02-08,TECH,94.18,95.74,93.79,95.47,85864
2021-02-09,TECH,95.76,96.79,94.41,95.42,41832
2021-02-10,TECH,96.72,96.77,94.81,95.79,32252
2021-02-11,TECH,95.9,96.96,95.14,96.96,40620
2021-02-12,TECH,96.99,99.38,96.99,97.69,84028
2021-02-16,TECH,98.34,101.7,98.34,100.57,86300
2021-02-17,TECH,99.99,100.27,99.17,99.7,93804
2021-02-18,TECH,98.82,99.34,97.2,97.41,58280
2021-02-19,TECH,98.25,98.25,95.29,95.74,49172
2021-02-22,TECH,95.12,95.12,92.23,92.23,48124
2021-02-23,TECH,91.62,92.82,90.64,92.49,58120
2021-02-24,TECH,92.33,93.06,91.29,91.81,60288
2021-02-25,TECH,91.94,92.01,89.48,89.5,36152
2021-02-26,TECH,89.76,90.29,87.99,88.6,56852
2021-03-01,TECH,89.69,91.2,89.69,91.2,96000
2021-03-02,TECH,91.93,92.21,90.86,91.8,70020
2021-03-03,TECH,90.95,90.95,88.63,88.64,59140
2021-03-04,TECH,88.36,88.88,84.91,85.24,65980
2021-03-05,TECH,85.59,87.5,83.32,87.23,42072
2021-03-08,TECH,87.27,88.89,84.88,84.9,30268
2021-03-09,TECH,87.97,89.59,87.07,89.19,87288
2021-03-10,TECH,89.88,90.52,88.25,89.0,73832
2021-03-11,TECH,90.83,95.33,90.39,95.13,175228
2021-03-12,TECH,92.75,94.35,91.34,94.35,99768
2021-03-15,TECH,96.5,98.72,96.04,97.21,51416
2021-03-16,TECH,98.81,99.0,94.46,95.02,42536
2021-03-17,TECH,93.54,94.4,92.74,93.42,57472
2021-03-18,TECH,95.05,95.05,91.58,91.76,75892
2021-03-19,TECH,92.37,92.83,91.11,91.82,93456
2021-03-22,TECH,93.09,94.75,92.18,94.28,26796
2021-03-23,TECH,92.85,93.56,91.52,92.35,60756
2021-03-24,TECH,93.56,93.56,90.21,90.47,37708
2021-03-25,TECH,90.55,92.48,89.07,92.38,78928
2021-03-26,TECH,92.92,95.57,91.96,95.07,51528
2021-03-29,TECH,93.56,93.56,88.08,89.82,99916
2021-03-30,TECH,90.3,91.91,89.34,91.51,120764
2021-03-31,TECH,92.81,94.65,92.81,93.57,138220
2021-04-01,TECH,94.32,95.53,94.27,94.83,82900
2021-04-05,TECH,95.94,97.18,95.83,97.0,40532
2021-04-06,TECH,98.11,99.15,97.67,97.81,73080
2021-04-07,TECH,97.83,98.33,95.94,97.17,47232
2021-04-08,TECH,98.31,99.97,97.3,99.33,138272
2021-04-09,TECH,99.47,100.65,98.71,100.24,54616
2021-04-12,TECH,99.06,99.57,98.17,98.76,122812
2021-04-13,TECH,99.14,102.93,99.14,102.81,85984
2021-04-14,TECH,102.25,103.2,100.82,101.53,85136
2021-04-15,TECH,102.39,102.68,101.4,101.72,60452
2021-04-16,TECH,101.8,102.75,101.1,102.67,60592
2021-04-19,TECH,101.9,102.52,100.31,101.43,41628
2021-04-20,TECH,101.71,102.12,100.47,100.85,55908
2021-04-21,TECH,100.55,103.99,100.55,103.99,68572
2021-04-22,TECH,103.47,105.48,103.28,103.99,55048
2021-04-23,TECH,104.07,106.45,102.82,105.98,36300
2021-04-26,TECH,106.71,108.97,106.56,108.05,54052
2021-04-27,TECH,108.33,108.38,106.56,108.22,35840
2021-04-28,TECH,107.89,108.8,106.93,107.09,42848
2021-04-29,TECH,106.63,107.79,105.48,106.04,45404
2021-04-30,TECH,106.24,106.77,104.34,104.82,39412
2021-05-03,TECH,105.86,106.09,103.52,104.55,75292
