date,tic,open,high,low,close,volume
2021-01-04,TEL,111.73,112.88,109.91,111.04,83372
2021-01-05,TEL,111.3,113.34,111.26,113.14,70558
2021-01-06,TEL,115.33,117.85,115.08,116.4,224646
2021-01-07,TEL,117.4,119.37,117.4,118.82,118305
2021-01-08,TEL,120.26,121.5,118.57,120.42,171499
2021-01-11,TEL,119.23,120.51,118.84,120.42,62620
2021-01-12,TEL,120.7,120.87,118.48,119.54,104930
2021-01-13,TEL,119.8,120.38,119.28,119.94,248937
2021-01-14,TEL,120.36,121.71,120.05,120.05,125288
2021-01-15,TEL,119.02,119.07,117.22,118.12,57107
2021-01-19,TEL,119.68,120.37,119.1,119.46,70564
2021-01-20,TEL,120.05,121.1,119.05,120.33,102582
2021-01-21,TEL,120.48,121.57,119.78,120.2,91222
2021-01-22,TEL,119.22,119.47,118.3,118.52,70518
2021-01-25,TEL,118.32,118.88,116.64,117.9,101959
2021-01-26,TEL,117.42,117.68,113.94,113.94,207804
2021-01-27,TEL,113.02,115.33,107.83,110.82,181332
2021-01-28,TEL,112.16,114.46,110.53,110.55,263542
2021-01-29,TEL,110.21,111.86,108.78,111.1,154577
2021-02-01,TEL,114.2,115.69,111.76,115.04,446824
2021-02-02,TEL,116.43,116.79,114.22,114.6,190743
2021-02-03,TEL,114.95,119.1,114.74,118.69,267523
2021-02-04,TEL,119.12,120.38,118.02,118.91,149394
2021-02-05,TEL,120.17,120.29,117.65,118.16,75555
2021-02-08,TEL,118.45,119.9,117.76,119.89,56081
2021-02-09,TEL,119.57,119.84,118.45,118.99,106017
2021-02-10,TEL,118.99,119.35,116.56,116.61,96103
2021-02-11,TEL,117.39,118.37,116.75,117.74,110225
2021-02-12,TEL,117.43,119.83,117.43,119.74,82840
2021-02-16,TEL,120.74,122.26,120.45,121.17,99708
2021-02-17,TEL,120.56,120.73,118.86,119.69,38619
2021-02-18,TEL,119.29,119.6,118.11,119.08,82827
2021-02-19,TEL,120.07,122.8,120.07,122.38,96416
2021-02-22,TEL,121.32,122.45,120.31,120.31,129474
2021-02-23,TEL,118.73,120.16,117.34,119.48,123748
2021-02-24,TEL,119.05,122.6,118.69,121.01,145877
2021-02-25,TEL,120.27,120.85,115.96,116.67,104088
2021-02-26,TEL,118.15,121.14,117.26,120.64,111139
2021-03-01,TEL,122.14,124.74,121.89,124.31,191746
