date,tic,open,high,low,close,volume
2021-01-04,TER,119.32,120.6,115.75,116.81,50539
2021-01-05,TER,116.55,119.05,116.51,119.0,35586
2021-01-06,TER,118.72,122.22,118.53,119.92,68298
2021-01-07,TER,122.13,128.11,122.13,127.31,87292
2021-01-08,TER,129.03,130.66,128.09,129.55,49006
2021-01-11,TER,129.01,133.63,128.37,132.99,60920
2021-01-12,TER,133.55,136.67,133.46,134.5,43454
2021-01-13,TER,134.27,134.55,132.71,133.37,100543
2021-01-14,TER,134.47,136.75,133.93,135.61,82411
2021-01-15,TER,135.07,135.8,132.26,134.58,60869
2021-01-19,TER,136.6,138.61,136.37,137.78,86468
2021-01-20,TER,140.01,140.01,135.14,135.91,91955
2021-01-21,TER,137.42,138.57,136.21,137.3,70421
2021-01-22,TER,136.75,137.47,134.6,135.27,49734
2021-01-25,TER,137.27,138.94,135.0,137.37,70299
2021-01-26,TER,137.88,138.07,135.3,135.3,65847
2021-01-27,TER,132.14,132.68,126.9,127.42,96868
2021-01-28,TER,120.04,120.52,117.32,117.33,273500
2021-01-29,TER,116.63,116.83,110.84,111.1,286973
2021-02-01,TER,114.22,115.49,111.77,115.14,178658
2021-02-02,TER,118.99,119.32,116.26,119.21,107294
2021-02-03,TER,120.74,121.49,117.64,118.28,102119
2021-02-04,TER,119.87,123.06,118.59,123.06,112256
2021-02-05,TER,125.06,125.43,122.38,123.58,76697
2021-02-08,TER,125.42,126.99,124.12,126.44,61754
2021-02-09,TER,126.21,126.92,124.27,125.76,59507
2021-02-10,TER,127.05,128.81,124.79,126.12,103881
2021-02-11,TER,126.93,132.66,126.93,132.49,98439
2021-02-12,TER,132.55,140.84,132.52,139.66,105055
2021-02-16,TER,141.87,144.92,139.96,140.76,129359
2021-02-17,TER,137.66,138.75,131.99,136.58,120198
2021-02-18,TER,133.35,135.05,131.89,133.76,74338
2021-02-19,TER,137.14,140.44,136.92,139.73,74467
2021-02-22,TER,136.68,137.15,129.35,129.89,100544
2021-02-23,TER,124.16,129.21,122.16,127.35,190631
2021-02-24,TER,126.31,131.71,123.77,131.7,109943
2021-02-25,TER,129.77,130.38,122.88,123.23,82778
2021-02-26,TER,124.3,127.28,121.96,126.24,103617
2021-03-01,TER,128.92,131.7,127.99,131.46,92356
2021-03-02,TER,131.3,131.3,124.32,124.36,71264
2021-03-03,TER,124.85,125.94,119.11,119.11,99270
2021-03-04,TER,118.66,119.04,109.15,111.8,157771
2021-03-05,TER,114.6,114.6,104.44,111.7,190244
2021-03-08,TER,110.15,111.46,102.1,102.1,233268
2021-03-09,TER,107.09,112.51,106.94,111.31,167311
2021-03-10,TER,114.19,114.19,106.13,106.72,140518
2021-03-11,TER,109.25,112.5,109.22,111.68,141368
2021-03-12,TER,109.01,111.3,108.04,110.61,84463
2021-03-15,TER,111.35,116.08,111.25,115.5,110575
2021-03-16,TER,117.23,117.63,113.89,115.0,186518
2021-03-17,TER,112.4,116.44,111.44,115.3,89063
2021-03-18,TER,112.91,113.76,110.03,110.05,128325
2021-03-19,TER,111.69,113.75,109.18,112.76,100560
2021-03-22,TER,115.47,116.16,112.94,114.75,77511
2021-03-23,TER,114.75,115.91,109.73,110.83,137898
2021-03-24,TER,114.61,115.32,109.78,109.79,131361
2021-03-25,TER,107.67,109.93,105.9,109.64,64598
2021-03-26,TER,110.73,116.84,110.56,116.84,119014
2021-03-29,TER,115.66,115.68,110.2,111.63,119827
2021-03-30,TER,111.39,114.31,111.03,113.51,53875
