date,tic,open,high,low,close,volume
2021-01-04,TGT,153.58,154.8,151.42,154.48,177159
2021-01-05,TGT,153.74,158.16,153.42,156.89,148375
2021-01-06,TGT,156.78,164.7,156.63,164.21,253132
2021-01-07,TGT,164.59,167.21,164.47,166.21,237166
2021-01-08,TGT,166.71,168.55,165.95,168.38,162190
2021-01-11,TGT,168.04,172.5,168.04,169.71,227106
2021-01-12,TGT,170.33,173.26,170.14,173.09,243478
2021-01-13,TGT,172.69,173.84,169.94,171.12,156166
2021-01-14,TGT,171.2,173.33,171.2,172.15,191295
2021-01-15,TGT,171.71,172.83,168.72,169.42,197589
2021-01-19,TGT,169.21,169.32,162.77,163.62,221938
2021-01-20,TGT,163.89,163.89,160.53,163.83,214125
2021-01-21,TGT,165.46,168.74,164.59,166.29,174027
2021-01-22,TGT,165.89,167.21,164.74,166.76,125672
2021-01-25,TGT,166.82,167.76,164.53,165.25,157608
2021-01-26,TGT,165.5,165.5,162.4,163.08,163332
2021-01-27,TGT,162.85,163.08,153.78,154.88,331905
2021-01-28,TGT,154.55,161.2,154.55,159.5,228096
2021-01-29,TGT,158.67,159.54,156.79,157.48,175018
2021-02-01,TGT,158.42,160.78,156.29,159.69,157336
2021-02-02,TGT,161.37,164.33,161.11,161.31,128195
2021-02-03,TGT,161.11,162.34,159.76,161.03,109383
2021-02-04,TGT,161.69,164.05,160.9,163.98,106202
2021-02-05,TGT,164.63,165.38,163.35,164.27,117523
2021-02-08,TGT,166.59,168.94,165.77,168.66,166984
2021-02-09,TGT,168.81,170.59,168.57,168.92,121243
2021-02-10,TGT,168.42,169.02,165.38,167.39,119616
2021-02-11,TGT,167.12,167.94,165.52,165.53,107014
2021-02-12,TGT,166.43,166.73,165.36,166.42,133386
2021-02-16,TGT,167.08,167.99,165.98,166.16,129656
2021-02-17,TGT,165.43,169.43,165.09,168.89,110816
2021-02-18,TGT,164.25,167.12,164.07,167.03,129304
2021-02-19,TGT,167.75,167.75,164.38,164.7,113603
2021-02-22,TGT,164.37,166.1,163.7,164.84,87225
2021-02-23,TGT,164.14,164.52,160.67,162.57,140695
2021-02-24,TGT,162.28,163.79,160.82,163.28,142756
2021-02-25,TGT,164.44,165.95,161.17,161.52,168266
2021-02-26,TGT,162.48,162.95,158.98,160.2,145659
2021-03-01,TGT,162.16,163.54,161.34,162.33,170266
2021-03-02,TGT,163.77,168.83,150.24,151.36,767415
2021-03-03,TGT,152.59,154.3,150.66,151.49,391152
2021-03-04,TGT,150.4,152.27,145.61,148.16,329088
2021-03-05,TGT,148.46,152.59,145.88,150.6,243524
2021-03-08,TGT,152.69,155.69,151.63,154.43,204187
2021-03-09,TGT,155.81,157.67,154.7,156.4,161619
2021-03-10,TGT,156.9,158.47,155.41,155.81,179614
2021-03-11,TGT,156.36,157.11,154.84,156.42,178672
2021-03-12,TGT,156.6,157.34,155.81,157.06,98107
2021-03-15,TGT,157.2,158.56,155.87,158.09,133811
2021-03-16,TGT,157.48,157.5,155.43,157.23,182307
2021-03-17,TGT,156.62,156.68,155.25,155.6,97486
2021-03-18,TGT,154.26,158.05,154.22,156.62,152750
2021-03-19,TGT,157.09,164.29,156.82,163.66,219886
2021-03-22,TGT,163.52,166.07,163.07,164.05,148155
2021-03-23,TGT,164.03,166.34,163.68,164.86,132493
2021-03-24,TGT,164.81,165.28,163.59,164.3,119651
2021-03-25,TGT,164.11,168.64,164.11,168.29,181467
2021-03-26,TGT,169.65,175.57,169.36,175.44,367219
2021-03-29,TGT,175.0,176.2,172.37,172.78,142612
2021-03-30,TGT,172.97,175.65,172.97,174.2,126235
2021-03-31,TGT,174.85,175.65,172.78,172.78,162503
2021-04-01,TGT,173.15,175.79,171.48,175.07,127092
2021-04-05,TGT,176.45,179.55,176.27,179.14,107156
2021-04-06,TGT,177.3,180.86,177.3,179.19,106622
2021-04-07,TGT,179.22,179.69,178.16,178.27,106346
2021-04-08,TGT,178.39,178.49,176.67,177.49,148428
2021-04-09,TGT,177.99,179.41,177.64,179.35,134103
2021-04-12,TGT,179.14,180.03,177.56,178.97,129336
2021-04-13,TGT,178.89,179.71,177.84,178.76,78031
2021-04-14,TGT,177.95,179.72,177.19,179.35,116818
2021-04-15,TGT,179.66,179.83,177.65,179.5,131743
2021-04-16,TGT,179.74,182.74,179.72,181.94,133783
2021-04-20,TGT,182.13,182.66,180.17,180.83,78601
2021-04-21,TGT,181.33,181.69,180.09,180.31,106003
2021-04-22,TGT,180.86,181.17,177.73,179.46,117663
2021-04-23,TGT,179.23,180.42,177.98,179.81,88714
2021-04-26,TGT,179.6,179.6,177.01,177.61,82801
2021-04-27,TGT,177.88,179.08,177.39,178.33,129111
2021-04-28,TGT,178.01,179.05,177.52,178.33,80506
2021-04-29,TGT,179.77,181.81,179.62,180.9,91066
2021-04-30,TGT,180.09,181.57,179.84,180.68,65185
2021-05-03,TGT,182.33,185.63,182.33,184.35,89403
2021-05-04,TGT,183.19,184.76,182.79,184.76,83662
2021-05-05,TGT,185.48,186.4,184.76,185.28,104207
2021-05-06,TGT,186.5,186.64,184.96,185.9,103335
2021-05-07,TGT,186.08,187.83,185.78,187.32,114455
2021-05-10,TGT,188.17,189.68,186.5,186.61,159799
2021-05-11,TGT,185.14,185.23,180.62,182.48,162502
2021-05-12,TGT,182.08,182.08,176.95,177.08,156098
2021-05-13,TGT,178.02,183.34,178.02,182.1,177209
2021-05-14,TGT,183.03,185.12,182.83,184.44,144360
2021-05-17,TGT,185.48,186.31,182.71,183.13,97844
2021-05-18,TGT,184.83,185.28,180.67,180.68,215293
2021-05-19,TGT,184.13,191.89,184.04,191.76,505804
2021-05-20,TGT,191.01,194.96,190.05,194.78,264628
2021-05-21,TGT,194.63,198.74,194.42,197.02,157865
2021-05-24,TGT,198.12,199.99,197.3,197.3,94079
2021-05-25,TGT,197.68,198.74,195.47,197.24,126563
2021-05-26,TGT,197.96,199.49,197.9,198.85,117740
2021-05-27,TGT,199.44,200.25,197.88,198.7,133215
2021-05-28,TGT,199.64,199.89,198.13,198.77,74435
2021-06-01,TGT,199.17,200.26,197.92,198.91,117199
2021-06-02,TGT,198.43,200.58,198.07,199.93,91969
2021-06-03,TGT,199.92,201.51,198.83,200.64,85670
2021-06-04,TGT,201.6,202.74,200.21,202.5,96475
2021-06-07,TGT,202.88,203.67,201.72,202.16,57030
2021-06-08,TGT,204.64,206.88,203.63,205.75,101395
2021-06-09,TGT,205.31,207.21,203.03,203.09,137170
2021-06-10,TGT,202.64,204.44,202.57,202.8,174976
2021-06-11,TGT,203.12,203.92,203.01,203.91,88250
2021-06-14,TGT,204.27,204.39,202.72,204.01,89105
2021-06-15,TGT,203.97,203.97,202.01,203.58,115944
2021-06-16,TGT,203.75,203.89,201.16,202.39,101097
2021-06-17,TGT,201.83,203.9,201.27,202.39,138543
2021-06-18,TGT,201.66,202.47,199.61,201.7,127429
2021-06-21,TGT,202.7,204.88,202.7,204.65,81714
2021-06-22,TGT,205.27,208.2,204.85,207.73,91193
2021-06-23,TGT,207.63,208.29,206.47,207.79,71281
2021-06-24,TGT,209.53,209.95,208.65,209.9,78047
2021-06-25,TGT,210.27,211.57,209.93,210.67,88884
2021-06-28,TGT,210.88,212.02,210.08,211.11,61263
2021-06-29,TGT,211.3,213.12,211.3,211.7,94322
2021-06-30,TGT,212.05,212.68,210.85,211.63,106488
2021-07-01,TGT,211.8,213.13,211.14,213.12,88053
2021-07-02,TGT,214.1,216.13,214.05,215.76,51097
2021-07-06,TGT,216.0,216.49,212.75,214.89,59576
2021-07-07,TGT,215.04,217.35,215.04,216.63,46305
2021-07-08,TGT,215.01,217.92,214.57,217.54,71182
2021-07-09,TGT,217.75,219.43,216.64,217.59,83800
2021-07-12,TGT,218.49,220.99,218.1,220.83,95635
2021-07-13,TGT,219.63,221.7,219.63,220.17,52654
2021-07-14,TGT,221.22,222.27,220.35,222.12,56211
2021-07-15,TGT,221.99,222.6,220.62,221.29,96261
2021-07-16,TGT,221.89,222.34,219.75,219.85,113862
2021-07-19,TGT,218.37,220.3,217.61,219.74,125718
2021-07-20,TGT,219.56,224.42,218.89,222.98,71405
2021-07-21,TGT,223.53,224.36,222.63,224.15,65186
2021-07-22,TGT,224.89,225.28,223.25,224.94,57846
2021-07-23,TGT,225.97,228.57,225.64,228.46,63523
2021-07-26,TGT,228.96,229.53,226.8,228.35,74242
2021-07-27,TGT,227.44,227.44,223.85,226.21,64410
2021-07-28,TGT,225.11,226.59,224.45,225.33,87647
2021-07-29,TGT,225.97,229.16,225.42,229.14,63880
2021-07-30,TGT,228.43,230.63,228.1,228.52,110418
2021-08-02,TGT,229.41,229.41,223.11,225.19,95475
2021-08-03,TGT,226.08,230.46,225.83,229.45,75085
2021-08-04,TGT,229.51,229.96,227.83,228.08,100341
2021-08-05,TGT,229.44,229.71,227.62,228.81,78835
2021-08-06,TGT,229.4,230.01,227.11,227.68,83063
2021-08-09,TGT,227.91,230.03,227.68,229.69,48935
2021-08-10,TGT,230.22,232.58,229.4,231.16,91510
2021-08-11,TGT,231.26,233.74,229.78,230.24,105555
2021-08-12,TGT,231.19,231.59,228.6,229.24,88854
2021-08-13,TGT,229.6,230.79,228.14,228.89,183688
2021-08-16,TGT,227.87,230.66,224.91,230.35,133699
2021-08-17,TGT,227.86,228.07,221.43,223.79,190301
2021-08-18,TGT,218.63,224.49,216.42,217.42,290325
2021-08-19,TGT,215.73,219.18,215.24,215.55,199254
2021-08-20,TGT,216.7,223.07,216.68,222.63,142228
2021-08-23,TGT,223.14,223.98,221.76,221.83,67338
2021-08-24,TGT,221.9,221.9,219.95,220.18,130544
2021-08-25,TGT,219.63,221.6,219.29,220.66,66626
2021-08-26,TGT,219.83,219.99,217.26,218.72,182954
2021-08-27,TGT,218.45,219.94,217.8,218.87,63587
2021-08-30,TGT,219.0,220.83,218.95,219.1,44160
2021-08-31,TGT,219.09,219.09,215.61,217.09,73785
2021-09-01,TGT,216.81,217.41,214.64,216.37,83078
2021-09-02,TGT,216.67,216.71,215.38,215.91,90920
2021-09-03,TGT,215.36,215.36,213.47,214.57,97573
2021-09-07,TGT,214.13,214.82,212.28,213.21,103962
2021-09-08,TGT,213.09,216.2,213.09,216.18,113657
2021-09-09,TGT,215.81,217.13,214.91,215.58,87490
2021-09-10,TGT,217.06,217.55,214.55,214.78,52104
2021-09-13,TGT,215.87,216.24,212.27,213.64,83640
2021-09-14,TGT,214.14,214.71,212.45,212.86,94187
2021-09-15,TGT,212.92,215.07,212.42,214.48,73847
2021-09-16,TGT,215.58,217.37,215.17,216.96,109948
2021-09-17,TGT,216.06,218.22,216.06,216.77,103043
2021-09-20,TGT,213.98,216.24,210.53,212.75,97948
2021-09-21,TGT,213.33,215.18,212.07,212.07,63869
2021-09-22,TGT,212.95,213.8,210.84,212.36,66371
2021-09-23,TGT,213.95,215.26,213.0,213.2,57534
2021-09-24,TGT,212.08,213.23,211.29,212.07,65437
2021-09-27,TGT,211.22,212.85,209.02,209.54,75485
2021-09-28,TGT,208.27,208.42,204.61,205.03,99586
2021-09-29,TGT,206.0,208.68,205.4,207.18,96802
2021-09-30,TGT,207.04,207.04,200.87,200.87,197866
2021-10-01,TGT,201.37,201.52,196.74,200.51,161796
2021-10-04,TGT,200.3,201.06,195.81,198.34,109358
2021-10-05,TGT,199.57,201.58,198.48,199.86,51739
2021-10-06,TGT,199.12,199.81,197.56,199.22,65744
2021-10-07,TGT,201.57,203.23,201.41,201.89,86658
2021-10-08,TGT,203.07,203.25,200.58,201.1,69989
2021-10-11,TGT,200.79,203.1,200.79,200.96,104702
2021-10-12,TGT,202.05,203.23,200.74,202.3,68931
2021-10-13,TGT,204.11,207.95,202.56,207.95,182839
2021-10-14,TGT,209.68,214.08,207.62,212.72,221963
2021-10-15,TGT,214.17,217.26,212.79,215.86,150474
2021-10-18,TGT,215.06,222.86,215.06,222.86,236985
2021-10-19,TGT,223.57,225.55,221.22,221.6,79665
2021-10-20,TGT,222.73,223.79,220.8,221.18,70216
2021-10-21,TGT,221.41,223.27,220.86,223.25,60778
2021-10-22,TGT,224.44,226.07,223.69,224.87,84584
2021-10-26,TGT,229.31,229.47,226.35,227.33,71553
2021-10-27,TGT,227.61,227.87,224.71,225.39,66045
2021-10-28,TGT,226.69,228.33,226.26,226.83,50021
2021-10-29,TGT,225.75,228.17,225.47,227.96,50745
2021-11-01,TGT,229.49,229.82,226.23,226.63,60269
2021-11-02,TGT,227.64,229.44,227.37,228.6,60899
2021-11-03,TGT,227.67,228.97,225.8,228.86,83701
2021-11-04,TGT,229.19,230.56,227.99,228.78,94299
2021-11-05,TGT,229.29,229.29,222.12,223.44,150119
2021-11-08,TGT,222.5,224.63,221.43,222.54,64794
2021-11-09,TGT,222.05,224.29,221.88,224.14,57826
2021-11-10,TGT,223.24,224.69,222.38,223.29,43272
2021-11-11,TGT,223.35,225.39,222.87,224.88,92035
2021-11-12,TGT,226.02,229.97,225.61,228.35,129361
2021-11-15,TGT,230.7,236.1,229.73,232.23,142703
2021-11-16,TGT,231.86,235.77,231.73,234.81,128489
