date,tic,open,high,low,close,volume
2021-01-04,TJX,63.44,63.44,61.75,62.01,197108
2021-01-05,TJX,61.82,62.07,61.45,61.95,281115
2021-01-06,TJX,62.44,65.3,62.44,64.65,287964
2021-01-07,TJX,65.0,65.41,64.68,64.93,203095
2021-01-08,TJX,65.1,65.89,64.55,65.2,299559
2021-01-11,TJX,64.59,64.83,63.3,63.49,224085
2021-01-12,TJX,63.07,64.12,62.73,63.52,220267
2021-01-13,TJX,63.4,63.69,62.62,63.26,185430
2021-01-14,TJX,63.38,63.96,63.07,63.15,139303
2021-01-15,TJX,62.81,63.67,62.25,63.58,247526
2021-01-19,TJX,63.57,63.95,62.33,62.39,213228
2021-01-20,TJX,62.65,63.81,62.56,63.41,247286
2021-01-21,TJX,63.49,63.85,63.14,63.21,141019
2021-01-22,TJX,63.25,63.25,62.11,62.11,192037
2021-01-25,TJX,62.05,62.05,59.87,60.96,321371
2021-01-26,TJX,60.93,61.01,59.82,59.87,215467
2021-01-27,TJX,58.94,60.18,57.81,59.36,792625
2021-01-28,TJX,60.12,61.57,59.65,60.78,425729
2021-01-29,TJX,60.65,61.32,59.23,59.41,261599
2021-02-01,TJX,59.85,59.91,58.89,59.48,236250
2021-02-02,TJX,59.97,61.69,59.88,61.14,386914
2021-02-03,TJX,61.08,62.34,60.91,61.95,451991
2021-02-04,TJX,62.18,64.82,61.76,63.72,446788
2021-02-05,TJX,64.24,64.7,63.29,63.46,134963
2021-02-08,TJX,63.53,65.0,63.25,64.99,188983
2021-02-09,TJX,64.84,64.94,64.06,64.06,228250
2021-02-10,TJX,64.22,64.45,63.67,63.88,284138
2021-02-11,TJX,63.95,65.46,63.71,64.35,327024
2021-02-12,TJX,63.88,64.13,63.13,63.4,244853
2021-02-16,TJX,63.22,63.45,62.7,62.9,335868
2021-02-17,TJX,62.51,62.58,61.61,62.26,241489
2021-02-18,TJX,62.34,64.08,62.0,63.67,568010
2021-02-19,TJX,63.97,63.97,62.85,63.07,218487
2021-02-22,TJX,62.86,65.3,62.86,64.78,881313
2021-02-23,TJX,65.49,66.22,64.49,65.51,1198804
2021-02-24,TJX,64.91,66.02,64.24,65.08,1383942
2021-02-25,TJX,63.44,64.45,61.71,63.14,776218
2021-02-26,TJX,63.58,63.58,60.96,61.61,519838
2021-03-01,TJX,62.29,63.23,62.17,62.71,380677
2021-03-02,TJX,62.66,63.04,61.33,61.7,429151
2021-03-03,TJX,61.25,61.25,59.23,59.36,1199631
2021-03-04,TJX,59.78,60.07,57.01,58.27,540686
2021-03-05,TJX,58.87,58.87,57.2,58.53,345381
2021-03-08,TJX,59.31,61.37,58.98,60.74,639367
2021-03-09,TJX,61.43,62.47,60.52,61.58,426988
2021-03-10,TJX,61.12,61.85,60.12,61.17,485882
2021-03-11,TJX,61.42,62.17,61.3,61.6,213011
2021-03-12,TJX,61.88,62.73,61.79,62.26,309169
2021-03-15,TJX,62.39,63.43,61.88,63.42,250687
2021-03-16,TJX,63.2,63.2,61.92,62.15,250671
2021-03-17,TJX,62.22,63.21,62.15,62.74,196560
2021-03-18,TJX,62.73,63.22,61.8,61.98,260809
2021-03-19,TJX,61.45,62.58,60.77,62.07,809357
2021-03-22,TJX,62.38,62.71,61.41,61.98,295394
2021-03-23,TJX,61.73,61.8,59.89,60.11,321724
2021-03-24,TJX,60.32,61.03,59.97,59.97,372833
2021-03-25,TJX,59.58,60.84,59.11,60.65,218445
2021-03-26,TJX,61.11,61.84,60.7,61.57,350789
2021-03-29,TJX,61.6,62.15,60.65,61.05,363214
2021-03-30,TJX,60.84,62.17,60.64,62.03,358182
2021-03-31,TJX,62.1,62.92,61.64,61.66,291436
2021-04-01,TJX,62.14,62.5,61.12,61.51,204531
2021-04-05,TJX,61.97,63.31,61.88,63.18,236525
2021-04-06,TJX,63.08,63.69,62.88,63.04,192322
2021-04-07,TJX,63.0,63.65,63.0,63.16,131287
2021-04-08,TJX,63.46,64.43,63.11,64.34,278834
2021-04-09,TJX,64.48,64.75,63.65,64.73,190264
2021-04-12,TJX,64.64,64.95,63.91,64.8,161468
2021-04-13,TJX,64.49,64.49,63.33,63.83,113431
2021-04-14,TJX,64.01,64.56,63.81,63.94,125636
2021-04-15,TJX,64.49,65.17,64.42,64.54,202113
2021-04-16,TJX,64.91,65.32,64.63,65.22,249027
2021-04-20,TJX,63.95,63.96,62.51,63.18,177060
2021-04-21,TJX,63.34,64.22,63.06,63.8,245456
2021-04-22,TJX,63.96,65.07,63.81,64.48,207898
2021-04-23,TJX,64.56,65.88,64.25,65.63,237035
2021-04-26,TJX,65.81,66.1,64.38,64.58,148889
2021-04-27,TJX,64.59,65.42,64.5,65.05,125669
2021-04-28,TJX,65.0,65.54,64.72,65.19,105064
2021-04-29,TJX,65.64,66.61,65.4,66.56,160974
2021-04-30,TJX,66.48,66.97,65.77,66.18,160431
2021-05-03,TJX,66.54,67.56,66.54,67.17,182047
2021-05-04,TJX,66.71,66.71,65.57,65.99,215271
2021-05-05,TJX,66.34,66.53,65.75,66.18,150164
2021-05-06,TJX,66.52,67.21,66.41,66.92,283487
2021-05-07,TJX,66.75,68.98,66.54,68.79,297999
2021-05-10,TJX,69.17,69.54,68.01,68.01,267303
2021-05-11,TJX,67.37,67.4,65.95,67.11,248476
2021-05-12,TJX,66.78,66.94,65.03,65.06,265107
2021-05-13,TJX,65.38,66.89,65.35,66.32,180719
2021-05-14,TJX,66.76,68.15,66.7,67.82,269409
2021-05-17,TJX,67.31,67.72,66.74,67.31,348451
2021-05-18,TJX,67.62,68.1,66.39,66.52,281826
2021-05-19,TJX,65.03,65.26,62.16,63.06,750421
2021-05-20,TJX,63.63,64.32,62.56,63.02,451326
2021-05-21,TJX,63.6,63.94,62.5,62.73,353828
2021-05-24,TJX,63.06,63.15,62.06,62.08,327648
2021-05-25,TJX,62.5,63.2,62.25,62.96,342761
2021-05-26,TJX,63.02,63.51,62.85,63.46,236868
2021-05-27,TJX,63.6,63.63,62.88,62.91,184284
2021-05-28,TJX,63.32,63.83,62.89,63.2,331203
2021-06-01,TJX,63.88,64.06,62.31,62.85,221771
2021-06-02,TJX,62.82,62.84,61.66,61.71,212098
2021-06-03,TJX,61.63,61.91,60.61,61.61,163083
2021-06-04,TJX,61.82,61.82,60.85,61.4,230936
2021-06-07,TJX,61.4,61.65,60.88,61.1,257226
2021-06-08,TJX,61.41,61.88,61.14,61.47,186736
2021-06-09,TJX,61.6,61.6,60.82,60.85,129606
2021-06-10,TJX,60.82,61.18,60.44,60.6,241291
2021-06-11,TJX,60.71,61.61,60.69,61.52,266683
2021-06-14,TJX,61.44,61.85,60.78,60.95,182142
2021-06-15,TJX,60.99,61.26,60.61,61.2,218305
2021-06-16,TJX,61.74,61.83,60.66,60.98,258143
2021-06-17,TJX,60.92,60.92,59.72,60.55,313599
2021-06-18,TJX,59.93,60.22,59.19,59.27,358315
2021-06-21,TJX,59.76,60.8,59.69,60.73,292961
2021-06-22,TJX,60.78,61.8,60.54,61.69,209469
2021-06-23,TJX,61.45,62.09,61.43,61.61,257859
2021-06-24,TJX,62.06,62.74,61.8,62.64,281644
2021-06-25,TJX,62.8,63.42,62.75,63.19,203368
2021-06-28,TJX,63.08,63.08,61.81,62.23,325031
2021-06-29,TJX,62.45,62.84,62.33,62.39,129880
2021-06-30,TJX,62.35,63.21,62.35,63.08,114050
2021-07-01,TJX,63.15,63.71,63.11,63.49,150364
2021-07-02,TJX,63.56,63.96,63.5,63.86,94636
2021-07-06,TJX,63.99,64.04,62.87,63.75,193253
2021-07-07,TJX,63.75,64.15,63.09,63.29,224804
2021-07-08,TJX,62.13,62.85,61.45,62.56,268667
2021-07-09,TJX,63.16,64.05,63.16,63.96,236473
2021-07-12,TJX,63.52,63.92,63.1,63.83,119007
2021-07-13,TJX,63.51,63.87,63.15,63.34,99441
2021-07-14,TJX,63.95,64.75,63.61,64.23,276245
2021-07-15,TJX,63.99,63.99,63.41,63.67,126566
2021-07-16,TJX,64.08,64.15,62.87,63.06,305770
2021-07-19,TJX,61.99,62.01,60.47,60.78,370223
2021-07-20,TJX,60.73,62.55,60.34,62.2,188134
2021-07-21,TJX,62.56,63.52,62.5,63.1,108038
2021-07-22,TJX,63.14,63.14,62.49,62.93,124797
2021-07-23,TJX,63.39,64.0,63.02,63.81,114204
2021-07-26,TJX,63.72,64.45,63.56,64.31,167467
2021-07-27,TJX,64.06,64.52,63.68,64.0,75549
2021-07-28,TJX,64.1,64.32,63.34,63.54,135124
2021-07-29,TJX,63.96,64.8,63.89,64.41,128882
2021-07-30,TJX,64.06,65.28,64.05,64.35,68382
2021-08-02,TJX,64.67,64.68,63.4,63.55,202701
2021-08-03,TJX,63.97,64.54,63.03,64.54,93528
2021-08-04,TJX,64.27,64.38,62.92,62.93,295072
2021-08-05,TJX,63.1,64.22,62.96,64.16,152201
2021-08-06,TJX,64.63,65.11,64.41,64.87,121962
2021-08-09,TJX,64.62,64.85,64.03,64.47,89205
2021-08-10,TJX,64.78,67.21,64.75,66.84,269141
2021-08-11,TJX,67.13,67.37,66.58,67.34,109911
2021-08-12,TJX,67.44,67.55,66.49,67.18,165418
2021-08-13,TJX,67.1,67.12,66.0,66.18,208791
2021-08-16,TJX,66.05,66.1,65.11,66.02,164083
2021-08-17,TJX,65.51,65.62,64.3,64.96,264373
2021-08-18,TJX,64.49,69.17,63.92,68.54,839737
2021-08-19,TJX,67.15,69.31,67.15,69.14,428161
2021-08-20,TJX,68.65,69.86,68.22,69.53,354332
2021-08-23,TJX,69.79,71.45,69.79,70.55,401929
2021-08-24,TJX,70.78,71.51,70.54,70.71,448208
2021-08-25,TJX,70.47,71.42,70.22,71.2,182666
2021-08-26,TJX,70.31,70.31,68.92,69.33,144452
2021-08-27,TJX,69.45,69.8,68.93,69.16,196044
2021-08-30,TJX,69.32,69.32,68.26,68.35,162338
2021-08-31,TJX,68.07,68.46,67.65,68.29,239544
2021-09-01,TJX,68.69,68.8,67.58,67.68,165524
2021-09-02,TJX,67.69,68.11,67.32,67.47,165207
2021-09-03,TJX,67.03,67.36,66.64,66.74,178102
2021-09-07,TJX,66.46,66.5,65.33,65.59,220741
2021-09-08,TJX,65.66,65.74,64.85,65.54,199486
2021-09-09,TJX,65.57,66.16,65.17,65.21,236701
2021-09-10,TJX,65.74,65.8,64.63,64.69,237302
2021-09-13,TJX,65.15,65.2,64.12,64.51,118961
2021-09-14,TJX,65.02,65.45,64.49,65.22,286308
2021-09-15,TJX,64.94,65.63,64.7,65.22,132426
2021-09-16,TJX,65.43,66.44,65.37,66.19,178848
2021-09-17,TJX,65.91,66.75,65.91,66.12,222629
2021-09-20,TJX,65.11,65.77,64.31,64.9,148789
2021-09-21,TJX,65.42,66.09,65.08,65.08,247927
2021-09-22,TJX,65.48,65.9,65.16,65.31,149680
2021-09-23,TJX,66.07,67.53,65.98,66.39,161194
2021-09-24,TJX,66.09,67.0,66.02,66.76,141105
2021-09-27,TJX,67.12,68.18,66.76,66.79,232137
2021-09-28,TJX,66.38,66.64,65.25,65.8,269872
2021-09-29,TJX,66.36,66.63,65.57,65.62,129277
2021-09-30,TJX,64.85,65.12,61.92,61.93,433578
2021-10-01,TJX,62.23,62.97,61.52,62.51,219731
2021-10-04,TJX,62.58,62.85,61.65,61.83,275928
2021-10-05,TJX,61.99,62.25,60.88,61.14,248862
2021-10-06,TJX,60.59,61.05,59.66,60.39,310187
2021-10-07,TJX,61.13,62.23,60.99,61.01,267909
2021-10-08,TJX,61.16,61.31,60.71,60.79,176524
2021-10-11,TJX,60.74,60.79,59.12,59.16,362100
2021-10-12,TJX,59.45,59.69,59.01,59.12,208753
2021-10-13,TJX,60.01,60.24,59.49,59.62,175902
2021-10-14,TJX,58.93,60.62,58.93,60.22,291210
2021-10-15,TJX,60.71,60.88,60.34,60.42,257502
2021-10-18,TJX,60.12,60.83,59.84,60.69,127852
2021-10-19,TJX,60.79,60.79,59.6,60.0,224546
2021-10-20,TJX,60.2,61.04,59.8,59.93,147628
2021-10-21,TJX,60.16,60.76,60.12,60.74,112996
2021-10-22,TJX,60.7,60.74,59.69,60.24,112254
2021-10-26,TJX,61.67,62.09,61.32,61.34,165926
2021-10-27,TJX,61.42,61.42,60.33,60.62,95006
2021-10-28,TJX,60.99,61.39,60.82,61.21,135364
2021-10-29,TJX,60.95,61.95,60.79,61.47,200735
2021-11-01,TJX,61.69,62.94,61.65,62.61,499498
2021-11-02,TJX,62.67,63.73,62.24,63.22,319107
2021-11-03,TJX,63.24,64.52,62.98,64.25,296288
2021-11-04,TJX,64.51,65.69,64.24,65.47,346097
2021-11-05,TJX,66.57,67.49,66.57,66.87,257829
2021-11-08,TJX,66.65,66.89,65.32,65.62,156679
2021-11-09,TJX,65.72,66.22,65.29,65.67,124443
2021-11-10,TJX,65.76,66.44,64.98,64.98,178609
2021-11-11,TJX,65.11,65.48,64.2,64.28,228077
2021-11-12,TJX,64.78,65.06,64.28,64.88,217080
2021-11-15,TJX,65.22,66.41,65.18,65.34,253729
2021-11-16,TJX,65.47,66.27,64.43,65.55,252827
2021-11-17,TJX,71.53,72.37,69.05,69.32,893259
2021-11-18,TJX,69.37,69.43,67.66,68.89,398376
2021-11-19,TJX,68.6,68.6,66.15,66.93,253611
2021-11-22,TJX,67.55,67.75,65.28,65.85,212122
2021-11-23,TJX,65.39,67.13,65.05,66.87,253132
2021-11-24,TJX,65.94,67.43,65.7,67.38,191344
2021-11-26,TJX,65.98,66.39,65.09,65.39,200024
2021-11-29,TJX,67.99,68.08,66.21,66.58,264658
2021-11-30,TJX,66.2,66.31,64.54,65.42,277204
2021-12-01,TJX,66.88,67.56,64.06,64.06,288771
2021-12-02,TJX,64.39,66.43,64.39,66.22,183418
2021-12-03,TJX,66.44,66.8,65.78,66.6,303815
2021-12-06,TJX,67.26,69.26,67.26,68.46,498989
2021-12-07,TJX,68.63,70.33,68.24,69.87,274367
2021-12-08,TJX,70.01,70.45,69.62,70.05,269253
2021-12-09,TJX,69.8,70.38,69.7,69.77,168744
2021-12-10,TJX,70.07,70.52,69.73,70.42,128136
2021-12-13,TJX,70.37,70.43,68.68,68.91,231679
2021-12-14,TJX,68.51,69.44,68.46,68.76,208364
2021-12-15,TJX,68.64,68.98,67.26,68.84,145509
2021-12-16,TJX,70.14,70.38,69.23,69.23,314711
2021-12-17,TJX,69.08,70.28,68.18,69.83,322249
2021-12-20,TJX,68.93,68.93,67.23,68.31,303626
2021-12-21,TJX,68.81,70.14,68.81,69.87,263947
2021-12-22,TJX,69.88,70.12,69.31,69.73,213369
2021-12-23,TJX,69.98,70.09,69.27,69.5,143349
2021-12-27,TJX,69.73,70.22,69.54,70.03,93949
2021-12-28,TJX,70.06,70.95,70.06,70.47,92250
2021-12-29,TJX,70.52,71.52,70.52,71.13,121015
2021-12-30,TJX,71.22,71.72,71.15,71.18,81923
2021-12-31,TJX,71.2,71.93,71.05,71.56,81363
2022-01-03,TJX,71.38,72.16,71.17,71.17,105695
2022-01-04,TJX,71.47,72.9,71.47,72.29,197518
2022-01-05,TJX,72.46,72.87,70.79,70.8,285501
2022-01-06,TJX,71.01,71.6,70.53,71.13,153310
2022-01-07,TJX,70.68,71.04,69.93,70.09,232400
2022-01-10,TJX,69.57,69.57,66.11,68.3,498261
2022-01-11,TJX,68.29,70.34,68.0,69.96,188433
