date,tic,open,high,low,close,volume
2021-01-04,TMO,464.15,470.17,456.68,466.01,103344
2021-01-05,TMO,466.34,476.46,464.96,471.49,101930
2021-01-06,TMO,465.53,483.43,465.51,478.55,112288
2021-01-07,TMO,482.67,498.82,482.67,493.68,148040
2021-01-08,TMO,503.1,512.23,496.49,505.9,148853
2021-01-11,TMO,503.14,511.88,502.32,506.47,75543
2021-01-12,TMO,506.07,508.76,489.52,492.75,153771
2021-01-13,TMO,493.53,498.05,493.3,494.89,74468
2021-01-14,TMO,497.02,499.93,489.59,490.59,68922
2021-01-15,TMO,492.58,504.81,492.27,496.63,89211
2021-01-19,TMO,502.82,507.15,497.07,500.58,72595
2021-01-20,TMO,503.56,512.96,503.09,509.01,66769
2021-01-21,TMO,510.24,512.69,505.62,505.62,56896
2021-01-22,TMO,505.33,510.33,505.32,508.46,104939
2021-01-25,TMO,511.0,514.77,509.3,512.35,104886
2021-01-26,TMO,509.17,511.16,500.64,501.2,59862
2021-01-27,TMO,491.76,492.41,473.04,475.16,168049
2021-01-28,TMO,485.06,496.61,483.28,489.48,111426
2021-01-29,TMO,488.0,506.84,485.21,502.95,169512
2021-02-01,TMO,510.54,519.45,505.38,508.29,163897
2021-02-02,TMO,512.6,518.87,511.3,511.65,138725
2021-02-03,TMO,511.96,512.42,492.82,493.7,103306
2021-02-04,TMO,494.89,496.25,481.42,481.9,189828
2021-02-05,TMO,485.06,487.87,481.11,486.27,88812
2021-02-08,TMO,490.99,495.57,486.93,489.34,88320
2021-02-09,TMO,489.29,493.16,481.95,482.74,79894
2021-02-10,TMO,486.5,486.53,477.62,478.52,118656
2021-02-11,TMO,481.64,488.06,478.0,487.59,104294
2021-02-12,TMO,488.02,504.48,487.98,501.19,155086
2021-02-16,TMO,503.4,506.64,491.98,493.43,72402
2021-02-17,TMO,491.01,498.89,488.86,491.93,50240
2021-02-18,TMO,491.21,493.04,482.22,482.22,85761
2021-02-19,TMO,483.47,483.47,471.94,472.78,98999
2021-02-22,TMO,467.61,468.29,455.79,457.15,119986
2021-02-23,TMO,453.21,454.81,447.22,452.86,122368
2021-02-24,TMO,464.33,467.19,448.8,451.07,188168
2021-02-25,TMO,451.62,451.62,442.71,445.53,225299
2021-02-26,TMO,449.06,449.97,443.06,444.68,150954
2021-03-01,TMO,448.8,454.49,448.77,453.43,68575
2021-03-02,TMO,454.01,460.98,452.18,456.08,145020
2021-03-03,TMO,455.71,456.18,445.12,445.12,123626
2021-03-04,TMO,440.85,446.01,433.4,435.6,180935
2021-03-05,TMO,439.59,442.99,428.12,441.08,165167
